,2021-12-30,消息称华润微 12 英寸先进功率半导体晶圆生产线项目有望于明年建成投产,中电网
0,2021-12-30,第三代半导体行业产业链全景梳理及区域热力地图,ZAKER
1,2021-12-30,华润微(688396)重大事项点评：股权激励彰显发展信心 覆盖广泛利于激发员工积极性,新浪
2,2021-12-28,华润微：近期公司发布了1200V SiC MOSFET新品，该产品尚未进行量产和销售,每日经济新闻
3,2021-12-28,华润微：公司的传感器、半导体及智控产品有应用于互联网,Wind
4,2021-12-28,11股获券商买入评级，恒生电子目标涨幅达45.71%,Wind
5,2021-12-27,民生证券：给予华润微买入评级,证券之星
6,2021-12-27,民生证券维持华润微推荐评级：广覆盖、明目标，助力公司成长,每日经济新闻
7,2021-12-26,华润微：汽车电子市场广阔，功率龙头欲发力第三代半导体,每日经济新闻
8,2021-12-26,国联证券：给予华润微买入评级，目标价位76.17元,证券之星
9,2021-12-24,华润微(688396.SH)拟推2021年第二类限制性股票激励计划 授予价为34.1元/股,智通财经
10,2021-12-23,国内SiC MOSFET再添猛将！车规功率器件应用落地,中自网
11,2021-12-22,A股资金流向：热门股大面积退潮，消费电子转型预期获资金关注,Wind
12,2021-12-21,东方财富证券给予华润微增持评级：SiC新品推出，丰富产品线,每日经济新闻
13,2021-12-21,东方财富证券：给予华润微增持评级,证券之星
14,2021-12-20,小K播早报|深圳氢能产业发展规划出炉 商汤科技重新启动公开招股,财联社
15,2021-12-18,华润微发布SiC MOSFET新品,财联社
16,2021-12-17,功率半导体龙头竞逐碳化硅，华润微发布SiC新品剑指百亿市场,凤凰网
17,2021-12-17,A股资金流向：成长、权重双双熄火，低价股抱团逻辑仍在演绎,Wind
18,2021-12-17,大基金出手！芯片大牛股大涨8%,Wind
19,2021-12-16,功率半导体企业华瑞微获B轮和B+轮3亿元融资，产业投资方为芯朋微、活水资本等，老股东毅达资本和浦高产投加投,猎云网
20,2021-12-15,华润微现1笔大宗交易 共成交335.64万元,新浪
21,2021-12-15,华润微今日大宗交易成交6万股，成交价55.94元折价17.37%,Wind
22,2021-12-14,A股主力资金流向：净流出额创一个半月新高，新能源、周期股集体遭抛售,Wind
23,2021-12-14,电子行业2022年度策略报告：半导体国产替代进程深化 汽车电子引领需求增长,新浪
24,2021-12-13,高额举债又无息或低息借出资金原因几何？龙腾股份冲刺科创板IPO二轮问询这样解答,资本邦
25,2021-12-10,华润微：摩根大通证券、Aia Group-Hong Kong等17家机构于11月12日调研我司,证券之星
26,2021-12-09,汽车功率：新能源与半导体的黄金交叉,第一财经
27,2021-12-09,A股资金流向：金融、消费持续回暖，外资助推风格切换,Wind
28,2021-12-09,华润微：公司今年已实现SiC二极管的销售突破，即将推出SiCMOS产品,Wind
29,2021-12-09,华润微：公司对现有八吋线的产能会进行有序扩充，预计公司12吋产线将于明年下半年释放产能,Wind
30,2021-12-09,华润微：公司目前库存整体处于健康水平，和往年平均数据相比仍处于低位,Wind
31,2021-12-09,华润微：2022年公司IGBT领域会有显著增长,Wind
32,2021-12-09,华润微：公司有参股SiC衬底和外延的相关企业,Wind
33,2021-12-09,华润微：副总裁张小键退休 董监高成员变化,Wind
34,2021-12-09,华润微：在手订单饱满，预计12寸产线明年下半年释放产能,Ofweek
35,2021-12-09,华润微接受33家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
36,2021-12-09,由于芯片产能紧张 比亚迪向士兰微、华润微、斯达半导等下达车规级IGBT订单,财经网
37,2021-12-09,士兰微车规级IGBT获比亚迪亿元级订单，看中IDM模式及产能，斯达半导、时代电气、华润微等也获订单,财联社
