,2021-12-31,科技驱动品牌突破 米蓓尔年终斩获三项大奖,美通社
0,2021-12-31,致力于成为面部年轻化专家的华熙生物“润致”，助推医美共生商业模式打造,凤凰网
1,2021-12-31,A股资金流向：市场完美红盘收官，指数波澜不惊,Wind
2,2021-12-31,浙商证券维持华熙生物买入评级：丝丽于海南获批，华熙领先布局皮肤年轻化动能素产品,每日经济新闻
3,2021-12-31,浙商证券：给予华熙生物买入评级,证券之星
4,2021-12-30,C位出道！华熙生物科研人才队伍获两大荣誉称号,北国网
5,2021-12-29,华熙生物：入围“国家企业技术中心”,e公司
6,2021-12-28,最全！2021年中国透明质酸行业上市公司市场竞争格局分析 三大方面进行全方位对比,前瞻研究院
7,2021-12-28,美容护理行业周报：薇娅偷逃税被罚13.41亿 艺人主播涉税问题规范化加速推进 税收处罚,新浪
8,2021-12-27,中药股价暴涨，哪些标的适合机构配置？【东吴医药朱国广团队】,国广有话说
9,2021-12-26,华熙生物：B端头部选手发力C端赛道,每日经济新闻
10,2021-12-25,专访华熙生物董事长赵燕：产品自信的底层逻辑是技术自信,中新经纬
11,2021-12-25,米蓓尔新品首发上线熙选商城 “源生态”模式打通新,中经导报
12,2021-12-24,国信证券：医美市场规模发展空间广阔 行业景气度持续,证券时报网
13,2021-12-23,百家名企看高质量｜华熙生物高亦：以基础研究支撑国货品牌崛起,中新经纬
14,2021-12-23,头号玩家｜546.86亿！“光伏小巨人”天合光能高纪凡登上科创板首富宝座,上游新闻
15,2021-12-23,润百颜锚定科技护肤开启10亿级时代！,大众网
16,2021-12-22,悦己需求进一步凸显，量红利持续崛起(附股),新浪
17,2021-12-22,华熙生物：华熙生物抖音账号直播时间为每日07:00至翌日00:30,Wind
18,2021-12-21,A股资金流向：低价逻辑继续升温,Wind
19,2021-12-21,上市公司“奥斯卡奖”揭晓！华熙生物首摘金牛奖两“金”,凤凰网
20,2021-12-21,中信证券：从头部主播税收事件看化妆品等行业影响,Wind
21,2021-12-21,中信证券：化妆品行业长期高确定性增长趋势不变，维持“强于大市”评级,格隆汇
22,2021-12-20,联合医界专家、推出行业标准，华熙生物发起未来医美共生联盟，推动行业高质量发展,凤凰网
23,2021-12-20,金镒资本创始人&管理合伙人杨燚——颜值赛道如何受益于新消费时代的趋势？,投资界
