,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
0,2021-12-31,"券商12月金股组合""战绩""：川财证券9.26%夺冠 东吴最差",新浪
1,2021-12-31,世界单体容量最大漂浮式光伏电站并网发电：预计每年可提供清洁电能 5.5 亿千瓦时,中电网
2,2021-12-31,港股异动 | 华能国际(00902)反弹逾7% 德州丁庄水面光伏电站二期120MW顺利并网发电,智通财经
3,2021-12-31,【华能国际投资建成世界单体容量最大漂浮式光伏电站】财联社12月31日电，昨日华能国际投资建设的德州丁庄水面光伏电站二期120MW顺利并网发电，标志着世界单体容量最大漂浮式光伏电站――德州丁庄320M,财联社
4,2021-12-31,华能国际投资建成世界单体容量最大漂浮式光伏电站,e公司
5,2021-12-31,【行情】电力板块开盘走强，西昌电力涨停，国电电力、银星能源、南网科技、芯能科技、华能国际等跟涨,金十数据
6,2021-12-30,华能国际今日大宗交易成交1800万股，成交价9.32元溢价0.0%,Wind
7,2021-12-30,A股共发生275宗大宗交易成交59.59亿元（12月30日）,Wind
8,2021-12-30,华能国际大宗交易成交8388.00万元，买方为机构专用席位,证券时报网
9,2021-12-30,"华能国际现1笔大宗交易 共成交8,388.00万元",新浪
10,2021-12-30,华能国际今日大宗交易成交900万股，成交价9.32元溢价0.0%,Wind
11,2021-12-30,华能国际(600011.SH)子公司完成发行2亿元超短期融资券,智通财经
12,2021-12-30,华能国际(600011.SH)：子公司完成发行2021年度第一期超短期融资券,格隆汇
13,2021-12-30,华能国际与香港财资公司共同向合资公司增资1.56亿元开发光伏项目,北极星电力
14,2021-12-30,解盘：人气再次回暖，元宇宙、游戏、存储器、医药领涨,Wind
15,2021-12-29,A股新能源板块回股与展望：光伏、风电延续高景气，绿电崛起或成后市热点,21世纪经济报道
16,2021-12-29,华能国际：公司及控股子公司对外担保金额合计约132.42亿元 大额借贷担保,每日经济新闻
17,2021-12-29,华能国际(600011.SH)子公司拟携关联方设合资公司开发100兆瓦光伏发电项目,智通财经
18,2021-12-29,华能国际(600011.SH)：与香港财资公司拟共设曹妃甸清能公司 以开发华能十里海100兆瓦复合型光伏发电项目,格隆汇
