,2021-12-29,卓胜微：公司已逐步推出适用于5G通信标准中sub-6GHz频段的产品并实现量产出货,每日经济新闻
0,2021-12-29,卓胜微：公司滤波器产品现阶段主要采用SAW、IPD等工艺，市场策略以集成化为主要方向,每日经济新闻
1,2021-12-29,卓胜微：公司正按规划进度推动芯卓半导体产业化建设项目顺利实施,每日经济新闻
2,2021-12-29,射频芯片龙头卓胜微两年涨近32倍，模组品类扩张能否支撑长期成长？,第一财经
3,2021-12-28,没走出持续亏损泥淖，又丢失大客户，唯捷创芯怎么了？ 亏损,时代周报
4,2021-12-27,【投资价值评分】卓胜微 300782,新浪
5,2021-12-24,卓胜微：公司暂未进入苹果供应链,Wind
6,2021-12-24,卓胜微：公司已覆盖绝大部分安卓主流手机厂商客户,Wind
7,2021-12-24,卓胜微：公司暂没有进入苹果供应链,每日经济新闻
8,2021-12-24,携手私募基金+操盘CVC，上市公司谋求新增长点,Wind
9,2021-12-23,卓胜微：芯卓半导体产业化建设项目主体建筑计划于年底前投入使用,每日经济新闻
10,2021-12-23,数字交通规划发布，机构关注的卫星导航概念股出炉,Wind
11,2021-12-21,希荻微产品关键业务指标信披矛盾 同总经理兼职企业现经营混淆异象,中证报
12,2021-12-21,卓胜微：目前满足WiFi 6连接标准的连接模组产品已在部分客户验证通过,每日经济新闻
13,2021-12-21,卓胜微：公司已于2020年经江苏省工业和信息化厅认定为江苏省专精特新小巨人企业,Wind
14,2021-12-21,卓胜微：公司已于2020年经江苏省工业和信息化厅认定为江苏省专精特新小巨人企业,每日经济新闻
15,2021-12-21,卓胜微：公司的主集发射模组等射频前端产品主要应用于智能手机等移动智能终端,每日经济新闻
16,2021-12-20,唯捷创芯：夕阳业务催生高成长性 经销客户销售成谜,证券市场周刊
17,2021-12-20,卓胜微(300782.SZ)：拟以5000万元参与认购苏州耀途股权投资的份额,格隆汇
18,2021-12-20,卓胜微(300782.SZ)斥5000万元认购苏州耀途股权投资基金份额,智通财经
19,2021-12-20,卓胜微：受到国际相关政策的影响，公司目前和华为未有芯片交易,Wind
20,2021-12-20,卓胜微：新推出的适用于5G NR频段的主集发射模组（L-PAMiF）产品仍处于推广送样阶段,财联社
21,2021-12-18,又见“微”字半导体公司，赛微微能否复制卓胜微（300782.SZ）3年30倍的神话？,智通财经
22,2021-12-17,A股共发生144宗大宗交易成交57.17亿元（12月17日）,Wind
23,2021-12-17,卓胜微大宗交易成交686.00万元,证券时报网
24,2021-12-17,卓胜微现1笔大宗交易 共成交686.00万元,新浪
25,2021-12-17,卓胜微今日大宗交易成交2万股，成交价343.0元溢价0.0%,Wind
26,2021-12-15,卓胜微12月15日大宗交易成交4087.44万元,证券时报网
27,2021-12-15,"卓胜微现1笔大宗交易 共成交4,087.44万元",新浪
28,2021-12-15,卓胜微今日大宗交易成交14万股，成交价291.96元折价18.22%,Wind
29,2021-12-15,卓胜微：公司已覆盖绝大部分安卓主流手机厂商客户,每日经济新闻
30,2021-12-14,和讯SGI公司|大牛股卓胜微SGI指数最新评分86分，股价大涨9倍遭重要股东密集减持，不看好公司未来？ 减持股份,和讯
31,2021-12-14,【银河电子傅楚雄/王恺】行业周报丨硅片出货创历史新高，未来仍面临供需缺口,中国银河证券研究
32,2021-12-13,卓胜微：芯卓半导体产业化建设项目主体结构的土建工程正进行收尾工作,每日经济新闻
33,2021-12-13,卓胜微：公司芯卓半导体产业化建设项目主体建筑计划于年底前投入使用,每日经济新闻
34,2021-12-10,又见蓝筹尾盘异动！外资单周净买入488亿元创纪录，重拾“老白马”,Wind
35,2021-12-06,电子行业周报：关注中概股政策风险,新浪
36,2021-12-06,创业板股最新股东户数降幅排行榜,证券之星
37,2021-11-30,A股重要指数迎调整 新经济和先进制造业样本公司增多,新浪
38,2021-11-29,银河电子周观点：国内10月手机出货量大幅增长 看好射频前端国产替代机遇,新浪
39,2021-11-29,科技硬件周报：功率半导体高景气度有望延续、关注5G+AIOT投资机遇,新浪
40,2021-11-28,电子行业周报：估值开始切换 乐观反映明年苹果、MINILED、半导体设备,新浪
41,2021-11-26,A股收盘综述：锂电池、稀土题材大涨，数字货币概念盘中异动,Wind
