,2021-12-28,诺泰生物创上市新低 IPO募8亿南京证券赚0.7亿,中国经济网
0,2021-12-20,南京证券2022年投资策略：“成长+防御”风格或是更好选择,证券日报网
1,2021-12-20,2022年投资机会在哪? 南京证券：重点关注“券商+养殖”板块,大众证券报
2,2021-12-19,“转型发展，共同富裕”中国资本市场2022年投资论坛在南京举行,上证报
3,2021-12-19,除了备战北交所，券业今年还有这些关键词,Wind
4,2021-12-06,券商行业周报(2021年第四十五期)：看好券商跨年行情 建议关注财富管理主线及龙头券商,新浪
5,2021-12-06,非银金融行业周报：2021年证券公司财务顾问业务执行能力评价结果解读,新浪
6,2021-12-03,味知香：前海锦泓资管、南京证券等2家机构于11月19日调研我司,证券之星
7,2021-11-29,2021年Wind“金牌分析师”权威揭榜,Wind
8,2021-11-19,又有券商申请托管资格！今年基金托管牌照尚待零的突破,Wind
9,2021-11-15,北交所来了！券商全面布局，多家开户率超50%,Wind
10,2021-11-09,净赚350亿元！资管成券商“利润牛” 转型大背景下如何继续掘金,凤凰网
11,2021-11-08,南京证券：公司目前经营情况正常,每日经济新闻
12,2021-11-07,坚持“三正”文化指引 南京证券让慈善公益更有力量,每日经济新闻
13,2021-11-07,券商在搅动基金托管江湖，银行独霸时代遭挑战？,Wind
14,2021-10-29,南京证券三季度扣非净利增6% 加权ROE下降 盈利能力下降,中国经济网
15,2021-10-28,图解南京证券三季报：第三季度单季净利润同比增9.42%,证券之星
16,2021-10-28,南京证券：前三季度净利润同比增长23.47%,Wind
17,2021-10-28,南京证券(601990.SH)第三季度净利润2.09亿元 同比增长9.42%,格隆汇
18,2021-10-27,解盘：指数低迷，新能源发电、锂电材料、磷化工领涨,Wind
19,2021-10-27,去年以来21家券商斥122亿元参与同行定增 多家出手阔绰买成前十大股东,证券日报
20,2021-10-21,南京证券坚持“根据地”战略 全面深化与南京高淳区战略合作,大众证券报
21,2021-10-19,券商行业周报(2021年第三十八期)：声誉风险管理正式落地 市场交投热情回落,新浪
22,2021-10-18,非银金融行业：东财拉开Q3优异季报序幕 保险在投资端带动下继续反弹,新浪
23,2021-10-18,非银金融行业周报：券商结算模式基金规模突破1200亿,新浪
24,2021-09-30,各家券商北交所开户数曝光，KPI完成了吗？,Wind
