,2021-12-31,【银华基金】交易日报 2021-12-31,新浪
0,2021-12-31,南京银行上海分行获2020年度“金融消费纠纷调解促进奖”,中国网
1,2021-12-31,区域性银行数字化转型“样本”：上市城商行发力手机银行，成绩几何？,零壹财经
2,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
3,2021-12-29,每日理财观察：券商营业部排名大洗牌，量化交易催生硬件竞赛,Wind
4,2021-12-27,年内“补血”需求旺盛 银行可转债迎来发行潮,北京商报
5,2021-12-27,棱镜｜南京银行拟收购苏宁消金控股权：看中牌照与全国展业资质,腾讯网
6,2021-12-26,时隔十年监管再发私行专营牌照，银行零售业务破局路在何方？,Wind
7,2021-12-25,突围高净值市场 私行专营机构争相挂牌,中国经营报
8,2021-12-24,浙大网新：子公司中标南京银行金融市场智能交易系统建设项目,e公司
9,2021-12-24,融资成本低，商业银行青睐发行可转债,Wind
10,2021-12-23,南京银行发行200亿元金融债券,中证网
11,2021-12-23,南京银行200亿元金融债券发行完毕，将用于优化中长期资产负债匹配结构,北京商报
12,2021-12-23,南京银行：成功发行200亿元的2021年金融债券(第一期),财联社
13,2021-12-23,南京银行(601009.SH)2021年金融债券(第一期)发行完毕,智通财经
14,2021-12-23,江苏省及江苏省城投面面观,中证鹏元评级
15,2021-12-22,又一家股份行披露私行部筹建进展 逐鹿高端市场，银行如何“抢蛋糕”,北京商报
16,2021-12-20,南京银行上海分行开展残损币兑换宣传 提升现金服务质效,中国金融新闻网
17,2021-12-20,2021南京企业百强榜：苏宁蝉联榜首，七家银行入列,腾讯网
18,2021-12-20,中国债券市场金融债发行日程一览(12月20日),Wind
19,2021-12-17,【银华基金】交易日报 2021-12-17,新浪
20,2021-12-17,南京银行上海分行：深耕普惠金融“鑫快捷”大幅提升服务效率,中国网
21,2021-12-17,南京银行私人银行部正式挂牌 更好拥抱大财富时代的到来,中投网
22,2021-12-17,中国债券市场金融债发行日程一览(12月17日),Wind
23,2021-12-17,资管新规倒计时15天，银行理财进度条走到了哪？,Wind
24,2021-12-16,南京银行私人银行部成立 纵深推进大零售战略2.0改革,21世纪经济报道
25,2021-12-16,南京银行公告“南银转债”21日起可转股 价格为10.10元/股,上证报
26,2021-12-16,助推大零售战略 南京银行正式成立私人银行部,上证报
27,2021-12-16,中国债券市场金融债发行日程一览(12月16日),Wind
28,2021-12-16,手机银行数字竞争力排行榜TOP100 (2021年Q3),零壹财经
29,2021-12-16,增加“私行拼图”，南京银行大零售战略再落一子,金融界
30,2021-12-15,资本充足率下降，南京银行发债400亿摆脱“事业瓶颈期”,搜狐
31,2021-12-15,南京银行(601009.SH)：“南银转债”将于12月21日起开始转股,智通财经
32,2021-12-14,南京银行计划每股优先股派发现金股息人民币4.86元（含税）,资本邦
33,2021-12-14,南京银行(601009.SH)将于12月23日发放“南银优1”股息 每股派4.86元,智通财经
34,2021-12-14,助力“专精特新”南京银行客户锐翌生物科技获上海市科技进步奖一等奖,中国网
35,2021-12-13,苏高新3亿超短期融资券进行申购 利率区间2.40%-2.68%,观点地产网
36,2021-12-10,“你服务大家，我守护你”——南京银行上海分行团委关怀一线员工,中国网
37,2021-12-09,南京银行(601009.SH)完成发行10亿元绿色金融债券,智通财经
38,2021-12-09,南京银行上一日融资余额为13.34亿元，在两融标的中排288名,资本邦
39,2021-12-09,中原银行吸收合并三家银行方案出炉，中小银行兼并重组渐成趋势,Wind
40,2021-12-08,聚焦专精特新，让“中小”企业实现“大”作为——南京银行北京分行多措并举助力“专精特新”中小企业发展,中国网
41,2021-12-08,南京银行：获准发行不超400亿元金融债券,Wind
42,2021-12-07,中信证券：压制银行板块表现的经济景气和资产质量悲观预期有望逐步改善,e公司
43,2021-12-07,中信建投：央行宣布全面降准释放资金约1.2万亿,Wind
44,2021-12-06,降准表态、恒大事件点评暨银行1Q22投资策略：适时降准凸显稳增长意图 把握温和修复中的优胜者,新浪
45,2021-12-06,中国债券市场金融债发行日程一览(12月6日),Wind
46,2021-12-06,银行业投资观察：“稳增长”预期明确,新浪
47,2021-12-05,银行业对一行两会就恒大问题答记者问的点评：靴子落地 预期改善,新浪
48,2021-12-05,降准与测算：缓释银行负债成本预计0.5BP,新浪
49,2021-12-03,中国债券市场金融债发行日程一览(12月3日),Wind
50,2021-12-02,【银华基金】交易日报 2021-12-2,新浪
51,2021-12-02,中国债券市场金融债发行日程一览(12月2日),Wind
52,2021-12-02,【中原银行】银行行业年度策略：淡化宏观扰动，重视“内功”提升,中原证券研究所
53,2021-11-29,资管新规临近大考，28万亿迎“系统直联”新时代,和讯
54,2021-11-26,高瓴重金押注新能源之王！外资最宠爱银行小白马(名单),Wind
55,2021-11-26,多只银行ETF获资金持续流入,Wind
56,2021-11-25,银行行业周报：基金代销规模披露 社融筑底按揭回暖,新浪
57,2021-11-25,进社区话理财 南京银行上海分行社区行系列活动,中国网
58,2021-11-24,标准债券远期实物交割机制正式推出,Wind
59,2021-11-24,南京银行上一日融资余额12.22亿元，融券余量191万股,资本邦
60,2021-11-22,南京银行：已全额赎回45亿元“11南银次级债”,Wind
61,2021-11-22,南京银行(601009.SH)完成赎回“11南银次级债”,智通财经
62,2021-11-22,北交所正式开板 银行掘金“专精特新”,中国经营报
63,2021-11-21,A股城商行三季报扫描：非息收入大幅提升，“包邮区”业绩全方位碾压,资本邦
64,2021-11-18,银行动态点评：居民贷款企稳 政府债券发力,新浪
65,2021-11-18,调研对象：南京银行（601009）,深水财经社
66,2021-11-17,每日理财观察：北交所次新股交投活跃，机构调研热情高涨,Wind
67,2021-11-16,江苏霸屏北交所，12家企业同时挂牌，苏州占4席，南通排第二,深水财经社
68,2021-11-16,上海清算所成功支持首单“南向通”债券发行认购落地,Wind
69,2021-11-16,进社区，暖民心 南京银行上海分行百家支部联百村党建联建,中国网
70,2021-11-16,银行2022年投资策略报告：分化的大时代 紧握穿越周期的优秀银行,新浪
71,2021-11-15,【银华基金】交易日报 2021-11-15,新浪
72,2021-11-15,国内财经媒体头版2021年11月15日星期一,Wind
73,2021-11-15,银行业总动员，服务专精特新各显神通,Wind
74,2021-11-14,半月3家逾千亿，系统重要性银行密集发行二级资本债,Wind
75,2021-11-11,【银华基金】交易日报 2021-11-11,新浪
76,2021-11-11,南京银行北京分行积极完善账户管理 有效提升服务质效,中国网
77,2021-11-11,树牢安全发展理念，坚持“生命至上” 南京银行北京分行暖心救助流浪汉,中国网
78,2021-11-11,破净率超8成，“打骨折”的银行股还能翻身吗？,Wind
79,2021-11-10,【兴证固收·转债】创新型金租标的——苏租转债转债投资价值分析,兴证固收研究
80,2021-11-10,绿色债券迎密集发行期，碳减排支持工具“出炉”银行如何持续赋能绿色金融,北京商报
81,2021-11-10,苏租转债申购价值分析：深耕产业 聚焦小微客户,新浪
82,2021-11-10,江苏地区上市银行经营情况总结：区位优势和差异化赛道孕育出优秀的银行,光大证券
83,2021-11-09,人民银行推出碳减排支持工具点评：精准滴灌、精确引导 利好银行降负债成本,新浪
