,2021-12-31,招商积余一周内耗资2.84亿元收购两家航空物业公司股权,中国网
0,2021-12-31,航空股的2021年：“快乐飞”没有想象中的那么“快乐”,智通财经
1,2021-12-30,连续收购上航南航物业 招商积余抢占航空物管赛道,观点地产网
2,2021-12-30,招商积余(001914)：并购项目接力落地 轻重分离有望提速,新浪
3,2021-12-30,南方航空今日大宗交易成交398.40万股，成交价6.8元溢价0.0%,Wind
4,2021-12-30,A股共发生275宗大宗交易成交59.59亿元（12月30日）,Wind
5,2021-12-30,南方航空大宗交易成交1354.58万元，买方为机构专用席位,证券时报网
6,2021-12-30,招商积余(001914)收并购公告点评：航空业态收并购再落一子 央企物管旗舰发展可期,新浪
7,2021-12-30,南方航空今日大宗交易成交199.20万股，成交价6.8元溢价0.0%,Wind
8,2021-12-30,招商积余捡了两个“包袱”,乐居财经
9,2021-12-29,【中金固收·信用】中国短期融资券及中期票据信用分析周报,中金固定收益研究
10,2021-12-29,连进“两航”！招商积余再购南航物业 持续扩大航空赛道领先优势,经济观察网
11,2021-12-29,解盘：题材股分化，大飞机、盐湖提锂、军工、肺炎检测略涨,Wind
12,2021-12-29,航空板块发力上扬，吉祥航空一度触及涨停，南方航空等大涨,证券时报网
13,2021-12-29,【行情】航空股逆市走高，吉祥航空涨超7%，南方航空、中国国航、中国东航、中信海直等跟涨,金十数据
14,2021-12-28,南方航空(600029.SH)李家世辞去第九届监事会主席及监事职务 董监高成员变化,智通财经
15,2021-12-24,【银华基金】交易日报 2021-12-24,新浪
16,2021-12-21,12月21日上市公司晚间公告速递,新浪
17,2021-12-21,南方航空(600029.SH)：A+H股定增方案获南航集团批复,格隆汇
18,2021-12-21,南方航空：非公开发行A、H股股票获南航集团批复,Wind
19,2021-12-21,南方航空：非公开发行A股、H股股票获得中国南方航空集团有限公司批复,Wind
20,2021-12-19,龙头航司纷纷推航空快线 业内称其为航空运输竞争的“拳头产品”,每日经济新闻
21,2021-12-16,11月民航运输盘点：客运需求持续低迷，货运环比相对亮眼,澎湃新闻
22,2021-12-16,航空运输业2021年11月经营数据点评：国内局部疫情反复 压制航空需求复苏,光大证券
23,2021-12-15,【华创交运】航空行业11月数据点评：多地散发疫情致当前民航业受冲击，不改本轮核心逻辑，持续看好行业2022年起步入复苏之路,新浪
24,2021-12-15,晚间重要公告2021年12月15日星期三,Wind
25,2021-12-15,南方航空(01055.HK)11月载客人数同比下滑53.24%,财华社
26,2021-12-15,南方航空(600029.SH)：11月旅客周转量同比下降53.21%、客座率为63.22%,格隆汇
27,2021-12-15,南方航空：旅客周转量同比下降53.21%,财联社
28,2021-12-15,南方航空：11月客运运力投入（按可利用座公里计）同比下降45.42%,Wind
29,2021-12-14,50款APP，竟有四成存在问题！淘宝、饿了么、滴滴......都被中消协点名了,上证报
30,2021-12-14,中消协：20款APP存不同程度账号注销问题，涉腾讯视频等,澎湃新闻
31,2021-12-14,过度收集个人信息？中消协：20款APP存在不同程度问题,Wind
32,2021-12-14,过度收集个人信息？中消协：20款APP存在不同程度问题,财联社
33,2021-12-14,最后一架完工，A380生产告终,虎嗅网
34,2021-12-13,买下海航，方威到底花了多少钱？,环球旅讯
35,2021-12-13,【银河交通王靖添】行业周报丨中国物流集团正式成立，全面看好综合物流赛道长期投资价值,中国银河证券研究
36,2021-12-10,A股融资融券日报：两融余额增加7.33亿元（12月9日）,Wind
