,2021-12-31,“魔幻”2021：忆资本市场那些奇葩事,Wind
0,2021-12-29,双汇牧原“联姻” 生猪产业上下游巨头竞合加速,中国经营网
1,2021-12-28,双汇发展董事长万隆：2022年肉类行业将进入新一轮猪周期拐点,中证网
2,2021-12-28,双塔食品的管理水平和回报水平高吗？,搜狐
3,2021-12-25,第十六届中国上市公司竞争力、公信力“星”公司评选活动揭晓,大众证券报
4,2021-12-24,猪肉板块爬坡过坎、连涨5月，机构直指四大利好,Wind
5,2021-12-24,2021金融界领航中国“金智奖”上市公司价值评选揭晓 双汇发展、广汽集团、华米科技等荣获杰出品牌奖,金融界
6,2021-12-24,河南区域股市周报：板块总市值降至第14名 双汇发展跌出板块市值3强,每日经济新闻
7,2021-12-23,双汇发展：公司将适度发展养殖业,每日经济新闻
8,2021-12-23,双汇发展：公司围绕速冻餐饮食材，目前推出了丸子、酥肉等产品,每日经济新闻
9,2021-12-23,生猪存栏连续5月下降，头部猪企凭成本优势或成赢家？,Wind
10,2021-12-21,双汇发展：目前未持有河南双汇地产股权,搜狐
11,2021-12-21,双汇发展：双汇发展目前未持有河南双汇地产有限公司股权,每日经济新闻
12,2021-12-21,双汇发展：生猪屠宰业是公司的主业之一,Wind
13,2021-12-18,双汇难敌猪周期：股价“躺平”，副业“开花”,华夏时报
14,2021-12-16,双汇发展：目前公司在多个线上平台，央视及部分地方电视台等投放了吴京代言双汇王中王的广告,每日经济新闻
15,2021-12-16,双汇发展：公司将加快丸子等速冻产品的研发、生产和推广，扩大销售网络，满足消费需求,每日经济新闻
16,2021-12-16,双汇发展：上海双汇大昌有限公司为双汇发展的全资子公司,每日经济新闻
17,2021-12-16,双汇发展：公司目前向海底捞、百胜、巴奴、达美乐等连锁企业供应相关产品,每日经济新闻
18,2021-12-12,上市公司为闲钱找“财路”！年内河南27家A股公司斥资逾300亿买理财，最多的是它,搜狐
19,2021-12-10,双汇发展：公司目前已投产的生猪养殖规模不大,每日经济新闻
20,2021-12-10,双汇发展：公司将做好销售网络拓展和渠道下沉，满足消费需求,每日经济新闻
21,2021-12-08,双汇发展：河南双汇集团财务有限公司为双汇发展的全资子公司,每日经济新闻
22,2021-12-08,双节临近，“茅五泸”齐涨，消费股悄然崛起,Wind
23,2021-12-08,国信证券：2022年是提前布局生猪板块最好的阶段,Wind
24,2021-12-07,农林牧渔2022年投资策略：布局养殖回暖 聚焦种植变革,新浪
25,2021-12-06,2021年基金，买了个“寂寞”,Wind
26,2021-12-05,食品饮料行业周报：老窖激励方案获批 把握白酒跨年行情,新浪
27,2021-12-03,双汇发展：目前公司预制调理产品除在线上平台销售外，也在加快线下推广,每日经济新闻
28,2021-12-03,双汇发展：公司生鲜产品以冷鲜肉为主，采用两段冷却排酸、冷分割加工工艺，精细化分割满足消费者的多种需求,每日经济新闻
29,2021-12-03,双汇发展：建立了覆盖供产运销各环节的食品安全内控体系,每日经济新闻
30,2021-12-03,开源证券2022年度投资策略丨食品饮料：布局主题投资，关注反转机会,开源证券研究所
31,2021-12-01,双汇发展与“原生宇宙”商标背后的3个疑问：要在元宇宙养猪卖肠？,和讯
32,2021-11-29,双汇发展：关于公司高级管理人员辞职的公告 董监高成员变化,新浪
33,2021-11-29,双汇发展(000895.SZ)副总裁宁洪伟辞职 董监高成员变化,智通财经
34,2021-11-29,双汇发展：宁洪伟辞去公司副总裁职务 董监高成员变化,Wind
35,2021-11-27,“猪王”与“肉王”之战烽烟已起？养殖与屠宰全产业链之争谁能更胜一筹,证券之星
36,2021-11-26,双汇发展：目前推出有“素食界”手撕蛋白肉、“探未”素牛排、素牛肉粒等产品,每日经济新闻
37,2021-11-24,双汇发展：未来将不断加大电商新零售业态的开发力度,每日经济新闻
38,2021-11-23,双汇发展：公司有部分肉制品出口，目前占比较小,Wind
39,2021-11-23,双汇发展：公司有部分肉制品出口，但目前占比较小,每日经济新闻
40,2021-11-23,双汇发展申请原生宇宙商标,Bianews
41,2021-11-22,企查查显示双汇发展成立食品科技公司，注册资本2000万,Bianews
42,2021-11-21,双汇发展于漯河成立食品科技公司，注册资本2000万元,乐居财经
43,2021-11-21,食品饮料行业周报：白酒情绪回暖 关注板块跨年行情,新浪
44,2021-11-19,北向资金今日大幅净买入近83亿，再度爆买宁德时代超14亿,Wind
45,2021-11-19,消费传导！又一速冻食品龙头提价,Wind
46,2021-11-18,双汇发展：今年双十一，公司在天猫、淘宝、京东、抖音、拼多多等平台开展了相关活动,每日经济新闻
47,2021-11-18,“数据会说话”之2021年10月数据解读：10月社零数据符合预期 看好中国消费韧性,新浪
48,2021-11-16,漯河首富往事：辣条打败了火腿肠,36氪
49,2021-11-16,双汇发展：公司向海底捞、百盛、巴奴等供应相关产品,每日经济新闻
50,2021-11-15,食品行业周报：建议关注食品板块提价,国海证券
51,2021-11-12,双汇发展：公司产品主要在国内市场销售，也有部分肉制品出口，但占比较小,每日经济新闻
52,2021-11-11,食品饮料行业：需求复苏、估值筑底 2022年食品板块有望戴维斯双击,广发证券
53,2021-11-11,双汇发展：公司产品的价格会综合考虑产品成本、产品品质及市场行情等因素确定,每日经济新闻
54,2021-11-08,华龙投顾周刊：行情分化明显 短期控制风险,新浪
55,2021-11-06,双汇发展：目前公司产品销售以国内市场为主，也有部分肉制品出口，但占比较小,每日经济新闻
56,2021-11-05,国开证券：给予双汇发展增持评级,证券之星
57,2021-11-05,国开证券维持双汇发展推荐评级：计提减值拖累利润，后续业绩有望改善,每日经济新闻
58,2021-11-05,“猪周期”下行 肉制品龙头业绩不佳 盈利能力下降,中国商报
59,2021-11-04,双汇发展：公司生鲜产品的价格会随行就市,每日经济新闻
60,2021-11-04,双汇发展：近几年公司主推新产品辣吗辣香肠、无淀粉王中王、火炫风等市场表现良好，餐饮、电商、新型休闲等新渠道增长迅速,每日经济新闻
61,2021-11-03,A股收盘综述：“光伏茅”放量迫近跌停恫吓热门赛道，煤炭、地产、防疫板块逆市上扬,Wind
62,2021-11-03,双汇发展(000895)：冻品减值致使利润承压 关注Q4改善趋势 盈利能力下降,新浪
63,2021-11-02,三全食品涨停，食品板块尾盘拉升,Wind
64,2021-11-01,【大行观察】中国猪鸡肉价疲软 滙丰指肉制品业中有三个高增长引擎,财华社
65,2021-11-01,食品饮料行业周报：白酒分化首推汾酒老窖 食品优选啤酒乳业,新浪
66,2021-10-31,太魔幻！“无鸡可炸”却利润大涨，猪价下跌肉制品反亏,Wind
67,2021-10-29,北向资金连续13个月加仓A股，隆基股份获大幅净买入超10亿,Wind
68,2021-10-29,双汇熟食牵手郭德纲 开启新中式国潮盛宴,质量新闻网
69,2021-10-29,双汇发展前三季度总外销量创历年最大规模 注重新品开发,上证报
70,2021-10-29,食品饮料2021年三季度基金持仓分析：板块持仓环比下降维持超配,新浪
71,2021-10-29,双汇发展：申万宏源、中金公司等11家机构于10月26日调研我司,证券之星
72,2021-10-28,双汇发展：从肉类制造商向肉类服务商转型,北京商报
73,2021-10-28,双汇熟食牵手郭德纲 开启新中式国潮盛宴,金融界
74,2021-10-28,三季度业绩腰斩 双汇发展拟投入不超过2亿元保证金开展套期保值,和讯
75,2021-10-28,猪周期拐点将至？猪价反弹，猪肉概念股先涨为敬！多家基金提前入局,搜狐
76,2021-10-28,双汇发展：三季度肉制品吨均利润创历史单季新高,贝壳财经
77,2021-10-28,兴业证券：维持双汇发展(000895.SZ)“审慎增持”评级 冻品减值致屠宰承压,智通财经
78,2021-10-28,方正证券：维持双汇发展(000895.SZ)“推荐”评级 存货减值导致盈利下降 四季度有望好转,智通财经
79,2021-10-28,国泰君安：维持双汇发展(000895.SZ)“增持”评级 目标价33.4元,智通财经
80,2021-10-28,股扒扒：股价腰斩　基金经理撤离　双汇发展净利加速下滑 盈利能力下降,财富动力网
81,2021-10-27,民生证券：给予双汇发展买入评级,证券之星
82,2021-10-27,双汇第三季度营收同比下降16.84% 万隆称第四季度将抓好旺季生产 盈利能力下降,经济观察报
83,2021-10-27,猪价回调一月涨幅58%！手握存货超72亿，双汇发展何时走出业绩低谷？,华夏时报
84,2021-10-27,双汇发展第三季度净利腰斩，年内股价跌幅已达38% 盈利能力下降,搜狐
85,2021-10-27,开源证券维持双汇发展增持评级，公司信息更新报告：利润短期承压，吨利提升，长期弹性大,每日经济新闻
86,2021-10-27,开源证券：给予双汇发展增持评级,证券之星
87,2021-10-27,双汇发展三季度业绩下降，谢治宇、傅友兴旗下基金退出双汇发展前十大股东 盈利能力下降,环球老虎财经
88,2021-10-27,内忧外患致三季报净利下滑 双汇集团困局待解 盈利能力下降,21世纪经济报道
89,2021-10-27,双汇发展减值16亿净利加速下滑 年内股价腰斩谢治宇大减仓 盈利能力下降,长江商报
90,2021-10-27,格力爆仓股东竟开始卖格力空调！业绩滑落2017，股价跌回2019年！股东数却大增40万户，股民：一路补仓，加到手抖！ 股票质押异常,雪球
91,2021-10-27,张坤减持洋河股份，谢治宇、傅友兴减持双汇发展,Wind
92,2021-10-27,双汇发展(000895)：成本红利下肉制品吨利新高 冻品减值致屠宰承压,新浪
93,2021-10-27,兴全基金割肉出局？投资900亿消费白马股亏损超13%,搜狐
94,2021-10-27,肉价下跌，香肠都不香了！双汇发展将开展套期保值,中国经济网
95,2021-10-27,双汇发展前三季度净利同比下降30.08%，受累于猪肉价格下跌 盈利能力下降,阿尔法工场
96,2021-10-27,风华37载 双汇创造了中国肉类历史的四个元年,财经网
97,2021-10-27,“顶流”又有大动作！张坤减持洋河股份，谢治宇、傅友兴减持双汇发展 减持股份,证券时报
98,2021-10-27,【双汇发展三季报点评：存货减值导致盈利下降，四季度有望好转——方正食品饮料211026】,虎哥的研究
99,2021-10-27,解盘：指数低迷，新能源发电、锂电材料、磷化工领涨,Wind
