,2021-12-31,2021年十大牛股和熊股出炉，最牛股大涨566%,Wind
0,2021-12-31,犀牛看市1231：完美收官！沪指年线3连阳 创业板指全年涨12%,GPLP犀牛财经
1,2021-12-31,400亿资金狂怼万亿赛道，一则指导意见引爆？,Wind
2,2021-12-31,中药新药创5年新高！7省首获改革示范，产业或迎价值重估？,Wind
3,2021-12-31,涨停板解密：资金青睐，医药股再现火爆！（12月31日）,Wind
4,2021-12-31,沸腾！一则大消息引爆，8万亿赛道狂飙飞起！群龙强势收官！明年预期有着落！股民：大A要牛了，凌厉冲锋！,雪球
5,2021-12-31,12月31日同仁堂涨停分析：中药，医药商业，医药概念热股,证券之星
6,2021-12-31,A股收盘综述：上证指数2021年累升4.8%，连涨三年！盐湖提锂闪耀概念板块,Wind
7,2021-12-31,国金证券：中药政策相继落地，产业迎来健康发展,财联社
8,2021-12-31,2021年商业十大新闻|消费回流，实体商业向多领域拓展,北京商报
9,2021-12-31,沸腾！一则大消息引爆，5万亿赛道涨停潮！光伏又爆发:千亿龙头涨停！AI独角兽暴涨30%，茅台却跌了,中国基金报
10,2021-12-31,解盘：人气继续回升，医药、新能源、盐湖提锂领涨,Wind
11,2021-12-31,A股午盘综述：中药股再现批量涨停，光伏发动强劲攻势,Wind
12,2021-12-31,佐力药业、千金药业涨停，中药板块涨超5%,Wind
13,2021-12-31,港A两地中药股大涨，同仁堂、精华制药等多股涨停,证券之星
14,2021-12-31,中药概念股稳步攀升，同仁堂、华润三九等10股涨停,Wind
15,2021-12-31,重磅支持政策频发，中药板块再度活跃，同仁堂、华润三九等涨停,证券时报网
16,2021-12-31,同仁堂盘中快速上涨,新浪
17,2021-12-31,快讯：中药板块继续走强 同仁堂等多股涨停,新浪
18,2021-12-31,中药板块继续发酵，龙津药业、华森制药、华润三九、太极集团、同仁堂等涨停,Wind
19,2021-12-31,同仁堂、华润三九涨停，中药板块再度崛起,Wind
20,2021-12-31,又一次20CM涨停！停牌核查,Wind
21,2021-12-30,同仁堂今日大宗交易成交78.16万股，成交价40.89元溢价0.0%,Wind
22,2021-12-30,同仁堂大宗交易成交1597.98万元,证券时报网
23,2021-12-30,同仁堂今日大宗交易成交39.08万股，成交价40.89元溢价0.0%,Wind
24,2021-12-30,同仁堂(600085.SH)选举邸淑兵为董事长 聘任张朝华为总经理,智通财经
25,2021-12-30,A股中药概念股继续大涨，同仁堂股价创历史新高,财华社
26,2021-12-29,片仔癀，夺命大逃亡,格隆汇
27,2021-12-29,同仁堂(600085)公司动态点评：安牛具备保值增值属性、战略合作优化供应链,新浪
28,2021-12-29,毫无征兆！2900亿大白马闪崩跌停，抛盘汹涌而出！超级牛散坚守12年，成百亿富翁，今日浮亏超12亿！,--
29,2021-12-29,片仔癀放量跌停，成交金额超33亿元,Wind
30,2021-12-29,【中药专题】“穿越医保”主线之—-中药消费品迎来三大机遇,Wind
31,2021-12-29,安信国际 | 医药行业：关注中药消费品优质个股,安信国际
32,2021-12-29,同仁堂科技牵手华润医药商业集团启动“同曜”合资项目,中国药店
33,2021-12-29,支持政策加码，中医药企业经营有望改善,Wind
34,2021-12-29,中成药集采撬动投资，产业化进程提速,Wind
35,2021-12-29,中成药集采撬动投资 产业化进程提速,经济参考报
36,2021-12-28,太极藿香正气口服液出厂价上调，中药原材料成本上涨到底有多猛？,贝壳财经
37,2021-12-28,同仁堂国药：与同仁堂股份续订安宫牛黄丸粉总采购协议,Wind
38,2021-12-28,政策推动中药行业发展 估值性价比凸显,证券时报网
39,2021-12-27,中药板块持续火热，投资者要不要上车？券商这么说,国际金融报
40,2021-12-27,午后突然跳水，2000亿龙头闪崩跌停！一则传闻引发惨案，万亿赛道掀跌停潮！元宇宙突然上演天地板，概念熄火了？,--
41,2021-12-27,中药板块再度活跃，陇神戎发六个交易日涨幅翻倍，公司提示风险,证券时报网
42,2021-12-27,中药股价暴涨，哪些标的适合机构配置？【东吴医药朱国广团队】,国广有话说
43,2021-12-26,景气度研究：量化与主动的多视角；品牌中药OTC深度丨一周重点研究报告,开源证券研究所
44,2021-12-25,陇神戎发5天收获4个“20cm”，中药板块涨停潮会否持续？,Wind
45,2021-12-25,5天收获4个“20cm”，陇神戎发涨超90%！龙津药业3连板，中药板块涨停潮会否持续？,中证报
46,2021-12-24,涨价潮后迎来涨停潮！政策东风之下，中药股具备四大优势,证券之星
47,2021-12-24,天士力：公司会对市场上相关安宫牛黄丸产品保持关注,Wind
48,2021-12-24,同仁堂涨2.79%，股价创历史新高,证券时报网
49,2021-12-23,2022年中药投资策略：挖掘“改革后基本面向好+大健康外延”个股,新浪
50,2021-12-23,多家上市公司入围19省区中成药集采，龙津药业斩获两连板,金融界
51,2021-12-23,品牌中药OTC：看好政策支持、业绩确定、估值性价比高的稳健赛道投资机会,开源证券研究所
52,2021-12-22,智通A股机构动向参考(12.22) | 分歧日,智通财经
53,2021-12-22,19省区联盟中成药集采开标：最高降八成，有单价不到1毛钱,Wind
54,2021-12-22,中药板块爆发，陇神戎发连续三日“20cm”涨停，同仁堂等大涨,证券时报网
55,2021-12-22,港股异动 | 同仁堂国药(03613)拉升7% 牛黄丸再度涨价，机构看好中药股机会,智通财经
56,2021-12-22,解盘：大金融低迷，网游、消费电子、半导体、苹果领涨,Wind
57,2021-12-21,中药涨价潮下的牛黄：52万元一公斤,网易
58,2021-12-21,品牌中药行业深度报告：国药瑰宝 品牌为王,华安证券
59,2021-12-20,同仁堂领“涨”，华润三九跟进，中药涨价背后的逻辑是什么？,新京报
60,2021-12-20,吉林敖东：安宫牛黄丸为下属子公司产品，是否提价由该公司确定,Wind
61,2021-12-20,A股收盘综述：创业板指跌近3%，新能源股大步回撤,Wind
62,2021-12-20,A股午盘综述：新能源大幅调整，小市值地产股却批量涨停，N禾迈中一签赚13万,Wind
63,2021-12-20,中药板块涨势强劲，陇神戎发、佛慈制药、盘龙药业、济川药业涨停,Wind
64,2021-12-20,审慎混改下“合并同类项”，创新力提升待破题,Wind
65,2021-12-19,一颗药丸涨80元，中药涨价背后，药材涨得更猛？,中新网
66,2021-12-18,华北制药“杀入”奶茶界，葫芦里卖的什么“药”？,环球老虎财经
67,2021-12-17,“吃药”行情不再，CRO如惊弓之鸟，同仁堂跻身市值前十「制药行业周榜」,华夏时报
68,2021-12-15,腾讯与同仁堂达成战略合作，共同打造中医药行业数字化转型标杆,北国网
69,2021-12-14,财华聚焦|继同仁堂后又一家药企提价，中药涨价潮要来？,财华社
70,2021-12-14,【趣点】跨界卖奶茶，华北制药“借道”新式茶饮出圈？,财华社
71,2021-12-14,同仁堂涨价 下一个是谁 记者实探“药都”亳州中药材市场,华夏时报
72,2021-12-14,中药又双叒叕涨价，什么逻辑？同仁堂之后，这一巨头要跟了？,证券之星
73,2021-12-13,同仁堂之后 另一巨头也宣布：安宫牛黄丸提价！中药企业涨价潮要来了？,北京商报
74,2021-12-13,半月内同仁堂、华润三九产品提价，中药企业涨价潮来了？,北京商报
75,2021-12-12,医药投向标|腾盛博药新冠中和抗体获批 西安新通科创板IPO获受理 鞍石生物完成超2亿美元A轮融资,财联社
76,2021-12-10,涨价酝酿期，“力挺”提价的董事长却突然辞职，片仔癀还能涨价吗？ 董监高成员变化,财联社
77,2021-12-10,华北制药开始卖奶茶了！跨界的生意能破解增长乏力的困局吗？,华夏时报
78,2021-12-10,同仁堂退出陵川参谷行51%股份，陵川太行中药接盘,乐居财经
79,2021-12-09,财华聚焦|“喝酒吃药”行情再起，跨年行情要来？,财华社
80,2021-12-09,同仁堂牛黄丸涨价10%！前三季度中药企业注册量同比减少49%,新京报
81,2021-12-09,860元/颗！同仁堂安宫牛黄丸为何涨不停？,羊城晚报
82,2021-12-09,产品涨价10%，这只基金有涨30%的动力！,和讯
83,2021-12-08,干货！2021年中国中药材种植行业市场竞争格局——中国中药：将加快GACP基地建设,前瞻研究院
84,2021-12-08,同仁堂安宫牛黄丸涨价了！ 片仔癀跟不跟？,证券日报之声
85,2021-12-08,"属实！原材料价格走高,同仁堂“神药”安宫牛黄丸涨价10%",北京日报
86,2021-12-08,国货品牌掀起消费浪潮,Wind
87,2021-12-08,同仁堂：安宫丸提价因原材料涨价,北京青年报
88,2021-12-07,同仁堂安宫牛黄丸涨价10%，片仔癀未跟风提价但“需预订”,澎湃新闻
89,2021-12-07,财经TOP10|世纪佳缘被曝侵犯会员个人隐私信息 诈骗就当没看到,新浪
90,2021-12-07,涨价10%！同仁堂安宫牛黄丸售价涨到860元,中证报
91,2021-12-07,一盒860！安宫牛黄丸宣布涨价！药店：提价前一夜售出千盒，“过期药”炒至上万.,汇聚南药
92,2021-12-07,大批中药涨价了！（附名单）,微信
93,2021-12-07,同仁堂安宫牛黄丸再涨价10% 广誉远却为何迎来涨停？,财联社
94,2021-12-07,一篇网文惊吓6万亿市值赛道？头部券商喊话：继续看好,Wind
95,2021-12-07,“神药”安宫牛黄丸又涨价了，市场会买单吗？,格隆汇
96,2021-12-07,信息流 | 一粒860元！这种“救命药”涨价10%？未来还会涨到1000元？同仁堂回应,上游新闻
97,2021-12-07,安宫牛黄丸再涨10% 中药变奢侈品? 同仁堂：原材料上涨导致提价|一只热股,第一财经
98,2021-12-07,安宫牛黄丸涨价到1000元？同仁堂：目前零售价为860元,中证网
99,2021-12-07,同仁堂回应安宫牛黄丸涨价：属实，并且是全国性涨价,36氪
100,2021-12-07,一粒860元！这种“救命药”涨价10%？未来还会涨到1000元？公司回应,每日经济新闻
101,2021-12-07,每经15点|中国联通发布5G消息领域五大计划；同仁堂回应安宫牛黄丸涨价；创指收跌1%，北上资金净流入近80亿元,每日经济新闻
102,2021-12-07,安宫牛黄丸涨价引关注，同仁堂股价午后拉升涨超4%,金融界
103,2021-12-07,因原材料价格上涨，这一药品涨价至860元,制药网
104,2021-12-07,860元一盒，中药变身奢侈品？同仁堂“安宫牛黄丸”再涨价10%！“过期药”曾炒至万元一颗,中国经营报
105,2021-12-07,安宫牛黄丸会涨至千元？有人囤积炒作？公司回应,Wind
106,2021-12-07,同仁堂：原材料上涨导致调价 要兼顾社会效益和经济效益丨公司问答,第一财经
107,2021-12-07,安宫牛黄丸会涨至千元？有人囤积炒作？公司回应,金融界
108,2021-12-07,同仁堂回应安宫牛黄丸涨价,Wind
109,2021-12-07,同仁堂安宫牛黄丸一盒涨至860元，药店工作人员称还要涨,经济观察网
110,2021-12-07,实探同仁堂线下店！“神药”安宫牛黄丸再涨价10%，销售称此前卖560元一粒赔钱？,中新经纬
111,2021-12-07,同仁堂安宫牛黄丸涨价860元1盒，企查查显示公司前三季营收超百亿,搜狐
112,2021-12-07,安宫牛黄丸涨至860元一盒？名药大规模暴涨到底是不是炒作？,凤凰网
113,2021-12-07,安宫牛黄丸涨价一成？同仁堂：消息属实,南都报
114,2021-12-07,同仁堂安宫牛黄丸售价再涨10%,财联社
115,2021-12-07,央行全面降准，继续积极看多,国盛证券
116,2021-12-06,同仁堂安宫牛黄一盒涨至860元，这次又是原材料的锅？网友只关心，“传家宝”会不会过期,北京商报
117,2021-12-06,探访同仁堂安宫牛黄丸涨价：药店已接到通知，电商平台暂未提价,新京报
118,2021-12-06,安宫牛黄丸涨至860元一盒！实探：门店已收厂家通知，受原材料影响,凤凰网
119,2021-12-06,多家药企拥有安宫牛黄丸批文 原材料稀缺致价格高企,贝壳财经
120,2021-12-06,迫于原料成本压力，同仁堂安宫牛黄丸每盒涨至860元,第一财经
121,2021-12-06,同仁堂“玩”砸，强生“杀”疯…谁是药企「外卷」之王？,药智网
122,2021-12-06,市场要闻｜“神药”又涨价，安宫牛黄丸会引起新一波炒作潮吗？,36氪
123,2021-12-06,热点关注｜安宫牛黄丸再提价约10%，同仁堂内部人士：原材料及人工成本涨价,财经网
124,2021-12-06,粤开策略深度 | 医药生物行业2022年展望：价值重鸣，创新为锋,粤开崇利论市
125,2021-12-06,安宫牛黄丸涨至860元一盒，药店工作人员：涨价前一晚卖了1000多盒,格隆汇
126,2021-12-06,安宫牛黄丸一盒涨至860元，药店：涨价前一晚上卖了1000多盒,腾讯网
127,2021-12-06,价格再次上涨 同仁堂安宫牛黄丸提价一成,金融界
128,2021-12-06,大健康概念持续火热，又一家药企选择跨界茶饮,制药网
