,2021-12-30,700亿巨头同花顺又出事！监管出手,中投网
0,2021-12-30,深夜突发！证监会出手：立案调查，涉嫌操纵期货合约！,Wind
1,2021-12-29,28日公司舆情|开拓药业股价闪崩 同花顺、昊志机电、庞大集团登榜,搜狐
2,2021-12-29,同花顺近两月两收罚单 子公司因虚假宣传等被责令改正 其他违规处罚,长江商报
3,2021-12-29,同花顺子公司收行政监管措施决定书 荐股软件等违规 其他违规处罚,中国经济网
4,2021-12-29,监管出手，子公司被责令改正，同花顺微跌近1% 其他违规处罚,第一财经
5,2021-12-28,同花顺子公司因荐股软件管理等问题，被浙江证监局要求整改 金融监管处罚,澎湃新闻
6,2021-12-28,晚间要闻2021年12月28日星期二,Wind
7,2021-12-28,虚假宣传、变相承诺收益...... 同花顺子公司被责令改正 其他违规处罚,中新经纬
8,2021-12-28,虚假宣传及变相承诺收益等，同花顺子公司收行政监管措施决定书 其他违规处罚,中华网
9,2021-12-28,荐股软件由未登记为证券投顾的人员主导 同花顺子公司收行政监管措施决定书 其他违规处罚,新浪
10,2021-12-28,浙江同花顺云软件有限公司收到中国证券监督管理委员会浙江监管局《行政监管措施决定书》 其他违规处罚,金十数据
11,2021-12-28,同花顺：子公司云软件收到浙江监管局《行政监管措施决定书》 其他违规处罚,Wind
12,2021-12-28,同花顺：子公司浙江同花顺云软件有限公司收到行政监管措施决定书 其他违规处罚,财联社
13,2021-12-27,新联电子：公司主要业务包括用电信息采集系统、智能用电云服务、电力柜三大业务板块,Wind
14,2021-12-22,周二主力资金抢筹名单出炉，尾盘资金加仓元宇宙龙头,Wind
15,2021-12-16,A股共发生206宗大宗交易成交35.11亿元（12月16日）,Wind
16,2021-12-16,同花顺大宗交易成交225.26万元,证券时报网
17,2021-12-16,同花顺今日大宗交易成交1.65万股，成交价136.52元折价1.05%,Wind
18,2021-12-14,北向资金再度扫货超60亿，连续7日抢筹东方财富累计加仓超近61亿元,Wind
19,2021-12-09,同花顺：公司持续关注虚拟人技术在元宇宙的应用，并开展相关研究工作,每日经济新闻
20,2021-12-07,计算机2022年度策略报告：边际变化里藏金子,新浪
21,2021-12-02,华为放大招！豪掷近百亿“押宝”这一行,Wind
22,2021-11-28,非银金融行业周报：监管助推高质量发展 推荐关注非银板块,广发证券
