,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
0,2021-12-27,隆道助力君正加速数字化嬗变，超市商城项目上线,凤凰网
1,2021-12-21,君正集团：公司拟投资建设的可降解塑料项目建设资金来源包括但不限于公司自有资金和金融机构借款等,每日经济新闻
2,2021-12-21,请问今年内蒙古的疫情对公司的生产经营影响有多大？君正集团：截至目前公司生产经营正常,每日经济新闻
3,2021-12-21,君正集团：截至目前公司及公司子公司合计持有华泰保险股权7.05%,每日经济新闻
4,2021-12-21,君正集团：全资子公司拟投资建设绿色环保可降解塑料循环产业一期项目正在积极履行行政主管部门的审批程序,每日经济新闻
5,2021-12-21,君正集团：公司将持有河北大安31.17%的股权，目前正在办理工商变更手续,每日经济新闻
6,2021-12-21,君正集团：公司煤炭生产规模为90万吨/年,每日经济新闻
7,2021-12-21,君正集团：公司开采的煤炭是根据其煤质确定外销或自用,每日经济新闻
8,2021-12-21,君正集团：截至2021年三季度末公司货币资金余额为20.38亿元,Wind
9,2021-12-21,君正集团：公司生产过程中产生的氢气主要用于产品聚氯乙烯的生产,Wind
10,2021-12-16,君正集团：截至2021年12月15日，公司高管人员不存在质押公司股票的情况,每日经济新闻
11,2021-12-16,君正集团：公司生产过程中产生的氢气主要用于产品聚氯乙烯的生产,Wind
12,2021-12-13,解盘：资金持续回流，特高压、网游、基建、元宇宙领涨,Wind
13,2021-12-08,北向资金12月净流入超300亿，赛道切换剑指何处？,Wind
14,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
15,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
16,2021-12-06,石油化工新材料行业北上资金周报,新浪
17,2021-12-05,上海金融科技创新试点启动 区块链技术成果初现丨明日主题前瞻,第一财经
18,2021-12-03,北向资金今日净买入超92亿元本周累计加仓超150亿，大幅抢筹芯片股,Wind
19,2021-12-02,煤炭概念拉升回暖，美锦能源涨近6%，金能科技、宝丰能源、君正集团跟涨。,新浪
20,2021-12-02,君正集团：“君正物流”旗下目前尚未有装备天然气燃料动力船舶,Wind
21,2021-12-02,君正集团：公司高度重视产品质量管理，主要产品PVC、烧碱、硅铁的质量居于行业领先水平,每日经济新闻
22,2021-12-01,君正集团：公司化工产品主要以国内销售为主，仅有很少量产品出口,每日经济新闻
23,2021-12-01,君正集团：截至目前，公司及全资子公司君正化工向安达天平合计转让持有的华泰保险7.05%股份事项正在有序推进中,每日经济新闻
24,2021-12-01,快讯：煤炭概念持续拉升 君正集团等多股大涨,新浪
25,2021-11-30,北向资金今日净卖出超34亿元11月累计加仓185亿，贵州茅台连续3日遭抛售,Wind
26,2021-11-30,A股融资融券日报：两融余额增加18.95亿元（11月29日）,Wind
27,2021-11-29,内蒙古区域股市周报：北方稀土市值增长最多 包钢股份股价涨20.63%排第一,每日经济新闻
28,2021-11-29,安达系蛰伏华泰保险20年或能拿下控股权 两年耗资百亿扫货,长江商报
29,2021-11-19,君正集团：公司目前生产经营活动正常,每日经济新闻
30,2021-11-19,君正集团：公司电石能耗目前均低于940KG标准煤能耗,Wind
31,2021-11-11,【行情】煤炭概念短线拉升，兖州煤业涨近5%，瑞茂通、粤宏远A、君正集团跟涨,金十数据
32,2021-11-10,君正集团：公司拟投资建设绿色环保可降解塑料循环产业一期项目目前正在积极履行行政主管部门的审批程序,每日经济新闻
33,2021-11-10,君正集团：子公司君正物流经营情况正常,每日经济新闻
34,2021-11-02,君正集团：公司目前没有买卖煤炭期货的计划,每日经济新闻
35,2021-11-02,君正集团：公司拟投资建设绿色环保可降解塑料循环产业一期项目目前正在积极履行行政主管部门的审批程序,每日经济新闻
36,2021-11-02,君正集团：全资子公司君正矿业本次对外投资业务所涉及的交易金额未达到上市公司临时公告披露标准,每日经济新闻
37,2021-11-02,君正集团：公司白音乌素煤矿目前没有开工计划,每日经济新闻
38,2021-11-02,君正集团：目前拥有年产90万吨煤炭的生产规模,每日经济新闻
39,2021-10-29,图解君正集团三季报：第三季度单季净利润同比增31.05%,证券之星
40,2021-10-28,君正集团(601216.SH)：第三季度净利增31.05%至9.96亿元,格隆汇
41,2021-10-28,君正集团：前三季度净利润32.3亿元，同比增长54.93%,Wind
42,2021-10-15,君正集团：2020年度公司生产一吨PVC约耗用220-300度电,Wind
43,2021-10-15,君正集团：投资可降解塑料项目涉及发改委、经信委、环保等行政主管部门的审批,每日经济新闻
