,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
0,2021-12-30,金阳新能源午后上涨8% 与国投电力等共建异质结光伏电池生产线,财联社
1,2021-12-30,港股异动 | 金阳新能源(01121)午前涨超6% 与国投电力等合作 以建设异质结光伏电池生产产线项目,智通财经
2,2021-12-29,金阳新能源：全资子公司于张家口开发建设异质结项目,Wind
3,2021-12-29,金阳新能源(01121)与央企于张家口可再生能源示范区合作开发建设异质结高效太阳能光伏电池生产产线项目,智通财经
4,2021-12-29,金阳新能源(01121.HK)与国投电力控股等签署合作协议 以合作建设异质结光伏电池生产产线项目,格隆汇
5,2021-12-28,长江电力、华能水电、国投电力，谁是盈利能力最强的水电企业？,Ofweek
6,2021-12-26,公用事业周观点：辅助服务费用向用户侧传导，调动积极性【国君公用翟堃】,煤市乾坤
7,2021-12-26,华能水电：进军光伏拓宽成长空间,每日经济新闻
8,2021-12-24,中国结算修订形成境内外证券交易所互联互通存托凭证登记结算业务实施细则,Wind
9,2021-12-24,上交所：拟将参与中国存托凭证业务个人投资者门槛下调至50万元,Wind
10,2021-12-23,国投电力：两河口水电站2号机组投产,财联社
11,2021-12-23,国投电力：雅砻江两河口水电站2号机组正式投产发电,Wind
12,2021-12-23,定增补血愈演愈烈，超千亿资金跑步进场,Wind
13,2021-12-22,长江电力、华能水电、国投电力，谁是成长能力最强的水电企业？,Ofweek
14,2021-12-19,周观点：11月火电发电下滑，风光增速加快【国君公用翟堃】,煤市乾坤
15,2021-12-17,晚间重要公告2021年12月17日星期五,Wind
16,2021-12-17,国投电力：全资子公司拟转让新源中国60%股权,每日经济新闻
17,2021-12-17,国投电力拟出售新源中国60%股权 聚焦清洁能源发电,上证报
18,2021-12-17,国投电力(600886.SH)拟以4.2亿元出售新源中国60%股权聚焦清洁能源发电,智通财经
19,2021-12-17,国投电力(600886.SH)：子公司拟以4.199亿元转让新源中国60%股权予中成集团,格隆汇
20,2021-12-17,国投电力：全资子公司拟向中成集团转让所持新源集团60%股权,Wind
21,2021-12-17,国投电力：拟向关联方中成集团转让新源中国60%股权,财联社
22,2021-12-13,能耗“双控”转向碳“双控”意味什么,郭丽丽的研究札记
23,2021-12-10,国投电力：非公开发行新增股份约4.88亿股,每日经济新闻
24,2021-12-06,2021年基金，买了个“寂寞”,Wind
25,2021-12-06,公用环保行业周报：2022年电煤长协征求意见稿发布有利于保障煤电资产现金流,新浪
26,2021-12-05,公用事业周观点：煤价中枢提高，绿电优势凸显【国君公用事业】,煤市乾坤
27,2021-12-05,公用周报：江苏首批平价海风项目启动竞争性配置 第二批内陆风电光伏大基地项目开始上报,新浪
28,2021-12-02,国投电力：公司弃水率为5%左右，各年度之间变化不大,每日经济新闻
29,2021-12-02,水电站建设成本能够抵扣增值税吗？国投电力：可以抵扣,每日经济新闻
