,2021-12-30,国投资本(600061.SH)：拟注册发行不超50亿元超短期融资券,格隆汇
0,2021-12-14,国投资本：公司积极投入资源搭建国际业务战略平台，不断开拓新业务,每日经济新闻
1,2021-12-14,国投资本：公司运作稳健，未有应披未披重大风险事件,每日经济新闻
2,2021-12-10,国投资本关于子公司安信证券申请开展账户管理功能 优化试点业务获得中国证监会监管意见书的公告,证券时报
3,2021-12-09,国投资本(600061.SH)：证监会对安信证券申请开展账户管理功能优化试点业务相关事项无异议,智通财经
4,2021-12-03,证监会同意开展证券公司账户管理功能优化试点,Wind
5,2021-11-01,最牛“黑马”20cm涨停，杠杆资金加仓这些概念股,Wind
6,2021-10-27,14家券商三季报：前三季都盈利，国盛金控增345.91%,澎湃新闻
7,2021-10-27,国投资本公布三季报 前三季净利增加10.75%,新浪
8,2021-10-27,国投资本：前三季度净利润同比增长10.75%,Wind
9,2021-10-27,国投资本：2021年第三季度净利润约12.43亿元，同比下降1.18% 盈利能力下降,每日经济新闻
10,2021-10-27,国投资本(600061.SH)：第三季度净利降1.18%至12.43亿元 盈利能力下降,格隆汇
11,2021-10-27,图解国投资本三季报：第三季度单季净利润同比减1.18% 盈利能力下降,证券之星
12,2021-10-12,融资客青睐11股，浙数文化买入占比高达36.25%,Wind
13,2021-10-12,两家上市券商拟发可转债180亿元 年内13家券商抛出不超1463亿元再融资方案,证券日报
14,2021-10-09,国投资本(600061)：“国投转债”第三季度转股约2.06万,生意社
15,2021-10-08,国投资本：“国投转债”第三季度转股约2.06万股，累计转股约4.84万股,每日经济新闻
16,2021-09-30,国投资本：2021年上半年安信证券的精选层挂牌业务表现亮眼，完成精选层挂牌2家，在审6家，行业储备较为丰富,每日经济新闻
17,2021-09-28,国投资本：公司会积极关注并研究外部并购机会,每日经济新闻
18,2021-09-28,国投资本：注册资本增加到64.25亿元,乐居财经
19,2021-09-27,“组团”跳槽，安信证券研究所5名首席离职,Wind
20,2021-09-27,北上资金流入A股速度趋缓，连续七周加仓16股,Wind
21,2021-09-26,聪明资金最新动向曝光！连续11周加仓这个行业,Wind
22,2021-09-22,国投资本：旗下各子公司风控良好,每日经济新闻
23,2021-09-14,券商股午后小幅跳水，申万宏源、东吴证券跌超5%,Wind
24,2021-09-14,【行情】证券板块午后持续走弱，东吴证券跌近5%，申万宏源、国投资本、国元证券跟跌,金十数据
25,2021-09-09,IPO原始股东清仓卖，大资金在溢价买，券商股未来怎么走？,Wind
26,2021-09-07,【行情】证券板块走弱，国信证券跌近5%，申万宏源、东吴证券、第一创业、国投资本等跟跌,金十数据
27,2021-09-03,国投资本：基于前期对科创板、创业板和精选层挂牌业务的布局，2021年上半年安信证券的IPO和精选层挂牌业务表现突出,每日经济新闻
28,2021-09-03,解盘：白马撑大盘，风电、生物育种、白酒、仿制药略涨,Wind
29,2021-09-03,北京证券交易所要来了，这些板块及个股或成大赢家,第一财经
30,2021-09-02,安信证券突发高层变动，分管投行副总裁秦冲离职,Wind
31,2021-08-31,国投资本涨停，证券ETF（512880）涨超2%,资本邦
32,2021-08-31,国投资本封住涨停、中信证券涨超5%，上证指数二度拉升,Wind
33,2021-08-31,快讯：国投资本涨停 报于9.41元,金融界
