,2021-12-31,光伏风电储能：华创证券坚定看好新能源“三剑客”,智通财经
0,2021-12-30,机构年末减持调仓 白马股频频闪崩 跨年行情还好吗？ 减持股份,21世纪经济报道
1,2021-12-30,新纪录！A股年度成交金额创历史新高,Wind
2,2021-12-29,国电南瑞：公司配电业务目前生产经营正常，相关产品市场占有率稳定,每日经济新闻
3,2021-12-29,调仓+减持，市场赚钱效应衰退,Wind
4,2021-12-28,泽宇智能：公司的电力设计业务和苏文电能的相关业务属于同行业,每日经济新闻
5,2021-12-28,泽宇智能：一站式综合服务模式是公司业务模式的一大特点,每日经济新闻
6,2021-12-28,国电南瑞参股成立智慧能源公司，注册资本1亿元,乐居财经
7,2021-12-28,国电南瑞(600406.SH)2021年度第三、四期超短期融资券兑付完成,智通财经
8,2021-12-28,每日理财观察：新版外资准入负面清单出炉,Wind
9,2021-12-28,陆家嘴财经早餐2021年12月28日星期二,Wind
10,2021-12-28,股指震荡整理，中药概念继续领涨,Wind
11,2021-12-28,传闻惊扰电力板块 国电南瑞：经营稳健正常,证券时报
12,2021-12-28,一则传闻“砸盘”热门板块，机构发声回应,Wind
13,2021-12-27,【A股复盘】两市成交额跌破万亿！假消息重创一板块，生物医药持续走强,金融界
14,2021-12-27,资金博弈加剧，谨慎情绪升温 A股终结连续46日超万亿元纪录,证券之星
15,2021-12-27,“假消息”致国瑞南电跌停？国电南瑞：传言未被官方证实，公司目前基本面正常,华夏时报
16,2021-12-27,一则传闻拖垮电网板块！2000亿白马股闪崩跌停，机构最新研判来了,新浪
17,2021-12-27,一条传闻导致万亿赛道集体跳水，2200亿电力巨头紧急回应！,Wind
18,2021-12-27,一则传闻“拉闸”热门板块，“涉事”券商刚刚官方回应！,上证报
19,2021-12-27,一条传闻导致万亿赛道集体跳水，2200亿电力巨头闪崩！公司紧急回应,中证报
20,2021-12-27,2000亿白马闪崩！中信建投首席怒了：接了一万个电话,Wind
21,2021-12-27,剧烈震荡！电力赛道动静有点大,每日经济新闻
22,2021-12-27,一则传闻，2000亿白马闪崩！中信建投首席怒了：接了一万个电话,21世纪经济报道
23,2021-12-27,国电南瑞跌7.4% 百亿私募上海重阳战略投资持股,中国经济网
24,2021-12-27,特变电工：公司主营产品和业务与国电南瑞不同，股价不具可比性,每日经济新闻
25,2021-12-27,一则传闻引发“惨案”！2000亿龙头闪崩，真相究竟在哪？,金融界
26,2021-12-27,一则传闻引发的跳水，真相是？,新浪
27,2021-12-27,【每日收评】医药板块强者恒强 情绪修复和高位股“闷杀”同在,财联社
28,2021-12-27,又被错杀！一则谣言杀懵国电南瑞，假消息该如何分辨？,证券之星
29,2021-12-27,A股资金流向：市场缩量弱反，中药板块保持强度,Wind
30,2021-12-27,"市场综述：一则传闻引发""惨案""，最有希望的板块崩了",老虎证券
31,2021-12-27,午后突然跳水，2000亿龙头闪崩跌停！一则传闻引发惨案，万亿赛道掀跌停潮！元宇宙突然上演天地板，概念熄火了？,--
32,2021-12-27,假消息拖累国电南瑞跳水 公司回应,第一财经
33,2021-12-27,假消息拖累国电南瑞跳水 公司回应：国网投资按国家整体战略推进电网建设,财联社
34,2021-12-27,中信建投电新首席辟谣电网投资下降传闻，国电南瑞打开跌停,阿尔法工场
35,2021-12-27,假消息拖累国电南瑞跳水 特高压板块集体走低 公司回应,中证网
36,2021-12-27,A股收盘综述：两千亿电网龙头闪崩扰动市场，资金继续吃中药、分批吸筹家电,Wind
37,2021-12-27,国电南瑞：承担的江西宜春地区智能电网调度控制系统整体改造工程项目通过现场验收,e公司
38,2021-12-27,国电南瑞跌超8%，300增强ETF（561300）跌超0.5%，盘中最高溢价率达0.21% 资金跑步进场 交易价格异常,资本邦
39,2021-12-27,跌懵了！智能电网板块莫名闪崩 国电南瑞、思源电气多股跌停,证券之星
40,2021-12-27,国电南瑞封跌停板 拖累特高压板块集体走低,格隆汇
41,2021-12-27,国电南瑞封住跌停板，特高压概念股纷纷跟随下行,Wind
42,2021-12-27,国电南瑞午后跳水 一度接近跌停,格隆汇
43,2021-12-27,快讯：国电南瑞午后跳水 股价一度接近跌停,财联社
44,2021-12-27,国电南瑞闪崩一度接近跌停，特高压板块下滑,Wind
45,2021-12-27,【计算机】重点把握能源IT投资机遇,金融界
46,2021-12-27,换电模式按下加速键，多家公司切入赛道,Wind
47,2021-12-25,北向资金五个交易日出逃近78亿元，甩卖酿酒股近46亿元，扫货这些龙头股（名单）,21世纪经济报道
48,2021-12-25,特高压板块午后多股跳水，国电南瑞触及跌停,36氪
49,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
50,2021-12-21,南瑞集团焊接式IGBT模块封装测试生产线已投运 可年产20万只IGBT模块,北极星智电
51,2021-12-21,北向资金动向盘点：不仅没砸盘，反而逢低净买电子、传媒,Wind
52,2021-12-21,中金：电力IT增长逻辑清晰，双碳驱动行业新发展,中金点睛
