,2021-12-31,晚间重要公告2021年12月31日星期五,Wind
0,2021-12-31,国电电力：收购512.05兆瓦分布式光伏项目,每日经济新闻
1,2021-12-31,国电电力：10.36亿元并购正泰新能源分布式光伏项目,e公司
2,2021-12-31,国电电力(600795.SH)拟10.36亿元并购正泰新能源51.205万千瓦分布式光伏项目,智通财经
3,2021-12-31,国电电力(600795.SH)：子公司拟并购正泰新能源51.205万千瓦分布式光伏项目,格隆汇
4,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
5,2021-12-31,国电电力内蒙古能源边坡分布式光伏项目并网投运,北极星电力
6,2021-12-31,国电电力安徽风电首个分布式光伏项目并网,北极星电力
7,2021-12-31,国电电力湖南新能源分布式光伏项目备案增至102MW,国电电力
8,2021-12-31,国电电力、西昌电力、明星电力涨停，电力板块强劲拉升,Wind
9,2021-12-31,【行情】电力板块开盘走强，西昌电力涨停，国电电力、银星能源、南网科技、芯能科技、华能国际等跟涨,金十数据
10,2021-12-31,电力股开盘拉升，西昌电力涨停,Wind
11,2021-12-31,A股融资融券日报：两融余额增加32.82亿元（12月30日）,Wind
12,2021-12-30,国电电力：公司在抽水蓄能项目开发方面有相关规划,Wind
13,2021-12-30,A股融资融券日报：两融余额减少8.94亿元（12月29日）,Wind
14,2021-12-30,【动力煤】日报-2021-12-29 保供/外购煤降价/日耗增加动力煤期价震荡整理,英大期货
15,2021-12-29,华能国际、国电电力、浙能电力，谁是营运能力最强的火电企业？,Ofweek
16,2021-12-29,发电集团“整县”业绩大比拼！国家电投破100县！华能、国家能源集团均超2GW,索比光伏网
17,2021-12-29,国电电力甘肃新能源50MW风光互补项目并网发电,北极星电力
18,2021-12-29,A股融资融券日报：两融余额增加34.59亿元（12月28日）,Wind
19,2021-12-28,国电电力湖南新能源光伏首个接入点并网,国际电力网
20,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
21,2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
22,2021-12-24,国电电力和风风电9MW分布式光伏项目并网发电,国电电力
23,2021-12-24,国电电力内蒙古新能源“集中功率预测和气象预警系统”获科技进步二等奖,北极星电力
24,2021-12-24,A股融资融券日报：两融余额增加19.59亿元（12月23日）,Wind
25,2021-12-23,国电电力首个省级污染防治技术创新中心建成,国电电力
26,2021-12-23,A股融资融券日报：两融余额增加24.04亿元（12月22日）,Wind
27,2021-12-22,北向资金连续4日净卖出累计出货超百亿，立讯精密遭大幅净卖出6.46亿元,Wind
28,2021-12-22,中能电气与国家电投、国电电力签署合作框架协议 开展清洁能源产业合作,北极星电力
29,2021-12-22,A股融资融券日报：两融余额减少7.19亿元（12月21日）,Wind
30,2021-12-21,中能电气(300062.SZ)与国电电力福建新能源等拟在清洁能源产业领域开展合作,智通财经
31,2021-12-21,中能电气：分别与国电电力福建新能源、国电投江西电力新能源分公司签订合作框架协议,财联社
32,2021-12-21,中能电气：与国电电力福建新能源等方签订合作框架协议,Wind
33,2021-12-21,上市公司治理呼唤“提质增效”,Wind
34,2021-12-20,A股融资融券日报：两融余额减少80.19亿元（12月17日）,Wind
35,2021-12-19,国电电力间接控股子公司环境违法被罚29万元 环保处罚,每日经济新闻
36,2021-12-17,A股融资融券日报：两融余额增加5.56亿元（12月16日）,Wind
37,2021-12-16,A股融资融券日报：两融余额增加10.27亿元（12月15日）,Wind
38,2021-12-15,国电电力(600795.SH)：北京国电电力浙江分公司拟购置生产指挥中心,智通财经
39,2021-12-15,国电电力：吕志韧辞去公司副总经理职务，姜洪源辞去公司总会计师；聘任罗梅健为公司副总经理 董监高成员变化,每日经济新闻
40,2021-12-15,国电电力(600795.SH)聘任罗梅健为副总经理,智通财经
41,2021-12-15,国电电力宁波风电45MW农光互补项目获备案,北极星电力
42,2021-12-15,A股融资融券日报：两融余额增加9.31亿元（12月14日）,Wind
43,2021-12-14,原中国国电集团公司副总经理谢长军一审被控受贿超6000万 其他违规处罚,中新经纬
44,2021-12-14,原中国国电集团公司副总经理谢长军受贿案一审开庭 其他违规处罚,财联社
45,2021-12-14,港股盘前必读：商汤集团延迟上市，中国移动发行不超过8.457亿股A股,Wind
46,2021-12-14,龙源电力：提醒异议股东行使收购请求权,Wind
47,2021-12-13,联盛新能源集团与国电电力签约：5GWh储能项目+5GW分布式光伏+5GW分散式风电！,北极星电力
48,2021-12-13,A股融资融券日报：两融余额增加0.16亿元（12月10日）,Wind
49,2021-12-13,最后4个交易日，这只ST股将停止交易！中国新能源第一股将登陆A股,Wind
50,2021-12-10,国电电力三河公司在京津唐电网12月份电网企业代理购电挂牌交易中获交易电量3.8亿千瓦时,北极星电力
51,2021-12-10,开展分布式清洁能源合作！国电电力与联盛新能源签署战略合作协议,国电电力
52,2021-12-10,国电电力连续发行两期能源保供专项债券,国电电力
53,2021-12-10,重磅官宣：3个5GW，国电电力与联盛新能源达成战略合作,凤凰网
54,2021-12-10,电力股低开高走，穗恒运A、上海电力、国电电力领衔上涨,Wind
55,2021-12-10,A股融资融券日报：两融余额增加7.33亿元（12月9日）,Wind
56,2021-12-10,国电电力股价创反弹新高,大众证券报
57,2021-12-09,"国电电力现1笔大宗交易 共成交1,189.44万元",新浪
58,2021-12-09,国电电力今日大宗交易成交472万股，成交价2.52元折价14.58%,Wind
59,2021-12-09,电力股再度起势，韶能股份、国电电力、豫能控股率先上攻,Wind
60,2021-12-09,A股融资融券日报：两融余额增加42.4亿元（12月8日）,Wind
61,2021-12-07,国电电力安徽风电淮南高新区产业园的屋顶分布式光伏项目开工,北极星电力
62,2021-12-06,A股融资融券日报：两融余额减少18.05亿元（12月3日）,Wind
63,2021-12-02,国家发改委：做好化肥生产用煤用电用气保障工作,Wind
64,2021-12-02,国电电力三河公司在京津唐区域12月份市场集中交易中获得0.36亿千瓦时交易电量,北极星电力
65,2021-12-02,A股融资融券日报：两融余额增加5.37亿元（12月1日）,Wind
66,2021-12-01,北京国电电力能源保供贡献突出获电网表彰,国电电力
67,2021-12-01,国家能源投资集团宁夏电力有限公司一高管获刑十年 董监高成员异常事件,国际电力网
68,2021-12-01,国电电力福建新能源公司14MW分布式光伏发电项目获准备案,北极星电力
69,2021-12-01,国电电力宣威公司150MW热水光伏发电项目开工,北极星电力
70,2021-11-30,国电电力云南150兆瓦光伏项目开工,国际电力网
71,2021-11-30,A股融资融券日报：两融余额增加18.95亿元（11月29日）,Wind
72,2021-11-29,国电电力首艘自主设计运维巡检船正式投入使用,国际电力网
73,2021-11-26,国电电力甘肃新能源50MW光伏项目取得接入系统批复,北极星电力
74,2021-11-25,国电电力在河北200MW渔光互补项目获政府备案,北极星电力
75,2021-11-25,国电电力在河北200兆瓦渔光互补项目获政府备案,国际电力网
76,2021-11-25,国电电力云南西泽210兆瓦风电项目获核准,国际电力网
77,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
78,2021-11-24,国电电力象山项目首台分体吊风机吊装完成,国际电力网
79,2021-11-24,国电电力：截至9月光伏装机容量26.2万千瓦,北极星电力
80,2021-11-24,国电电力：公司所属发电企业生产经营一切正常,每日经济新闻
81,2021-11-24,国电电力：国电电力与龙源电力均为集团公司开发新能源项目、拓展新能源产业的重要成员单位,每日经济新闻
82,2021-11-24,国电电力：公司清洁可再生能源装机占比23.48%,每日经济新闻
83,2021-11-24,国电电力：国电电力目前无重组计划，无应披露而未披露信息,每日经济新闻
84,2021-11-24,国电电力：截至9月30日，公司光伏发电控股装机容量26.2万千瓦,每日经济新闻
85,2021-11-23,国家能源集团福建能源：控股股东变更和资产划转 控制人变化,Wind
86,2021-11-23,新核准1.54GW！国电电力、大唐、华能、国家电投等企业参与！云南2021年累计已核准风电项目5.602GW！,世纪新能源
87,2021-11-22,海上风电项目加速布局，一文看懂千亿级风口产业链,Wind
88,2021-11-22,国电电力：12月13日提前赎回10亿元“18国电MTN004”,Wind
89,2021-11-19,A股融资融券日报：两融余额减少3.0亿元（11月18日）,Wind
90,2021-11-19,A股早报2021年11月19日星期五,Wind
91,2021-11-18,150亿，今年最大规模市场化绿色低碳发展投资基金诞生,钢企网
92,2021-11-18,国电电力上海庙公司1号锅炉点火一次成功,国电电力
93,2021-11-18,A股融资融券日报：两融余额增加35.43亿元（11月17日）,Wind
94,2021-11-15,国电电力绥中公司两项QC成果获全国二等奖,我的煤炭网
95,2021-11-15,发电量11.33亿kW·h！国电电力和禹水电提前52天完成水电发电任务,国电电力
96,2021-11-12,国电电力140万千瓦大型风电光伏基地项目开工,财联社
97,2021-11-12,国能绿色低碳发展投资基金正式成立,中国金融新闻网
98,2021-11-12,A股融资融券日报：两融余额增加26.26亿元（11月11日）,Wind
99,2021-11-11,国电电力竞得滇150兆瓦光伏项目开发权,国电电力
100,2021-11-11,国电电力进入实战状态全力保障能源供应,国电电力
101,2021-11-11,整县分布式竞赛丨国家电投连签41地 国家能源集团开发规模超2GW！,北极星电力
102,2021-11-08,A股融资融券日报：两融余额减少121.85亿元（11月5日）,Wind
103,2021-11-08,全国碳市场将进入交易活跃阶段,Wind
104,2021-11-05,A股市场破净股一览（11月5日）,Wind
105,2021-11-04,信用债日报：地产债继续遭折价甩卖，深圳住建局召集佳兆业和花样年讨论流动性问题,Wind
106,2021-11-04,银行间市场首支能源保供专项债券成功发行,Wind
107,2021-11-03,国电电力安徽风电签订60MW光伏项目开发协议,集邦新能源网
108,2021-11-03,两部门：开展全国煤电机组改造升级,Wind
109,2021-11-03,A股融资融券日报：两融余额减少75.11亿元（11月2日）,Wind
110,2021-11-01,图解国电电力三季报：第三季度单季净利润同比减116.08% 盈利能力下降,证券之星
111,2021-10-30,国电电力前3季度净利同比降53% 第3季度亏损13.5亿元 亏损,中国经济网
112,2021-10-30,Wind风控日报2021年10月30日星期六,Wind
113,2021-10-29,国电电力(600795.SH)第三季度净亏损13.55亿元 亏损,格隆汇
114,2021-10-29,国电电力(600795.SH)前三季度归母净利润同比下降53.28%至17.75亿元 盈利能力下降,智通财经
115,2021-10-29,国电电力公布三季报 前三季净利减少52.04%,新浪
116,2021-10-29,国电电力：第三季度净亏损13.5亿元 由盈转亏 亏损,财联社
117,2021-10-29,国电电力：前三季度净利润同比减少52.04% 盈利能力下降,Wind
118,2021-10-28,A股融资融券日报：两融余额减少19.89亿元（10月27日）,Wind
119,2021-10-27,国电电力打响今冬明春能源保供攻坚战,电力新闻网
120,2021-10-27,国电电力内蒙古新能源获500MW新能源项目开发权,北极星电力
121,2021-10-27,A股融资融券日报：两融余额增加17.51亿元（10月26日）,Wind
122,2021-10-26,回购、增持潮频现，强护盘模式开启,Wind
123,2021-10-26,国电电力秦皇岛公司整区屋顶光伏项目入选国家试点,索比光伏网
124,2021-10-26,发改委明确电网企业代理购电工作有关事项，建立健全电网企业市场化购电方式,Wind
125,2021-10-26,解盘：百亿资金流入，锂电池、大基建、稀土、特斯拉领涨,Wind
126,2021-10-26,A股融资融券日报：两融余额增加78.07亿元（10月25日）,Wind
127,2021-10-25,国电电力(600795.SH)国能低碳基金完成备案,智通财经
128,2021-10-25,国电电力：国能低碳基金完成备案,财联社
129,2021-10-25,A股融资融券日报：两融余额减少66.73亿元（10月22日）,Wind
130,2021-10-25,国家重磅出手，1.2万亿赛道彻底火了！,Wind
131,2021-10-24,周末连发重磅合作！万亿“宁王”携手巨头发力储能业务,Wind
132,2021-10-22,国电电力(600795.SH)：1-9月累计完成发电量3488.41亿千瓦时 同比增12.90%,格隆汇
133,2021-10-22,国电电力：前三季度累计发电量3488亿千瓦时 同比增12.9%,财联社
134,2021-10-22,A股融资融券日报：两融余额减少6.9亿元（10月21日）,Wind
135,2021-10-21,北向资金持续加仓三日抢购A股超180亿，中国平安获大幅净买入超10亿,Wind
136,2021-10-21,A股融资融券日报：两融余额增加49.12亿元（10月20日）,Wind
137,2021-10-21,国电电力股价昨日涨停,大众证券报
138,2021-10-21,A股早报2021年10月21日星期四,Wind
139,2021-10-21,每日理财观察：2021金融街论坛释放政策信号,Wind
140,2021-10-21,北向资金动向盘点：宁德时代持股市值超千亿元,Wind
141,2021-10-20,龙虎榜机构新动向：净买入14股 净卖出17股,证券时报网
142,2021-10-20,一则通知引爆电力板块，多股涨停，机构和北向资金共同抢筹这些股（名单）,21世纪经济报道
143,2021-10-20,龙虎榜丨国电电力今日涨停 沪股通净买入2.1亿元,格隆汇
144,2021-10-20,10月20日龙虎榜解析：国电电力单日净买入额最多，还有31只个股被机构扫货,每经网
145,2021-10-20,涨停板解密：煤炭期货大跌，电力股受益全面爆发！（10月20日）,Wind
146,2021-10-20,A股收盘综述：“煤超风”迎来强监管、兖煤等跌停，电力股逆市大面积涨停,Wind
147,2021-10-20,能源局发声：8万亿赛道飙升！煤炭股崩了：千亿巨头跌停,Wind
148,2021-10-20,快讯：国电电力涨停 报于3.06元,金融界
149,2021-10-20,新三板个股贝特瑞市值重回800亿,Wind
150,2021-10-20,火电板块持续拉升，华能国际、大唐发电、粤电力A涨停,Wind
151,2021-10-20,火电炒作卷土重来，华电国际涨停,Wind
152,2021-10-20,A股融资融券日报：两融余额增加48.77亿元（10月19日）,Wind
153,2021-10-20,国电电力多项管理创新论文在行业获奖,我的煤炭网
154,2021-10-19,A股融资融券日报：两融余额增加74.53亿元（10月18日）,Wind
155,2021-10-18,参与国电电力安徽区域子公司资源重组 皖能电力打破区域壁垒形成合力,证券日报网
156,2021-10-18,A股融资融券日报：两融余额减少36.07亿元（10月15日）,Wind
157,2021-10-18,A股早报2021年10月18日星期一,Wind
158,2021-10-16,上市公司正负面新闻2021年10月16日星期六,Wind
159,2021-10-15,【晚间公告抢先看】通策医疗：种植体集采是机遇并非危机！文山电力拟注入南方电网调峰调频发电公司,金融界
160,2021-10-15,公告精选：大基金拟减持兆易创新、晶方科技；东方财富第三季度净利增长57%,e公司
161,2021-10-15,国电电力：拟于11月2日召开2021年第六次临时股东大会,发布易
162,2021-10-15,晚间重要公告2021年10月15日星期五,Wind
163,2021-10-15,国电电力(600795.SH)：神皖能源与安徽公司资产重组,智通财经
164,2021-10-15,国电电力：控股子公司北京国电电力所属神皖能源与国电安徽电力有限公司将实施资产重组,财联社
165,2021-10-15,国电电力：控股子公司所属的神皖能源与国电安徽电力将实施资产重组,Wind
166,2021-10-14,碳中和系列报告(五)：电价上涨元年 打破僵局 电力体制改革实现重大突破,新浪
167,2021-10-14,A股融资融券日报：两融余额减少5.34亿元（10月13日）,Wind
168,2021-10-13,A股融资融券日报：两融余额减少54.76亿元（10月12日）,Wind
169,2021-10-12,快讯：国电电力跌停 报于2.8元,金融界
170,2021-10-12,电力煤炭大跌，翻倍牛股跌停！医美爆发，千亿巨头涨7%,Wind
171,2021-10-12,A股融资融券日报：两融余额增加40.2亿元（10月11日）,Wind
172,2021-10-12,电价上浮政策点评：市场电价中枢上调 提升电力运营商盈利水平,国金证券股份有限公司
173,2021-10-11,英 力 特：国家能源投资集团有限责任公司与国电电力发展股份有限公司资产置换已完成交割，国电电力将不再与公司存在股权关系,每日经济新闻
174,2021-10-11,普元信息：公司可为电力行业客户提供软件基础平台系列产品和技术服务，相关软件产品及技术已在国家电网、南方电网、国电集团、华电集团、中国电力建设集团、长江电力等电力行业客户中成功应用,每日经济新闻
175,2021-10-11,国电电力：预计未来碳价升高 公司将持有剩余配额以备后需,北极星电力
176,2021-10-11,国电电力在滇首个整县屋顶光伏成功备案,索比光伏网
177,2021-10-11,交易电价浮动上限提高 融资客加仓20只火电概念股,证券时报
178,2021-10-09,企业观｜最大股东资产置换、第四大股东以物抵债 河北银行一天内两笔股权变更获批 控制人变化,财经网
