,2021-12-31,"券商12月金股组合""战绩""：川财证券9.26%夺冠 东吴最差",新浪
0,2021-12-29,坚朗五金（002791.SZ）：中国建筑业投资仍保持较好增长,智通财经
1,2021-12-27,建筑材料行业周报：需求淡季 继续关注稳增长方向,新浪
2,2021-12-27,坚朗五金：公司在地产端的收入占比相对较大,乐居财经
3,2021-12-24,坚朗五金：2022年营收增长率目标不低于66.4%,乐居财经
4,2021-12-23,坚朗五金为全资子公司香港坚朗提供1085万美元担保 大额借贷担保,乐居财经
5,2021-12-22,坚朗五金(002791)：高成长五金件龙头 四季度现金流有望明显改善,新浪
6,2021-12-20,建筑材料周观点：11月地产数据修复，继续推荐地产链建材,华创建筑建材研究
7,2021-12-17,坚朗五金：西部证券、财通基金等16家机构于12月14日调研我司,证券之星
8,2021-12-16,坚朗五金接受38家机构调研！短期主力资金净流入,每日经济新闻
9,2021-12-15,坚朗五金：云采平台销售额占比40%左右,乐居财经
10,2021-12-15,暖风频吹，筑底回升：地产后周期迎估值修复,Wind
11,2021-12-15,最新一期筹码集中股名单出炉，11股股价涨幅超10%,证券时报网
12,2021-12-15,比元宇宙还牛！光伏牛股定增价高达645元，吸引外资巨头、神秘牛散等扎堆认购！最新筹码集中股来了（附股）,搜狐
13,2021-12-14,坚朗五金：广发证券、嘉实基金等39家机构于12月9日调研我司,证券之星
14,2021-12-14,坚朗五金：华西证券、中加基金等6家机构于12月10日调研我司,证券之星
15,2021-12-13,海外机构调研股名单，汇川技术最受关注,Wind
16,2021-12-13,北向资金连续9日净买入累计加仓近700亿，爆买东方财富超17亿,Wind
17,2021-12-13,建筑材料周观点：经济会议表态积极，重提房地产支柱产业，推荐地产链建材,华创建筑建材研究
18,2021-12-13,坚朗五金：毛利率下降主要系原材料价格上涨所致 盈利能力下降,乐居财经
19,2021-12-13,长城建材-建材行业周观点：近期房地产政策：首提“良性循环”，定调“房住不炒”,高材疾足
20,2021-12-13,坚朗五金接受6家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
21,2021-12-13,坚朗五金：通过厂区建设按需扩大产能，华北中心仓二期正在建设,乐居财经
22,2021-12-11,坚朗五金：公司定位于建筑配套件集成供应商，致力于为客户提供一站式服务,每日经济新闻
23,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
24,2021-12-07,建筑材料行业点评报告：地产链悲观预期有望修复 布局消费类建材/玻璃/水泥,新浪
25,2021-12-07,家具家居股开盘大涨，志邦家居冲击涨停，东方雨虹、顾家家居、坚朗五金、科顺股,新浪
26,2021-12-07,轻工制造行业周报：新型烟草政策密集发布 家居迎估值修复,新浪
27,2021-12-07,建材热点速评：多重预期改善 建材板块进入布局窗口期,新浪
28,2021-12-06,碳中和周报：“十四五”工业绿色发展规划出台 全力推动工业碳达峰,新浪
29,2021-12-06,非金属建材行业12月投资策略：关注政策边际调整 积极布局行业优质个股,新浪
30,2021-12-06,建筑材料行业周报：玻璃价格回升 稳增长预期下关注水泥板块估值修复,新浪
31,2021-12-06,追“宗”系列：玻璃边际好转 稳增长推动22年需求稳定,新浪
32,2021-12-06,基础材料和工程服务行业北上资金周报,新浪
33,2021-12-06,建筑材料每周观点：风光大基地第二批申报开始 光伏玻璃风电纱或迎主题机会,新浪
34,2021-12-05,建材行业2022年投资策略：拨云见日,广发证券
35,2021-11-30,建材周报：多省市出台政策 助推光伏建筑一体化(BIPV)发展,新浪
36,2021-11-29,基础材料和工程服务行业周观点：浮法玻璃库存进一步下降 期货价格底部反弹,新浪
37,2021-11-28,建筑材料行业：平板玻璃底部企稳 行业悲观预期有望修复,广发证券
38,2021-11-28,建筑材料周观点：原油大跌利好成本改善 玻璃库存下降关注冷修节奏,新浪
39,2021-11-26,坚朗五金为坚朗建材不超2亿元综合授信提供担保 大额借贷担保,乐居财经
40,2021-11-25,建筑材料行业：政策边际放松 玻璃加速冷修,广发证券
41,2021-11-24,豪美新材(002988)：铝材龙头转型升级 聚焦系统门窗和汽车轻量化,新浪
42,2021-11-23,坚朗五金：公司不是外资控股,Wind
43,2021-11-23,坚朗五金：前海开源、弘毅远方等28家机构于11月18日调研我司,证券之星
44,2021-11-22,坚朗五金将持续补充新产品，已于台湾和成卫浴等公司达成合作,乐居财经
45,2021-11-22,基础材料和工程服务行业周观点：行业磨底持续 关注遮阳材料细分赛道投资机会,新浪
46,2021-11-22,每周观点：电子纱价格出现松动 关注风电纱投资机会,新浪
47,2021-11-22,建筑材料行业周报：板块估值偏低 新材料应用提速,新浪
48,2021-11-22,坚朗五金接受37家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
49,2021-11-21,建筑材料行业：政策边际放松 利于行业悲观预期修复,广发证券
50,2021-11-18,坚朗五金（002791.SZ）：基于增长目标准备产能规划 “塘厦坚朗五金增资扩产项目”首期厂房开始投产,智通财经
51,2021-11-18,坚朗五金获星石投资、鹏华基金等21家机构调研,阿尔法工场
52,2021-11-16,零售、轻工日化行业动态：10月社零同比+4.9% 消费延续回暖态势,新浪
53,2021-11-16,建材观点聚焦展望2022：需求动能转化 供给重塑,新浪
54,2021-11-15,非金属建材周报(21年第46周)：把握政策边际变化带来的阶段性投资机会,新浪
55,2021-11-15,建材周报：煤炭价格急跌 水泥价格调整或进一步展开,新浪
56,2021-11-15,建筑材料行业周报：地产信贷有所修复 关注消费建材板块和出口链条标的,新浪
57,2021-11-11,坚朗五金收报161.50元涨9.1% 总市值519.3亿元,乐居财经
58,2021-11-11,快讯：坚朗五金涨停 报于162.8元,金融界
59,2021-11-11,新三板精选层个股收盘多数飘红，同辉信息涨逾12%,Wind
60,2021-11-10,业绩点评：消费建材FY21Q3业绩综述,新浪
61,2021-11-09,蒙娜丽莎(002918)公司点评：至暗时刻或已过去 股权回购彰显长期发展信心,新浪
62,2021-11-09,建材行业：三季度承压 行业集中度提升趋势不变,新浪
63,2021-11-09,【国信建材|行业专题】建材行业基金持仓专题：行业配置继续走低，光伏玻璃、玻纤较受关注,微信
64,2021-11-09,坚朗五金：光大证券、中欧基金等21家机构于11月5日调研我司,证券之星
65,2021-11-08,非金属建材行业11月投资策略：淡季即将来临 关注行业优质龙头,新浪
66,2021-11-08,建材行业周观点：玻纤维持高景气 管材、消费建材成本承压,新浪
67,2021-11-08,坚朗五金(002791.SZ)拟开展票据池业务 额度不超过8亿元,智通财经
68,2021-11-08,坚朗五金接受20家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
69,2021-11-06,建材行业全线涨价：经销商称一天一个价,Wind
70,2021-11-04,坚朗五金(002791)：规模效应继续表现 内生优化对冲风险,新浪
71,2021-11-04,坚朗五金：标准类产品根据材料价格，视需要做不定期调价,乐居财经
72,2021-11-02,坚朗五金：国盛证券、国盛证券等32家机构于10月28日调研我司,证券之星
73,2021-10-31,坚朗五金接受24家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
74,2021-10-28,华西证券给予坚朗五金买入评级：品类拓展强劲成本承压，现金流边际好转,每日经济新闻
75,2021-10-28,华西证券：给予坚朗五金买入评级，目标价位178.15元,证券之星
76,2021-10-28,中泰证券维持坚朗五金买入评级：收入利润同步高增，现金流压力望逐步缓解,每日经济新闻
77,2021-10-28,国盛证券维持坚朗五金买入评级：Q3收入快速增长，经营效率继续提升,每日经济新闻
78,2021-10-28,国盛证券：给予坚朗五金买入评级,证券之星
79,2021-10-28,坚朗五金：货币资金降42%，经营现金流为负 | 季报拆解,乐居财经
80,2021-10-28,坚朗五金：前三季度实现净利7.05亿元 同比增长40.47%,中证网
81,2021-10-27,坚朗五金2021年前三季度净利润同比增长40.47%,北京商报
