,2021-12-28,大华股份最新公告：拟7494万元受让华煜投资所持的运营公司49%股权,证券之星
0,2021-12-28,大华股份(002236.SZ)：拟放弃对华飞科技相关股权的优先受让权,格隆汇
1,2021-12-28,大华股份(002236.SZ)：拟放弃对无锡锐频相关股权的优先受让权,格隆汇
2,2021-12-28,大华股份(002236.SZ)：拟向大华存储增资1530万元,格隆汇
3,2021-12-28,大华股份(002236.SZ)华视投资以508.85万元转让无锡锐频11.50%股权,智通财经
4,2021-12-28,大华股份(002236.SZ)对控股子公司增资1530万元,智通财经
5,2021-12-28,大华股份(002236.SZ)华祁投资拟525.89万元转让华诺康22.29%股权,智通财经
6,2021-12-28,大华股份(002236.SZ)拟7494万元受让运营公司49%股权,智通财经
7,2021-12-28,大华股份(002236.SZ)华视投资拟1300万元将华飞科技26%股权转让给华绫投资,智通财经
8,2021-12-28,国金证券：给予宇瞳光学买入评级，目标价位55.0元,证券之星
9,2021-12-27,大华股份：证监会已对本次非公开发行股票进行受理,每日经济新闻
10,2021-12-24,新智认知与大华股份举行战略签约仪式,e公司
11,2021-12-24,大华股份(002236.SZ)实控人傅利泉质押3930万股,智通财经
12,2021-12-24,大华股份：公司控股股东及其一致行动人累计质押股份占其所持股比例为17.23%,每日经济新闻
13,2021-12-24,凯旺科技：安防连接器领域的隐形冠军,GPLP犀牛财经
14,2021-12-23,凯旺科技首日涨78% 实控人与客户供应商存拆借不规范,中国经济网
15,2021-12-23,大华股份：公司不存在关联方资金占用的情况,每日经济新闻
16,2021-12-23,“杭州板块”迈入200+，新经济新制造奔涌而来,Wind
17,2021-12-22,大华股份(002236.SZ)控股股东、实控人傅利泉质押750万股,智通财经
18,2021-12-22,大华股份：实际控制人傅利泉质押750万股,每日经济新闻
19,2021-12-20,大华股份：朱江明先生辞职不会对公司日常生产经营产生影响,Wind
20,2021-12-20,大华股份：朱江明辞职不会对公司日常生产经营产生影响,每日经济新闻
21,2021-12-20,朱江明从大华辞职 零跑汽车即将上市？,第一电动网
22,2021-12-17,大华股份：关于董事辞职的公告,新浪
23,2021-12-17,大华股份：董事朱江明辞职,每日经济新闻
24,2021-12-17,大华股份：朱江明辞去董事等职务,Wind
25,2021-12-17,【看新股】凯旺科技IPO：营收依赖海康、大华 发行市盈率较高或存破发风险,面包财经
26,2021-12-16,大华股份今日大宗交易成交50万股，成交价25.85元折价1.41%,Wind
27,2021-12-13,中证路演回放丨凯旺科技（301182）首次公开发行股票并在创业板上市网上路演,中证报
28,2021-12-13,大华股份入选雷峰网“2021最佳AI数智化年度榜”,美通社
29,2021-12-11,欲扩产解除产能瓶颈 如何看待凯旺科技（301182.SZ）的成长性？,智通财经
30,2021-12-10,大华股份：傅利泉质押2000万股,每日经济新闻
31,2021-12-10,大华股份大宗交易成交63.70万股 成交额1612.25万元,证券时报网
32,2021-12-10,"大华股份现1笔大宗交易 共成交1,612.25万元",新浪
