,2021-12-31,农业银行诉宁波银行9.86亿汇票合同纠纷案败诉 诉讼纠纷,券商中国
0,2021-12-31,数字金融周报|央行要求通过直播渠道营销金融产品需有资质,WEMONEY研究室
1,2021-12-31,宁波银行营收怎么实现双突破，宁波银行再度领跑上市银行,搜狐
2,2021-12-31,国君固收：银行转债的投资策略,Wind
3,2021-12-31,区域性银行数字化转型“样本”：上市城商行发力手机银行，成绩几何？,零壹财经
4,2021-12-30,中移动拟设消费金融公司，由导流到自营，市场格局或改写,AI财经社
5,2021-12-30,2021年，长银五八、捷信、蒙商等多家消费金融公司换了一把手,WEMONEY研究室
6,2021-12-30,宁波银行一天63篇一审裁判文书，个人消费贷款余额近2000亿,搜狐
7,2021-12-30,2022年1月各行业金股推荐汇总,新浪
8,2021-12-30,“银行系”消费金融再添新成员 宁波银行受让华融消费金融70%股权,证券日报
9,2021-12-29,行业巨头大手笔增资，教育贷、医美贷“凉凉”，细数消费金融这一年,中证报
10,2021-12-29,银行系消金“增员” 华融消金70%股权被宁波银行10亿拿下,中国网
11,2021-12-29,商业银行行业：商业银行业日报,新浪
12,2021-12-28,宁波银行收购华融消金 线上运营能否带飞行业“差生”？,经济观察报
13,2021-12-28,宁波银行获消费金融牌照，消费贷巨头来了,搜狐
14,2021-12-28,再添一子！区域性银行齐发力 消费金融市场争夺战升级,北京商报
15,2021-12-28,合肥百货(000417.SZ)：宁波银行以10.91亿元受让中国华融所持华融消金70%股权,格隆汇
16,2021-12-28,K线金融丨 “银行系”消金再添新成员，宁波银行拿下华融消金70%股权,资本邦
17,2021-12-28,华融消金牌照花落城商行 宁波银行终如愿以偿,新浪
18,2021-12-28,天风证券：给予宁波银行买入评级，目标价位52.32元,证券之星
19,2021-12-28,天风证券给予宁波银行买入评级，拿下消金牌照，财富管理更进一步，目标价格为52.32元,每日经济新闻
20,2021-12-28,宁波银行拿下华融消金70%股权，“银行系”消金再添新成员,资本邦
21,2021-12-28,年终报道 | 年内共有20家银行获超300家机构调研 苏州4家银行名列年度机构调研热榜前茅,财联社
22,2021-12-28,我国取消乘用车制造外资股比限制、国金证券紧急辟谣传闻…,证券时报
23,2021-12-28,定了！华融消费金融七成股权花落宁波银行，万亿城商行圆梦，受让价超底价50%,券商中国
24,2021-12-27,宁波银行拿下消金牌照，拟10.91亿元受让华融消金70%股权,第一财经
25,2021-12-27,中国华融继续“瘦身”，宁波银行10.91亿拿下华融消金70%股权,每日经济新闻
26,2021-12-27,宁波银行10.91亿元拿下消费金融牌照,零壹财经
27,2021-12-27,终于来了！华融消费金融70%股权花落宁波银行，“消金行家”如虎添翼,搜狐
28,2021-12-27,中国华融再放手，拟10.9亿元向宁波银行转让华融消金70%股权,时代周报
29,2021-12-27,10.91亿接手华融子公司，宁波银行终于有消费金融公司了,金融界
30,2021-12-27,10.91亿元！华融消金70%股权花落宁波银行 银行系消费金融公司扩容,财联社
31,2021-12-27,斩获消费金融牌照，宁波银行斥资10.91亿拿下华融消费金融70%股权,搜狐
32,2021-12-27,传言成真！宁波银行将以10.91亿元取得华融消费金融70%股权,国际金融报
33,2021-12-27,中国华融：拟10.9亿向宁波银行转让华融消费金融70%股权,e公司
34,2021-12-27,宁波银行10.9亿拿下华融消费金融70%股权,21世纪经济报道
35,2021-12-27,近九成A股上市银行破净,财经杂志
36,2021-12-27,中国华融(02799)拟10.91亿元向宁波银行转让华融消费金融70%股权,智通财经
37,2021-12-27,中国华融：拟向宁波银行转让华融消费金融70%股权,财联社
38,2021-12-24,高质量发展打开新空间，宁波银行向财富管理的标杆城商行迈进,每日经济新闻
39,2021-12-24,手机银行打法变阵：流量争夺暂停、转战财富管理,Wind
40,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
41,2021-12-23,宁波银行上日融资余额8.29亿元，在两融标的中排517名,资本邦
42,2021-12-23,券商首次关注4股并给予买入评级（12月23日）,Wind
43,2021-12-23,中银国际：降息意在稳增长 进一步宽松仍可期待,财富动力网
44,2021-12-22,华安证券：给予宁波银行买入评级,证券之星
45,2021-12-22,商业银行激战配股市场 IPO与否决定资本补充方式,证券日报
46,2021-12-21,宁波首笔跨市线上抵押业务落地,中国金融新闻网
47,2021-12-21,银行配股你追我赶 上市与否决定资本补充方式,证券日报网
48,2021-12-20,平安基金管理有限公司关于 旗下部分基金新增宁波银行股份有限公司 为销售机构的公告,证券日报
49,2021-12-17,亚太药业：富邦控股集团和宁波银行未委派人员入驻公司,每日经济新闻
50,2021-12-17,聚焦“共富”！上海普惠金融典型案例发布,陆家嘴金融网
51,2021-12-17,北上资金连续12天净买入，煤炭行业搭上氢能源快车,Wind
52,2021-12-17,资管新规倒计时15天，银行理财进度条走到了哪？,Wind
53,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
54,2021-12-16,聪投TOP30基金经理4季度最爱调研个股，竟然还是它,新浪
55,2021-12-16,宁波银行今日大宗交易成交212.94万股，成交价38.96元溢价0.0%,Wind
56,2021-12-16,手机银行数字竞争力排行榜TOP100 (2021年Q3),零壹财经
57,2021-12-16,商业银行行业：商业银行业日报,新浪
58,2021-12-15,资本充足率下降，南京银行发债400亿摆脱“事业瓶颈期”,搜狐
59,2021-12-15,全力支援抗疫——宁波银行火速行动,经济日报
60,2021-12-15,宁波银行、五粮液等44股获北向资金增持额超亿元,证券时报网
61,2021-12-15,北向资金动向盘点：两条主线清晰明了，但已无新能源,Wind
62,2021-12-15,北向资金抢筹逾60亿元，扫货股一览（名单）,21世纪经济报道
63,2021-12-15,北向资金抢筹逾60亿元，扫货股一览（名单）,21经济网
64,2021-12-14,宁波银行：配股所新配的股份将于2021年12月15日上市,每日经济新闻
65,2021-12-14,宁波银行南京分行“智+”服务：赋能高端制造 赋力产业振兴,大众证券报
66,2021-12-14,深圳房贷利率松动！部分中小银行下调房贷利率，整体放款速度加快,Wind
67,2021-12-13,四家上市银行配股募资规模达500亿 最高折价五成助力资本实力提升,长江商报
68,2021-12-13,25股获券商买入评级，中远海控目标涨幅达101.13%,Wind
69,2021-12-13,银华基金管理股份有限公司 关于银华鑫锐灵活配置混合型 证券投资基金（LOF）增加代销机构的公告,证券日报
70,2021-12-12,宁波银行(002142.SZ)5.96亿股获配股票将于12月15日上市流通,智通财经
71,2021-12-11,排队五年IPO终过关，兰州银行成色几何？,Wind
72,2021-12-10,全国股转公司、北京证券交易所与十二家商业银行签署战略合作协议,Wind
