,2021-12-31,万泰生物、华大基因、安图生物……谁是成长能力最强的体外诊断企业？,Ofweek
0,2021-12-30,回首 IVD 2021：颠覆命运的这一年,MedTrend医趋势
1,2021-12-29,高瓴已抢先布局！支持国产风频吹，这条“卡脖子”赛道内大有玄机！,瞪羚社
2,2021-12-20,医疗器械行业一周回顾（12月13日-12月19日）,Eshare医械汇
3,2021-12-16,安图生物(603658.SH)：二级子公司获得4项医疗器械注册证,格隆汇
4,2021-12-16,安图生物(603658.SH)：郑州标源获4项医疗器械注册证,智通财经
5,2021-12-12,上市公司为闲钱找“财路”！年内河南27家A股公司斥资逾300亿买理财，最多的是它,搜狐
6,2021-12-10,晚间重要公告2021年12月10日星期五,Wind
7,2021-12-10,安图生物(603658.SH)：子公司近日获得41项医疗器械注册证,格隆汇
8,2021-12-10,安图生物(603658.SH)子公司北京安图获41项医疗器械注册证,智通财经
9,2021-12-09,安图生物：目前国内新冠病毒检测以分子检测为主，使用抗体检测的量较少,每日经济新闻
10,2021-12-09,安图生物：“体外诊断试剂产能扩大项目”建设期为3年，建成后产能逐步释放,每日经济新闻
11,2021-12-06,安图生物最新公告：二级子公司郑州标源取得医疗器械经营许可证,证券之星
12,2021-12-06,安图生物(603658.SH)二级子公司取得医疗器械经营许可证,智通财经
13,2021-12-03,安图生物：专注于体外诊断试剂和仪器的研发、制造、整合及服务,每日经济新闻
14,2021-11-29,医疗器械行业一周回顾（11月22日-11月28日）,Eshare医械汇
15,2021-11-29,晚间公告｜11月29日这些公告有看头,第一财经
16,2021-11-29,安图生物(603658.SH)：2项产品获得医疗器械注册证,格隆汇
17,2021-11-29,安图生物(603658.SH)取得两项医疗器械注册证,智通财经
18,2021-11-25,深度！2021年中国医疗器械行业竞争格局及市场份额分析 市场集中度低且竞争较分散,前瞻研究院
19,2021-11-25,医药健康行业年度策略：溯源而上 掘金创新,新浪
20,2021-11-25,安图生物：专注医学实验室领域，业绩持续快速增长,中金在线
21,2021-11-24,安图生物经营范围新增汽车新车销售,乐居财经
22,2021-11-23,安图生物：糖类抗原CA15-3检测试剂盒获得医疗器械注册证,e公司
23,2021-11-23,安图生物(603658.SH)获一项体外检测领域医疗器械注册证,智通财经
24,2021-11-23,安图生物(603658.SH)：获得医疗器械注册证,格隆汇
25,2021-11-22,安图生物：公司核酸检测试剂依托于公司全自动核酸提纯及实时荧光PCR分析仪器系统，更适用于随到随检和灵活组合检测,每日经济新闻
26,2021-11-17,安图生物于湖南成立新公司，注册资本500万元,乐居财经
27,2021-11-12,前三季营收净利双增逾三成 安图生物股价为何年内“腰斩” 盈利能力下降,投资者网
28,2021-11-09,安图生物(603658)2021年三季报点评：业绩实现较稳健增长 研发投入持续加大,新浪
29,2021-11-09,记者实探河南省防疫物资生产一线 核酸检测最快2小时出结果,河南日报
30,2021-11-08,安图生物：与普施康生物战略合作正式启动,e公司
31,2021-11-08,安图生物：此类仪器不确认收入，折旧计入营业成本，验收前在“在建工程”，客户验收合格后，从“在建工程”转入“固定资产”科目,每日经济新闻
32,2021-11-05,医疗健康产业2022年投资策略：医疗投资进入百花齐放时代 国产自主化进入新高潮,新浪
33,2021-11-04,高瓴资本3季度只减仓不加仓：安全边际、成长性重定位,Wind
34,2021-11-04,高瓴资本三季度只减仓不加仓，安全边际与成长性需重新定位,Wind
35,2021-11-03,A股规模最大医疗器械ETF逆市上涨2.05%，半日成交2394万,Wind
36,2021-11-02,高瓴4大调仓逻辑曝光，接下来看好这些方向,Wind
37,2021-11-02,高瓴A股持仓最全梳理！三季度调仓哪些公司？密集调研透露关注方向,Wind
38,2021-11-01,西部证券给予安图生物买入评级：业绩符合预期，化学发光装机稳步推进,每日经济新闻
39,2021-11-01,高瓴资本三季报A股持仓全扫描,Wind
40,2021-10-29,安图生物(603658)：3Q21净利润高增长 现金流改善,新浪
41,2021-10-29,安图生物(603658)：21Q3业绩符合预期 各项业务恢复较快增长,光大证券
42,2021-10-28,安图生物：聘任杨增利为公司总经理,每日经济新闻
43,2021-10-27,每日报告回放,新浪
44,2021-10-27,太平洋维持安图生物买入评级：疫情影响下仍保持稳健增长，净利率持续提升,每日经济新闻
45,2021-10-27,太平洋：给予安图生物买入评级，目标价位70.0元,证券之星
46,2021-10-27,信达证券：给予安图生物评级,证券之星
47,2021-10-27,私募最新持仓：高瓴动作频频，2大百亿私募加仓茅台,Wind
48,2021-10-26,安图生物前三季度营收、净利润双增，今日股价快速涨停,新京报
49,2021-10-26,安图生物：安图生物专注于体外诊断领域，暂无在其他领域拓展的规划,每日经济新闻
50,2021-10-26,10月26日安图生物涨停分析：新冠检测，体外诊断，医疗器械概念热股,证券之星
51,2021-10-26,平安证券：给予安图生物增持评级,证券之星
52,2021-10-26,平安证券维持安图生物推荐评级：散发疫情延缓业务恢复，设备铺设稳健推进,每日经济新闻
53,2021-10-26,裘国根、葛卫东、冯柳、邓晓峰、林利军调仓换股曝光,Wind
54,2021-10-26,中泰证券维持安图生物买入评级：业绩符合预期，疫情反复不改持续恢复增长趋势,每日经济新闻
55,2021-10-26,安图生物涨停三季报验证高景气，本土疫情反扑抗疫概念再度拉升,资本邦
56,2021-10-26,快讯：安图生物涨停 报于56.41元,金融界
57,2021-10-26,国金证券：给予安图生物买入评级,证券之星
58,2021-10-26,国金证券维持安图生物买入评级：业绩超预期，发光、分子诊断新品丰富产品线,每日经济新闻
59,2021-10-26,A股异动 | 安图生物(603658.SH)放量涨停 前三季度净利润增近4成,格隆汇
60,2021-10-26,安图生物前三季度净利润增近4成 入选首批医疗器械标准实施标杆企业,上证报
61,2021-10-26,犀牛晚讯：哈药股份前三季度净利4.87亿 青青稞酒前三季度净利8537万,GPLP犀牛财经
62,2021-10-25,图解安图生物三季报：第三季度单季净利润同比增26.45%,证券之星
63,2021-10-25,安图生物第三季度净利增26.45%至3.04亿元,乐居财经
64,2021-10-25,安图生物最新公告：第三季度净利润3.04亿元 同比增长26.45%,证券之星
65,2021-10-25,安图生物：第三季度净利润3.04亿元 同比增长26.45%,财联社
66,2021-10-25,安图生物：前三季度净利润同比增长39.33%,Wind
67,2021-10-19,安图生物：公司目前生产经营一切正常,每日经济新闻
68,2021-10-19,安图生物：将于2021年10月26日披露的三季报,每日经济新闻
69,2021-10-19,安图生物：公司将于10月26日披露三季报，截至目前，尚未发出关于审议公司三季报的董事会会议通知,每日经济新闻
70,2021-10-19,安图生物(603658.SH)选举刘微为职工代表监事,智通财经
71,2021-10-18,北向资金净卖出额创近2个月新高，贵州茅台遭大幅抛售逾14亿元,Wind
72,2021-10-16,安图生物：郑州德迈药业有限公司与上海安图生物有限公司主要从事的是医药相关领域，未来不会与上市公司之间产生利益冲突,每日经济新闻
73,2021-10-15,安图生物：入选第一批医疗器械标准实施标杆企业,e公司
74,2021-10-15,A股共发生98宗大宗交易成交14.85亿元（10月15日）,Wind
75,2021-10-15,安图生物今日大宗交易成交3.90万股，成交价51.5元溢价0.0%,Wind
76,2021-10-15,安图生物：目前，公司已和多家医院建立战略合作伙伴关系，持续进行医学实验室智能化建设,每日经济新闻
77,2021-10-14,医疗器械行业：政府采购审核标准规范国产医械采购 国产替代有望加速,新浪
78,2021-10-13,郑州安图生物工程股份有限公司 关于召开2021年第一次 临时股东大会的通知,证券时报
79,2021-10-11,安图生物：在便易化和床边化的领域，公司已成立了POCT事业部，负责该领域的规划与发展,每日经济新闻
80,2021-10-08,业绩好转？高瓴抄底增持这一械企！,器械之家
81,2021-09-30,中国化学发光行业研究：振翅待飞,新浪
82,2021-09-30,关注高端医疗技术国产替代加速、精选三季报有望超预期高增长个股,金融界
83,2021-09-27,医药生物行业周报：从景气度、竞争力、外需逻辑看诺禾致源投资价值,新浪
84,2021-09-27,集采降价预期见底企稳回升，建议超配生物医药板块,金融界
85,2021-09-23,安图生物：公司股票价格受多方面因素影响，目前生产经营一切正常,每日经济新闻
86,2021-09-22,安图生物糖类抗原CA15-3校准品获得医疗器械注册证,新浪
87,2021-09-22,A股早报2021年9月22日星期三,Wind
88,2021-09-17,涨停板解密：三大板块个股纷纷受资金抢筹！（9月17日）,Wind
89,2021-09-17,9月17日安图生物涨停分析：医疗器械，新冠检测，体外诊断概念热股,证券之星
90,2021-09-17,快讯：安图生物涨停 报于53.35元,金融界
91,2021-09-17,涨停雷达：新冠检测个股异动 安图生物触及涨停,ZAKER
92,2021-09-17,医药生物行业造好，安图生物首板,Wind
93,2021-09-14,医药生物行业双周报：医药行业长坡厚雪 仍为投资主线,新浪
94,2021-09-13,安图生物：公司全资子公司在经营范围中新增“汽车新车销售”条目是基于其实际经营需要，为后续开展核酸检测移动实验室相关业务做准备,每日经济新闻
95,2021-09-13,医药生物行业中报透视CXO：板块增长强劲 边际变化持续向好,新浪
96,2021-09-10,医疗器械板块2021半年报总结：常规业务全面恢复 关注细分赛道创新投资机会,新浪
97,2021-09-10,安图生物转行卖车?公司人士:为移动检测车上市做准备,财联社
98,2021-09-05,专精特新还是核心资产？顶流私募最新投资思路曝光,Wind
