,2021-12-31,完美世界：公司已在目前的游戏研发中融入元宇宙相关元素,每日经济新闻
0,2021-12-31,完美世界：《幻塔》公测后呈现了良好的业务及财务表现,每日经济新闻
1,2021-12-31,完美世界：公司会结合市场环境、玩家需求等多种因素，综合决定海内外不同区域的发行节奏,每日经济新闻
2,2021-12-31,马笑传媒互联科技团队：2021年报告汇总,微信
3,2021-12-31,国金证券给予完美世界买入评级，核心IP群保持稳定，新品类拓宽用户群体,每日经济新闻
4,2021-12-31,国金证券：给予完美世界买入评级，目标价位26.8元,证券之星
5,2021-12-30,传媒互联网1月投资策略：继续关注元宇宙主题表现,新浪
6,2021-12-30,2021网信企业发展和社会责任论坛在京举行 完美世界积极探索履责边界,中国网
7,2021-12-30,互联网传媒周报：视觉中国发布数字藏品平台 关注虚拟人及NFT产业投资机会,新浪
8,2021-12-30,电竞指数近3个月大涨20% 为何相关公司业绩和走势两极分化,投资者网
9,2021-12-29,从三个关键词看2021年游戏板块：元宇宙、出海与分化,智通财经
10,2021-12-28,券商、百亿量化私募……2021年打新“黑名单”上都有谁？,Wind
11,2021-12-28,互联网传媒行业周报：监管趋严有望促进行业健康发展,新浪
12,2021-12-28,腾讯、网易等游戏大厂轮番抢滩 二次元赛道的下一个《原神》出自谁家,北京商报
13,2021-12-27,【国元传媒】游戏行业月报：21年手游市场同比增7.6%，腾讯加码开放世界赛道布局,典评文娱
14,2021-12-27,【行情】华为鸿蒙概念股早盘走低，润和软件一度跳水跌超16%，诚迈科技、完美世界、传智教育、超图软件、常山北明等跟跌,金十数据
15,2021-12-27,天下秀闪崩跌停，网红经济板块承压,Wind
16,2021-12-27,24股获券商买入评级，金科股份目标涨幅达131.60%,Wind
17,2021-12-25,完美世界萧泓接受CGTN采访：科技赋兴文化 前景潜力无限,中国网
18,2021-12-25,完美世界：公司前三季度其他非流动资产期末数较上年末增加，主要为一年以上定期存款增加所致,每日经济新闻
19,2021-12-25,完美世界：游戏海外发行通常涉及发行方式的选择、发行区域的确定、发行方案的制订等,每日经济新闻
20,2021-12-24,盘点游戏行业2021：风云变局中谁握底牌？,中国网
21,2021-12-24,注重社会效益多元化 完美世界获2021最具社会责任上市公司奖,中国网
22,2021-12-24,东吴证券：给予完美世界买入评级,证券之星
23,2021-12-24,完美世界：已在目前的游戏研发中融入元宇宙相关元素,Wind
24,2021-12-24,东吴证券维持完美世界买入评级：持续优化海外资源配置，看好《幻塔》长期贡献业绩增量,每日经济新闻
25,2021-12-24,刚刚登上游戏预约榜第一，百度游戏被曝裁员 员工变动,Wind
26,2021-12-24,命途多舛的百度游戏被爆裁员，今年7月才刚重组 员工变动,Wind
27,2021-12-23,中泰证券：关注虚拟人商业化投资趋势,财联社
28,2021-12-22,游戏公司卷起来了？除了完美世界，这些公司也为员工买房无息借款,新京报
29,2021-12-22,2分钟读财报 | 完美世界甩卖海外资产赚3.8亿元 为员工提供1.5亿元无息购房借款,新浪
30,2021-12-22,【要闻回顾】完美世界拟出售2家海外子公司 哈啰发布四款新品,融资中国
31,2021-12-22,2022年传媒互联网行业投资策略报告：新秩序 新阶段 新机遇,新浪
32,2021-12-22,前10月规模以上文化产业收入同比增长超两成，北京文化产业增长主打新业态,Wind
33,2021-12-22,A股早报2021年12月22日星期三,Wind
34,2021-12-22,13股获券商买入评级，完美世界目标涨幅达48.34%,第一财经
35,2021-12-22,13股获券商买入评级，完美世界目标涨幅达48.34%,Wind
36,2021-12-22,放大招！这家公司甩卖海外资产赚3.8亿元，为员工提供1.5亿元无息购房借款，新游戏单日流水破5000万元,中证报
37,2021-12-22,完美世界拟出售2家海外子公司,上证报
38,2021-12-22,GearBox收购完美世界北美公司全部业务,搜狐
39,2021-12-22,恒指科技股回暖，沪指地产股爆发；百度希壤开放内测,搜狐
40,2021-12-21,别人家公司！完美世界：员工买房可提供1.5亿免息借款,快科技
41,2021-12-21,【晚间公告抢先看】苏泊尔称激励计划不存在利益输送情形、16连板三羊马22日起停牌核查,金融界
42,2021-12-21,互联网传媒行业周报：游戏产业年会召开 短视频内容审核细则发布,新浪
43,2021-12-21,晚间重要公告2021年12月21日星期二,Wind
44,2021-12-21,Embracer集团1.25亿美元收购完美世界美国研发工作室和欧美发行团队,中国网
45,2021-12-21,完美世界：全资子公司拟1.25亿美元出售两公司100%股权,北京商报
46,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
47,2021-12-21,完美世界：拟1.25亿美元出售海外下属公司,e公司
48,2021-12-21,完美世界(002624.SZ)：拟以1.25亿美元出售PWNA及PWP B.V. 100%的股权,格隆汇
49,2021-12-21,完美世界(002624.SZ)为员工提供购房借款总额度不超过1.5亿元,智通财经
50,2021-12-21,完美世界：出售全资子公司股权,每日经济新闻
51,2021-12-21,完美世界：子公司将所持两家公司股权出售给Embracer,Wind
52,2021-12-21,完美世界于杭州成立科技公司，注册资本100万元,乐居财经
53,2021-12-20,完美控股合计解质完美世界1.22%股份及质押2.07%股份,乐居财经
54,2021-12-20,完美世界(002624.SZ)控股股东完美控股解质2370万股及质押4025万股,智通财经
55,2021-12-20,完美世界：完美控股累计质押股数约为2.45亿股,每日经济新闻
56,2021-12-20,奥飞数据：虚中觅实，一个被低估的真正元宇宙核心标的,中金在线
57,2021-12-19,【国君互联网传媒】2021年49期：游戏市场高基数下仍增长，耐克收购虚拟潮牌RTFKT,国泰君安互联网传媒研究
58,2021-12-19,传媒行业：《幻塔》首日流水破5000万 爱奇艺宣布会员提价,广发证券
59,2021-12-18,完美世界能“复制”原神，难复制米哈游,36氪
60,2021-12-18,写在《幻塔》前夜：二次元开放世界还有多少机会？,ZAKER
61,2021-12-17,《幻塔》不是《原神》，完美世界不是蜗牛游戏,36氪
62,2021-12-17,华西证券维持完美世界增持评级：《幻塔》开启公测，品类突破进行时,每日经济新闻
63,2021-12-17,华西证券：给予完美世界增持评级,证券之星
64,2021-12-17,对话完美世界CEO萧泓：电竞入亚是行业里程碑 新技术将带来更多想象,21世纪经济报道
65,2021-12-16,2021游戏十强榜单出炉 完美世界获两项大奖,上方网
66,2021-12-15,“防沉迷”影响腾讯收入？腾讯：游戏研发不为赚未成年人的钱,Wind
67,2021-12-15,开源证券维持完美世界买入评级：《幻塔》预下载火热，上线表现值得期待,每日经济新闻
68,2021-12-15,开源证券：给予完美世界买入评级,证券之星
69,2021-12-15,完美世界萧泓：聚焦产品品质 促进“科技+文化”深度融合,中国网
70,2021-12-15,最新游戏产业潜力报告发布 完美世界展现多元竞争优势,中国网
71,2021-12-15,传媒互联网行业周报：虚拟人概念空前火热 仍看好后续影视复苏,新浪
72,2021-12-15,人工智能专家沈向洋将与柴金祥等多位行业领军人物 共讨人工智能未来应用新场景,每日经济新闻
73,2021-12-15,完美世界退出成都时空互动100%股份，完美世界游戏接盘,乐居财经
74,2021-12-14,完美世界（002624）：《幻塔》预约热度超预期，建议重点关注能否开启公司飞轮效应,微信
75,2021-12-14,完美世界：《幻塔》手游在国内市场由公司自主发行,每日经济新闻
76,2021-12-14,完美世界：已在目前的游戏研发中融入元宇宙相关元素,每日经济新闻
77,2021-12-14,完美世界：公司会结合既有优势，利用政策利好持续促进业务发展,每日经济新闻
78,2021-12-14,完美世界：公司结合市场情况，严格按照相关规则对回购期间的规定通过集中竞价方式进行回购操作,每日经济新闻
79,2021-12-14,奥飞数据：公司与完美世界等众多互联网公司有长期业务合作,Wind
80,2021-12-14,奥飞数据：公司与完美世界等众多互联网公司有长期业务合作,每日经济新闻
81,2021-12-14,解盘：资金小额流入，智慧医疗、网游、教育、华为概念领涨,Wind
82,2021-12-14,开源晨会1214丨聚焦元宇宙在开放世界游戏的落地及电影春节档；布局猪周期“乍暖还寒”时；老百姓、华虹半导体,开源证券研究所
83,2021-12-13,【行情】元宇宙概念午后持续大涨，会畅通讯、恒信东方等近15股涨幅超10%，凯撒文化、完美世界跟涨,金十数据
84,2021-12-13,南财研选丨“元宇宙”概念领涨，游戏产业年会将开始，游戏板块会否迎新一轮业绩释放周期,21世纪经济报道
85,2021-12-13,媒体Ⅱ行业周报：从《幻塔》的产品研究看完美世界的新品拓展能力,新浪
86,2021-12-13,有人靠开元宇宙培训课年入百万？泡沫之中谁在裸泳？,Wind
87,2021-12-12,传媒行业周报：快手测试海外直播电商 META虚拟世界《HORIZONWORLD》开放,新浪
88,2021-12-11,当Facebook、Google的经销商有多难？上半年营收3亿，应收账款却达61亿,36氪
89,2021-12-09,元宇宙“炒热”完美世界，《幻塔》要成新摇钱树？「元宇宙观察」,华夏时报
90,2021-12-09,2021年红杉资本调研114家上市公司，元宇宙概念崛起歌尔一路飙升,金融界
91,2021-12-09,完美世界(002624.SZ)：完美控股解质2220.54万股、快乐永久质押1624万股,格隆汇
92,2021-12-09,完美世界(002624.SZ)控股股东解除质押2220.54万股,智通财经
93,2021-12-09,完美世界：完美控股累计质押股数约为2.29亿股,每日经济新闻
94,2021-12-09,完美世界(002624)：重点新游《幻塔》将上线 有望带来22年业绩弹性,光大证券
95,2021-12-09,A股早报2021年12月9日星期四,Wind
96,2021-12-09,每日理财观察：外资布局中国资管业力度加大,Wind
97,2021-12-08,《幻塔》不是下一个《原神》,和讯
98,2021-12-08,智通A股机构动向参考(12.08) | 热点杂乱,智通财经
99,2021-12-08,“元宇宙”又疯了，A股游戏龙头大涨10%，市值一日暴增36亿,搜狐
100,2021-12-08,2021年12月08日龙虎榜机构买入和卖出的个股一览,搜狐
101,2021-12-08,苹果最新规划的大动作 全年业绩有望高增长的概念股出炉（附股）,新浪
102,2021-12-08,大盘缩量反弹 机构做多意愿回升,金融投资报
103,2021-12-08,完美世界龙虎榜数据（12月8日）,Wind
104,2021-12-08,完美世界涨停 三机构合计买入1.27亿元,e公司
105,2021-12-08,完美世界今日涨停，3家机构净买入1.27亿元,格隆汇
106,2021-12-08,12月8日完美世界涨停分析：元宇宙，云游戏，VR&AR概念热股,证券之星
107,2021-12-08,A股收盘综述：沪指创三个月最大单日涨幅，题材股多点开花；ST板块午后突然跳水！,Wind
108,2021-12-08,快讯：完美世界涨停 报于20.93元,金融界
109,2021-12-08,完美世界涨超8%，游戏ETF（516010）涨超2%,资本邦
110,2021-12-08,元宇宙概念股进一步走强 完美世界涨停,格隆汇
111,2021-12-08,完美世界首板,Wind
112,2021-12-08,元宇宙概念卷土重来，中文在线一度涨停，当虹科技等大涨,证券时报网
113,2021-12-08,完美世界涨7.83%，现报20.52元,乐居财经
114,2021-12-08,国产手游11月收入全球占比近四成,上证报
115,2021-12-08,财信证券传媒行业2021年11月报：游戏版号有望近期重启，关注贺岁档跨年行情,财信证券研究
116,2021-12-07,元宇宙框架梳理,新浪
117,2021-12-07,传媒互联网12月投资策略：元宇宙催化行情表现 持续关注游戏板块,新浪
118,2021-12-07,完美世界荣获CSR中国教育榜三项大奖,中国网
119,2021-12-07,行业深度！2021年中国游戏行业竞争格局及市场份额分析 腾讯与网易占据绝对优势,前瞻研究院
120,2021-12-07,完美世界一审追回4.78亿今典集团欠款,经济观察网
121,2021-12-07,11月共37个中国厂商入围全球手游发行商收入榜TOP100,Wind
122,2021-12-07,传媒行业：滴滴拟美股退市回港上市 微信群聊将试行电商外链直接访问 退市,广发证券
123,2021-12-06,2022年传媒投资策略|明年游戏行业去往何方？游戏出海、精品化和元宇宙,财联社
124,2021-12-06,快手升级电商分销平台 字节跳动火山引擎上线全系云产品,中泰证券
125,2021-12-06,传媒行业周报：国内软实力出海 板块未来可期,新浪
126,2021-12-06,传媒行业月报：行业PPT报告元宇宙相关投资并购热度持续 积极关注行业拐点,国海证券
127,2021-12-06,传媒行业周报：网易丁磊宣布进军元宇宙 关注虚拟人投资机会,新浪
128,2021-12-06,当脸书、谷歌的经销商有多难？上半年营收3亿，应收账款却达61亿,深水财经社
129,2021-12-05,传媒行业周报：中重度游戏投放上扬 贺岁档反贪风暴5备受期待,新浪
130,2021-12-04,完美世界：公司看好元宇宙的未来前景，并已在目前的游戏研发中融入元宇宙相关元素,每日经济新闻
131,2021-12-04,完美世界：《幻塔》手游将于2021年12月16日开启公测,每日经济新闻
132,2021-12-03,完美世界(002624.SZ)：控股股东完美控股及其一致行动人合计解质9409万股及质押7440万股,格隆汇
133,2021-12-03,完美世界：完美控股累计质押股数约为2.51亿股,每日经济新闻
134,2021-12-03,完美世界荣获2021“金责奖”最佳责任进取奖,新浪
135,2021-12-03,元宇宙赛道以百万年薪“抢人”未来五大类人才最紧俏,证券日报
136,2021-12-03,智度股份：目前尚未与米哈游、完美世界开展合作,每日经济新闻
137,2021-12-02,完美世界耗资3954.32万元累计回购0.13%股份,乐居财经
138,2021-12-02,完美世界：累计回购约247万股，占比0.1271%,每日经济新闻
139,2021-12-02,完美世界(002624.SZ)累计回购246.64万股 耗资3954.32万元,智通财经
140,2021-12-02,完美世界(002624.SZ)：截至11月底已累计回购246.64万股,格隆汇
141,2021-12-02,11月金股组合亏损1.76% 12月荐股名单出炉 亏损,新浪
142,2021-12-02,中原证券：11月金股组合亏损0.31% 12月荐股名单出炉 亏损,新浪
143,2021-11-30,金山云，现在“烧钱”是否OUT了？,钛媒体
144,2021-11-30,13股今日获机构买入评级,证券时报网
145,2021-11-30,每周一报：积极拥抱新兴技术 行业机遇不断涌现,新浪
146,2021-11-29,中青宝：市值狂飙如空中楼阁,证券市场周刊
147,2021-11-29,传媒行业周报：坚守游戏板块 关注监管常态化下的互联网新机遇,新浪
148,2021-11-29,开源证券：给予完美世界买入评级,证券之星
149,2021-11-29,开源证券维持完美世界买入评级，公司信息更新报告：《幻塔》公测定档，品类突破值得期待,每日经济新闻
150,2021-11-29,传媒互联网行业：互联网广告管理办法公开征求意见 青瓷游戏通过港交所聆讯,新浪
