,2021-12-30,大化工专题策划二|能控纠偏煤化龙头有望长期走强 煤氢联动成行业新看点,财联社
0,2021-12-28,砸下692亿元，宝丰集团要建全国单厂规模最大储能电池基地！,华夏能源网
1,2021-12-28,宝丰能源上半年净利同比增78.46%，参与认购“中国化学”,和讯
2,2021-12-27,氢能板块再掀涨停潮 6股本月获机构“买入”评级,第一财经
3,2021-12-27,692亿元！银川史上最大投资工业项目落地签约,隆众资讯
4,2021-12-24,宝丰能源：目前公司绿氢的制造成本约为1.3元/立方米,每日经济新闻
5,2021-12-24,宝丰能源：公司使用的是碱性电解槽，单套产能为1000标方/小时的碱性电解槽，是当时单套规模最大的,每日经济新闻
6,2021-12-24,宝丰能源：公司炼焦过程中副产的焦炉煤气主要由 55%-58%的氢气、25%-27%的甲烷组成,每日经济新闻
7,2021-12-24,宝丰能源：公司所生产绿氢目前主要用于补充至化工生产,每日经济新闻
8,2021-12-24,宝丰能源：公司有成熟的煤制氢技术,Wind
9,2021-12-23,绿氢到底有多火？壳牌、隆基、华能…纷纷入局！,国际能源网
10,2021-12-23,倍杰特：公司业务尚未涉足钠电池,Wind
11,2021-12-22,双碳深度之一：二氧化碳加氢制甲醇有望迎来产业化,国海证券
12,2021-12-22,宝丰能源大宗交易成交83.41万股 成交额1479.69万元,证券时报网
13,2021-12-22,宝丰能源今日大宗交易成交83.41万股，成交价17.74元折价0.84%,Wind
14,2021-12-22,多地发布氢能发展规划，北上资金加仓概念股,Wind
15,2021-12-21,宁夏首个业扩配套电网工程服务协议成功签订,国际电力网
16,2021-12-21,多地发布氢能发展规划，北上资金悄悄布局（附名单）,Wind
17,2021-12-20,化工周报：原油价格继续下挫；周期龙头、折叠屏材料相关标的表现活跃,新浪
18,2021-12-17,国泰君安：煤企转型新能源等领域序幕拉开 行业估值有望提升,智通财经
19,2021-12-17,中泰证券：给予宝丰能源买入评级,证券之星
20,2021-12-16,宝丰能源：300万吨/年焦化多联产项目4座焦炉已全部点火烘炉,e公司
21,2021-12-16,宝丰能源：4座焦炉已全部建成，并全部点火烘炉,Wind
22,2021-12-16,宝丰能源：目前，在世界范围内二氧化碳加氢制甲醇在冰岛实现了产业化,每日经济新闻
23,2021-12-16,宝丰能源：目前公司所产氢气主要用于化工生产补绿氢，以减少煤炭的使用量，减少碳排放,每日经济新闻
24,2021-12-16,宝丰能源：太阳能发电电解水制氢项目预计可以在预定的时间内建成,每日经济新闻
25,2021-12-16,宝丰能源：公司电解水制氢项目已部分投产，另20台电解槽目前正在安装阶段，预计年底可以建成,每日经济新闻
26,2021-12-16,宝丰能源：公司300万吨/年焦化多联产项目共有4座焦炉，截至目前，4座焦炉已全部建成，并全部点火烘炉,每日经济新闻
27,2021-12-16,宝丰能源：目前公司电解槽主要使用的是考克利尔竞立（苏州）氢能科技有限公司,每日经济新闻
28,2021-12-16,宝丰能源：公司光伏制氢设备外部采购，目前制氢成本约1.3元/方,每日经济新闻
29,2021-12-16,宝丰能源：公司与隆基股份有长期的业务往来关系,Wind
