,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
0,2021-12-24,宝信软件(600845.SH)：可解锁的限制性股票为651.4687万股,格隆汇
1,2021-12-24,宝信软件(600845.SH)651.47万股限制性股票可解除限售,智通财经
2,2021-12-22,千亿赛道再迎政策风口，一图看懂网络安全产业链！,Wind
3,2021-12-17,北向资金结束连续12日净买入，药明康德遭大幅抛售超10亿元,Wind
4,2021-12-16,宝信软件：冗余PLC预计2022年下半年研发完成，云化PLC处于相关基础技术验证阶段,Wind
5,2021-12-14,兰格钢铁网2022年钢管产业链发展高峰论坛成功召开,兰格钢铁网
6,2021-12-02,10股获券商买入评级，当升科技目标涨幅达25.91%,Wind
7,2021-11-25,宝信软件：董事、高级管理人员合计减持15万股 减持股份,Wind
8,2021-11-25,宝信软件(600845.SH)部分董事高管减持计划时间过半 已减持15万股 拟减持股份,智通财经
9,2021-11-11,“科改示范行动”首次亮出成绩单，示范企业经营业绩普遍实现逆势增长,Wind
10,2021-11-09,宝信软件(600845.SH)及子公司获政府补贴7311.51万元及增值税退税5734.18万元,智通财经
11,2021-11-09,宝信软件(600845.SH)：累计获得政府补贴7311.51万元,格隆汇
12,2021-11-02,ESG基金继续重仓新能源，百亿级产品三季度表现更优,Wind
13,2021-10-31,【招商通信余俊团队】宝信软件（600845.SH）业绩符合预期，智慧制造打造工业互联网新增长极,俊Sir通信研究
14,2021-10-29,宝信软件(600845.SH)：第三季度净利升51.44%至4.70亿元,格隆汇
15,2021-10-29,宝信软件：前三季度净利润同比增长44.57%,Wind
16,2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春等最新持股大曝光,Wind
17,2021-10-18,宝信软件：IDC五期1号楼正在实施过程中,Wind
18,2021-10-13,白酒基金经理cos矿工直播“挖煤”引20万人围观！,Wind
19,2021-10-11,宝信软件今日大宗交易成交3.80万股，成交价66.0元溢价0.0%,Wind
20,2021-10-01,公募基金规模创下23.76万亿元新高的背后：爆款缩水，发行内卷，基金公司登上新品发行快车道？,Wind
21,2021-09-30,宝信软件：近期的限电政策对公司的IDC业务无影响,Wind
22,2021-09-23,宝信软件今日大宗交易成交3.75万股，成交价66.79元溢价0.0%,Wind
23,2021-09-23,北向资金净卖出额创近一个月新高，银行股遭大幅抛售,Wind
24,2021-09-14,中信证券：数据底座，长期景气,Wind
25,2021-08-31,VR产业奇点或至，科技巨头竞逐万亿级市场,Wind
26,2021-08-26,当前时点，为什么我们再度重视新基建及5G应用的投资机会？,金融界
27,2021-08-23,国泰君安晨报,新浪
28,2021-08-20,【招商通信余俊团队】宝信软件（600845.SH）业绩增长强势，工业智造核心能力进一步凸显,俊Sir通信研究
29,2021-08-19,晚间重要公告2021年8月19日星期四,Wind
30,2021-08-19,业绩再创新高 宝信软件(600845.SH)上半年归母净利增40.44%至9.25亿元,智通财经
31,2021-08-19,宝信软件：上半年净利润同比增长40.44%,Wind
32,2021-08-12,科技+成长！网络安全升温，业绩加速释放,Wind
33,2021-08-12,全球57%的钢铁产能，怎样联合起来？,观察者网
34,2021-08-11,计算机行业周报：用友发布精智工业互联网平台3.0 企业云化面临更多网络安全问题,新浪
35,2021-08-11,突破大型PLC，宝信软件十年研发造就国货之光,证券之星
36,2021-08-08,【招商通信余俊团队】华为半年报喜忧参半，阿里二季度capex环比大幅提升——招商通信周周谈（2021年第32周）,俊Sir通信研究
37,2021-08-08,通信设备及服务行业：中国电信回A获批 通信下半年三条主线布局,新浪
38,2021-08-08,计算机行业周报：工业软件有哪些重要变化,新浪
39,2021-08-08,通信周报2021年第31期：中国移动完成5G模组集采 全球企业云市场需求强劲,新浪
40,2021-08-05,宝信软件：宝信软件积极参与全国碳排放权交易系统的数据中心运营保障工作,Wind
41,2021-08-04,通信设备及服务行业：2021Q2北美云厂商业绩专题：资本开支同比高增 未来投资较为乐观,新浪
42,2021-08-04,周三机构一致看好的十大金股,国金证券股份有限公司
43,2021-08-03,国信证券给予宝信软件买入评级，重大事件快评：突破大型PLC，十年研发填补国内空白,每日经济新闻
44,2021-08-03,注意！宝信软件：部分董事及高管计划减持不超过 33 万股公司股份 拟减持股份,ZAKER
45,2021-08-03,宝信软件：董事、高级管理人员拟合计减持公司股份不超0.022%,Wind
46,2021-08-03,宝信软件(600845.SH)：若干董事及高管拟减持不超33万股 拟减持股份,格隆汇
47,2021-08-03,通信行业云计算产业链系列报告(一)：云计算投资拐点显现 ICT产业格局风云际会,新浪
48,2021-08-02,计算机周报：领军企业中报表现亮眼 看好高端制造等高景气细分,新浪
49,2021-08-02,计算机周观点：解决“卡脖子”难题 高度重视工业软件产业趋势,新浪
50,2021-08-02,区块链：算力重构 通向METAVERSE的阶梯,新浪
51,2021-08-02,通信·产业追踪：重点关注【硬科技三剑客】宝信&中兴&紫光,新浪
52,2021-08-01,计算机行业：景气度与环境契合 继续推荐智能汽车和工业软件等结构性机会,广发证券
53,2021-07-30,计算机行业2021Q2基金持仓分析：行业CR20持仓集中度持续攀新高 互联网金融持仓大幅增加,新浪
54,2021-07-29,北向资金今日净买入逾42亿元，比亚迪、东方雨虹净买入居前,Wind
55,2021-07-29,宝信软件(600845)：十年一剑PLC 工业互联网+IDC两开花,新浪
56,2021-07-28,工控系统行业报告：看PLC/DCS/SCADA市场的中国机遇,新浪
57,2021-07-28,宝信软件(600845)：十年磨一剑 软件业务产品化新起点,新浪
58,2021-07-28,宝信软件(600845)：PLC产品有望推动产品线扩展加速,新浪
59,2021-07-27,宝信软件：公司IDC业务中与运营商签约的部分，宽带费用由运营商承担,每日经济新闻
60,2021-07-27,宝信软件：公司医药行业的业务目前无独立上市的计划,Wind
61,2021-07-27,计算机行业周报：Q2基金持仓回升 关注白马边际改善和行业信创,新浪
62,2021-07-26,十年一剑 宝信软件发布国产大型PLC产品,中国网
63,2021-07-26,宝信软件发布工控系统新产品,上证报
64,2021-07-25,【民生计算机|周观点】二季度持仓回顾：集中度提升，聚焦龙头与景气赛道,MS计算机
65,2021-07-25,【招商通信余俊团队】6月5G基站建设加速，电信收入增速跃升，下半年行业可期——招商通信周周谈（2021年第30周）,俊Sir通信研究
66,2021-07-25,通信行业重大事项点评：六部委联合发文推动“教育新基建” 指引了哪些通信板块的应用方向？,新浪
67,2021-07-25,计算机行业：基金二季报持仓全分析,新浪
68,2021-07-25,计算机行业2021Q2基金持仓分析：环比提升 加配产业互联网,新浪
69,2021-07-23,信达证券维持宝信软件买入评级：上海能耗指标落地，宝信软件核心受益,每日经济新闻
70,2021-07-22,2021年2季度FOF季报分析：二季度FOF业绩规模双升 持基集中度有所下降,新浪
71,2021-07-22,基金二季报重仓股调查：仓位稳中有升，增配三大行业,Wind
72,2021-07-22,工业软件&工业互联网系列研究(6)：多重利好支持 工业互联网平台融资创新高,新浪
73,2021-07-22,基金顶流压轴出场！仓位新低、重仓换血，未来咋走？,Wind
74,2021-07-20,通信周报2021年第28期：建议重视四大投资主线,新浪
75,2021-07-19,高端制造：科技行业物联网周报：台积电：本季度开始4NM试产 半导体供应紧张将持续到明年,新浪
76,2021-07-19,计算机行业周报：网络安全八大核心问题聚焦,新浪
77,2021-07-19,民生计算机周报：政策催化+市场扩容 网安景气度提升可期,新浪
78,2021-07-18,【招商通信余俊团队】IDC进入行业洗牌阶段，物联网行业需求持续爆发——招商通信周周谈（2021年第29周）,俊Sir通信研究
79,2021-07-18,通信设备及服务行业：中国电信回A迫近 5G应用扬帆提速,新浪
80,2021-07-18,计算机行业：中报前主题轮动下的配置选择,广发证券
81,2021-07-15,计算机行业周报：积极关注鸿蒙及工业软件板块,国海证券
82,2021-07-15,通信行业简评报告：数据中心三年行动计划发布 IDC行业供给侧改革加速,新浪
83,2021-07-14,通信行业点评报告：5G应用扬帆 产业共同繁荣,新浪
84,2021-07-13,宝信软件(600845)：钢铁领域的工业软件龙头,新浪
85,2021-07-13,工业互联网掘金系列(一)：工业4.0时代 PLC国产替代空间大,新浪
86,2021-07-12,软件及服务行业二季报前瞻：板块企稳 后市积极,新浪
87,2021-07-12,招商通信周周谈(2021年第28周)：中兴通讯半年预告业绩亮眼 电联2.1G基站招标量价齐升,新浪
88,2021-07-12,通信行业周报：电信联通启动5G招标 中兴通讯中报超预期,新浪
89,2021-07-12,券商评级：三大指数上涨九股迎来掘金良机,光大证券
90,2021-07-12,通信周报2021年第27期：电联启动2.1GHZ5G基站集采 量子发展提速,新浪
91,2021-07-12,信达证券维持宝信软件买入评级：首发自研工业互联网人工智能中台，引领智慧制造发展,每日经济新闻
92,2021-07-12,陆家嘴财经早餐2021年7月12日星期一,Wind
93,2021-07-11,宝信软件发布自主研发的中国宝武工业互联网人工智能中台,Wind
94,2021-07-10,中国宝武旗下宝信软件人工智能中台首发，助推智慧制造2.0,澎湃新闻
95,2021-07-10,中国宝武工业互联网人工智能中台发布,中证网
96,2021-07-08,【华创通信·行业周报】中国移动开启5G通用模组集中采集，加速5G终端生态繁荣,华创通信研究
97,2021-07-07,通信行业周报：中国移动开启5G通用模组集中采集 加速5G终端生态繁荣,新浪
98,2021-07-06,通信行业·IDC专题深度：IDC产业链景气周期及投资框架分析,新浪
99,2021-07-06,西部证券维持宝信软件买入评级，宝信软件中报业绩预告点评：智慧制造需求驱动业绩高增，成长动力十足,每日经济新闻
100,2021-07-06,先进制造行业2021年7月投资策略：七月防守为主 布局估值和增长匹配的中小市值标的,新浪
101,2021-07-05,A股异动|宝信软件(600845.SH)涨约4%业绩预告超预期,格隆汇
102,2021-07-05,计算机行业周报：上海：加快实施人工智能“上海方案”,新浪
103,2021-07-05,中信证券晨会,新浪
104,2021-07-05,65股获券商买入评级，恒力石化目标涨幅达73.36%,Wind
105,2021-07-04,【民生计算机|周观点】行业中报前瞻：看好高景气细分，领军企业有望实现高增,MS计算机
