,2021-12-30,山东黄金(01787)将设立矿业管理分公司,智通财经
0,2021-12-30,山东黄金：董事会通过《关于设立山东黄金矿业股份有限公司矿业管理分公司的议案》,Wind
1,2021-12-30,山东黄金(600547.SH)拟将烟台等4个矿业事业部撤并整合设立矿管分公司,智通财经
2,2021-12-28,港股异动丨山东黄金(1787.HK)涨4.39% 剥离该非核心业务 聚焦主业,格隆汇
3,2021-12-24,26股获券商买入评级，天康生物目标涨幅达43.56%,Wind
4,2021-12-23,国欣颐养集团摘牌山东黄金济南物业 成交价4.15亿 退市,观点地产网
5,2021-12-23,山东黄金(600547)：协议转让不动产 聚焦主业,新浪
6,2021-12-23,港股盘前必读：海底捞迎来第二波闭店潮,Wind
7,2021-12-22,山东黄金(01787)拟以4.146亿元出售济南舜泰广场3号楼的资产 资产异常,智通财经
8,2021-12-22,山东黄金(01787.HK)拟4.15亿元出售济南市高新区舜华路2000号舜泰广场3号楼资产 资产异常,格隆汇
9,2021-12-22,山东黄金：公司同意出售资产，总代价约为4.146亿元,Wind
10,2021-12-22,山东黄金：临时股东大会批准关于拟发行超短期融资券的议案等议案,Wind
11,2021-12-22,山东黄金(600547.SH)：济南市舜华路2000号舜泰广场3号楼由国欣颐养投资以4.146亿元摘牌 退市,格隆汇
12,2021-12-22,国欣颐养投资以4.15亿元受让山东黄金(600547.SH)名下相关房产,智通财经
13,2021-12-22,Gold Virtue Limited减持山东黄金(01787)50万股，每股作价约12.91港元 减持股份,智通财经
14,2021-12-21,Gold Virtue Limited12月17日减持50万股山东黄金股份，涉资645.29万港元 减持股份,Wind
15,2021-12-17,山东黄金(01787.HK)遭Gold Virtue Limited减持50万股 减持股份,格隆汇
16,2021-12-13,山东黄金完成发行5亿元超短期融资券,Wind
17,2021-12-13,山东黄金(600547.SH)完成发行5亿元超短期融资券,智通财经
18,2021-12-12,2021年三季度中国贵金属行业A股上市企业营收排行榜：银泰黄金每股收益最高,智研咨询
19,2021-12-09,山东黄金(01787.HK)“20鲁金Y2”拟12月21日付息,格隆汇
20,2021-12-09,山东黄金(01787)：每手“20 鲁金 Y2”将于12月21日派息46.9元,智通财经
21,2021-12-09,山东黄金：2020年公开发行可续期公司债券（面向专业投资者）（第二期）2021年付息,Wind
22,2021-12-07,港股公告精选：吉利汽车11月汽车销量环比增长约22%至13.59万部,Wind
23,2021-12-06,山东黄金：复工复产成效显著 11月黄金产量超去年同期,中证网
24,2021-12-06,山东黄金(01787)拟通过平安资产公司设立的保险资金债权投资计划进行融资,智通财经
25,2021-12-06,山东黄金(01787.HK)：黄金产量持续提升 生产经营形势持续向上向好,格隆汇
26,2021-12-06,山东黄金(600547.SH)11月份当月合计黄金产量超过2020年同期,智通财经
27,2021-12-06,山东黄金(01787.HK):矿权整合拟变更至山东黄金莱州公司名下,财华社
28,2021-12-03,山东黄金(600547.SH)披露办理相关矿权整合事项,格隆汇
29,2021-12-03,山东黄金最新公告：相关矿权整合过户工作进入公示阶段,证券之星
30,2021-12-03,山东黄金：控股股东山东黄金集团部分位于莱州区域的金矿矿权等整合,Wind
31,2021-12-03,最新增持计划来了，11股滞涨还获北上资金加仓,Wind
32,2021-12-01,上市公司正负面新闻2021年12月1日星期三,Wind
33,2021-11-30,山东黄金(01787)拟为附属公司贷款提供担保 大额借贷担保,智通财经
34,2021-11-30,晚间重要公告2021年11月30日星期二,Wind
35,2021-11-30,【晚间公告抢先看】*ST众泰重整计划获法院裁定批准、宁德时代预计向飞荣达采购约36亿元,金融界
36,2021-11-30,山东黄金(600547)：召开2021年第三次临时股东大会，股东大会召开日期为2021年12月22日,资本邦
37,2021-11-30,山东黄金(600547)：为山东黄金矿业（莱州）有限公司融资提供担保 大额借贷担保,资本邦
38,2021-11-30,"山东黄金：截至本公告日，公司及控股子公司对外担保的贷款合同金额10.75亿美元，实际担保的贷款余额8.55亿美元（折合人民币约54.61亿元）
大额借贷担保",每日经济新闻
39,2021-11-30,山东黄金：拟为山东黄金矿业（莱州）有限公司人民币42.79亿元贷款提供担保,Wind
40,2021-11-30,山东黄金：12月22日召开2021年第三次临时股东大会,Wind
41,2021-11-30,山东黄金：拟发行总额不超过100亿元的超短期融资券,Wind
42,2021-11-30,"山东黄金工业""十四五""规划：启动""一条龙""培育计划",大众日报
43,2021-11-29,金属、非金属与采矿行业周报：南非变异病毒扰动供给 钴价有望再超预期,新浪
44,2021-11-25,第一上海丨【大市分析】大盘回整弱势未改 山东黄金可趁低吸,第一上海金融
45,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
46,2021-11-24,有色金属行业：新能源汽车景气度向好 关注稀土和铜板块,新浪
47,2021-11-24,外贸新规划出炉，明确五大目标，受益股曝光,Wind
48,2021-11-23,山东黄金(01787)：每手“20 鲁金 Y1”将于12月3日派息48元,智通财经
49,2021-11-23,山东黄金：“20鲁金Y1”债券付息日12月3日,Wind
50,2021-11-23,山东黄金：“21鲁金SCP006”于11月19日发行，发行利率2.67%,Wind
51,2021-11-23,山东黄金(01787)发行5亿元超短期融资券,智通财经
52,2021-11-23,10家公司获股东增持超亿元，A股缘何再掀增持潮？,Wind
53,2021-11-23,山东黄金(600547.SH)完成发行5亿元2021年度第六期超短期融资券,智通财经
54,2021-11-23,山东黄金(600547.SH)：“20鲁金Y1”于12月3日付息,智通财经
55,2021-11-22,15家公司重要股东开启增持模式 累计增持7.92亿元（附股）,证券时报网
56,2021-11-15,【港股通】山东黄金(01787)增持A股390.03万股,和讯
57,2021-11-15,山东黄金(01787)获控股股东累计增持440万股A股,智通财经
58,2021-11-15,山东黄金：黄金集团增持金额已超过增持计划金额下限，增持计划尚未实施完毕,每日经济新闻
59,2021-11-15,山东黄金：控股股东累计增持440万股A股股份，占公司总股本的0.0984%,Wind
60,2021-11-15,山东黄金(600547.SH)：黄金集团累计增持440万股,格隆汇
61,2021-11-12,有色钢铁行业周策略(2021年第44周)：采暖季与能耗双控叠加 Q4供给或承压,新浪
62,2021-11-12,A股早报2021年11月12日星期五,Wind
63,2021-11-11,恒指午盘跌0.15%，黄金股逆市走强,Wind
64,2021-11-11,美国通胀加速刺激金价大涨，黄金概念股迎来机会,第一财经
65,2021-11-11,黄金股普遍走升，萃华珠宝率先封板,Wind
66,2021-11-10,有色钢铁行业周策略：新能源需求强劲 锂矿价格持续上涨,新浪
67,2021-11-06,下周341亿市值限售股解禁，迈为股份解禁超百亿居首 解禁,Wind
68,2021-11-05,山东黄金(600547.SH)：7794.8821万股限售股将解禁 解禁,格隆汇
69,2021-11-05,山东黄金(600547.SH)7794.88万股限售股将于11月12日上市流通 解禁,智通财经
70,2021-11-05,山东黄金：约7794.88万股限售股11月12日解禁，占比1.7425% 解禁,每日经济新闻
71,2021-11-05,山东黄金：7794.88万股重大资产重组限售股11月12日上市流通 解禁,Wind
72,2021-11-02,黄金股异动，西部黄金、山东黄金、中金黄金跳涨,Wind
73,2021-11-02,山东黄金：公司的黄金销售价格是根据市场行情变化来确定的,每日经济新闻
74,2021-11-02,山东黄金：公司的主业为黄金开采、加工冶炼等，暂无开展其他业务的计划,每日经济新闻
75,2021-10-29,三季报十大亏损王 华夏幸福亏134亿居首,投资快报
76,2021-10-28,止盈转亏 山东黄金2021年前三季度净亏损12.54亿元,资本邦
77,2021-10-28,中国黄金协会：前三季度我国黄金消费量同比增长48.44%,Wind
78,2021-10-27,【港股通】 山东黄金(01787)前三季度净亏损约12.54亿元 同比盈转亏 亏损,和讯
79,2021-10-27,山东黄金(01787)拟为山东黄金香港公司2亿美元境外贷款提供担保 大额借贷担保,智通财经
80,2021-10-27,山东黄金：第三季度归属于股东的净利润为1.09亿元，同比下滑84.25% 盈利能力下降,Wind
81,2021-10-27,山东黄金：第六届监事会审议通过了《公司 2021 年第三季度报告》 等议案,Wind
82,2021-10-27,山东黄金：第三季度净利1.09亿元 同比下降84% 盈利能力下降,财联社
83,2021-10-27,山东黄金(600547.SH)：第三季度归母净利降84.25%至1.09亿元 盈利能力下降,格隆汇
84,2021-10-27,黄金产量降约45% 山东黄金(600547.SH)前三季度归母净亏损12.54亿元 亏损,智通财经
85,2021-10-27,图解山东黄金三季报：第三季度单季净利润同比减84.25% 盈利能力下降,证券之星
86,2021-10-27,交卷！山东黄金：2021年第三季度净利润约1.09亿元，同比下降84.25% 盈利能力下降,每日经济新闻
87,2021-10-27,山东黄金：董事会会议审议通过《关于开展权益型并表合伙企业证券化业务的议案》,Wind
88,2021-10-27,山东黄金：前三季度净亏损12.54亿元，由盈转亏 亏损,Wind
89,2021-10-27,山东黄金1787｜首三季转蚀12.5亿人币 | 头条金融网 亏损,头条日报
90,2021-10-26,【权益变动】山东黄金(01787.HK)获Schroders PLC增持28.35万股,财华社
91,2021-10-22,山东上市企业观察|前三季度亏损12.5亿元，山东黄金能否“浴火重生” 亏损,财经网
92,2021-10-21,【行情】黄金股异动拉升，赤峰黄金涨超7%，山东黄金、湖南黄金、银泰黄金、中金黄金等跟涨,金十数据
93,2021-10-20,山东黄金(01787.HK)获Schroders PLC增持28.35万股,格隆汇
94,2021-10-19,有色金属行业周报：新能源车销量环比高增 持续看好锂铝,新浪
95,2021-10-19,有色钢铁行业周报：限电推动价格上行 关注低库存品种,新浪
96,2021-10-18,山东黄金(01787)完成发行5亿元2021年度第五期超短期融资券,智通财经
97,2021-10-18,山东黄金(600547.SH)：完成发行5亿元超短期融资券,格隆汇
98,2021-10-18,山东黄金：预计2021年前三季度亏损12.50亿元 净利润同比下降-167.82% 预亏,资本邦
99,2021-10-18,港股10月15日早报：康希诺新疗法中和抗体水平最高升300倍 山东黄金预亏,财联社
