,2021-12-31,消息称立讯精密将成苹果顶级供应商：逐步取代富士康,快科技
0,2021-12-31,视频｜富士康工业互联网股份有限公司董事长李军旗：用数据来驱动制造业的转型升级,每日经济新闻
1,2021-12-31,牵手富士康入场“造芯”，联手孚能科技布局动力电池，吉利“借力”多点开花,Ofweek
2,2021-12-30,从半导体元器件到电池和底盘，富士康要实现电动汽车的全产业链造车？,36氪
3,2021-12-30,与富士康正式合体，吉利的代工“历险记”开启？,ZAKER
4,2021-12-30,印度富士康 iPhone 生产再次中断 工厂被苹果列入合规观察名单,ZAKER
5,2021-12-30,元宇宙半导体新能源汽车齐发力工业富联跻身深圳上市公司十强,挖贝网
6,2021-12-30,苹果：富士康印度工厂住宿及餐厅条件不合标准 将确保全面纠正,格隆汇
7,2021-12-29,联创电子：公司产品的毛利率略有下降主要是近年来公司产品结构有所调整 盈利能力下降,Wind
8,2021-12-29,先百度后富士康 吉利的“新造车”版图,北京商报
9,2021-12-29,吉利与富士康合资的“专业汽车代工厂”落地，FF或为首个客户,经济观察网
10,2021-12-29,深圳466家上市公司扫描：多指标领先京沪,Wind
11,2021-12-29,食物中毒事件后 富士康宣布重组印度工厂管理层,TechWeb
12,2021-12-29,吉利与富士康成立富吉康公司 经营范围涉及芯片产品制造等,第一电动网
13,2021-12-29,深圳466家上市公司扫描：2020年员工人均薪酬18.96万，人均净利润等指标领先京沪,21世纪经济报道
14,2021-12-29,苹果公司：将富士康位于印度斯里佩鲁姆布杜尔的工厂列入观察期,财联社
15,2021-12-29,苹果公司：富士康印度钦奈郊区工厂进入试用期 将进行详细评估,财联社
16,2021-12-29,苹果(AAPL.O)发言人：富士康在印度的钦奈郊区Sriperumbudur工厂进入试用期，将继续密切关注情况,金十数据
17,2021-12-29,吉利、富士康成立富吉康智能制造公司，含集成电路芯片及产品制造,IT之家
18,2021-12-29,吉利与富士康成立富吉康,北京商报
19,2021-12-29,吉利、富士康成立富吉康智能制造公司，注册资本1亿元,Wind
20,2021-12-29,吉利、富士康成立富吉康智能制造公司，注册资本1亿元,e公司
21,2021-12-29,吉利与富士康成立富吉康 经营范围含芯片产品制造等,财联社
22,2021-12-28,利和兴：公司与富士康交易结算币别为人民币,每日经济新闻
23,2021-12-28,工业富联ESG再获国际权威机构认可 MSCI再次上调评级,挖贝网
24,2021-12-27,富士康淡季罕见大招工奖金1万 苹果13提前备货：我国高级技工人才缺口巨大,快科技
25,2021-12-27,工业富联入选APEC中国工商理事会“中国数字经济产业示范样本50”,挖贝网
26,2021-12-27,20亿股解禁 居然之家如何面对这场“大考”？ 解禁,凤凰网
27,2021-12-27,市场消息：在停产一周后，富士康位于印度钦奈的工厂将再关闭三天，预计12月30日恢复投产 经营问题,金十数据
28,2021-12-27,富士康位于印度钦奈工厂将再关闭三天 经营问题,Wind
29,2021-12-27,富士康等工厂春节前大量招工，入职奖励1万元，业内人士：可能有套路，打卡期满前被辞退,新浪
30,2021-12-27,立讯精密出手迅速，郭台铭始料未及，富士康市场遭瓜分,中国家电网
31,2021-12-25,富士康印度工厂因中毒事件再关三天，已试产iPhone 13,36氪
32,2021-12-24,光华科技：公司客户有：罗门哈斯、霍尼韦尔、美维、富士康、宝洁、安利、高露洁、依利安达、惠亚集团等,每日经济新闻
33,2021-12-24,富士康未告知员工职业病危害被罚15万,新京报
34,2021-12-24,工业富联刘宗长：灯塔工厂如何引领制造业数字化转型？,金融界
35,2021-12-24,富士康否认有意介入 东风裕隆重整前景扑朔迷离,ZAKER
36,2021-12-24,2021中国智能制造企业百强榜：富士康、海尔、吉利控股位列前三,OFweek
37,2021-12-23,工业富联子公司回应“被列入经营异常”：已移出异常名录 列入经营异常名录,上证报
38,2021-12-23,工业富联李军旗：保持清醒，打持久战,中国企业家杂志
39,2021-12-23,富士康关联公司被列入经营异常名录！公示企业信息弄虚作假 列入经营异常名录,奥一网
40,2021-12-23,立讯精密扩厂剑指富士康？,挖贝网
41,2021-12-23,工业富联子公司被列经营异常 公示企业信息弄虚作假 经营问题,中国经济网
42,2021-12-23,富士康申请注册元宇宙商标,零壹财经
43,2021-12-23,科技专题策划稿四|歌尔凭VR突围 欧菲光借新能源车“翻盘” “果链”们明年如何发力？,财联社
44,2021-12-23,金牛奖榜单揭晓 工业富联获殊荣,质量新闻网
45,2021-12-23,富士康独家回应：富士康与东风裕隆预重整项目没有关系，不会介入,经济观察网
46,2021-12-23,工业富联荣获中国证券报“金牛最具投资价值奖”,挖贝网
47,2021-12-23,美国建厂三年后，富士康首次获得税收减免,新浪
48,2021-12-22,工业富联大宗交易成交3006.49万元,证券时报网
49,2021-12-22,"工业富联现1笔大宗交易 共成交3,006.49万元",新浪
50,2021-12-22,工业富联今日大宗交易成交251.80万股，成交价11.94元溢价0.25%,Wind
51,2021-12-22,联得装备：公司客户包括京东方、华星光电、苹果、富士康、夏普、业成、华为、蓝思科技等,每日经济新闻
52,2021-12-22,消息称立讯精密正建造大型苹果iPhone组装工厂以打破富士康垄断,Wind
53,2021-12-22,消息称立讯精密正建造大型苹果iPhone组装工厂，打破富士康垄断,IT之家
54,2021-12-22,“果链”嗨了！3500亿龙头将建大型iPhone组装厂，欲破富士康垄断,AI财经社
55,2021-12-22,工业富联于莆田参股成立股权投资合伙企业,乐居财经
56,2021-12-21,工业富联大宗交易成交208.50万股 成交额2535.36万元,证券时报网
57,2021-12-21,"工业富联现1笔大宗交易 共成交2,535.36万元",新浪
58,2021-12-21,工业富联今日大宗交易成交208.50万股，成交价12.16元溢价0.08%,Wind
59,2021-12-21,工业富联进军半导体 “芯”路征程已开启,质量新闻网
60,2021-12-21,手握大量专利技术 工业富联积极布局元宇宙产业链,上证报
61,2021-12-21,印度清奈富士康工厂试产iPhone 13 预估明年2月正式量,砍柴网
62,2021-12-21,“隐形巨兽”工业富联入局半导体 将为中国芯片行业带来什么？,挖贝网
63,2021-12-21,12月21日盘前重要公司新闻,上证报
64,2021-12-21,元宇宙+半导体+新能源汽车“三驾马车”谋转型 工业富联郑弘孟： 这是一场面向星辰大海的征途,上证报
65,2021-12-20,工业富联牵手恩智浦布局新能源汽车 2023年量产智能座舱,21经济网
66,2021-12-20,起底知网：大发学术财？学术富士康？定位偏差的知识工程？,IT时报
67,2021-12-20,解码工业富联的半导体战略：夯实主业 瞄准“中国芯”,挖贝网
68,2021-12-20,线上盛会，重磅来袭-“OFweek 2021中国智造CIO在线峰会暨智能制造数字化转型在线展”即将启幕,Ofweek
69,2021-12-19,失去华为后，台积电的弊端越来越明显，陷入富士康“同款陷阱”,搜狐
70,2021-12-18,富士康印度工厂突发食物中毒事件 iPhone 11生产悬了?,快科技
71,2021-12-18,国内财经媒体头版2021年12月18日星期六,Wind
72,2021-12-18,工业富联：“早鸟”的机遇与烦恼,Wind
73,2021-12-16,工业富联牵手恩智浦加速进军新能源汽车领域,上证报
74,2021-12-16,恩智浦(NXPI.US)携手工业富联(601138.SH)，加速汽车技术创新,智通财经
75,2021-12-16,印度拿100亿美元吸引半导体/显示屏制造商建厂，富士康感兴趣,网易
76,2021-12-15,工业富联：剑指高端制造,新浪
77,2021-12-15,长江证券：看好工业富联参与半导体产业链投资,凤凰网
78,2021-12-14,工业富联(601138)：参与设立产业投资基金 把握优质投资机会,新浪
79,2021-12-14,工业富联再做LP！出资22亿牵手东莞、珠海国资设高精制造基金，背后更有千亿级集成电路生态版图,创业资本汇
80,2021-12-14,20股获买入评级 最新:聚合顺,中财网
81,2021-12-14,牵手智路资本、地方国资成立投资基金 工业富联半导体布局落下关键一子,上证报
82,2021-12-14,富士康又开始“招兵买马”，积极备战新年销售季,Ofweek
