,2021-12-31,2021年十大牛股和熊股出炉，最牛股大涨566%,Wind
0,2021-12-31,工商银行：全额赎回本期面值共计500亿元的次级债券,Wind
1,2021-12-31,工商银行(601398.SH)：全额赎回面值共计500亿元的次级债券,格隆汇
2,2021-12-31,工行票据营业部持续提升风险管理智能化水平 打造票据业务风控新模式,陆家嘴金融网
3,2021-12-31,工商银行多举措提升票据回购业务风险管控能力,陆家嘴金融网
4,2021-12-31,工行票据营业部西安分部 筑牢风险防火墙 促经营稳发展,陆家嘴金融网
5,2021-12-31,延江股份(300658.SZ)：拟向工商银行厦门翔安支行申请项目贷款不超4.2亿元,格隆汇
6,2021-12-31,因个人汽车消费贷“三查”不尽职，工商银行金昌分行被罚25万 金融监管处罚,中华网
7,2021-12-31,携手再上新台阶 工商银行联合简单汇落地首笔跨境金单业务,凤凰网
8,2021-12-31,银行财眼 | 工商银行金昌分行被罚25万元：因贷款“三查”不尽职 金融监管处罚,凤凰网
9,2021-12-31,多家银行“代客理财”产品暂停购买,扬子晚报
10,2021-12-31,铁打的银行流动的高管，“年轻时代”走上C位,Wind
11,2021-12-31,用科创评级为企业授信 高新区来了个“工行科创中心”,中国科技网
12,2021-12-31,21家银行勠力14万亿绿色信贷，7家头部银行占比超七成,Wind
13,2021-12-31,21家银行勠力14万亿绿色信贷 7家头部银行占比超七成,21世纪经济报道
14,2021-12-30,“顽固”的茅台，“崛起”的宁德，速览2021年A股前十大公司市值变迁,财联社
15,2021-12-30,助力上海科创中心建设，工商银行打出科创金融“组合拳”,第一财经
16,2021-12-30,工行金融市场：人民币汇率市场每日概览,理财18
17,2021-12-30,因信贷资金被挪用等，工商银行阜阳分行被罚95万 资金问题,中华网
18,2021-12-30,银行财眼 | 工商银行阜阳分行被罚95万元：因信贷资金被挪用等多项违规行为 资金问题,凤凰网
19,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
20,2021-12-30,工行广西分行：推动创建农业智慧平台 助力乡村振兴,中国金融新闻网
21,2021-12-30,“中征政采贷”在广东全面落地，解决信贷回款风险控制难问题,奥一网
22,2021-12-30,美债收益率多数上涨 国际金价震荡收跌|工行连线,第一财经
23,2021-12-30,上海黄金交易所第49期行情周报：白银和铂金交易量跌三成,汇通网
24,2021-12-30,全面助力体育产业小微企业发展工行成都分行发放全省同业首笔“体育贷”,搜狐
25,2021-12-30,盘点工商银行2021：绿色金融的“国家队”,阿尔法工场
26,2021-12-30,携手共进、砥砺前行，金融助力碳市场国际化发展,全景网
27,2021-12-30,在未来城市建设未来银行 中国工商银行河北雄安分行启程迈向“元宇宙”,中国金融新闻网
28,2021-12-30,2021黄金盘点：疫情叠加通胀，全球央行持仓量创31年新高,Wind
29,2021-12-29,工行公告：融e购平台服务有大变化！,丁丁创e
30,2021-12-29,中国工商银行：截至11月末工行制造业贷款余额超2万亿元,经济日报
31,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
32,2021-12-29,因按揭贷款管理不审慎，工商银行漳州开发区支行被重罚265万 金融监管处罚,中华网
33,2021-12-29,工行加强精准滴灌 助力“专精特新”企业成长,财经网
34,2021-12-29,中国区域金融力排行榜：北京登顶，江浙紧逼,Wind
35,2021-12-29,直播带货迎新年 “政采贷”助小微,中国金融新闻网
36,2021-12-29,近2500个银行网点关停背后：科技、管理人才求贤若渴,Wind
37,2021-12-29,“隐私计算”助力普惠金融发展,经济参考报
38,2021-12-28,广东省“中征政采贷”业务全面落地,新快报
39,2021-12-28,中国工商银行又发重要通告！,丁丁创e
40,2021-12-28,艾融软件再拿下2个大单！中标工商银行和上海银行两大采购项目,同壁财经
41,2021-12-28,工行内蒙古分行：持续提升制造业金融服务水平,中国金融新闻网
42,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
43,2021-12-28,一封感谢信，凸显工行重庆钢花路支行践行普惠金融使命与担当,上游新闻
44,2021-12-28,蹄疾步稳做小微 工商银行普惠金融增速快结构好质量优,红周刊
45,2021-12-28,大银行纷纷暂停，四川天府银行何以“逆势”推出基金投顾平台,澎湃新闻
46,2021-12-28,稳坐第一绿色金融大行！联合国前副秘书长点赞！工行打造绿色金融特色服务新范式,新浪
