,2021-12-31,金融科技破解西安医药企业资金难题，平安银行全力支持抗疫,凤凰网
0,2021-12-31,平安银行“卫星上天”一周年，不只解决供应链金融风控难题,钛媒体
1,2021-12-31,A股资金流向：市场完美红盘收官，指数波澜不惊,Wind
2,2021-12-31,个人不良贷款批转业务岁末回望,中国经营报
3,2021-12-31,"资讯：平安银行信用卡""A+""新核心系统获央行、证监会认可：科技创新引领业务发展 助力完善生态圈",财联社
4,2021-12-31,以科技为“钥匙”破解发展难题 平安银行信用卡“A+”新核心系统获得金融科技发展奖一等奖,中国网
5,2021-12-31,智能化升级！平安银行两届蝉联“亚太最佳手机银行APP”奖,凤凰网
6,2021-12-31,民生银行信用卡业务投诉量上半年在湖南居股份制商业银行首位,中国经济网
7,2021-12-31,多家银行“代客理财”产品暂停购买,扬子晚报
8,2021-12-31,“小包演练”盛行，个人不良贷款转让业务“摸着石头过河”,Wind
9,2021-12-30,年末26亿元个贷不良“包袱”集中甩卖，这些难点仍存,中证报
10,2021-12-30,银行APP掀起“瘦身”潮！,中国银行保险报
11,2021-12-30,对话平安银行CY团队：FICC赛道蓄势待发，“避险”如何成为市场波动破局利器？,华夏时报
12,2021-12-30,平安银行12月30日大宗交易成交965.12万元,证券时报网
13,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
14,2021-12-30,平安银行现1笔大宗交易 共成交965.12万元,新浪
15,2021-12-30,新突破！平安银行在部级金融科技奖项中首获一等奖，共四个优秀项目获奖,和讯
16,2021-12-30,2021银行板块回顾：估值与基本面分化，强者恒强再延续,智通财经
17,2021-12-30,自主研发卫星终端背后：平安银行正以物联网与金融的结合构建新商业模式,经济观察网
18,2021-12-30,平安银行信用卡“A+”新核心系统荣获央行、证监会金,中经导报
19,2021-12-29,2022平安银行十大重点项目：路径清晰 未来可期,搜狐
20,2021-12-29,7成下跌、9成破净，银行股悲惨的一年,第一财经
21,2021-12-29,中国平安2021：逆水行舟，动能换挡 | 公司观察,巴伦周刊
22,2021-12-29,平安银行零售业务新征程：让优质金融服务普惠万家,证券日报网
23,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
24,2021-12-29,平安银行零售AUM突破3万亿后 下一站在哪里？,投资快报
25,2021-12-29,平安银行广州分行首家“安全防范五星级标杆网点”正式亮相,财经网
26,2021-12-29,北向资金动向盘点：连续净买电新，王者已归来？,Wind
27,2021-12-29,商业银行行业：商业银行业日报,新浪
28,2021-12-29,北向资金净买入13亿元，增持银行电池，扫货这些个股,21世纪经济报道
29,2021-12-28,与大湾区“同频共振” 平安银行的“建设者”之路,金融界
30,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
31,2021-12-28,平安银行颐年学院携手全民K歌带动颐年服务升温,质量新闻网
32,2021-12-28,服务实体经济、助力乡村振兴、响应“双碳”目标 中国平安这一年很忙,每日经济新闻
33,2021-12-28,找钢网参加平安银行“数字贷推介暨现场签约仪式”,钢企网
34,2021-12-28,年终报道 | 年内共有20家银行获超300家机构调研 苏州4家银行名列年度机构调研热榜前茅,财联社
35,2021-12-27,银行兴起数字极简风：“智能手机App恐惧症”终于有救了,第一财经
36,2021-12-27,让最优质的金融产品与服务普惠万家,中金在线
37,2021-12-27,近九成A股上市银行破净,财经杂志
38,2021-12-27,平安银行(000001.SZ)给予平安国际融资租赁65亿元综合授信额度,智通财经
39,2021-12-27,从盲人摸象到AI“附体”，平安银行创新特殊资产估值体系,南都报
40,2021-12-27,以“娱乐+消费”再掀新零售风潮，平安银行城事朋友节引爆全民欢聚力,凤凰网
41,2021-12-27,发射卫星、火箭，平安银行搭建星云物联网平台,21商评网
42,2021-12-27,平安银行蔡新发：商业银行数字化转型的核心宗旨在于以客户为中心,新浪
43,2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
44,2021-12-27,陆家嘴财经早餐2021年12月27日星期一,Wind
45,2021-12-26,平安银行发布地产金融白皮书,中证网
46,2021-12-26,平安银行连续第9年发布地产金融白皮书,Wind
47,2021-12-26,2022年Q1还有春季躁动行情吗？,王杨一东吴策略
48,2021-12-26,专题：TLAC之下，银行资本工具发行需求有多大？,志明看金融
49,2021-12-26,时隔十年监管再发私行专营牌照，银行零售业务破局路在何方？,Wind
50,2021-12-25,平安银行连续第9年发布地产金融白皮书 与重点房企共同推进行业良性循环和健康发展,和讯
51,2021-12-25,北向资金五个交易日出逃近78亿元，甩卖酿酒股近46亿元，扫货这些龙头股（名单）,21世纪经济报道
52,2021-12-25,个贷不良贷款转让市场升温,中国经营报
53,2021-12-25,【固收】基本面持续向好，“商行+投行”战略进行中——兴业转债（113052.SH）新券定价报告（张旭）,新浪
54,2021-12-24,从数字助农到一站式慈善规划 平安私人银行乐善公益迭代破局,中国金融新闻网
55,2021-12-24,平安银行昆明分行赴昭通市鲁甸县参加联席会议并开展乡村振兴工作调研,云南经济日报
56,2021-12-24,平安银行信用卡《笑5fin钟》破圈背后：品牌如何做好Z世代营销,钢企网
57,2021-12-24,回眸2021，中国平安十大新闻发布,第一财经
58,2021-12-24,已有534家机构开立业务账户：个贷不良资产批量转让市场升温明显,中国金融新闻网
59,2021-12-24,手机银行打法变阵：流量争夺暂停、转战财富管理,Wind
60,2021-12-23,消费金融公司硬杠反催收，固定证据、立刻报警,搜狐
61,2021-12-23,2021中国物联网金融发展大会成功举办 平安银行领衔星云开放联盟计划正式启动,和讯
62,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
63,2021-12-23,内控再曝重大疏漏！平安信托原区域负责人4年收5.3亿好处费被判刑15年 其他违规处罚,和讯
64,2021-12-23,300万元的信托产品，变成向平安银行贷款210万元？平安银行“神操作”惊呆投资者,金融界
65,2021-12-23,为小微企业发展“亮绿灯”！多家银行调整询证函类业务收费标准,《商学院》杂志
66,2021-12-23,北向资金动向盘点：集中净卖金融股,Wind
