,2021-12-31,年终盘点｜券商今年整体跑输市场 板块中8家上涨 中银证券年内腰斩成最“熊”,金融界
0,2021-12-31,2021非银板块回顾：券商无忧，保险疼痛,智通财经
1,2021-12-31,【行情】证券板块异动拉升，西南证券涨超6%，第一创业、广发证券、华林证券跟涨,金十数据
2,2021-12-31,开源金股，1月推荐,开源证券研究所
3,2021-12-31,杭锅股份：民生证券、广发证券等12家机构于12月29日调研我司,证券之星
4,2021-12-31,雅化集团：民生证券、广发证券等9家机构于12月28日调研我司,证券之星
5,2021-12-31,辽宁成大：西部证券、睿远基金等3家机构于12月29日调研我司,证券之星
6,2021-12-30,2021龙虎榜百强营业部出炉！稳居第一的又是它,Wind
7,2021-12-30,券商板块发力走高，财通证券一度涨停，广发证券等拉升,证券时报网
8,2021-12-30,【行情】券商板块异动拉升，财通证券一度涨停，广发证券、财达证券、华泰证券、华林证券等跟涨,金十数据
9,2021-12-30,荃银高科：广发证券、鹏泰资本等2家机构于12月28日调研我司,证券之星
10,2021-12-30,惠云钛业：广发证券股份有限公司于12月27日调研我司,证券之星
11,2021-12-29,券商政策红利期仍在,证券市场周刊
12,2021-12-29,广发香港人事大换血：原全国社保理事会刘中元任董事长，熊力颋任CEO 董监高成员变化,资本邦
13,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
14,2021-12-29,投顾人才战！券商投顾扩容至6.8万，中信近5200名投顾实力布局，广发占比最高，一家中型券商增速亮了,财联社
15,2021-12-28,广发证券今日大宗交易成交17.90万股，成交价24.22元溢价0.0%,Wind
16,2021-12-28,广发香港罕见外聘高管，原全国社保理事会刘中元掌舵，原国信香港熊力颋任CEO，高含财率后又添想象空间？,财联社
17,2021-12-27,广发证券监事长、职工代表监事张少华因工作变动原因辞任 董监高成员变化,北京商报
18,2021-12-27,广发证券(01776.HK)：张少华请辞监事长及职工代表监事职务 董监高成员变化,格隆汇
19,2021-12-27,广发证券：监事长辞任,Wind
20,2021-12-27,广发证券：关于公司监事长辞职的公告 董监高成员变化,新浪
21,2021-12-27,广发证券：公司监事长张少华辞职 董监高成员变化,每日经济新闻
22,2021-12-27,广发证券：张少华辞去监事长等职务 董监高成员变化,Wind
23,2021-12-27,海南航空控股股份有限公司：“11海航02”债券现金部分兑付事项,Wind
24,2021-12-27,广发证券投行解禁后首单IPO过会！子公司“直投”250万股成第二大股东 解禁,上证报
25,2021-12-27,【安信非银第38期周报】养老保险机构聚焦主业，境外上市制度完善,新角度新金融
26,2021-12-26,券商人手大比拼！两家头部券商扩张，年内增员均超2000,Wind
27,2021-12-24,信用债日报：本周信用债净融资额创7个月新低，地产债延续弱势,Wind
28,2021-12-24,广发证券(000776)：市场化筑基 产业链领航,新浪
29,2021-12-24,百合股份过会：今年IPO过关第401家 广发证券过首单,中国经济网
30,2021-12-24,国安达：西南自营、广发证券等20家机构于12月21日调研我司,证券之星
31,2021-12-23,行业首家！广发证券发布HarmonyOS智能座舱证券原子化服务,投资快报
32,2021-12-23,广发证券获评新财富“本土最佳研究团队”第一名,财联社
33,2021-12-23,新一届新财富最佳分析师评选放榜：能源开采领域广发证券夺魁,澎湃新闻
34,2021-12-23,多地披露明年一季度地方债发行计划，新增债占比大增,Wind
35,2021-12-23,年内券结新基规模超1800亿，基金公司、中小券商积极布局,Wind
36,2021-12-22,中山公用：目前公司持有“广发证券”A股9.01%，香港全资子公司持有广发证券H股1.32%,Wind
37,2021-12-21,券商行业变革，财富管理哪家强？,腾讯网
38,2021-12-21,中国上市公司协会党委书记、执行副会长柳磊走访调研部分广东上市公司,中上协
39,2021-12-21,吉林敖东：西部证券、南方基金等2家机构于12月16日调研我司,证券之星
40,2021-12-21,中粮工科：广发证券于12月17日调研我司,证券之星
41,2021-12-21,居民收入稳步提升，券商财富管理“备战升级”,Wind
42,2021-12-21,64家营业部被撤中小券商居多 头部券商缘何淡定？,全景网
43,2021-12-20,助力乡村振兴 广发证券“爱心操场”第二站落地云浮,财富动力网
44,2021-12-20,20天13板！谁在导演妖股京城股份的飙涨“戏码”,Wind
45,2021-12-20,港股盘前必读：香港交易所公布引入新规则并设立全新SPAC上市机制,Wind
46,2021-12-20,【安信非银第37期周报】保险资金投资迎松绑，利好优质创投机构,新角度新金融
47,2021-12-19,【广发金融工程】回调可能是机会,新浪
48,2021-12-19,5400万起步！淘宝又有基金公司股权拍卖 司法拍卖,Wind
49,2021-12-19,上市券商1年砍掉64家营业部，头部券商却很淡定,Wind
50,2021-12-18,2021年券商十大新闻盘点,Wind
51,2021-12-17,融资客青睐7股，长沙银行买入占比高达39.70%,Wind
52,2021-12-17,伟星股份：广发证券、广发银行股份有限公司等64家机构于12月14日调研我司,证券之星
53,2021-12-17,健帆生物：红土创新、广发证券等35家机构于12月10日调研我司,证券之星
54,2021-12-17,亿田智能：广发证券、平安资管等18家机构于12月14日调研我司,证券之星
55,2021-12-17,安信证券首席策略分析师陈果离职，下一站是这家头部券商？,Wind
56,2021-12-16,里昂：上调中资券商股目标价 首选广发证券(1776.HK),格隆汇
57,2021-12-16,全面实行注册制 券商板块估值有望提升,大众证券报
58,2021-12-16,关于同意广发证券股份有限公司为华宝现金添益交易型货币市场基金提供一般做市服务的公告,上交所
59,2021-12-16,把握行业机遇 加快财富管理转型,发布易
60,2021-12-16,券商抢基金代销蛋糕，降费之外需亮新招,Wind
61,2021-12-15,广发证券(000776.SZ)：“20广发12”兑付兑息并摘牌 退市,智通财经
62,2021-12-15,贵州三力：股东广发证券股份有限公司、广发信德投资管理有限公司、广州广发信德一期健康产业投资企业（有限合伙）、珠海康远投资企业（有限合伙）减持计划实施完毕，共减持公司股份约1028万股,每日经济新闻
63,2021-12-15,天马科技：广发证券于12月13日调研我司,证券之星
64,2021-12-14,坚朗五金：广发证券、嘉实基金等39家机构于12月9日调研我司,证券之星
