,2021-12-31,全球新冠“疫苗+特效药”拼图完成：国产疫苗2021年供应近50亿剂,Wind
0,2021-12-30,康泰生物3000万剂腺病毒新冠疫苗出口,美通社
1,2021-12-29,康泰生物(300601.SZ)选举蔡早德、尹爱萍为职工代表监事,智通财经
2,2021-12-29,西南证券医药2022年度策略：未来医药估值有望均衡，“穿越医保”和“疫情脱敏”是两条核心主线,Wind
3,2021-12-28,重点看好中药配方颗粒量价齐升，新基建和国产替代推动高端医疗设备加速成长,金融界
4,2021-12-27,深度！2021年中国人用疫苗行业竞争格局及市场份额分析 整体市场集中度有待提高,前瞻研究院
5,2021-12-27,医药生物行业周报：中药板块基本面有何变化 后期如何布局？,新浪
6,2021-12-20,CXO增长可持续性强，看好中药板块投资机会,金融界
7,2021-12-19,揭秘牛股4大基因！18股或成下一个十倍牛股,Wind
8,2021-12-17,康泰生物跌4.06% 申银万国东吴证券高点喊买入,中国经济网
9,2021-12-17,A股再现“天价离婚案”：赛腾股份实控人“婚变” 涉30亿市值股权分割,21世纪经济报道
10,2021-12-16,天价离婚案或再现！赛腾股份“夫妻档”闹分手 实控权添变数,财联社
11,2021-12-16,康泰生物与中国肝炎防治基金会携手助力乙肝防控,经济日报
12,2021-12-16,22股获券商买入评级，康泰生物目标涨幅达97.29%,Wind
13,2021-12-16,深圳康泰生物与中国肝炎防治基金会签约公益项目,证券时报网
14,2021-12-15,康泰生物(300601)：五价轮状病毒疫苗临床获批 研发管线再获完善,新浪
15,2021-12-15,康泰生物：公司获得腺病毒载体新冠疫苗在巴基斯坦、印度尼西亚商业化权利,每日经济新闻
16,2021-12-15,康泰生物：公司相关重组均取得有权主管部门的批复，履行了法定程序,每日经济新闻
17,2021-12-15,康泰生物：公司自主研发的13价肺炎球菌多糖结合疫苗2021年11月已在国内上市销售,每日经济新闻
18,2021-12-15,康泰生物：公司四联疫苗、23价肺炎球菌多糖疫苗、乙肝疫苗等取得了部分国家出口的证书,每日经济新闻
19,2021-12-15,康泰生物：公司产品管线储备丰富，研发能力和生产规模位居国内疫苗行业前列,每日经济新闻
20,2021-12-10,康泰生物堪比茅台？喊话员工“兜底式增持”，背后大股东大幅减持 减持股份,和讯
21,2021-12-07,医药行业2022年投资策略报告：政策扰动下分化加剧 战略性看好医药黄金赛道上的优质个股,新浪
22,2021-12-07,"康泰生物现1笔大宗交易 共成交1,304.40万元",新浪
23,2021-12-07,康泰生物今日大宗交易成交15万股，成交价86.96元折价20.21%,Wind
24,2021-12-06,医药行业2021年12月投资月报：业绩和政策真空期 医药板块有望持续反弹,西南证券
25,2021-12-06,医药生物行业：医保谈判落地 释放积极信号,新浪
26,2021-12-05,下周操盘攻略：均衡配置成长与价值,Wind
27,2021-12-05,我国自主研发全球首款双载体13价肺炎疫苗上市,科技日报
28,2021-12-05,全球首款双载体13价肺炎疫苗上市，康泰生物子公司研发,证券时报网
29,2021-12-04,国内13价肺炎疫苗“三强争霸”格局成形：国产全球首款双载体疫苗上市,21世纪经济报道
30,2021-12-03,生物制药行业深度研究：生物制品行业1至11月批签发回顾与分析,国金证券股份有限公司
31,2021-12-02,芯片龙头涨停，低位高景气热门股名单来了,Wind
32,2021-12-01,Omicron病毒提升医药行业关注度，市场风格切换至中小市值标的,金融界
33,2021-12-01,医药生物行业：OMICRON毒株引发全球关注 重视疫苗板块机会,新浪
34,2021-11-30,应对奥密克戎变异株，各国加速新疫苗研发,Wind
35,2021-11-29,医药行业周报：第六批集采落地 重点关注新冠变异株,西南证券
36,2021-11-29,南财脱水研报丨奥密克戎对医疗板块影响如何，复盘德尔塔或能参考,21经济网
37,2021-11-29,康泰生物最新公告：子公司民海生物通过高新技术企业再次认定,证券之星
38,2021-11-29,康泰生物(300601.SZ)：民海生物再次通过高新技术企业认定,智通财经
39,2021-11-29,变异毒株来势汹汹！高回撤绩优热门股名单来了,Wind
40,2021-11-29,医药行业一周观：OMICRON来袭 关注检测、防治及上游投资机会,新浪
41,2021-11-29,超级病毒全球刷屏，投资逻辑彻底变了？一类股危险了,Wind
42,2021-11-28,医药行业周报：本周医药板块上涨1.69% 建议关注OMICRON新变异株及医药三大防疫板块,新浪
43,2021-11-26,康泰生物接受13家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
44,2021-11-26,多个重磅疫苗品种将陆续上市,Wind
45,2021-11-25,医药行业2021年三季报总结报告：恢复高成长 医药进入估值切换长周期,新浪
46,2021-11-25,疫苗概念发力拉升，康泰生物等走强，新冠疫苗出口明年或迎来黄金时期,证券时报网
47,2021-11-25,华鑫证券：给予康泰生物买入评级,证券之星
48,2021-11-25,华鑫证券维持康泰生物推荐评级：重磅品种放量在即，产品梯队稳步推进,每日经济新闻
49,2021-11-24,医药生物行业周报：CDE发布《以临床价值为导向的抗肿瘤药物临床研发指导原则》,新浪
50,2021-11-23,康泰生物：目前公司无细胞百白破b型流感嗜血杆菌联合疫苗、23价肺炎球菌多糖疫苗、乙肝疫苗等取得了部分国家出口的证书,每日经济新闻
51,2021-11-23,康泰生物：公司的腺病毒载体新冠疫苗近期已获得印度尼西亚国家药品和食品监管局紧急使用授权,每日经济新闻
52,2021-11-23,康泰生物：公司自主研发的13价肺炎球菌多糖结合疫苗为全球首创的双载体13价肺炎球菌多糖结合疫苗，于2021年9月获得药品注册证书，2021年10月首次获得批签发证明，标志着13价肺炎球菌多糖结合疫苗可在国内上市销售,每日经济新闻
53,2021-11-23,康泰生物：公司正在开展3-17岁人群的临床现场,每日经济新闻
54,2021-11-23,康泰生物：“冻干水痘减毒活疫苗”已完成Ⅲ期临床研究现场工作,Wind
55,2021-11-23,康泰生物：变异株的疫苗研发目前处于临床前研究阶段,Wind
56,2021-11-23,康泰生物：公司已完成“腺病毒载体新型疫苗”的临床前研究并已提交临床试验申请,Wind
57,2021-11-23,康泰生物：公司研发的“13价肺炎球菌多糖结合疫苗”目前在广东、湖北、黑龙江、江西、陕西、内蒙古等省份已实现准入,Wind
58,2021-11-23,康泰生物：新冠灭活疫苗III期临床试验6月下旬在海外进行第一针接种，目前在实施中,Wind
59,2021-11-23,康泰生物：公司研发的冻干人用狂犬病疫苗（人二倍体细胞）生产注册申请已获得国家药品监督管理受理,Wind
60,2021-11-22,10月新冠疫苗出口近百亿，英国、德国新冠试剂进口量增长,证券时报网
61,2021-11-21,医保谈判尘埃落定，布局医药蓝筹正当时！,红周刊
62,2021-11-21,下周操盘攻略：波动将明显加剧,Wind
63,2021-11-19,深圳机场首次保障深圳康泰新冠疫苗“出海”,民航资源网
64,2021-11-19,康泰生物首批400余万剂腺病毒载体新冠疫苗抵达印尼,e公司
65,2021-11-19,康泰生物今日大宗交易成交91.31万股，成交价89.6元折价20.51%,Wind
66,2021-11-19,康泰生物腺病毒载体新冠疫苗首次出口,美通社
67,2021-11-19,"康泰生物现1笔大宗交易 共成交8,181.13万元",新浪
68,2021-11-19,康泰生物疫苗获批临试；因美纳与红杉中国共启基因组学孵化器,GBIHealth
69,2021-11-17,康泰生物：口服五价重配轮状病毒减毒活疫苗获得药物临床试验批准,Wind
70,2021-11-16,A股共发生182宗大宗交易成交31.72亿元（11月16日）,Wind
71,2021-11-16,康泰生物今日大宗交易成交48.50万股，成交价86.57元折价25.91%,Wind
72,2021-11-16,"康泰生物现1笔大宗交易 共成交4,198.65万元",新浪
73,2021-11-16,欧普康视、康泰生物涨超7%，科创创业ETF（588360）涨超0.5%,资本邦
74,2021-11-16,医保谈判优于预期，泰格医药、康泰生物涨超5%，创新药ETF（159992）上涨近2%,资本邦
75,2021-11-16,和讯SGI指数三季报排名提升TOP30出炉！艾力斯、康泰生物、恒玄科技排名大幅提升,和讯
76,2021-11-15,南财脱水研报｜疫苗板块大涨，业绩延续高增长、多个公司新冠疫苗获临床试验获批,21经济网
77,2021-11-15,康泰生物（300601.SZ）：在研产品管线丰富 持续推进行业新技术路径,智通财经
78,2021-11-15,和讯SGI三季报TOP30榜单出炉，前三排名依然稳定，财富趋势排名大幅提升，奥普特、浩欧博跌落榜单,和讯
79,2021-11-15,医药行业周报：2021医保谈判落幕 本周医药板块上涨0.82% 建议关注政策受益的原料药板块,新浪
80,2021-11-12,康泰生物接受10家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
