,2021-12-31,中国CXO行业跟踪报告,周观宇论
0,2021-12-30,贝莱德增持康龙化成(03759)8.97万股，每股作价约121.21港元,智通财经
1,2021-12-29,康龙化成：1月14日举行临时股东大会,Wind
2,2021-12-29,康龙化成：召开2022年第一次临时股东大会,Wind
3,2021-12-29,康龙化成获贝莱德增持8.97万股H股,Wind
4,2021-12-28,【权益变动】康龙化成(03759.HK)获贝莱德增持8.97万股,财华社
5,2021-12-28,12月股东减持超650亿，45家大额解禁来袭,Wind
6,2021-12-28,CRO概念反弹，主力超3亿元加仓药明康德，这些股也获青睐,第一财经
7,2021-12-27,康龙化成：募集巨资为“低效”收购买单,证券市场周刊
8,2021-12-24,康龙化成：目前公司尚未受到奥密克戎病毒的影响，整体经营有序,每日经济新闻
9,2021-12-24,康龙化成：股东大会暂停办理股份过户登记手续,Wind
10,2021-12-24,【权益变动】康龙化成(03759.HK)被摩根大通减持56.2563万股 减持股份,财华社
11,2021-12-23,康龙化成(03759)获股东君联闻达及一致行动人君联茂林减持共800.32万股A股 减持股份,智通财经
12,2021-12-23,康龙化成：股东君联闻达、君联茂林合计减持800.32万股 占公司总股本比例1.01% 减持股份,发布易
13,2021-12-23,康龙化成(300759.SZ)：君联闻达和君联茂林7月15日以来共减持1.01%股份 减持股份,格隆汇
14,2021-12-23,康龙化成：君联闻达及其一致行动人累计减持比例达1.01%,Wind
15,2021-12-23,康龙化成：君联闻达和君联茂林累计减持约800万股 减持股份,每日经济新闻
16,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
17,2021-12-23,康龙化成获摩根大通增持91.38万股H股,Wind
18,2021-12-22,【权益变动】康龙化成(03759.HK)获摩根大通增持91.3759万股,财华社
19,2021-12-22,中信建投：持续看好创新药国际化及CDMO长期竞争力,财联社
20,2021-12-21,康龙化成：完成工商变更登记并取得营业执照,Wind
21,2021-12-21,康龙化成(03759.HK)完成工商变更登记并取得营业执照 业务变化,格隆汇
22,2021-12-21,康龙化成(03759)建议减少注册资本 减资破产,智通财经
23,2021-12-21,康龙化成(03759.HK)：建议聘请安永华明为2021年度内控审计机构,格隆汇
24,2021-12-21,康龙化成现2笔大宗交易 合计成交20.00万股,证券时报网
25,2021-12-21,66股获重要股东增持，四大领域最受青睐！,Wind
26,2021-12-21,"康龙化成现2笔大宗交易 共成交2,914.00万元",新浪
27,2021-12-21,康龙化成今日大宗交易成交20万股，成交价145.7元折价1.2%,Wind
28,2021-12-20,药明康德、康龙化成均跌超8%，CRO板块持续低迷,Wind
29,2021-12-20,【异动股】康龙化成(03759.HK)跌7.79%,财华社
30,2021-12-20,CRO板块连续下滑，药明康德一度跌近9%,Wind
31,2021-12-20,CRO概念持续走弱，药明康德领跌,Wind
32,2021-12-20,百诚医药今日创业板上市，如何在CRO浪潮中乘风破浪,贝壳社
33,2021-12-20,CXO增长可持续性强，看好中药板块投资机会,金融界
34,2021-12-20,北上资金加速流入A股，投资风格转向周期股,Wind
35,2021-12-19,卖水人危机：离下游越远越安全,新浪
36,2021-12-18,港股中医疗板块可以抄底了吗？,包子君
37,2021-12-17,“吃药”行情不再，CRO如惊弓之鸟，同仁堂跻身市值前十「制药行业周榜」,华夏时报
38,2021-12-17,北向资金结束连续12日净买入，药明康德遭大幅抛售超10亿元,Wind
39,2021-12-17,康龙化成：目前公司宁波园区暂未因为疫情受到影响,每日经济新闻
40,2021-12-17,【异动股】康龙化成(03759.HK)涨5.64%,财华社
41,2021-12-17,港股异动 | 康龙化成(03759)升超9%领跑CXO股 利空解除！“实体清单”无涉CXO上市公司,智通财经
42,2021-12-17,康龙化成涨超8%，创新药沪深港ETF（517110）涨超1.5%,资本邦
43,2021-12-17,【行情】CRO板块拉升反弹，凯莱英、康龙化成、博腾股份、药石科技、药明康德、昭衍新药等集体冲高,金十数据
44,2021-12-16,龙头股突然躺倒？高瓴抛售躲过大跌，公募明星基金分歧显现,Wind
45,2021-12-16,深港通十大成交活跃股排名（12月16日）,Wind
46,2021-12-16,康龙化成(300759.SZ)：实控人及其一致行动人质押306万股,格隆汇
47,2021-12-16,康龙化成(300759.SZ)实控人楼小强等质押306万股,智通财经
48,2021-12-16,康龙化成：楼小强质押260万股、北京多泰质押46万股,每日经济新闻
49,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
50,2021-12-16,康龙化成：公司绍兴上虞工厂尚处于建设期，根据上虞区政府防疫管控规定，目前处于停工状态 经营问题,每日经济新闻
51,2021-12-16,浦银国际医疗行业2022年展望：关注“创新力+性价比+确定性”三大维度,Wind
52,2021-12-16,【异动股】康龙化成(03759.HK)跌3.66%,财华社
53,2021-12-16,药明康德跌停 “要命”，“医药女神”葛兰旗下基金单日大跌4.24%,金融界
54,2021-12-16,每日理财观察: 中国11月宏观经济数据出炉,Wind
55,2021-12-16,港股盘前必读：美联储将基准利率维持不变，美股全线收涨,Wind
56,2021-12-15,医药股怎么了？药明康德遭遇A+H双杀，百济神州首日破发,澎湃新闻
57,2021-12-15,今天，必须聊一聊医药,每日经济新闻
58,2021-12-15,康龙化成(03759)实控人楼小强及一致行动人北京多泰合计质押306万股股份,智通财经
59,2021-12-15,原因找到了！CRO暴跌突遭海外利空，超千家机构不淡定了，最惨投资者出现,格隆汇
60,2021-12-15,康龙化成：公司没有收到实体名单通知，不对没有依据的事情做出任何估计,金融界
61,2021-12-15,CXO龙头药明康德股价闪崩，公司回应称经营一切正常,深水财经社
62,2021-12-15,【恒指收跌】香港恒生指数收跌0.91%，恒生科技指数跌1.52%，医药股大跌，电力股走强。恒生医疗保健业指数下挫逾9%，药明生物、药明康德均跌超19%，康龙化成等多股跌超10%。（中新经纬APP）,中新经纬
63,2021-12-15,恒指收跌0.91%，医药股重挫,Wind
