,2021-12-28,并购重组“降火”，套利狂欢终结,Wind
0,2021-12-26,机械设备：第一批风光大基地项目出炉；光伏风电锂电设备风险逐步释放,新浪
1,2021-12-24,2021金融界领航中国“金智奖”上市公司价值评选结果揭晓 智飞生物、徐工机械等荣获杰出投资者关系团队奖,金融界
2,2021-12-22,徐工机械(000425.SZ)完成发行7亿元超短期融资券,智通财经
3,2021-12-22,徐工机械(000425.SZ)完成发行10亿元2021年度第三期超短期融资券,智通财经
4,2021-12-21,徐工机械(000425.SZ)：完成发行10亿元超短期融资券,格隆汇
5,2021-12-21,徐工机械：公司实际控制人徐工集团旗下徐工重卡已研发出多款氢燃料牵引车、渣土车,Wind
6,2021-12-21,徐工机械：上市公司徐工机械目前在徐工叉车产品上进行配置应用氢电系统，未来将进一步延伸机械领域和品种,每日经济新闻
7,2021-12-20,并购再出牛股！7成个股股价飘红，15股已翻番,Wind
8,2021-12-19,机械行业周报：看好低碳+、全球化；精选“专精特新”；工程机械预期边际改善,新浪
9,2021-12-18,徐工机械：根据公司目前会计政策，坏账账龄1年以内计提比例为2%，公司目前应收账款质量较好，计提充分,每日经济新闻
10,2021-12-18,徐工机械：吸收合并徐工有限事项已收到证监会反馈意见,Wind
11,2021-12-18,徐工机械：公司以徐工“智造4.0”的新模式建设为主线推进公司数字化转型,每日经济新闻
12,2021-12-18,徐工机械：关于吸收合并徐工有限事项，公司12月17日收到证监会出具的一次反馈意见通知书,每日经济新闻
13,2021-12-18,政策释放积极信号，工程机械行业明年料“拨云见日”,Wind
14,2021-12-17,干货！2022年中国工程机械行业龙头企业分析——中联重科：多板块协同发展,前瞻研究院
15,2021-12-17,江苏特种设备企业稳健运营，助力经济高质量发展,Wind
16,2021-12-15,干货！2022年中国工程机械行业龙头企业对比：徐工机械VS三一重工VS中联重科 谁是工程机械行业NO.1？,前瞻研究院
17,2021-12-14,徐工机械：徐工有限不包括重卡业务,每日经济新闻
18,2021-12-14,徐工机械：2020年度原材料占营业成本的84.94%,每日经济新闻
19,2021-12-14,徐工机械：公司一直在国际和国内寻找优秀的并购标的,每日经济新闻
20,2021-12-14,A股融资融券日报：两融余额增加51.19亿元（12月13日）,Wind
21,2021-12-12,浙商机械 邱世梁‖王华君 11月挖掘机出口继续高增长；央行降准下游需求预期边际有改善,高端装备制造及材料
22,2021-12-12,徐工机械：公司产品中轮式起重机市场占有率全球第一，随车起重机、履带起重机等多项核心产品市场占有率稳居国内第一,每日经济新闻
23,2021-12-12,徐工机械：高端起重机智能产业化项目目前基础施工已经完成，正在厂房主体施工，预计2022年5月投产,每日经济新闻
24,2021-12-11,徐工机械：公司目前产品主要搭载国产品牌发动机，能够满足目前品质要求,每日经济新闻
25,2021-12-11,工程机械企业纷纷发力电动化,Wind
26,2021-12-10,徐工机械：徐工重卡已拥有公路干线、城市配送、矿山施工等细分场景下的近30款纯电动充换电与氢燃料产品,每日经济新闻
27,2021-12-10,徐工机械：徐工重卡已研发出多款氢燃料牵引车、渣土车,财联社
28,2021-12-09,徐工机械今日大宗交易成交314.40万股，成交价5.54元折价10.06%,Wind
29,2021-12-08,"徐工机械现6笔大宗交易 共成交1,744.96万元",新浪
30,2021-12-08,徐工机械今日大宗交易成交311.60万股，成交价5.6元折价8.94%,Wind
31,2021-12-08,徐工机械(000425.SZ)：“18徐工Y1”将于12月10日兑付本息并摘牌,智通财经
32,2021-12-07,"徐工机械现9笔大宗交易 共成交4,582.66万元",新浪
33,2021-12-07,徐工机械今日大宗交易成交842.40万股，成交价5.44元折价12.54%,Wind
34,2021-12-07,徐工机械(000425.SZ)完成发行10亿元2021年度第二期超短期融资券,智通财经
35,2021-12-07,徐工机械：公司拟向全资子公司徐州徐工基础工程机械有限公司增资6.5亿元,我的钢铁
36,2021-12-07,机械行业：央行宣布降准 利好基建类装备,新浪
37,2021-12-05,机械设备行业跟踪周报：看好国产光伏锂电设备出海机会 建议关注双控边际影响削弱后通用自动化估值修复,新浪
38,2021-12-03,徐工机械：拟向子公司徐工基础增资6.5亿元,财联社
39,2021-12-02,11月新能源重卡销量爆了，挖掘机出口也是“红红火火”,Wind
40,2021-12-02,徐工机械发生2笔大宗交易 合计成交1248.98万元,证券时报网
41,2021-12-02,"徐工机械现2笔大宗交易 共成交1,248.98万元",新浪
42,2021-12-02,徐工机械今日大宗交易成交227.50万股，成交价5.49元折价9.56%,Wind
43,2021-12-01,中国短期融资券及中期票据信用分析周报,新浪
44,2021-11-29,徐工机械(000425.SZ)：完成发行5亿元超短期融资券,格隆汇
45,2021-11-29,深度*行业*机械设备行业周报：持续推荐高景气的半导体、海上风电、光伏HJT赛道,新浪
46,2021-11-26,夺得全球起重机榜单桂冠背后：徐工“颠覆‘中国制造无芯’”魔咒,中国经营网
47,2021-11-25,徐工机械(000425.SZ)：就申请吸收合并徐工有限获中证监受理,格隆汇
48,2021-11-25,徐工机械现1笔大宗交易 共成交201.60万元,新浪
49,2021-11-25,募资超7000亿！A股迎定增大年，热门赛道引隐忧？,Wind
50,2021-11-24,A股融资融券日报：两融余额增加25.03亿元（11月23日）,Wind
51,2021-11-24,浙商机械 邱世梁||王华君 【三一重工】电动化重大进展：集团首座智能换电站亮相,高端装备制造及材料
52,2021-11-23,全球最强起重机制造商中国企业“夺冠”：徐工、中联重科谁是第一？,凤凰网
53,2021-11-23,深度*行业*机械设备行业周报：“十四五”风电装机预期显著上提 风电零部件及主机龙头持续受益,新浪
54,2021-11-22,"徐工机械现5笔大宗交易 共成交2,484.23万元",新浪
55,2021-11-22,徐工机械今日大宗交易成交452.50万股，成交价5.49元折价8.35%,Wind
56,2021-11-22,机械设备行业周报：加快机器换人进程 关注自动化设备细分行业,新浪
57,2021-11-22,机械行业周报：低碳+全球化助力 锂电/光伏/风电设备将超预期,新浪
58,2021-11-22,中信建投机械设备2022年投资策略报告：短期寻求α，中长期顺应双碳背景,Wind
59,2021-11-21,数次濒临破产，差点被美国人收购，国产机型龙头逆袭成全球第一 减资破产,搜狐
60,2021-11-18,中联重科：起重机械、混凝土机械有望接力挖掘机，拉长工程机械景气周期,我的钢铁
61,2021-11-17,徐工机械股东大会通过吸收合并徐工有限等议案,每日经济新闻
62,2021-11-13,徐工“天空之镜”全球品牌发布会暨第11111台摊铺机下线仪式隆重举行,和讯
63,2021-11-13,超燃“陆空”秀 徐工展现高质量的“创”与“新”,中新网
64,2021-11-12,追赶“一哥”三一重工，重组之际徐工机械能否“弯道超车”？,华夏时报
65,2021-11-12,淡水河谷与徐工机械合作共促低碳设备应用,钢铁新闻网
66,2021-11-10,浙商机械 邱世梁‖王华君 10月挖掘机出口再创单月新高；国内下游需求短期承压,高端装备制造及材料
67,2021-11-08,徐工机械：通过发行股份吸收合并徐工有限获江苏国资委批复,中证网
68,2021-11-08,【晚间公告抢先看】祖名股份上调部分植物蛋白饮品出厂价、ST中天股票累计涨幅较大 停牌核查,金融界
69,2021-11-08,徐工机械：吸收合并徐工集团工程机械有限公司事项获得江苏省国资委批复,新浪
70,2021-11-05,天风证券：维持徐工机械(000425.SZ)“买入”评级 下游市场需求回暖 Q3业绩稳中向好,智通财经
71,2021-11-05,三季报业绩逆势飘红，徐工机械站上新起点,深水财经社
72,2021-11-04,天风证券维持徐工机械买入评级：Q3业绩稳中向好，“智造4.0”迈向国际化,每日经济新闻
73,2021-11-04,徐工机械：泰熙投资和泰元投资合计减持1.63%公司股份 减持股份,Wind
74,2021-11-04,徐工机械：股东泰元投资、泰熙投资共减持公司股份约1.28亿股 减持股份,每日经济新闻
75,2021-11-03,徐工机械今日大宗交易成交65.35万股，成交价5.52元折价7.38%,Wind
76,2021-11-03,徐工机械现1笔大宗交易 共成交360.73万元,新浪
77,2021-11-03,徐工机械：2021年前三季度多项经营数据位列行业第一，单季度业绩再度领跑,工程机械动态
78,2021-11-03,徐工大型成套矿业装备批量出口南美 开创中国矿业机械征战海外高端市场新篇章,中国有色
79,2021-11-02,徐工机械今日大宗交易成交327.73万股，成交价5.52元折价7.07%,Wind
80,2021-11-02,徐工机械：延期回复深圳证券交易所问询函 问询,Wind
81,2021-11-02,浙商证券：维持徐工机械(000425.SZ)“买入”评级 三季度业绩符合预期,智通财经
82,2021-11-02,徐工机械(000425)2021年三季报点评：业绩维持良好增长 期待混改激发经营活力,光大证券
83,2021-11-01,东吴证券维持徐工机械买入评级，2021年三季报点评：Q3净利润同比增速+116%，利润率提升逻辑稳步兑现,每日经济新闻
84,2021-11-01,东吴证券：给予徐工机械买入评级,证券之星
85,2021-11-01,徐工机械(000425)2021年三季报业绩点评：混改红利持续释放 盈利能力稳步上移,新浪
86,2021-11-01,图解徐工机械三季报：第三季度单季净利润同比增116.46%,证券之星
87,2021-10-29,徐工机械：三季度净利润8.06亿元 同比增长116.46%,中证网
88,2021-10-29,成绩单！徐工机械：2021年第三季度净利润约8.06亿元，同比增长116.46%,每日经济新闻
89,2021-10-29,徐工机械：前三季度净利润同比增长89.35%,Wind
90,2021-10-28,徐工机械：不行使“18徐工Y1”续期选择权,Wind
91,2021-10-28,徐工集团与淡水河谷签署合作备忘录 涉及零排放即电池驱动矿用设备,经济日报
92,2021-10-28,全冶炼工序集控中心落地鞍钢鲅鱼圈丨钢铁财经资讯速览,钢铁新闻网
93,2021-10-28,公募抢筹定增谁最强？最高浮盈已超5倍,Wind
94,2021-10-28,"顶流基金经理大手笔""捧场""，公募抢筹定增谁最强？",Wind
95,2021-10-27,徐工与淡水河谷签署设备潜在供应合作备忘录,徐工机械
96,2021-10-27,淡水河谷与徐工机械就设备的潜在供应签署合作备忘录,Wind
97,2021-10-26,机械行业周报(2021年10月第3周)：隆基HJT电池效率再破世界纪录；持续力推光伏／风电／锂电设备,新浪
98,2021-10-24,机械设备行业跟踪周报：持续看好高景气度的光伏半导体设备 建议关注双控影响下景气延续的机床刀具行业,新浪
99,2021-10-22,徐工机械今日大宗交易成交135万股，成交价5.8元折价6.9%,Wind
100,2021-10-22,徐工机械现2笔大宗交易 共成交783.00万元,新浪
101,2021-10-21,应急救援产业站上万亿元市场风口 徐工消防加速布局消防车和高空作业平台,中国经营网
102,2021-10-21,徐工机械拟9900万美元在美成立公司，加速开拓全球市场,我的钢铁
103,2021-10-21,徐工机械387亿吸并徐工有限 后者关联其他应收款105亿,中国经济网
104,2021-10-21,徐工机械：“16徐工02”2021年兑付及摘牌,Wind
105,2021-10-21,徐工机械拟9900万美元在美成立公司 外销收入增68.51%加速开拓全球市场,长江商报
106,2021-10-20,深度*行业*机械设备行业周报：风光大基地一期约100GW有序开工 建议相关光伏、风电、锂电设备板块,新浪
107,2021-10-20,徐工机械(000425.SZ)：完成公开发行27亿元的公司债券,格隆汇
108,2021-10-20,干货！2021年中国工程机械行业龙头企业市场竞争格局分析 “行业之王”仍有待考察,前瞻研究院
109,2021-10-20,A股融资融券日报：两融余额增加48.77亿元（10月19日）,Wind
110,2021-10-19,徐工机械(000425.SZ)拟9900万美元设立徐工美国公司,智通财经
111,2021-10-19,徐工机械总裁陆川一行访问中工国际,e公司
112,2021-10-19,"徐工机械现1笔大宗交易 共成交1,784.48万元",新浪
113,2021-10-19,徐工机械今日大宗交易成交304万股，成交价5.87元折价6.23%,Wind
114,2021-10-18,A股共发生114宗大宗交易成交22.37亿元（10月18日）,Wind
115,2021-10-18,北向资金净卖出额创近2个月新高，贵州茅台遭大幅抛售逾14亿元,Wind
116,2021-10-18,徐工机械(000425.SZ)超短期融资券获准注册,智通财经
117,2021-10-18,徐工机械今日大宗交易成交105万股，成交价5.83元折价6.57%,Wind
118,2021-10-18,徐工机械(000425.SZ)获准注册100亿元超短融,格隆汇
119,2021-10-18,民生证券：维持徐工机械(000425.SZ)“推荐”评级 混改注入经营活力 Q3业绩维持快速增长,智通财经
120,2021-10-18,深度*行业*机械设备行业周报：能源短缺背景下绿电前景广阔 能源结构转型利好锂电、光伏设备,新浪
121,2021-10-18,民生证券维持徐工机械推荐评级，徐工机械21年三季度业绩预告点评：混改注入经营活力，Q3业绩维持快速增长,每日经济新闻
122,2021-10-18,民生证券：给予徐工机械买入评级,证券之星
123,2021-10-17,机械行业周报：第一期风光大基地已开工 持续推荐光伏风电设备,新浪
124,2021-10-17,机械设备行业跟踪周报：持续看好高景气度的光伏设备行业 国产机床龙头业绩持续超预期 建议重点关注,新浪
125,2021-10-15,工程机械行业跟踪点评：9月挖掘机销量环比改善 小挖数据亮眼,新浪
126,2021-10-15,北向资金恢复交易后首日净买入近27亿，再度大手笔加仓新能源股,Wind
127,2021-10-15,101股获买入评级 最新:爱 美 客,中财网
128,2021-10-15,徐工机械现1笔大宗交易 共成交876.00万元,新浪
129,2021-10-15,徐工机械今日大宗交易成交150万股，成交价5.84元折价5.65%,Wind
130,2021-10-15,浙商机械 邱世梁||王华君【徐工机械】三季报业绩继续高增长；混改红利持续释放,高端装备制造及材料
131,2021-10-14,徐工机械：预计前三季度实现净利润45-47亿，同比增长85%-93%,我的钢铁
132,2021-10-14,徐工机械(000425.SZ)预计前三季度归母净利润同比增长84.99%至93.21%,智通财经
133,2021-10-14,徐工机械：前三季度预计净利润同比增长84.99%~93.21%,Wind
134,2021-10-14,徐工机械：2021年前三季度净利预增85%至93%,e公司
135,2021-10-14,徐工机械：预计前三季度净利润45亿元至47亿元，同比增长84.99%-93.21%,Wind
136,2021-10-14,干货！2021年中国工程机械行业市场竞争格局——中联重科：布局八大系列产品,前瞻研究院
137,2021-10-14,浙商机械 邱世梁||王华君 9月挖掘机出口创单月新高、小挖占比回升；四季度需求有望边际改善,高端装备制造及材料
