,2021-12-31,恒力石化(600346.SH)尚未开始实施回购,智通财经
0,2021-12-31,恒力石化(600346.SH)下属公司拟21.84亿元购买关联方资产,智通财经
1,2021-12-31,恒力石化(600346.SH)：拟以21.84亿元收购广振公司南通通州区的土地和厂房,格隆汇
2,2021-12-31,恒力石化(600346.SH)截至12月底尚未开始实施回购,格隆汇
3,2021-12-29,恒力石化（600346）：布局精细化学品及锂电材料，炼化龙头开启新篇章,中信证券研究
4,2021-12-28,恒力石化加码新能源材料业务 引进12条生产线布局锂电隔膜,长江商报
5,2021-12-27,年产能16亿平米！恒力石化跨界锂电池隔膜材料,Ofweek
6,2021-12-27,化工周报：化工龙头新材料布局加速 万华化学、恒力石化、荣盛集团均有新进展,新浪
7,2021-12-27,陆家嘴财经早餐2021年12月27日星期一,Wind
8,2021-12-26,【金财富决策参考】2021-12-27,赢家之星
9,2021-12-26,恒力石化：进军锂电隔膜领域，加码新能源材料市场,Wind
10,2021-12-26,民营炼化巨头恒力石化进军锂电隔膜领域，加码新能源材料市场,新浪
11,2021-12-24,2021金融界领航中国“金智奖”上市公司价值评选结果揭晓 恒力石化、万科A等荣获杰出投资回报奖,金融界
12,2021-12-23,化工行业2022年度策略：双碳背景下化工景气周期持续 化工新材料助推新旧动能转换,新浪
13,2021-12-21,深耕产业15载，PTA期货改变了什么？,中国纺织报
14,2021-12-16,民营炼化行业深度研究：如何看待当前位置的民营炼化,新浪
15,2021-12-15,恒力石化：2021年，90万吨/年PBS类生物可降解塑料项目签约，属目前国内规模最大、产能最高,每日经济新闻
16,2021-12-15,恒力石化：公司已经开始向新材料领域和精细化工领域发展,每日经济新闻
17,2021-12-15,恒力石化：公司有可降解塑料产能,每日经济新闻
18,2021-12-15,恒力石化：没有应披露而未披露的事项，生产经营十分正常,每日经济新闻
19,2021-12-15,北向资金动向盘点：两条主线清晰明了，但已无新能源,Wind
20,2021-12-15,北向资金抢筹逾60亿元，扫货股一览（名单）,21世纪经济报道
21,2021-12-15,北向资金抢筹逾60亿元，扫货股一览（名单）,21经济网
22,2021-12-14,恒力石化(600346.SH)控股股东解除质押3000万股,智通财经
23,2021-12-14,恒力石化(600346.SH)：控股股东解质3000万股,格隆汇
24,2021-12-14,能源化工行业周观点：政策发力稳增长 碳排放双控催生长期机遇,新浪
25,2021-12-14,北向资金动向盘点：重手净买非银，低估且弹性大,Wind
26,2021-12-13,20余家上市公司浙江工厂因疫情临时停产 股价暂未受波及，均称业绩影响有限 经营问题,每日经济新闻
27,2021-12-13,基础材料／能源行业动态点评：能耗顶层政策明确化 利好行业龙头,新浪
28,2021-12-13,华泰证券：能耗顶层政策明确化 利好行业龙头华鲁恒升(600426.SH)等,智通财经
29,2021-12-13,涨停雷达：石化个股异动 恒力石化触及涨停,ZAKER
30,2021-12-13,千亿化工龙头封住涨停，老板首次跻身中国第三大女富豪,AI财经社
31,2021-12-13,快讯：恒力石化涨停 报于23.54元,金融界
32,2021-12-13,申万宏源：中央经济工作会议透露能源机遇,财联社
33,2021-12-13,石化股风起云涌，卫星化学、荣盛石化、恒力石化表现抢眼,Wind
34,2021-12-12,乙二醇止跌企稳，反弹动力不足,Wind
35,2021-12-12,【安信化工】科学考核能耗双控，看好化工龙头,安信化工研究
36,2021-12-09,PTA 阶段性振荡偏多运行,期货日报
37,2021-12-09,A股共发生215宗大宗交易成交54.69亿元（12月9日）,Wind
38,2021-12-09,"恒力石化现2笔大宗交易 共成交1,733.80万元",新浪
39,2021-12-09,恒力石化今日大宗交易成交80.83万股，成交价21.45元溢价0.0%,Wind
40,2021-12-06,深度*行业*化工行业2022年策略：优秀龙头有望价值重估 新材料发展空间广阔,新浪
41,2021-12-06,2021中国上市公司软实力巡礼：恒力石化价值66.56亿元 排序第72名,搜狐
42,2021-12-06,石油加工行业每周炼化：聚酯价格全线下跌,新浪
43,2021-12-06,恒力石化(600346.SH)控股股东非公开发行可交换公司债券将进入换股期,智通财经
44,2021-12-06,石油化工新材料行业北上资金周报,新浪
45,2021-12-05,化工行业2022年投资策略：一半是海水 一半是火焰,广发证券
46,2021-12-03,产业早报 | 市场静待非农报告，今日期市走势如何1203,美尔雅期货研究院
47,2021-12-01,恒力石化(600346.SH)：尚未开始实施回购,格隆汇
48,2021-11-30,能源化工行业周观点：继续推荐高景气赛道和成长高确定性标的,新浪
49,2021-11-30,"恒力石化现1笔大宗交易 共成交1,204.00万元",新浪
50,2021-11-30,完善上游、强化下游，看聚酯龙头恒力石化在新材料领域如何高质量发展,财经网
51,2021-11-30,基础化工行业周报：甘氨酸、萤石等价格延续涨势 DMC、人造石墨负极、尿素、黄磷等价格上涨,新浪
52,2021-11-29,化工：海外尿素价格持续上涨 全球谷物产量面临氮肥紧缺压力,新浪
53,2021-11-28,石油化工行业周报：OMICRON引发油价恐慌性下跌 对后市原油及石化影响分析,新浪
54,2021-11-28,化工行业：原油价格大幅下跌 化工品价差收窄,广发证券
55,2021-11-26,烯烃行业展望深度报告：原料多元化趋势下 低碳和新材料是长期发展方向,新浪
56,2021-11-26,鲁阳节能(002088)：受益碳中和 耐火保温齐发力,新浪
57,2021-11-25,化工行业：“液体黄金”大幅提升轮胎性能,广发证券
58,2021-11-25,今年以来上市公司回购金额逾1100亿元,中证网
59,2021-11-25,年内上市公司回购金额逾1100亿,Wind
60,2021-11-25,年内上市公司回购金额逾1100亿,中证报
61,2021-11-24,PTA的加工费还能压缩多少？,金融界
62,2021-11-23,超过刘强东，江苏首富易主！13岁辍学打工赚钱，如今身家2600亿,搜狐
63,2021-11-23,北向资金连续3日加仓累计扫货近150亿，宁德时代11月累计净买入超百亿,Wind
64,2021-11-22,“炼化-化纤”产业链周报：湖北将打造万亿级现代化工及能源产业 国际油价持续下跌,新浪
65,2021-11-22,化工行业周报：房地产融资环境改善 继续关注化工估值修复机会,新浪
66,2021-11-22,化工行业动态：金属硅触底反弹 甘氨酸支撑草甘膦高位,新浪
67,2021-11-21,化工行业：高端光刻胶相继突破 关注国产化进程,广发证券
68,2021-11-20,化工行业策略：新能源变革下的化工新材料大机会,新浪
69,2021-11-19,恒力石化的管理水平和回报水平高吗？,搜狐
70,2021-11-17,恒力石化：公司目前规划90万吨/年可降解塑料产能,Wind
71,2021-11-17,恒力石化：目前大连疫情对恒力（大连）长兴岛工业园区没有造成影响,Wind
72,2021-11-17,恒力石化再添两项国家级荣誉,纺织网
73,2021-11-17,200亿元！恒力石化将建新项目,国家煤化工网
74,2021-11-15,化工行业周报：碳中和背景下 继续看好高景气新能源化工材料,新浪
75,2021-11-15,石油加工行业每周炼化：长丝企业集中降价促销,新浪
76,2021-11-15,投资200亿元！恒力石化将建设高性能树脂及新材料项目,索比光伏网
77,2021-11-15,石油化工行业周报：LPG、油价与天然气价格关系及影响,新浪
78,2021-11-13,【国海化工】恒力石化事件点评：加速布局高端新材料，回购计划彰显发展信心,靠谱化工股
79,2021-11-12,化工行业周度观点21W43：碳达峰行动方案出台 “1+N”政策体系更加明确,新浪
80,2021-11-12,2021胡润女企业家榜：碧桂园40岁的杨惠妍第九次成为中国女首富,Wind
81,2021-11-11,中泰周期·大宗指南：周期品周度运行变化,新浪
82,2021-11-11,恒力石化这一产品为风电产业发展提供“硬核”支撑,金融界
83,2021-11-11,稀缺的打折绩优股出炉！盐化工龙头业绩连续6年飙涨，股价打六折，机构：这9只打折股有高回报,e公司
84,2021-11-11,东亚前海·EV日报：10月动力电池月度数据发布丨11.10,新浪
85,2021-11-10,恒力石化(600346.SH)：拟申请注册发行不超30亿元短期融资券额度,格隆汇
86,2021-11-10,恒力石化(600346.SH)：控股股东恒力集团补充质押500万股,格隆汇
87,2021-11-09,石油加工行业每周炼化：终端需求尚待进一步恢复,新浪
88,2021-11-08,“炼化-化纤”产业链周报：三季度炼化板块公司业绩整体提升 PA66、炼油价差走强,新浪
89,2021-11-08,恒力石化自主研发输油管道专用工业纤维 市场占有率达90%,新浪
90,2021-11-06,上市公司正负面新闻2021年11月6日星期六,Wind
91,2021-11-05,【晚间公告抢先看】宁德时代拟70亿元投建新能源动力及储能电池项目、万科A拟分拆万物云到港交所上市,金融界
92,2021-11-05,晚间重要公告2021年11月5日星期五,Wind
93,2021-11-05,恒力石化启动第三次股票回购计划 回购规模5亿-10亿元,上证报
94,2021-11-05,民营炼化巨头恒力石化正式进军改性塑料领域，新材料版图再度扩容,新浪
95,2021-11-05,恒力石化启动第三次大规模股票回购计划，回购规模10亿元,新浪
96,2021-11-05,恒力石化：拟5亿元-10亿元回购股份,财联社
97,2021-11-05,恒力石化：拟回购5亿元至10亿元，回购价格不超过35元/股,Wind
98,2021-11-04,化工点评报告：三季度石油石化配置创近八年新高 关注龙头及偏成长相关标的,新浪
99,2021-11-04,供需格局向好，144家化工上市公司前三季净利翻倍,Wind
100,2021-11-03,基础化工行业周报：油价下跌 无水氢氟酸、除草剂、丁基橡胶等产品价格上涨,新浪
101,2021-11-02,石油化工行业周报：能源价格波动下对石化行业盈利影响 以及当前估值对应的周期位置,新浪
102,2021-11-02,石油石化行业周报：EIA库存提升叠加伊朗重返原油市场担忧 原油价格下跌,新浪
103,2021-10-30,东方证券给予恒力石化买入评级：依托上游大化工平台，发力新材料赛道,每日经济新闻
104,2021-10-30,东方证券：给予恒力石化买入评级，目标价位29.02元,证券之星
105,2021-10-29,平安证券：给予恒力石化增持评级,证券之星
106,2021-10-29,平安证券维持恒力石化推荐评级：Q3业绩环比略降，后续关注新材料项目陆续投放 投资评级恶化,每日经济新闻
107,2021-10-29,175股获券商买入评级，恒力石化目标涨幅达226.03%,第一财经
108,2021-10-29,每经9点 | 两市融资余额昨日环比减少90.83亿元；黑龙江昨日新增新冠本土确诊病例9例；德国10月份通胀率创28年以来新高,每日经济新闻
109,2021-10-29,175股获券商买入评级，恒力石化目标涨幅达226.03%,Wind
110,2021-10-29,10月28日306只个股获券商关注，恒力石化目标涨幅达226.03%,每经网
111,2021-10-28,【恒力石化 | 三季报点评：炼化业绩持续兑现，新材料打开成长空间】-国信证券,化工林谈
112,2021-10-28,信达证券给予恒力石化买入评级：构建大化工平台，开拓新材料领域,每日经济新闻
113,2021-10-28,恒力石化跌8.86% 中信证券长江证券俩月前喊买入,中国经济网
114,2021-10-28,恒力石化发季报股价跌8.86% 第三季度净利润同比降7%,中国经济网
115,2021-10-28,海通证券：维持恒力石化(600346.SH)“优于大市”评级 合理价值区间33.73-36.14元,智通财经
116,2021-10-28,【国海化工】恒力石化三季报点评：获评能效领跑者标杆企业，新材料项目持续建设,靠谱化工股
117,2021-10-28,国金证券：给予恒力石化买入评级，目标价位71.4元,证券之星
118,2021-10-28,恒力石化跌停打压化纤板块，公司三季度净利同比下降7%,Wind
119,2021-10-28,【华安化工|点评】恒力石化：Q3业绩承压，推进九大基地项目建设拓宽空间,化工阿尔法
120,2021-10-27,恒力石化：第三季度净利40.698亿元 同比下降7% 盈利能力下降,财联社
121,2021-10-27,恒力石化(600346.SH)：第三季度净利降7.06%至40.698亿元 盈利能力下降,格隆汇
122,2021-10-27,全产业链经营优势凸显 恒力石化前三季净利127.12亿元同比增长28.46%,证券日报网
123,2021-10-27,恒力石化：“炼化+乙烯+新材料”业务齐发力 前三季度盈利127.12亿元再创新高,中证网
124,2021-10-27,恒力石化(600346.SH)前三季度归母净利润同比增长28.46%至127.12亿元,智通财经
125,2021-10-27,图解恒力石化三季报：第三季度单季净利润同比减7.06% 盈利能力下降,证券之星
126,2021-10-27,恒力石化：恒力集团及其一致行动人累计质押公司股份约3.53亿股,每日经济新闻
127,2021-10-27,“炼化+乙烯+新材料”齐发力，恒力石化前三季度营收、净利再创新高,新浪
128,2021-10-27,恒力石化：前三季度净利润同比增长28.46%，三季度下降7.06% 盈利能力下降,Wind
129,2021-10-27,中信证券晨会,新浪
130,2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春等最新持股大曝光,Wind
131,2021-10-26,石化行业周报：EIA库存下跌叠加能源短缺担忧 国际原油价格上涨,新浪
132,2021-10-26,刘格菘、黄兴亮、邹曦、陈一峰等知名基金经理三季报持仓大曝光！,Wind
133,2021-10-25,发改委产业发展司组织召开第四季度石化行业经济形势趋势座谈会,Wind
134,2021-10-25,【中银化工行业点评】化工能耗政策追踪,点化成金
135,2021-10-20,恒力石化：本次限电截止到目前，对上市公司未构成影响,每日经济新闻
136,2021-10-20,恒力石化：恒力集团榆林煤化工项目尚处于项目规划和审批阶段,Wind
137,2021-10-20,恒力石化：公司目前未有建立财务共享中心,Wind
