,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
0,2021-12-31,恒生电子蝉联毕马威中国“2021领先金融科技50企业”,和讯
1,2021-12-30,恒生电子：持续助力金融行业信创建设,中证网
2,2021-12-30,恒生电子“TA+LightDB数据库”项目成功落地东吴证券，打造金融信创新样板,北国网
3,2021-12-30,恒生电子：银行业财富管理变革，如何走上数字化转型快速通道,凤凰网
4,2021-12-30,江苏恒生电子与河西建邺签约合作 助力东部重要金融中心核心集聚区建设,36氪
5,2021-12-28,11股获券商买入评级，恒生电子目标涨幅达45.71%,第一财经
6,2021-12-28,11股获券商买入评级，恒生电子目标涨幅达45.71%,Wind
7,2021-12-27,国元证券：给予恒生电子买入评级，目标价位90.92元,证券之星
8,2021-12-27,国元证券维持恒生电子买入评级：O45 在华宝基金上线，开启资管科技新纪元,每日经济新闻
9,2021-12-27,恒生电子(600570)点评：基金O45正式上线 从交易到投研一体化突围！,新浪
10,2021-12-26,华西证券维持恒生电子买入评级：045正式上线，扣动产品化新扳机,每日经济新闻
11,2021-12-24,【华西计算机】恒生电子 | 动态跟踪：O45正式上线，扣动产品化新扳机,科技晶选
12,2021-12-24,26股获券商买入评级，天康生物目标涨幅达43.56%,Wind
13,2021-12-24,恒生电子(600570)：O45落地开启未来十年新篇章,广发证券
14,2021-12-23,量化群英云集沪上！开源证券核心交易平台KMAX震撼发,金融界
15,2021-12-23,恒生电子(600570)公司点评：O45上线首家基金 资管科技开启新纪元,新浪
16,2021-12-23,国盛证券给予恒生电子买入评级：O45首家基金成功上线，产品线战略升级即将开启,每日经济新闻
17,2021-12-23,“杭州板块”迈入200+，新经济新制造奔涌而来,Wind
18,2021-12-22,光大证券与恒生电子开展全面战略合作,e公司
19,2021-12-22,恒生电子新一代资产管理系统在华宝基金正式上线,上证报
20,2021-12-22,13股获券商买入评级，完美世界目标涨幅达48.34%,Wind
21,2021-12-21,5股获买入评级 最新:五粮液,中财网
22,2021-12-21,东吴证券维持恒生电子买入评级：长坡厚雪的金融IT，格局优越的长跑冠军,每日经济新闻
23,2021-12-21,东吴证券：给予恒生电子买入评级,证券之星
