,2021-12-30,恒逸石化大宗交易成交2106.00万元,证券时报网
0,2021-12-30,"恒逸石化现1笔大宗交易 共成交2,106.00万元",新浪
1,2021-12-30,恒逸石化今日大宗交易成交200万股，成交价10.53元折价0.09%,Wind
2,2021-12-30,大化工专题策划一|能源转型驱动炼化升级 石化低估值龙头明年有望逢春,财联社
3,2021-12-27,恒逸石化(000703)：2021年第五次临时股东大会决议,证券时报网
4,2021-12-26,下周操盘攻略：高成长行业将迎来较大机会,Wind
5,2021-12-23,“杭州板块”迈入200+，新经济新制造奔涌而来,Wind
6,2021-12-21,恒逸石化大宗交易成交835.20万元，买卖双方均为机构专用席位,证券时报网
7,2021-12-21,恒逸石化今日大宗交易成交80万股，成交价10.44元溢价0.0%,Wind
8,2021-12-20,融资客青睐8股，安必平买入占比高达33.79%,Wind
9,2021-12-17,恒逸石化：目前浙江疫情整体可控，公司各工厂生产稳定，经营工作均有序进行，产销顺畅,每日经济新闻
10,2021-12-16,化纤龙头恒逸石化拟对海南逸盛增资5亿元,证券导报
11,2021-12-13,20余家上市公司浙江工厂因疫情临时停产 股价暂未受波及，均称业绩影响有限 经营问题,每日经济新闻
12,2021-12-13,申万宏源：中央经济工作会议透露能源机遇,财联社
13,2021-12-10,恒逸石化：公司成品油销售价格参考新加坡市场报价,每日经济新闻
14,2021-12-09,"恒逸石化现1笔大宗交易 共成交2,039.70万元",新浪
15,2021-12-09,恒逸石化今日大宗交易成交195万股，成交价10.46元溢价0.0%,Wind
16,2021-12-08,恒逸石化(000703.SZ)：子公司宁波恒逸贸易拟对海南逸盛增资5亿元,格隆汇
17,2021-12-08,恒逸石化(000703.SZ)：子公司恒逸有限拟对逸盛新材料增资4.9亿元,格隆汇
18,2021-12-07,恒逸石化(000703)：可转换公司债券申请文件反馈意见回,生意社
19,2021-12-06,石油加工行业每周炼化：聚酯价格全线下跌,新浪
20,2021-12-05,化工行业2022年投资策略：一半是海水 一半是火焰,广发证券
21,2021-12-02,恒逸石化(000703.SZ)：截至11月底已累计回购474.42万股(第二期),格隆汇
22,2021-12-02,恒逸石化(000703.SZ)已累计回购474.42万股 耗资4998.57万元,智通财经
23,2021-12-02,恒逸石化：于11月22日调研我司,证券之星
24,2021-11-29,化工：海外尿素价格持续上涨 全球谷物产量面临氮肥紧缺压力,新浪
25,2021-11-29,深交所：调整深证成指、创业板指、深证100等指数样本股,Wind
26,2021-11-28,石油化工行业周报：OMICRON引发油价恐慌性下跌 对后市原油及石化影响分析,新浪
27,2021-11-28,化工行业：原油价格大幅下跌 化工品价差收窄,广发证券
28,2021-11-26,烯烃行业展望深度报告：原料多元化趋势下 低碳和新材料是长期发展方向,新浪
29,2021-11-26,恒逸石化：公司文莱二期各项工作均有序推进，目前进展顺利,每日经济新闻
30,2021-11-25,化工行业：“液体黄金”大幅提升轮胎性能,广发证券
31,2021-11-22,“炼化-化纤”产业链周报：湖北将打造万亿级现代化工及能源产业 国际油价持续下跌,新浪
32,2021-11-22,化工行业动态：金属硅触底反弹 甘氨酸支撑草甘膦高位,新浪
33,2021-11-21,化工行业：高端光刻胶相继突破 关注国产化进程,广发证券
34,2021-11-19,恒逸石化(000703.SZ)：控股股东质押1430万股,格隆汇
35,2021-11-19,恒逸石化：控股股东恒逸集团累计质押股数约为11.22亿股,每日经济新闻
36,2021-11-19,恒逸石化(000703.SZ)控股股东恒逸集团质押1430万股,智通财经
37,2021-11-19,恒力石化的管理水平和回报水平高吗？,搜狐
38,2021-11-19,恒逸石化：公司前三季度实现归属于上市公司股东的净利润30.83亿元，同比上涨0.85%,每日经济新闻
39,2021-11-19,恒逸石化：文莱二期各项工作均有序推进，目前进展顺利,每日经济新闻
40,2021-11-17,行业动态|冬季服装消费难支撑聚酯价格 需求前置催生行业泡沫,财联社
41,2021-11-15,化工行业周报：碳中和背景下 继续看好高景气新能源化工材料,新浪
42,2021-11-15,石油加工行业每周炼化：长丝企业集中降价促销,新浪
43,2021-11-15,石油化工行业周报：LPG、油价与天然气价格关系及影响,新浪
44,2021-11-12,恒逸石化：公司文莱一期项目自进入商业运营以来一直保持满负荷运行，产销顺畅,每日经济新闻
