,2021-12-31,恩捷股份、天赐材料、璞泰来，谁是盈利能力最强的电池化学品企业？,Ofweek
0,2021-12-30,年度汽车投资报告：满城尽韭菜，你以为你例外,搜狐
1,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
2,2021-12-30,绑定国内外动力电池龙头宁德时代与LG化学，恩捷股份未来的核心看点和风险点,Ofweek
3,2021-12-30,新能源涨价热潮下，四大材料的隔膜为何“拒绝涨价”？,财经网
4,2021-12-30,浙商证券：电动车销量持续高增 重点把握三大投资主线,证券时报网
5,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
6,2021-12-28,年底大宗交易井喷，四大行业获机构扫货！,Wind
7,2021-12-28,财华盘点|牛股辈出！锂电池板块“高景气度”下是否蕴藏新机遇？,财华社
8,2021-12-28,机构且战且退，新能源板块何去何从,Wind
9,2021-12-28,年末大宗交易增多，机构抢筹藏玄机,Wind
10,2021-12-27,又一电池生产商3年长单锁定湿法隔膜供应,Ofweek
11,2021-12-27,中国国航、恩捷股份涨超3%，300增强ETF（561300）涨超0.2% 盘中净流入超1000万元,资本邦
12,2021-12-27,新能源e周报丨新能源题材走势继续下挫 业内人士：资本市场动力电池概念或将降温,每日经济新闻
13,2021-12-27,恩捷股份：公司与宁德时代合作投资平台公司湿法隔离膜项目规划产能为16亿平/年,Wind
14,2021-12-27,新能源电力设备周观察：宁德支付恩捷8.5亿预付款 江苏绿电溢价7分/度,新浪
15,2021-12-27,恩捷股份：公司海外同行如日本旭化成、东丽化学、韩国SK等,Wind
16,2021-12-27,每日理财观察：养老保险机构迎强监管,Wind
17,2021-12-25,提前锁定锂电池上游供应，宁德时代明年计划产量将达250GWh,Ofweek
18,2021-12-25,“宁组合”、“茅指数”再次切换？,Wind
19,2021-12-24,恩捷股份(002812.SZ)收到政府补贴8300万元,智通财经
20,2021-12-24,恩捷股份收宁德时代8.5亿元预付款 锁定明年近52亿元湿法隔膜订单,e公司
21,2021-12-24,宁王罕见崩了，大跌1000亿，爆文成重磅利空？,Wind
22,2021-12-24,恩捷股份(002812.SZ)：宁德时代约定向子公司支付8.5亿元动力电池湿法隔膜预付款,智通财经
23,2021-12-24,午间公告2021年12月24日星期五,Wind
24,2021-12-24,恩捷股份(002812.SZ)：宁德时代将向上海恩捷支付8.5亿元预付款 保障2022年度动力电池湿法隔膜增量需求,格隆汇
25,2021-12-24,恩捷股份：宁德时代约定将向子公司上海恩捷支付8.5亿元预付款,财联社
