,2021-12-31,国君固收：银行转债的投资策略,Wind
0,2021-12-31,成都银行广安分行3宗违法被罚 虚报瞒报统计资料等 金融监管处罚,中国经济网
1,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
2,2021-12-30,[综合]2021西部金融中心（成都）发展白皮书发布 风正帆悬更奋发,全景网
3,2021-12-28,成都银行80亿元可转债获批,资本邦
4,2021-12-28,“真香”引发“真卷”！可转债打新户数破1100万,Wind
5,2021-12-28,"成都银行重庆分行3宗违法被罚150万 贷款""三查""不严等 金融监管处罚",中国经济网
6,2021-12-28,成都银行股份有限公司关于公开发行A股可转换公司债券申请 获得中国证券监督管理委员会核准批复的公告,证券时报
7,2021-12-27,成都银行：获核准公开发行面值总额80亿元可转债,财联社
8,2021-12-27,成都银行(601838.SH)公开发行A股可转换公司债券获中国证监会核准批复,智通财经
9,2021-12-27,贷款“三查”不严等 成都银行重庆分行被罚150万 金融监管处罚,中新经纬
10,2021-12-27,因违规办理同业投资等，成都银行重庆分行被罚150万 金融监管处罚,中华网
11,2021-12-27,银行业行业周报：央行例会重申信贷增长的稳定性,中投网
12,2021-12-27,快讯｜涉违规办理同业投资等三项违规 成都银行重庆分行被罚150万元 金融监管处罚,财经网
13,2021-12-24,成都银行上日融资余额7.6亿元，融券余额16.4亿元,资本邦
14,2021-12-24,有望“二中一”，今年最后一个打新盛宴来了！,Wind
15,2021-12-24,可转债打新再迎盛宴，500亿元兴业转债下周启动网上申购,Wind
16,2021-12-23,跑在金融创新最前沿，成都银行荣获“最佳创新服务城商行”奖项,第一财经
17,2021-12-23,聚焦成都银行2021四大关键词：成长、创新、转型、价值,每日经济新闻
18,2021-12-23,成都银行资阳分行因未正确报送投诉数据等被罚20万元 金融监管处罚,中国网
19,2021-12-23,成都银行资阳分行2宗违法被罚 未正确报送投诉数据等 金融监管处罚,中国经济网
20,2021-12-23,未按规定重新识别客户 成都银行被罚20万 金融监管处罚,发现网
21,2021-12-22,成都银行数字化转型加速 为特色金融服务注入新动能,第一财经
22,2021-12-22,可转债上市首日火爆再现，两方面或触发估值调整风险！,Wind
23,2021-12-22,成都银行启用95507全国统一客服热线，手机银行新版上线，适老化服务获褒奖,证券之星
24,2021-12-21,平安证券：给予成都银行买入评级,证券之星
25,2021-12-20,定了 四川“十四五”服务业增加3.5万亿,金融投资报
26,2021-12-16,转债打新冲刺1100万户，银行券商转债受青睐,Wind
27,2021-12-16,成都银行拟出资不超过 10 亿元设立理财子公司,ZAKER
28,2021-12-14,证监会：中信特钢(000708.SZ)等三家公司可转债事项获通过,智通财经
29,2021-12-14,成都银行80亿元可转债发行申请通过中国证监会审核,中国金融新闻网
30,2021-12-14,成都银行股份有限公司 关于公开发行A股可转换公司债券申请获得中国证监会发行审核委员会审核通过的公告,中证报
31,2021-12-13,成都银行发行80亿元可转债获证监会审核通过,和讯
32,2021-12-13,成都银行：公开发行A股可转换公司债券申请获证监会审核通过,Wind
33,2021-12-13,成都银行(601838.SH)公开发行可转债申请获证监会审核通过,智通财经
34,2021-12-11,排队五年IPO终过关，兰州银行成色几何？,Wind
35,2021-12-09,证监会：成都银行等3家公司可转债事项将于12月13日上会,中证网
36,2021-12-09,证监会：成都银行等三公司发行可转债事项12月13日上会,e公司
37,2021-12-09,证监会发审委：12月13日审议三家公司可转债发行申请,Wind
38,2021-12-09,新华文轩(601811.SH)：拟与关联方以不超1.77亿元认购成都银行可转债,格隆汇
39,2021-12-09,A股融资融券日报：两融余额增加42.4亿元（12月8日）,Wind
40,2021-12-07,监管趋严竞争加剧，中小银行如何实施全面风险管理,第一财经
41,2021-12-07,降准带来三利好，银行板块四连阳,Wind
42,2021-12-06,解盘：人气回暖资金回流，纯碱、证券、电力、ST领涨,Wind
43,2021-12-06,成都银行12月03日的融资余额比上日增2.38%，共有1笔股票质押,资本邦
44,2021-12-03,金融周报｜银保监会加快建设中国金融人才库；我国养老理财试点正式开启； 中国人寿80.25亿增资广发银行···,财经网
45,2021-12-03,保持战略定力推动普惠金融增量扩面 成都银行荣膺年度卓越普惠金融银行,经济观察网
46,2021-12-03,成都银行：渤海基金已减持3612.25万股 减持总金额4.29亿元,中国网
47,2021-12-03,成都银行股东渤海基金减持3612万股 套现4.29亿元 减持股份,中国经济网
48,2021-12-02,成都银行：渤海基金减持计划实施完毕,中证网
49,2021-12-02,成都银行(601838.SH)股东渤海基金累计减持3612.25万股 减持时间届满 减持股份,智通财经
50,2021-12-02,成都银行(601838.SH)：渤海基金已减持3612.2469万股 减持股份,格隆汇
51,2021-12-02,成都银行：渤海基金累计减持1%股份，完成减持计划 拟减持股份,Wind
52,2021-12-01,成都银行大股东清仓式减持 房地产贷款占比屡踩红线 减持股份,中金在线
53,2021-12-01,成都银行正式启用95507全国统一客服热线,金融投资报
54,2021-11-26,多只银行ETF获资金持续流入,Wind
55,2021-11-25,银行行业周报：基金代销规模披露 社融筑底按揭回暖,新浪
56,2021-11-25,渤海基金再套现成都银行2.26亿元！多只基金三季度却在增持 减持股份,中证报
57,2021-11-25,渤海基金近2个多月减持成都银行1807万股 变现2.26亿 减持股份,中国经济网
58,2021-11-25,评3季度银行业监管数据：资产质量稳健 关注局部风险,新浪
59,2021-11-25,渤海基金减持成都银行1807.32万股股份，最新持股比例仍有0.5% 减持股份,资本邦
60,2021-11-25,成都银行发布股东减持进展公告 渤海基金竞价减持1807.32万股 减持股份,北京商报
61,2021-11-25,A股融资融券日报：两融余额增加23.98亿元（11月24日）,Wind
62,2021-11-24,渤海基金减持1807.32万股成都银行股份 减持总金额达2.26亿元 减持股份,中证网
63,2021-11-24,成都银行(601838.SH)：渤海基金已减持0.5%股份 减持数过半 减持股份,格隆汇
64,2021-11-24,成都银行(601838.SH)股东渤海基金已减持1807.32万股 减持数过半 减持股份,智通财经
65,2021-11-24,成都银行：渤海基金减持公司股份1807.32万股 减持股份,Wind
66,2021-11-24,基本面与股价缘何背离？银行股明年怎么走？,Wind
67,2021-11-24,银行行业周报：2021年三季度银行业监管指标点评：净息差边际改善 银行间呈现分化格局,新浪
68,2021-11-23,四川话就能查余额！ 这个手机银行功能一定要教会爸妈,金融投资报
69,2021-11-23,A股融资融券日报：两融余额增加111.29亿元（11月22日）,Wind
70,2021-11-22,银行行业：重申银行ETF投资价值,新浪
71,2021-11-19,又有券商申请托管资格！今年基金托管牌照尚待零的突破,Wind
72,2021-11-19,银行业2021年三季报综述：行业低速增长 精选中小行,新浪
73,2021-11-19,中小银行“补血”热潮：定增、配股、发债轮番上阵，资本承压仍待破解,Wind
74,2021-11-18,锦程消费金融广招渠道代理背后：业务线上化转型缓慢，供应商骗贷风险痼疾何解？,中国经济网
75,2021-11-18,A股融资融券日报：两融余额增加35.43亿元（11月17日）,Wind
76,2021-11-16,成都银行净利增速向好但资本充足率指标持续下滑 减值损失规模近46亿 盈利能力下降,发现网
77,2021-11-15,成都银行与地方经济同频共振 多举措促普惠金融创新发展,中国经营报
78,2021-11-14,半月3家逾千亿，系统重要性银行密集发行二级资本债,Wind
79,2021-11-11,成都银行现1笔大宗交易 共成交273.14万元,新浪
80,2021-11-11,成都银行今日大宗交易成交22.80万股，成交价11.98元溢价0.0%,Wind
81,2021-11-11,破净率超8成，“打骨折”的银行股还能翻身吗？,Wind
82,2021-11-10,温暖又贴心！ 成都银行奋战疫情防控一线,金融投资报
83,2021-11-09,七匹狼：公司不存在大股东非经营性占用上市公司资金的情形,Wind
84,2021-11-09,银行业研究周报：上市城商行三季报点评,新浪
85,2021-11-09,A股融资融券日报：两融余额增加39.23亿元（11月8日）,Wind
86,2021-11-08,成都银行大宗交易成交608.30万元,证券时报网
87,2021-11-08,成都银行现1笔大宗交易 共成交608.30万元,新浪
88,2021-11-08,成都银行今日大宗交易成交55.30万股，成交价11.0元折价6.62%,Wind
89,2021-11-08,A股市场破净股一览（11月8日）,Wind
90,2021-11-08,银行行业周报：社融有望迎来增速拐点 关注银行板块配置价值,新浪
91,2021-11-07,券商在搅动基金托管江湖，银行独霸时代遭挑战？,Wind
92,2021-11-05,成都银行11月5日大宗交易成交2160.00万元,证券时报网
