,2021-12-31,招商局置地(00978)与招商蛇口订立运营协议,智通财经
0,2021-12-31,招商局置地：订立运营协议及物业管理总协议,Wind
1,2021-12-31,央行邹澜：鼓励金融为地产并购营造良好融资环境！地产指数单月反弹超11%,资本邦
2,2021-12-31,地产板块午后拉升，皇庭国际涨停，招商积余等走高,证券时报网
3,2021-12-30,招商蛇口：常熟琴湖拟为常熟琴安6亿元贷款提供担保 大额借贷担保,中金在线
4,2021-12-30,招商蛇口：常熟招商琴湖为常熟琴安提供6亿元担保 大额借贷担保,乐居财经
5,2021-12-30,11月房企融资能力表现报告·观点月度指数,搜狐
6,2021-12-30,中金-招商蛇口20亿元ABS购房尾款项目状态更新为“已反馈”,乐居财经
7,2021-12-30,原报告 | 回看房企三季报里的财务预警,新浪
8,2021-12-29,招商蛇口首个四级养老服务网络正式启幕,凤凰网
9,2021-12-29,交易商协会：决定接受招商蛇口30亿元中票注册,Wind
10,2021-12-29,政策回暖加速房地产行业格局重塑,和讯
11,2021-12-28,招商蛇口为控股子公司4.9亿融资提供担保 大额借贷担保,金融界
12,2021-12-28,招商蛇口：拟为扬州威盛7亿元融资提供担保 大额借贷担保,中金在线
13,2021-12-28,招商蛇口为扬州威盛提供不超过4.9亿元担保 大额借贷担保,观点地产网
14,2021-12-28,招商蛇口为扬州威盛提供不超4.90亿元担保 大额借贷担保,乐居财经
15,2021-12-28,房地产板块震荡下滑，阳光城跌停,Wind
16,2021-12-28,险资“换仓”地产,乐居财经
17,2021-12-27,江苏海鸿和招商平安资管入股招商蛇口项目公司，合计增资711万持股34.5%,乐居财经
18,2021-12-27,500亿市值金地集团午后打开涨停板！地产ETF（159707）33%换手率持续高企！,金融界
19,2021-12-27,财信发展、京能置业、金地集团涨停，房地产板块回暖,Wind
20,2021-12-27,大公司创新情报（1月7日）：招商蛇口试水并购类债券 房企迈出促行业出清一小步?,亿欧网
21,2021-12-27,周末要闻！央行发声：满足购房者合理住房需求！地产ETF（159707）连续4日溢价收盘,资本邦
22,2021-12-24,朸濬国际就租赁招商蛇口、华侨城共同开发的深圳物业签订意向书,观点地产网
23,2021-12-24,中信证券：2022年，房地产的变和不变,Wind
24,2021-12-24,地产股持续回暖翻红！地产ETF（159707）换手率超30%！中信年度策略：看好价值地产企业,金融界
25,2021-12-24,一把砸25亿！高瓴又出手了,Wind
26,2021-12-23,A股收盘综述：市场资金涌入电力、白酒、光伏股！中国铝业巨量封涨停,Wind
27,2021-12-23,招商积余回应毛利率偏低原因,乐居财经
28,2021-12-23,A股午盘综述：电力股火了、光伏股强劲复苏，大唐发电太阳能等纷纷上板,Wind
29,2021-12-23,地产行业研报：几处早莺争暖树，谁家新燕啄春泥【中信证券】,每经网
30,2021-12-22,民营房企融资破冰行动,经济观察报
31,2021-12-22,《2021中国房地产数字化能力观察白皮书》重磅发布！聚焦数字化建设，明确数字化转型 | 钛媒体研究院,钛媒体
32,2021-12-22,黑龙江“秒删”楼市政策表态？万科A跌超2%，地产ETF（159707）换手率近50%！,资本邦
33,2021-12-22,地产产业链全线爆发 逾20股涨停,新浪
34,2021-12-21,地产行业点评：欲被拯救，必先自救【中信证券】,每经网
35,2021-12-21,A股地产爆发 百亿上海城市更新引导基金成立｜房资日报,金融界
36,2021-12-21,央行、银保监会支持房地产企业项目并购，行业格局或面临重塑,第一财经
37,2021-12-21,五大房企募资百亿 城市更新加速扩容,中国网
38,2021-12-21,A股收盘综述：40余只地产股涨停，市场资金蜂拥而入！热门妖股批量砸跌停,Wind
39,2021-12-21,地产股涨停潮霸榜！地产ETF（159707）涨超5%换手率超50%！9大机构火线解读!,资本邦
40,2021-12-21,中信证券：地产欲被拯救，必先自救,Wind
41,2021-12-21,地产股掀涨停潮！万科A、保利发展持续拉升！地产ETF（159707）涨超4%！,金融界
42,2021-12-21,至暗时刻已过？地产股罕见爆发，二十余股封涨停,证券之星
43,2021-12-21,地产股拉升，地产ETF（159707）劲升4.5%盘中价创新高,Wind
44,2021-12-21,两部门发文护航房地产行业风险化解，优质项目并购融资获重点支持,Wind
45,2021-12-20,小米集团：聚焦高端板块，放眼2022年复苏｜兴·研究,腾讯网
46,2021-12-20,央企华侨城、招商蛇口试水并购债 募集资金均未投向出险企业项目,财联社
47,2021-12-20,地产行业点评：收并购加速市场“出清” 行业格局有望重塑,新浪
48,2021-12-20,地方政府“牵线搭桥” 央国企并购出险房企项目大幕开启,财联社
49,2021-12-20,美的和铁建入股招商蛇口合肥项目，合计增次38亿元,乐居财经
50,2021-12-20,招商蛇口首席数字官徐晓仪荣获2021数字化创新风云人物奖,财经网
51,2021-12-20,中金：政策发力行业渐稳，中资美债风险可控,Wind
52,2021-12-20,地产板块领涨两市，地产ETF（159707）涨近2%！两部发文鼓励并购出险房企优质项目,资本邦
53,2021-12-20,央行银保监会联合发文，鼓励并购出险房企优质项目,Wind
54,2021-12-19,城市更新站上“下一个风口” 八成百强上市房企下海淘金,中国经营网
55,2021-12-18,行业透视 | 优质房企拟发行并购票据，行业优胜劣汰加剧,克而瑞地产研究
56,2021-12-18,资本圈 | 世茂出售香港项目补充资金 招商、万科等参设上海城市更新基金,新浪
57,2021-12-17,招商蛇口、万科、上海世博等联合设立百亿上海城市更新引导基金,新京报
58,2021-12-17,今年“拿地大户”招商蛇口，连续5个月业绩下滑后，能否顺利完成全年目标？ 盈利能力下降,华夏时报
59,2021-12-17,民营房企融资破冰行动,经济观察报
60,2021-12-17,招商蛇口(001979)：拿地节奏放缓 销售略带反弹,新浪
61,2021-12-17,上海世博、招商蛇口、万科及中交房地产设100亿上海城市更新引导基金,观点地产网
62,2021-12-17,招商蛇口：子公司拟参与投资设立上海城市更新引导基金,e公司
63,2021-12-17,招商蛇口(001979.SZ)拟斥20亿元参与投资设立上海城市更新引导基金,智通财经
64,2021-12-17,上海地产集团联合万科、招商蛇口等联合成立上海城更引导私募基金，注资100.02亿元,乐居财经
65,2021-12-17,新形势下如何解读华南城(01668.HK)获标普授予“B-”评级？,格隆汇
66,2021-12-16,招商蛇口为子公司提供10亿融资担保，滨江集团为2家子公司担保 大额借贷担保,贝壳财经
67,2021-12-16,招商蛇口：招商商置向交银康联申请债权融资10亿元 公司将为其提供担保 大额借贷担保,发布易
68,2021-12-16,招商蛇口：为招商商置10亿元融资提供担保 大额借贷担保,中金在线
69,2021-12-16,22股获券商买入评级，康泰生物目标涨幅达97.29%,Wind
70,2021-12-15,八大券商主题策略：当前房地产处于底部区域！,中投网
71,2021-12-15,招商蛇口20亿元购房尾款ABS项目再次获深交所反馈,观点地产网
72,2021-12-15,东北证券：发改委再提房地产仍是支柱产业，后续力度更大调节政策有望出台,财联社
73,2021-12-15,地产股集体拉升，保利、招商蛇口涨超2%，地产ETF（159707）快速走高涨超1%,资本邦
74,2021-12-15,北上广二手房销售价格环比连降3个月，深圳已连降7个月,Wind
75,2021-12-15,中金-招商蛇口西南20亿元ABS购房尾款项目状态更新为“已反馈”,乐居财经
76,2021-12-15,保障性住房建设料提速，房地产投资有支撑,Wind
77,2021-12-14,招商蛇口为子公司23亿元贷款提供担保 大额借贷担保,观点地产网
78,2021-12-14,招商蛇口(001979)：子公司为南京江洲盛瑞提供担保 大额借贷担保,资本邦
79,2021-12-14,招商蛇口为徐州招盛提供不超4.08亿元担保 大额借贷担保,乐居财经
80,2021-12-14,招商蛇口为南京江洲盛瑞提供不超7.65亿元担保 大额借贷担保,乐居财经
81,2021-12-14,融资放宽是起点，但只开了前路，后面的可持续性呢？,搜狐
82,2021-12-14,焦点日报 | 华夏越秀高速REIT上市25分钟成交破亿,搜狐
83,2021-12-14,财面儿丨招商蛇口：股东招为投资拟减持2091.29万股 此前已有4次减持计划 拟减持股份,财经网
84,2021-12-14,招商积余(001914)动态报告：地产供给侧改革受益标的 母公司资源支撑成长 内部提质增效可期,新浪
85,2021-12-14,以稳健谋发展，“长期主义者”招商蛇口上海的品牌价值密码,搜狐
86,2021-12-14,地产融资“恢复正常”再确认，11月房地产贷款同比增逾2000亿元,Wind
87,2021-12-14,信号明确？11月新增个人房贷4013亿，央行这一操作有何深意？,Wind
88,2021-12-13,招商蛇口(001979)：融资端获增量额度 投资端权益比下降,广发证券
89,2021-12-13,招商蛇口：招为投资拟减持2091.29万股 占总股本0.26% 拟减持股份,观点地产网
90,2021-12-13,招商蛇口(001979.SZ)股东招为投资拟减持不超2091.29万股 拟减持股份,智通财经
91,2021-12-13,招商蛇口：股东招为投资计划减持不超过约2091万股 拟减持股份,每日经济新闻
92,2021-12-13,招商蛇口：控股股东一致人招为投资拟减持不超0.26%股份 拟减持股份,财联社
93,2021-12-13,招商蛇口：股东深圳市招为投资合伙企业拟减持不超过0.26%公司股份 拟减持股份,Wind
94,2021-12-13,中国房产质量周报第十八期：新房交付后，多久可拿到房产证？,证券之星
95,2021-12-11,流动性风险犹存 一场行业大洗牌在所难免,中国房地产网
96,2021-12-11,中信建投证券六大研究团队最新解读中央经济工作会议,Wind
97,2021-12-11,重庆三轮土拍|招商蛇口底价20亿得西永组团Ah标准分区地块,金融界
98,2021-12-10,招商蛇口为子公司19.5亿贷款提供担保 大额借贷担保,搜狐
99,2021-12-10,招商蛇口为瑞嘉投资提供19.5亿元担保 大额借贷担保,乐居财经
