,2021-12-31,全年收益率超过50%，这4家券商金股组合赢了！2022年1月部分热门标的个股已现身,每日经济新闻
0,2021-12-30,2021龙虎榜百强营业部出炉！稳居第一的又是它,Wind
1,2021-12-30,2021龙虎榜百强营业部出炉！稳居第一的又是它,中证报
2,2021-12-30,2021年59家券商有IPO过会项目，中信、海通、国金等9家赚超10亿元,每日经济新闻
3,2021-12-30,券商拉升为何？券商权重与大资管齐发力板块现阳包阴，或为四大逻辑共振！,金融界
4,2021-12-30,华利集团：招商证券、宝盈基金等3家机构于12月24日调研我司,证券之星
5,2021-12-29,券商政策红利期仍在,证券市场周刊
6,2021-12-29,2021A股IPO承销保荐哪家强？“三中一华”占半壁江山 民生、国信、东方逆袭,21世纪经济报道
7,2021-12-29,投顾人才战！券商投顾扩容至6.8万，中信近5200名投顾实力布局，广发占比最高，一家中型券商增速亮了,财联社
8,2021-12-29,华夏幸福通过债务重组方案，泛海控股拟延期兑付,ZAKER
9,2021-12-29,【港股通】招商证券(03968)午后跌超2% 此前遭摩根减持375.62万股,和讯
10,2021-12-29,又一券商总裁履新，系券业23年老兵！今年多家券商总裁变更,Wind
11,2021-12-29,牧原食品股份有限公司 关于完成工商变更登记的公告,证券时报
12,2021-12-29,又一券商总裁履新，系券业23年老兵！券业高管持续高速轮转，今年多家券商总裁变更,券商中国
13,2021-12-28,招商证券助力集成电路EDA领域领先企业概伦电子在科创板成功上市,微信
14,2021-12-28,招商证券助力中远海发发行股份购买资产并募集配套资金项目圆满完成,微信
15,2021-12-28,【港股通】华润医疗(01515)涨超3% 招商证券料其将从DRG/DIP改革中获益,和讯
16,2021-12-28,全年IPO超500家，哪些券商投行“赚嗨”了？,Wind
17,2021-12-28,2021龙虎榜百强营业部出炉！近半数席位更替，量化交易成最大变量,开源证券
18,2021-12-28,券商营业部排名大洗牌，量化交易催生硬件竞赛,Wind
19,2021-12-27,全年IPO超500家，哪些券商投行“赚嗨”了？,第一财经
20,2021-12-27,招商证券：董事会审议并通过关于落实公司董事会职权实施方案的议案,Wind
21,2021-12-27,招商证券：公司副总裁吴光焰辞职,Wind
22,2021-12-27,【中信建投 非银&金融科技】企业境外上市纳入监管，当前时点仍建议关注券商板块,中信建投非银金融研究
23,2021-12-27,招商证券年内五名高管离职空位待补 行业转型券商人才流转频繁,新浪
24,2021-12-26,【国君非银刘欣琦团队】我们继续建议关注券商的机构业务,欣琦看金融
25,2021-12-26,券商人手大比拼！两家头部券商扩张，年内增员均超2000,Wind
26,2021-12-24,信用债日报：本周信用债净融资额创7个月新低，地产债延续弱势,Wind
27,2021-12-24,副总裁辞职，董事长代行总经理一职，招商证券年内离开高管达四位,金融界
28,2021-12-24,招商证券年内第五位离任！吴光焰申请辞去公司副总裁一职,资本邦
29,2021-12-24,招商证券副总裁离职！券商现离职潮，年内42名董监高变动,时代周报
30,2021-12-24,这家券商又一副总裁辞职，任内经纪业务收入闯进前三！还有多个高管职务空缺待任,券商中国
31,2021-12-23,又一副总裁辞职！今年以来，招商证券总裁及3位副总裁离任,新浪
32,2021-12-23,招商证券副总裁吴光焰个人原因辞职，公司年内4位高管离职，行业离职高发，23家券商42位高管年内离任,财联社
33,2021-12-23,招商证券(06099)：吴光焰辞任公司副总裁,智通财经
34,2021-12-23,招商证券(06099)完成发行18亿元2021年度第十四期短期融资券,智通财经
35,2021-12-23,招商证券：关于公司副总裁辞职的公告,新浪
36,2021-12-23,招商证券副总裁吴光焰辞职，50天内两位副总裁接连辞职,中华网
37,2021-12-23,招商证券：吴光焰申请辞去公司副总裁职务,每日经济新闻
38,2021-12-23,招商证券(600999.SH)完成发行18亿元短期融资券,智通财经
39,2021-12-23,招商证券：副总裁吴光焰因个人原因辞职,Wind
40,2021-12-22,Ｃ光庭上市首日涨25.94%，机构龙虎榜净买入3806.37万元,证券时报网
41,2021-12-22,招商证券国际：耐克在内地部份市场被国产品牌夺取 料“国潮”趋势明年持续,格隆汇
42,2021-12-22,最牛女保代保荐24个项目，超50%保代却没活干,Wind
43,2021-12-21,超募惹眼！今年六成IPO项目超募，两IPO项目合计超募近百亿，“闲钱”是否资源浪费？一波争议声起,财联社
44,2021-12-21,居民收入稳步提升，券商财富管理“备战升级”,Wind
45,2021-12-20,招商证券大宗交易成交114.46万股 成交额2011.06万元,招商证券
46,2021-12-20,招商证券今日大宗交易成交114.46万股，成交价17.57元溢价0.0%,Wind
47,2021-12-20,【招商房地产】按揭改善，22年Q2前全局房价或仍有下行压力—房地产行业最新观点及1-11月数据深度解读？,降噪房地产
48,2021-12-20,今年A股上市公司突破500家！募资总额超过5200亿，各创历史纪录，百元发行价新股13只,财联社
49,2021-12-20,保代人数两年近翻倍，保荐项目为零者尚过半,Wind
50,2021-12-19,除了备战北交所，券业今年还有这些关键词,Wind
51,2021-12-18,票据逾期暂息，再遭评级下调，猪周期考验牧原股份 未按时兑付本息,腾讯网
52,2021-12-18,2021年券商十大新闻盘点,Wind
53,2021-12-18,安科瑞：招商证券、银华基金等7家机构于12月14日调研我司,证券之星
54,2021-12-17,【银华基金】交易日报 2021-12-17,新浪
55,2021-12-17,招商证券：2021年度第十三期短期融资券兑付完成，本息合计超20亿元,Wind
56,2021-12-16,东鹏饮料跌3.7% 招商证券民生证券高位唱多,中国经济网
57,2021-12-16,招商证券：公司股价受多种因素影响，出现波动是正常现象,每日经济新闻
58,2021-12-16,券商抢基金代销蛋糕，降费之外需亮新招,Wind
59,2021-12-15,招商证券今日大宗交易成交120万股，成交价16.06元折价9.98%,Wind
60,2021-12-15,【券商聚焦】招商证券维持哔哩哔哩(09626)买入评级 目标价续看779港元,和讯
61,2021-12-15,【招商纺服她经济宋盈盈】迪阿股份（301177）：“一生只送一人”的忠贞爱情守护者,微信
62,2021-12-15,开市以来26家公司获调研，知名机构频现身,Wind
63,2021-12-14,12月14日重点关注五场基金：招商证券策略首席张夏、华泰柏瑞投资总监张慧带你虎年虎虎生威,新浪
64,2021-12-14,华侨城A：招商证券、海富通基金等12家机构于12月9日调研我司,证券之星
65,2021-12-14,伟星股份：招商证券股份有限公司、大家资产管理有限责任公司等2家机构于12月9日调研我司,证券之星
66,2021-12-13,生物技术研发公司济凡生物完成1亿人民币B轮融资,亿邦动力
67,2021-12-13,【招商证券】招商证券总量组联席解读中央经济工作会议（20211212）,轩言全球宏观
68,2021-12-13,【首发】济凡生物完成亿元B轮融资，强化技术平台建设,动脉网
69,2021-12-13,关于同意招商证券股份有限公司为嘉实中证电池主题交易型开放式指数证券投资基金提供主做市服务的公告,上交所
70,2021-12-13,智能投顾业务迎整改，两银行按下“暂停键”,Wind
71,2021-12-13,券源拓宽激发融券业务活力，市场竞争格局或重塑,Wind
72,2021-12-13,券源拓宽激发融券业务活力 市场竞争格局或重塑,上证报
73,2021-12-12,【国君非银刘欣琦团队】注册制将全面实施，继续推荐头部券商,欣琦看金融
74,2021-12-12,基金投顾监管在路上，招行回应称正进行规范改造,Wind
75,2021-12-11,多起索赔诉讼时效期将过，投资者要及时搭上末班车 诉讼纠纷,Wind
76,2021-12-11,"券商""优等生""再次放榜！公布5次仅新增1家",Wind
77,2021-12-10,2021中国证券业分析师金牛奖揭晓 招商证券研究发展中心荣获“最具人气和影响力研究机构”奖,中证网
78,2021-12-10,2021中国证券业金牛奖揭晓 招商证券获“金牛证券公司”等三项大奖,中证网
79,2021-12-10,2700亿巨头惊心！客户经理群里提示造假风险，知名券商最新回应,Wind
80,2021-12-10,继张坤之后，景林、高毅、高瓴、睿远也来争抢这只股票,Wind
81,2021-12-10,德固特：招商证券、东海证券等2家机构于12月8日调研我司,证券之星
82,2021-12-10,微光股份：招商证券、上海申银万国证券研究所有限公司等7家机构于12月8日调研我司,证券之星
83,2021-12-09,券商员工在群聊中“提醒”猪茅财务造假？招商证券：已对该员工停职并严肃问责,每日经济新闻
84,2021-12-09,招商证券助力塑料制品及生物全降解制品领域领先企业家联科技在创业板成功上市,微信
85,2021-12-09,证券业“红利当头”，券商高管频频变动隐现战略转型,Wind
86,2021-12-08,商票逾期背后，“猪茅”牧原股份在进行一场“豪赌”？,凤凰网
87,2021-12-08,投行业务蓬勃发展，8家券商IPO 承销收入过10亿元|和讯睿见,和讯
88,2021-12-08,“中安科”索赔案后续！瑞华所：15%连带责任为事实认定错误，法院判决来了 诉讼纠纷,新浪
89,2021-12-08,每日理财观察：前11个月我国进出口规模超去年全年,Wind
90,2021-12-08,大跌眼镜！这家券商资管遭重罚，被暂停私募备案6个月,Wind
91,2021-12-07,牧原股份旗下32家子公司商票逾期，背后“牵涉”华能贵诚信托和招商证券,环球老虎财经
92,2021-12-07,真话还是“谎言”？牧原股份怒发32份公告再陷“造假疑云”,虎嗅网
93,2021-12-07,金融街下午茶2021年12月7日星期二,Wind
94,2021-12-07,10家券商综合账户落地倒计时，多家表态系统改造已完备，加紧灰度测试后上线，功能优化究竟有哪些,财联社
95,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
96,2021-12-07,12月7日上市公司晚间公告速递,新浪
97,2021-12-07,干货满满！明年如何进行资产配置？A股主线将会沿哪些方向布局？首席对话，洞悉市场动向！,中国基金报
98,2021-12-07,招商证券：申请开展账户管理功能优化试点业务获得中国证券监督管理委员会监管意见书,36氪
99,2021-12-07,招商证券：证监会对公司申请开展账户管理功能优化试点业务相关事项无异议,Wind
100,2021-12-07,证券行业周报：优化证券公司账户管理 打造以客户为中心体系,新浪
101,2021-12-06,旗下31家公司商票持续逾期，牧原股份再陷风波，澄清后却申请700亿授信，真没钱了？,证券之星
102,2021-12-06,券商收益互换业务新规落地，41家获资质券商竞跑“新赛道”,第一财经
103,2021-12-06,一财首席调研：12月信心指数重回50线上，降准强化稳增长信号,第一财经
104,2021-12-06,牧原股份旗下31家公司商票逾期承兑，招商证券旗下基金或“中招”,阿尔法工场
105,2021-12-06,四大理由看今日券商股躁动，头部券商与“高含财率”券商各自领衔，后市还可持续吗,财联社
106,2021-12-06,非银金融行业双周报：账户管理功能优化试点启动 险资参与证券出借业务开闸,华福证券有限责任公司
107,2021-12-06,非银金融行业周报：2021年证券公司财务顾问业务执行能力评价结果解读,新浪
108,2021-12-06,证券：适时降准叠加多项政策利好 看好券商板块行情,新浪
109,2021-12-06,"券商12月金股出炉！热门金股竟成""反向指标""？",Wind
110,2021-12-06,"券商12月金股出炉！热门金股竟成""反向指标""？信达、开源收益率领跑，最高超50%",券商中国
111,2021-12-05,3家获批银行基金投顾试点进展缓慢，展业或分两步走,Wind
112,2021-12-05,最牛大赚超80%！大集合改造，“冲刺”！,Wind
113,2021-12-04,惊呆！券商客户经理说要爆雷，“猪茅”连跌4天！公司紧急回应：强烈谴责,中证报
114,2021-12-04,证券业基本面梳理之一：优化证券公司账户管理功能 打造券商财富管理的主账户,新浪
115,2021-12-04,A股市场领涨全球，监管同意开展账户管理功能优化试点工作,Wind
116,2021-12-04,珠海冠宇：南方基金、招商证券等2家机构于11月15日调研我司,证券之星
117,2021-12-04,明阳电路：招商证券股份有限公司、汇添富基金管理股份有限公司等2家机构于12月1日调研我司,证券之星
118,2021-12-04,重磅试点名单出炉！中信、国泰君安等10家券商“拔头筹”,Wind
