,2021-12-31,盘点公募基金2021年十大事件,第一财经
0,2021-12-31,招商银行首席经济学家丁安华新书《见解》剖析中国经济面临的变局与未来的走向,证券日报网
1,2021-12-31,2021年十大牛股和熊股出炉，最牛股大涨566%,Wind
2,2021-12-31,北上资金本周抢筹股名单,证券时报网
3,2021-12-31,财华聚焦|北水净流入超千亿，浪花淘尽哪些港股英雄？,财华社
4,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
5,2021-12-31,中国银河：给予招商银行买入评级,证券之星
6,2021-12-31,招商银行、兆易创新等29股获北向资金增持额超亿元,证券时报网
7,2021-12-31,【财联社时评】要警惕“大宗+融券”的套利行为,财联社
8,2021-12-31,多家银行“代客理财”产品暂停购买,扬子晚报
9,2021-12-31,北向资金动向盘点：多点开花，平均推进,Wind
10,2021-12-31,融资客青睐6股，未来股份买入占比高达38.08%,Wind
11,2021-12-31,北向资金扫货A股81亿元 增持银行减持电力（个股名单） 减持股份,21世纪经济报道
12,2021-12-31,铁打的银行流动的高管，“年轻时代”走上C位,Wind
13,2021-12-30,银行APP掀起“瘦身”潮！,中国银行保险报
14,2021-12-30,大家保险为何减持招商银行？ 险资频频减持银行、地产股背后的逻辑竟然是这样！ 减持股份,财联社
15,2021-12-30,招商银行今日大宗交易成交132万股，成交价48.3元折价0.41%,Wind
16,2021-12-30,A股共发生275宗大宗交易成交59.59亿元（12月30日）,Wind
17,2021-12-30,陆股通净买入81.41亿元，连续4日净买入,证券时报网
18,2021-12-30,机构年末减持调仓 白马股频频闪崩 跨年行情还好吗？ 减持股份,21世纪经济报道
19,2021-12-30,招商银行现10笔大宗交易 总成交金额1.31亿元,证券时报网
20,2021-12-30,北向资金今日净买入招商银行7.66亿元,证券时报
21,2021-12-30,每经18点|江西证监局对国盛证券刘富兵监管谈话；北上资金净买入招商银行7.66亿元；上海加强元宇宙底层核心技术基础能力的前瞻研发,每日经济新闻
22,2021-12-30,数据复盘｜65股获主力加仓超亿元 北向资金抢筹招商银行、航发动力等,证券时报网
23,2021-12-30,南水今日大幅净买入81亿元，加仓招商银行超7亿元；港股通今日休市,富途证券
24,2021-12-30,"招商银行现10笔大宗交易 共成交13,121.63万元",新浪
25,2021-12-30,北向资金净买入81.41亿元 招商银行净买入7.66亿元,新浪
26,2021-12-30,招商银行今日大宗交易成交208万股，成交价48.3元折价0.41%,Wind
27,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
28,2021-12-30,招商银行29日现14笔大宗交易成交约28亿 机构专用席位卖出13笔,硅谷动力
29,2021-12-30,招行砸盘者浮出水面？28 亿大宗交易疑似保险机构减持，融券套利者或浮盈超 8 千万，投资人质疑内幕交易 减持股份,ZAKER
30,2021-12-30,2021银行板块回顾：估值与基本面分化，强者恒强再延续,智通财经
31,2021-12-30,什么情况？2个月8倍，九安医疗再度涨停,Wind
