,2021-12-30,华西证券：给予百隆东方买入评级,证券之星
0,2021-12-28,百隆东方：目前，越南百隆生产经营已恢复正常，并通过积极调动一线员工生产积极性，优化排单，高效组织生产,每日经济新闻
1,2021-12-27,证券合规周报（第十九期）丨证监会明确境内企业境外上市备案流程，同步推动市场主体提升财务信息披露质量,21世纪经济报道
2,2021-12-23,百隆东方某前监事违法被罚 控制操作亲属账户短线交易 董监高成员异常事件,中国经济网
3,2021-12-20,百隆东方(601339)：反馈意见回复,证券时报网
4,2021-12-10,百隆东方：宁波镇海生产基地处于停产减产状态 经营问题,财联社
5,2021-12-08,纺织服装行业2022年度投资策略：分化·徐行,新浪
6,2021-12-07,百隆东方：越南百隆目前产能为100万纱锭，另有39万纱锭扩产项目尚在建设过程中,每日经济新闻
7,2021-12-03,百隆东方：因公司业绩恢复增长，公司整体调高了薪酬水平,每日经济新闻
8,2021-12-03,百隆东方：子公司越南百隆目前拥有100万纱锭生产能力,Wind
9,2021-11-29,纺织服装三季报总结：行业增长放缓 优质企业韧性凸显 盈利能力下降,新浪
10,2021-11-24,百隆东方：公司持有三峡金石（武汉）股权投资基金合伙企业（有限合伙）的份额，出资比例3%,每日经济新闻
11,2021-11-24,百隆东方：截至2021年三季度末，公司存货余额37亿元主要是棉花,每日经济新闻
12,2021-11-24,百隆东方：公司的坯纱是棉花纺织成纯棉纱线，未经过任何染料或漂白工艺,每日经济新闻
13,2021-11-24,百隆东方：三峡能源非公司的参股投资公司,Wind
14,2021-11-24,百隆东方：除棉花以外，公司的其他生产原材料还包括粘胶、涤纶、天丝、莫代尔等纤维,Wind
15,2021-11-24,外贸新规划出炉，明确五大目标，受益股曝光,Wind
16,2021-11-19,百隆东方最新公告：非公开发行股票申请获证监会受理,证券之星
17,2021-11-15,纺织服装行业周报：进博会收官 “科技+环保”成消费破局之道,新浪
18,2021-11-11,纺织服装行业2021三季报综述：制造趋强 品牌走弱 Q4改善或可期,新浪
19,2021-11-05,晚间重要公告2021年11月5日星期五,Wind
20,2021-11-05,百隆东方(601339.SH)：追加棉花期货交易保证金额度,格隆汇
21,2021-11-04,纺织服装行业周报：三季报披露完毕 关注业绩稳健的品牌公司,新浪
22,2021-11-04,出口产业链多行业联合分析：集装箱货代端运价回落 产业链利润有望向中游转移,新浪
23,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
24,2021-11-02,纺织服装行业周报：三季报出炉 纺服普遍低预期 美妆整体符合预期,新浪
25,2021-11-01,北向资金今日净买入7.11亿元，连续13日抢筹宁德时代累计加仓超76亿元,Wind
26,2021-11-01,国信证券维持百隆东方增持评级：棉价利好业绩高增，越南产能逐步恢复,每日经济新闻
27,2021-11-01,国信证券：给予百隆东方增持评级，目标价位7.4元,证券之星
28,2021-11-01,百隆东方(601339.SH)：越南百隆员工到岗率90%左右、实际产能已恢复接近90%,格隆汇
29,2021-11-01,百隆东方：越南子公司产能陆续恢复,财联社
30,2021-10-27,华西证券：给予百隆东方买入评级,和讯
31,2021-10-26,犀牛晚讯：金诚信第三季度净利1.16亿 上海家化第三季度净利1.35亿,GPLP犀牛财经
32,2021-10-26,百隆东方：前三季度净利润7.92亿元 同比增长342.21%,中证网
33,2021-10-26,交卷！百隆东方：2021年第三季度净利润约2.41亿元，同比增长464.13%,每日经济新闻
34,2021-10-26,百隆东方第三季度净利同比增长464.13%,上证报
35,2021-10-26,图解百隆东方三季报：第三季度单季净利润同比增464.13%,证券之星
36,2021-10-26,百隆东方公布三季报 前三季净利增加342.21%,新浪
37,2021-10-26,百隆东方：聘任公司财务总监董奇涵兼任董事会秘书一职,每日经济新闻
38,2021-10-26,百隆东方(601339.SH)前三季度归母净利7.9亿元 同比增长342.21%,智通财经
39,2021-10-26,百隆东方最新公告：第三季度净利2.41亿元 同比增464%,证券之星
40,2021-10-26,百隆东方(601339.SH)：第三季度净利增464.13%至2.41亿元,格隆汇
41,2021-10-26,百隆东方：前三季度净利润同比增长342.21%,Wind
42,2021-10-19,纺织服装行业快报：9月社零总额同比+4.4% 消费环比有所回暖,新浪
43,2021-10-19,纺织服装行业10月第三周周报：9月纺织服装出口恢复增长 服装出口环比加速,新浪
44,2021-10-18,纺织服装行业周报：9月纺服出口保持良好增势 周大福FY22Q2持续高增长,新浪
45,2021-10-18,纺织服装业行业：冷冬来袭 看好服装四季度表现,新浪
46,2021-10-12,百隆东方(601339.SH)股价异动 不存在未披露重大事项,智通财经
47,2021-10-12,百隆东方(601339.SH)：越南百隆实际产能已恢复至75%左右,智通财经
48,2021-10-12,交易异动！百隆东方：近3个交易日上涨22.18%,每日经济新闻
49,2021-10-12,百隆东方：越南百隆的实际产能已恢复至75%左右,Wind
50,2021-10-12,百隆东方龙虎榜数据(10月12日）,Wind
51,2021-10-12,10月12日百隆东方涨停分析：RCEP概念，纺织服装，粤港澳大湾区概念热股,证券之星
52,2021-10-12,快讯：百隆东方涨停 报于6.61元,金融界
53,2021-10-11,48股获买入评级 最新:百隆东方,中财网
54,2021-10-11,行业观察|棉价上涨推高棉纺龙头利润率 下游服装企业消化库存并酝酿涨价,财联社
55,2021-10-11,纺织服装业行业：9月服装电商数据出炉 棉价上涨再创新高,新浪
56,2021-10-11,百隆东方(601339)：供需失衡推动棉花行情强势上涨 色纺纱龙头持续受益,新浪
57,2021-10-09,纺织服装行业9月第四周周报：朗姿股份拟投3亿元设立医美并购基金 加速业务布局,新浪
58,2021-10-09,纺织服装：棉花需求创新高带动棉价强势 坚定看好棉纺龙头,浙商证券
59,2021-10-08,10月8日百隆东方涨停分析：RCEP概念，纺织服装，外贸受益概念概念热股,证券之星
60,2021-09-27,百隆东方(601339)：修订《公司章程》,证券时报网
61,2021-09-27,A股市场破净股一览（9月27日）,Wind
62,2021-09-16,纺织服装行业快报：8月社零同比+2.5% 金银珠宝表现亮眼,新浪
63,2021-09-14,纺织服装行业9月第二周周报：服装出口持续向好 纺织品因高基数下滑,新浪
64,2021-09-14,纺织服装行业周报：LULULEMON FY21Q2销售同比增长61%,新浪
65,2021-09-13,纺织服装行业周报：8月服装出口延续良好势头 华孚时尚Q3预计实现净利润1.3-1.8亿元,新浪
66,2021-09-07,纺织品、服装与奢侈品2021中报综述：Q2提速 运动及家纺亮眼,新浪
67,2021-09-01,快撑不住了！东南亚疫情肆虐，全球芯片供应链也受波及,Wind
68,2021-08-17,【行业一线】半年报业绩靓丽，纺织业盈利复苏能否持续？,财华社
69,2021-08-17,纺织服装行业快报：7月社零增速低于市场预期 线上渠道增长依旧稳健,新浪
70,2021-08-17,纺织服装行业8月第三周周报：贝泰妮H1利润增长65% 敏感肌大有可为,新浪
71,2021-08-16,需求乐观 棉纺龙头企业加速产能扩张,中国纺织报
72,2021-08-16,百隆东方(601339.SH)：目前越南百隆的实际产能已恢复至38%左右,智通财经
73,2021-08-14,懵了！订单回流中报亮眼，7月出口数据却大幅下滑,时代财经
74,2021-08-09,【纺织服装】每周策略20210809：全民健身计划利好运动产业，同时关注业绩增长确定的制造龙头,时尚消费志
75,2021-08-07,机构看重标的赚钱效应突出，新进牛股大涨228%,Wind
76,2021-08-06,百隆东方(601339)：董事会秘书华敬东退休辞职 董监高成员变化,生意社
77,2021-08-05,百隆东方：董秘华敬东辞职 财务总监董奇涵代行职责 董监高成员变化,中国经济网
78,2021-08-05,百隆东方：百隆东方关于公司董事会秘书辞职的公告 董监高成员变化,新浪
79,2021-08-05,百隆东方：华敬东辞去公司董事会秘书一职,Wind
80,2021-08-04,社保基金、QFII调仓路线曝光，同时重仓化工股,Wind
81,2021-08-03,禁买线预警，看“聪明钱”如何爆买A股？,Wind
82,2021-08-03,晨会聚焦210803重点关注移远通信、地素时尚、乐鑫科技、海大集团、百隆东方、农林牧渔、纺织服装、非金属建材、社会服务、食品饮料,国信研究
83,2021-08-03,百隆东方（601339）2021年中报点评：棉价、产能双轮驱动业绩增长,国信研究
84,2021-08-02,晚间重要公告2021年8月2日星期一,Wind
85,2021-08-02,百隆东方(601339.SH)：受越南疫情影响 越南百隆产能将减至32%左右,格隆汇
86,2021-08-02,百隆东方：越南子公司产能受越南疫情影响,Wind
87,2021-08-02,纺织服装行业周报：多因素促棉价继续提升 继续推荐百隆东方,新浪
88,2021-08-02,纺织服装8月投资策略：中报季来临 把握加仓良机,新浪
89,2021-08-02,7月30日58只个股获券商关注，百隆东方目标涨幅达78.99%,每日经济新闻
90,2021-07-30,百隆东方(601339)2021年中报点评：21年上半年业绩靓丽 长期产能持续扩张、短期关注越南疫情,光大证券
91,2021-07-30,百隆东方上半年扣非净利润同比大增400%,上证报
92,2021-07-30,【百隆东方（601339.SH）】21年上半年业绩靓丽，长期产能持续扩张、短期关注越南疫情——2021年中报点评（孙未未）,光大证券
93,2021-07-30,华西证券维持百隆东方买入评级：提价顺畅，议价能力提升逻辑强化,每日经济新闻
94,2021-07-29,A股市场破净股一览（7月29日）,Wind
95,2021-07-29,A股早报2021年7月29日星期四,Wind
96,2021-07-28,鹰眼预警：百隆东方营业收入与税金及附加变动背离,新浪
97,2021-07-28,晚间重要公告2021年7月28日星期三,Wind
98,2021-07-28,百隆东方龙虎榜数据（7月28日）,Wind
99,2021-07-28,百隆东方：上半年净利润同比增长303.97%,Wind
100,2021-07-28,百隆东方：2021年半年度净利润约5.5亿元，同比增加303.97%,每日经济新闻
101,2021-07-28,百隆东方(601339.SH)半年度扣非净利同比增约4倍至5.28亿元,智通财经
102,2021-07-28,百隆东方(601339.SH)半年度净利润升303.97%至5.5亿元,格隆汇
103,2021-07-21,氨纶价格翻倍，化纤企业上半年趋势向好，安踏表现也很出色,时代财经
104,2021-07-20,纺织服装行业周报：6月服装社零同比增长12.8%、环比加速增长,新浪
105,2021-07-20,按天拿货！氨纶价格一年内翻倍 化纤上市公司业绩坐上“直升飞机”,时代财经
106,2021-07-16,纺织服装板块业绩频频报喜，行业景气度走高,Wind
107,2021-07-14,纺织服装行业7月第二周周报：纺服行业中报业绩靓丽 板块行情有望持续爆发,新浪
108,2021-07-13,纺织服装行业周报：安踏、雪中飞未来发展战略彰显信心 继续关注持续提升的国产品牌,新浪
109,2021-07-13,一周策略回顾与展望,新浪
110,2021-07-12,纺织服装行业2021年中报业绩前瞻：国货崛起正当时 运动与轻奢表现优异,新浪
111,2021-07-12,纺织服装行业周报：板块行情有望延续至下半年,新浪
112,2021-07-07,百隆东方(601339)：份额提升背景下 定增加速扩产,新浪
113,2021-07-06,纺织服装行业周报：中报预期升温 国潮热度持续 关注细分赛道竞争力领先的国产品牌,新浪
114,2021-07-06,A股早报2021年7月6日星期二,Wind
115,2021-07-05,百隆东方(601339.SH)拟非公开发行A股股票募资不超10亿元,智通财经
116,2021-07-05,交易异动！百隆东方：不存在应披露而未披露的重大事项,每日经济新闻
117,2021-07-05,百隆东方：拟定增募资不超10亿元,Wind
118,2021-07-05,纺织服装行业周报：中报前瞻 关注中报有望超预期标的,新浪
119,2021-07-05,百隆东方龙虎榜数据(7月5日）,Wind
120,2021-07-05,659家公司预告上半年业绩 69.95%报喜,证券之星
121,2021-07-02,百隆东方上半年净利预增超280%越南子公司月内新增10%产能,财联社
122,2021-07-02,百隆东方：标准化产品订单全年已排满本月底越南生产基地将增加10%产能,财联社
123,2021-07-02,百隆东方(601339)：业绩超预期 强化份额提升、周期性弱化逻辑,新浪
124,2021-07-01,预增！百隆东方：预计2021年上半年净利润增加约3.82亿元到约4.50亿元,每日经济新闻
125,2021-07-01,百隆东方：上半年预计净利润同比增长280.0%~330.0%,Wind
126,2021-07-01,百隆东方(601339.SH)半年度净利润预增2.8倍-3.3倍,格隆汇
127,2021-07-01,百隆东方：预计上半年净利润同比增加280%-330%,财联社
128,2021-06-28,纺织服装行业周报：从李宁中报超预期看服装板块的利润弹性,新浪
129,2021-06-22,纺织服装行业6月第三周周报：5月服装及化妆品社零增速保持双位数增长,新浪
130,2021-06-21,富春染织：百隆东方和华孚时尚主要产品为色纺纱，公司主要产品为色纱,每日经济新闻
131,2021-06-20,百隆东方(601339.SH)权益分派：每10股派2元,智通财经
132,2021-06-18,一周纺织股大事｜6月15-18日 国内纺服龙头承接东南亚回流订单 孚日股份 百隆东方产能大增,全球纺织网
133,2021-06-18,第二纺织大国“熄火”，多家A股公司承接转移订单,Wind
