,2021-12-31,化工行业2021年11月数据：国内化工行业运行指标跟踪,新浪
0,2021-12-29,新和成(002001)：携手中石化扩产蛋氨酸 功能性化学品龙头成长可期,新浪
1,2021-12-29,新和成：锐意进取的精细化工龙头，新材料业务望成新增长极,第一财经
2,2021-12-29,新和成携手中石化拟30亿再扩产 上市17年累盈229亿派息86亿,长江商报
3,2021-12-27,新和成：公司异戊烯醇产品通过化学合成可以做成卡隆酸酐,Wind
4,2021-12-27,新 和 成：新和成和中石化出资比例为50:50,每日经济新闻
5,2021-12-27,新和成：目前公司尚未直接与辉瑞签订业务协议,Wind
6,2021-12-27,A股早报2021年12月27日星期一,Wind
7,2021-12-27,大手笔！中石化入局，联手这家A股公司，共同出资30亿布局蛋氨酸,中证报
8,2021-12-26,蛋氨酸需求强劲 新和成与中石化合作投资扩产,e公司
9,2021-12-26,晚间重要公告2021年12月26日星期日,Wind
10,2021-12-26,新和成(002001.SZ)拟成立合资公司投资一套蛋氨酸生产设施项目,智通财经
11,2021-12-26,新和成：与中国石化合作投资一套蛋氨酸生产设施,Wind
12,2021-12-26,新和成：与中国石化合作投资一套蛋氨酸生产设施,财联社
13,2021-12-22,企业“一周赶100吨订单”，浙江制造业大区重镇有序复工复产,第一财经
14,2021-12-21,新和成：目前公司VB6项目在试产阶段,Wind
15,2021-12-12,【安信化工】科学考核能耗双控，看好化工龙头,安信化工研究
16,2021-12-10,新和成：公司积极配合当地政府要求进行有序停产与防疫排查工作,Wind
17,2021-12-10,Mysteel：新和成绍兴上虞基地接到12月10日开始有序停产通知 经营问题,我的农产品网
18,2021-12-10,新和成：绍兴上虞基地接到有序停产通知 正在评估影响 经营问题,财联社
19,2021-12-08,2021中国上市公司软实力巡礼：新和成价值43.73亿元 排序第97名,搜狐
20,2021-12-06,化工周报：周期品价格逐步企稳 静待春旺归来,新浪
21,2021-12-06,深度*行业*化工行业2022年策略：优秀龙头有望价值重估 新材料发展空间广阔,新浪
22,2021-12-06,科思股份(300856)投资价值分析报告：疫情损伤后拐点已现 扩产能跨品类双驱增长,新浪
23,2021-12-06,基础化工行业周报：政策陆续出台利好氢能行业发展 氟化工向高附加值产品延伸,光大证券
24,2021-12-05,化工行业2022年投资策略：一半是海水 一半是火焰,广发证券
25,2021-12-03,化工：关注辉瑞新冠药物中间体-异戊烯醇、菊酸,新浪
26,2021-12-01,华泰研究所12月金股推荐,新浪
27,2021-11-30,新和成3.2亿元回购公司0.43%股份,乐居财经
28,2021-11-30,新和成(002001.SZ)累计回购1098.84万股 耗资3.2亿元,智通财经
29,2021-11-30,新和成(002001.SZ)：截至11月底累计回购1098.84万股,格隆汇
30,2021-11-30,新和成：累计回购约1099万股，占比0.4262%,每日经济新闻
31,2021-11-29,化工：海外尿素价格持续上涨 全球谷物产量面临氮肥紧缺压力,新浪
32,2021-11-29,化工周报：DMC、甘氨酸持续上涨 关注一线龙头及偏下游产品,新浪
33,2021-11-28,化工行业：原油价格大幅下跌 化工品价差收窄,广发证券
34,2021-11-25,化工行业：“液体黄金”大幅提升轮胎性能,广发证券
35,2021-11-24,新和成：目前公司PPS15000吨生产线正常生产，第三期7000吨生产线在建设中,Wind
36,2021-11-22,化工行业周报：房地产融资环境改善 继续关注化工估值修复机会,新浪
37,2021-11-22,化工行业动态：金属硅触底反弹 甘氨酸支撑草甘膦高位,新浪
38,2021-11-22,5股获券商买入评级，华鲁恒升目标涨幅达41.21%,Wind
39,2021-11-21,化工行业：高端光刻胶相继突破 关注国产化进程,广发证券
40,2021-11-20,化工行业策略：新能源变革下的化工新材料大机会,新浪
41,2021-11-19,新和成（002001.SZ）：预计PPS第三期明年能投料试车 维生素市场需求维持稳定增长,智通财经
42,2021-11-19,Mysteel：郑州和谐通生物科技有限公司添加剂最新报价,我的农产品网
43,2021-11-19,Mysteel：苏州茂一儒业维生素最新报价,我的农产品网
44,2021-11-19,新和成：目前公司蛋氨酸15万吨正常生产销售,Wind
45,2021-11-17,Mysteel：上海易蒙斯化工科技有限公司添加剂报价,我的农产品网
46,2021-11-17,光大证券：维持新和成(002001.SZ)“买入”评级 VE迎来景气周期 蛋氨酸价格有望回升,智通财经
47,2021-11-17,Mysteel：无锡菲斯达饲料添加剂最新报价,我的农产品网
48,2021-11-17,Mysteel：石家庄瑞可维商贸有限公司维生素最新报价,我的农产品网
49,2021-11-15,化工行业周报：碳中和背景下 继续看好高景气新能源化工材料,新浪
50,2021-11-15,化工行业动态：化工布局磷酸铁梳理 看好三氯蔗糖高景气,新浪
51,2021-11-15,中金：化工产品价格或已筑顶，战略性看好偏下游企业,中金点睛
52,2021-11-15,化工周报：维生素、磷化工价格上涨 周期品整体企稳 关注白马龙头和轮胎、农化产业链,新浪
53,2021-11-12,化工行业周度观点21W43：碳达峰行动方案出台 “1+N”政策体系更加明确,新浪
54,2021-11-12,Mysteel：苏州茂一儒业添加剂最新报价,我的农产品网
55,2021-11-11,中泰周期·大宗指南：周期品周度运行变化,新浪
56,2021-11-11,【行业一线】维生素E雄起！板块龙头再起航？,财华社
57,2021-11-10,融资客青睐6股，未来股份买入占比高达37.33%,Wind
58,2021-11-10,行业景气度上升 维生素概念股获机构关注,证券时报
59,2021-11-09,价格处于近5年高位，景气度有望回暖，机构扎堆推荐股曝光,微信
60,2021-11-09,新和成：目前公司薄荷醇项目建设的生产线设计产能为5000吨,Wind
61,2021-11-04,新和成：公司三季报增加的无形资产主要为购买土地使用权,Wind
62,2021-11-03,基础化工行业周报：油价下跌 无水氢氟酸、除草剂、丁基橡胶等产品价格上涨,新浪
63,2021-11-03,基础化工行业2021年三季报总结：原材料价格持续提升 短期影响21Q3行业盈利能力,新浪
64,2021-11-03,东方证券维持新和成增持评级：业绩韧性十足，等待新增长点,每日经济新闻
65,2021-11-03,东方证券：给予新和成增持评级，目标价位32.04元,证券之星
66,2021-11-02,新和成(002001)：Q3盈利水平高位回落 在建项目稳步推进 盈利能力下降,新浪
67,2021-11-01,国金证券：给予新和成增持评级，目标价位41.6元,证券之星
68,2021-11-01,私募大佬放大招！看邓晓峰、冯柳、裘国根等最新持仓,Wind
69,2021-10-31,新和成(002001.SZ)：截至10月末累计回购约1098.84万股,格隆汇
70,2021-10-31,新和成(002001.SZ)已耗资3.2亿元回购股份1098.84万股,智通财经
71,2021-10-31,新和成：累计回购约1099万股，占比0.4262%,每日经济新闻
72,2021-10-30,国海证券给予新和成买入评级，三季报点评：维生素E景气持续，业绩稳步增长,每日经济新闻
73,2021-10-29,开源证券维持新和成买入评级：Q3业绩增长32%，在建项目丰富保障未来成长,每日经济新闻
74,2021-10-29,【国海化工】新和成2021年三季报点评：维生素E景气持续，业绩稳步增长,靠谱化工股
75,2021-10-28,【金禾实业 | 深度报告：代糖风潮兴起，龙头布局加速】-国信证券,化工林谈
76,2021-10-28,新和成披露2021年三季报 实现营收105.16亿元,资本邦
77,2021-10-28,图解新和成三季报：第三季度单季净利润同比增31.79%,证券之星
78,2021-10-28,新和成：第三季度净利9.58亿元 同比增长32%,财联社
79,2021-10-28,新和成(002001.SZ)：第三季度净利升31.79%至9.58亿元,格隆汇
80,2021-10-28,新和成：前三季度净利润同比增长14.67%,Wind
81,2021-10-25,【广发化工|季报点评】卫星石化：C3高景气叠加C2一期贡献增量，21Q3业绩创新高,广发化工微平台
82,2021-10-24,基础化工行业周报：国家强调能源保供及大宗商品稳价 光刻胶仍旧短缺利好国产替代,光大证券
83,2021-10-23,新和成董秘回复：二期25万吨蛋氨酸项目 10万吨生产线已正常生产,证券之星
84,2021-10-22,维生素行业跟踪报告：供需持续改善 维生素景气复苏,光大证券
85,2021-10-20,新和成：目前公司主要产品维生素A折50万IU计能产出8000吨,Wind
86,2021-10-20,新和成：目前公司15万吨蛋氨酸生产线在正常生产，另15万吨生产线在建设中,Wind
87,2021-10-18,化工周报：能源价格上行强化周期品景气 坚定看好泛碳中和板块 关注受益海运费下降的轮胎行业,新浪
88,2021-10-18,中泰周期·大宗指南：周期品周度运行变化,新浪
89,2021-10-17,中泰化工周度观点21W41：冬季供需偏紧支撑油价 22Q2步入累库价格承压,新浪
90,2021-10-16,基础化工行业周报：海运价格下调促轮胎企业盈利回升 限电背景下聚酯龙头长期受益,光大证券
91,2021-10-13,滨城建设成功簿记发行7年期2亿元债券，潍坊滨海区资本市场捷报频传,Wind
92,2021-10-11,化工周报：受双控及国内外能源成本推动 化工品节前价格大幅上涨 Q4看好煤化工、农化以及氯碱板块,新浪
93,2021-10-11,医药行业周报：本周医药板块上涨0.27 建议关注双限政策及新冠药物板块,新浪
94,2021-10-08,深度*行业*化工行业周报：原油、天然气大涨 草铵膦、草甘膦价格上调,新浪
95,2021-10-08,深度*行业*化工行业能耗政策追踪：有序用电措施升级 磷、硅开工率受限明显,新浪
96,2021-10-08,新和成(002001.SZ)累计回购1098.84万股 耗资3.2亿元,智通财经
97,2021-10-08,新和成：累计回购约1099万股，占比0.4262%,每日经济新闻
98,2021-10-08,新和成：公司乙二腈项目尚未正式投产,Wind
99,2021-09-28,Mysteel快讯：郑州和谐通生物科技有限公司维生素最新报价,我的农产品网
100,2021-09-28,股价波动不改化工板块景气，继续看好具有能耗优势的子行业龙头,金融界
101,2021-09-27,化工行业：有机硅、纯碱及醋酸价格上涨,新浪
102,2021-09-27,化工行业周报：能耗双控进行时 继续看好受新能源拉动供需错配的化工子行业,新浪
103,2021-09-27,化工行业周报：万华荣获年度工业信息化领军奖 玲珑荣登亚洲品牌500强榜单,国海证券
104,2021-09-27,基础化工：油价上涨 制冷剂、工业硅、纯碱等产品价格继续上涨,新浪
105,2021-09-26,化工行业：“能耗双控”政策趋严 化工品价格持续普涨,广发证券
106,2021-09-26,中泰化工周度观点21W39：川恒与富临精工签署战略合作协议 金属硅报价突破6万元,新浪
107,2021-09-25,基础化工行业周报：能耗双控限电限产背景下 化工龙头配置价值更为凸显,光大证券
108,2021-09-24,新和成：目前公司持有浙江春晖环保34.2857%股权,Wind
109,2021-09-23,浙江区域股市周报：新增2家上市公司 71家机构调研新和成,每日经济新闻
110,2021-09-23,新和成：近公司近几年在营养品、香精香料、新材料等板块进行新项目投建，随着项目完成投产，产能将逐步得到释放，资产周转率也将会相应提高,每日经济新闻
111,2021-09-23,新和成：目前公司蛋氨酸与维生素产品生产正常，将持续关注限电政策,每日经济新闻
112,2021-09-23,新和成今日大宗交易成交78万股，成交价29.36元溢价0.0%,Wind
113,2021-09-23,深度*行业*化工行业周报：能耗双控加码 磷、硅、氯碱产业链全线大涨,新浪
114,2021-09-22,新和成跌4.78% 百亿私募重阳战略投资与源峰基金持股,中国经济网
115,2021-09-22,化工行业周报：能耗双控背景下关注高耗能产品价格弹性 继续看好新能源赛道上游材料核心标的,新浪
116,2021-09-22,化工行业周报：万华荣获中国质量奖提名 玲珑逆境中坚持扩张,国海证券
117,2021-09-22,基础化工行业：油价上涨 工业硅、纯碱、R134A等产品价格持续上涨,新浪
118,2021-09-21,化工行业：能耗双控影响供给 化工品价格进一步走高,广发证券
119,2021-09-21,中泰化工周度观点：完善能耗双控制度出台 产业结构优化有望提速,新浪
120,2021-09-18,化工行业周报：磷氟硅电石纯碱等泛“碳中和”板块持续景气 关注相关标的,新浪
121,2021-09-17,新和成9月17日大宗交易成交2307.20万元,证券时报网
122,2021-09-17,新和成今日大宗交易成交82.40万股，成交价28.0元折价9.53%,Wind
123,2021-09-14,化工行业动态：尿素市场面临考验 磷矿石价格继续上涨,新浪
124,2021-09-13,基础化工行业周报：天然气与油服景气上行 新能源转型磷化工板块持续强势,光大证券
125,2021-09-13,化工行业：硅产业链景气度持续上行,广发证券
126,2021-09-09,葛卫东出手，裘国根加仓，这家公司有何看点？,Wind
127,2021-09-07,化工行业周报：磷酸铁锂拉动锂电化工材料需求 继续推荐R142B-PVDF产业链,新浪
128,2021-09-06,化工行业周报：万华拟建40万吨POCHP项目 玲珑新零售2.0上线,国海证券
129,2021-09-05,专精特新还是核心资产？顶流私募最新投资思路曝光,Wind
130,2021-09-03,新和成(002001)：多平台、新项目 助力公司发展再上台阶,广发证券
131,2021-09-01,化工行业报告：制冷剂及有机硅价格上涨,新浪
132,2021-08-31,新和成：8月31日首次回购150.328万股,财联社
133,2021-08-31,新和成：累计回购约150万股，占比0.0583%,每日经济新闻
134,2021-08-27,私募大佬葛卫东出手！新进这只大牛股，裘国根也加仓,Wind
135,2021-08-26,西南证券首予新和成买入评级：利润率高基数回归，长期成长逻辑不变,每日经济新闻
136,2021-08-26,北向资金连续4日净买入，中国铝业获大幅加仓近12亿元,Wind
137,2021-08-25,新和成：公司未建氟化工产业园 也未生产pvdf产品,证券之星
138,2021-08-24,化工周报：有机硅、PVDF大幅上涨 关注化工企业布局新能源材料 周期和成长有望同时向上,新浪
139,2021-08-24,化工行业：需求拉动下 电解液溶剂、工业硅价格强势,新浪
140,2021-08-23,新和成(002001)点评：业绩略超预期 拟股份回购彰显信心,新浪
141,2021-08-23,晚间重要公告2021年8月23日星期一,Wind
142,2021-08-23,新和成：拟3亿元至6亿元回购股份,Wind
