,2021-12-31,地产板块午后拉升，皇庭国际涨停，招商积余等走高,证券时报网
0,2021-12-30,A股快报 | 地产板块下跌0.1% 新城控股下跌2.71%,观点地产网
1,2021-12-30,内卷！明年全国要开近1000家购物中心,CFW时尚
2,2021-12-28,新城控股黄春雷：商业地产数智化升级，首先要改变人的意识,赢商网
3,2021-12-28,新城控股子公司股权纠纷到底有何隐情？ 诉讼纠纷,深水财经社
4,2021-12-27,财信发展、京能置业、金地集团涨停，房地产板块回暖,Wind
5,2021-12-27,【行情】地产股拉升反弹，财信发展、京能置业涨停，金地集团一度触板，顺发恒业、中交地产、京投发展、新城控股等跟涨,金十数据
6,2021-12-26,【华西地产】行业周报20211226：一年期LPR降低，央行再提两维护,地产由我说
7,2021-12-25,第二增长曲线强势发力背后：新城控股稳健经营可持续发展,腾讯网
8,2021-12-24,新城控股：305.07万股限售股12月30日解禁,每日经济新闻
9,2021-12-24,新城控股(601155.SH)305.07万股限制性股票将于12月30日上市流通,智通财经
10,2021-12-23,近1000家！2022年计划新开购物中心名单曝光,联商网
11,2021-12-22,【楼市内参】长沙第三批集中供地揽金144亿元；蓝光发展转让资产,搜狐
12,2021-12-22,新城控股：截至半年报披露公司剩余可售面积约7000万方,Wind
13,2021-12-21,新城控股大宗交易成交303.60万元,证券时报网
14,2021-12-21,新城控股现1笔大宗交易 共成交303.60万元,新浪
15,2021-12-21,新城控股今日大宗交易成交10万股，成交价30.36元溢价0.0%,Wind
16,2021-12-21,新城控股拟回购注销限制性股票10.68万股,观点地产网
17,2021-12-21,新城控股：“18新城控股MTN001”将于12月28日偿付本息10.7亿元,中证网
18,2021-12-21,【冬至】美好如期而至,乐居财经
19,2021-12-21,主力紧急出手地产龙头、低位放量消费股出炉,Wind
20,2021-12-21,低位放量消费股出炉，市盈率最低仅3倍（附股）,证券时报网
21,2021-12-21,超20只地产股涨停，万科A、保利发展、新城控股涨幅均超5%,Wind
22,2021-12-20,新城控股：控股股东质押7500万股股份，融资用于偿还前期债务,新京报
23,2021-12-20,新城控股：富域发展质押7500万股股份 占总股本3.32%,中国网
24,2021-12-20,新城控股：富域发展质押总股本3.32%股份，用于偿还债务,乐居财经
25,2021-12-20,新城控股：富域发展累计质押股数约为3.32亿股,每日经济新闻
26,2021-12-20,新城控股(601155.SH)控股股东富域发展质押7500万股,智通财经
27,2021-12-17,中泰证券：关注地产板块四季度投资机会,财联社
28,2021-12-16,新城控股现2笔大宗交易 合计成交59.94万股,证券时报网
29,2021-12-16,"新城控股现2笔大宗交易 共成交1,772.43万元",新浪
30,2021-12-15,深振业与新城控股为南京新振城提供共11亿元担保 大额借贷担保,乐居财经
31,2021-12-15,深振业与新城控股为南京合资公司11亿元开发贷担保 大额借贷担保,观点地产网
32,2021-12-15,八大券商主题策略：当前房地产处于底部区域！,中投网
33,2021-12-15,2022年西南区拟开业新商业体盘点 不止SKP,联商网
34,2021-12-15,2022年房地产开发投资策略：月明星稀 拂晓耀熠,新浪
35,2021-12-15,东北证券：发改委再提房地产仍是支柱产业，后续力度更大调节政策有望出台,财联社
36,2021-12-15,房地产业关键在“稳”，“良性循环”成调控重点,Wind
37,2021-12-14,新城控股(601155)：公司股东股份质押及部分股份解除质押,资本邦
38,2021-12-14,新城控股(601155)：已回购股份注销实施,资本邦
39,2021-12-14,新城控股:已回购的42.8万股股份将于12月15日注销,金融界
40,2021-12-14,新城控股：42.76万股已购回股份将于12月15日完成注销,中金在线
41,2021-12-14,新城控股拟注销42.76万股已回购未授出股份,乐居财经
42,2021-12-14,新城控股：常州德润解除质押1700万股无限售流通股,中金在线
43,2021-12-14,新城控股：常州德润质押2300万股股份，德润咨管解质押1700万股,乐居财经
44,2021-12-14,新城控股(601155.SH)股东常州德润质押2300万股及解除质押1700万股,智通财经
45,2021-12-14,A股快报 | 21只重点房企全数下跌 新城控股下跌4.85%,观点地产网
46,2021-12-14,2022年华东拟开406个商业项目 企业TOP10榜都有谁？,联商网
47,2021-12-13,A股快报 | 21只重点房企12只上涨 新城控股涨幅2.1%,观点地产网
48,2021-12-11,架构、人事频繁变动，年末多家房企进入“调整期”,华夏时报
49,2021-12-11,中信建投证券六大研究团队最新解读中央经济工作会议,Wind
50,2021-12-11,房企焦急等待新周期：“政策底”渐显、“市场底”难判,Wind
51,2021-12-09,券商首次关注6股并给予买入评级（12月9日）,Wind
52,2021-12-09,22股获券商买入评级，江苏神通目标涨幅达91.08%,Wind
53,2021-12-08,房地产行业2022年策略报告：政策回暖 期待更大力度需求端政策打破信用收缩负循环,新浪
54,2021-12-08,房地产行业：政治局表态满足合理住房需求 行业进入政策友好期,新浪
55,2021-12-08,A股快报 | 地产板块收跌0.23% 新城控股下跌4.89%,观点地产网
56,2021-12-08,房地产行业2022年投资策略：岁寒 然后知松柏之韧也,广发证券
57,2021-12-08,地产产业链集体走强，高景气赛道股持续调整,Wind
58,2021-12-07,房地产专题报告：边际维稳正在加码 重申阿尔法的大时代 贝塔的小时代,新浪
59,2021-12-07,新城控股现1笔大宗交易 共成交336.00万元,新浪
60,2021-12-07,信贷、政策暖风频吹，地产后周期拐点来了？,Wind
61,2021-12-07,A股收盘综述：地产相关产业链风云再起；资金撤离锂电池，宁德时代放量下跌！,Wind
62,2021-12-07,对12月6日央行宣布全面降准的点评：全面降准对“杠杆稳健型”民企地产更为利好,光大证券
63,2021-12-07,组织架构大整合、销售额连续下降，新城控股至暗时刻何时结束？ 盈利能力下降,深水财经社
64,2021-12-07,降准兑现，地产股逆势走强！但它们缘何集体降温？,Wind
65,2021-12-07,A股午盘综述：地产相关产业链风云再起，资金撤离多个热门赛道,Wind
66,2021-12-07,【行情】房地产板块继续冲高，阳光城拉升封板，铁岭新城、新黄浦、中交地产此前涨停，中南建设、金地集团、泰禾集团、新城控股等涨超6%,金十数据
67,2021-12-07,深高投资李凯：高收益债投资不是闭着眼捡钱的投资｜资管30人债市谈,21世纪经济报道
68,2021-12-07,部分头部房企11月销售表现稳健，年底有望冲刺业绩小高峰,Wind
69,2021-12-06,房地产行业研究：央行银保监关注恒大事件 融资环境或将改善,新浪
70,2021-12-06,房地产行业：房地产税改革历程、国外经验及未来展望,新浪
71,2021-12-06,11月行业动态报告：销售同、环比均改善 一行两会释放积极信号,新浪
72,2021-12-06,房地产行业销售周报：11月八成房企单月业绩同比降低 信贷融资有所转暖 盈利能力下降,新浪
73,2021-12-06,天风证券：维持新城控股(601155.SH)“买入”评级 单月销售量价同比下降 累计环比上涨,智通财经
74,2021-12-06,天风证券：长期挖掘房地产行业“住房场景价值”,财联社
75,2021-12-06,新房二手房周报：重点满足首套房、改善性住房按揭需求 合理发放房地产开发贷款、并购贷款,新浪
76,2021-12-06,融资恢复，房地产配置价值渐显,Wind
77,2021-12-05,天风证券：给予新城控股买入评级,证券之星
78,2021-12-04,收缩但不裁员？新城再次启动大区合并,21世纪经济报道
79,2021-12-04,2000亿新城架构调整：减员增效,华尔街见闻
80,2021-12-03,地产人寒冬真的来了？多家头部房企内部架构变动，明年或迎更大调整,ZAKER
81,2021-12-03,地产美元债乍现“赎回潮” 效果有限风险或将加深,财经网
82,2021-12-03,联商头条：滴滴确定美股退市 家家悦首家仓储会员店将开业,联商网
83,2021-12-03,新城控股：富域发展解除质押6800万股股份 占总股本3.01%,中金在线
84,2021-12-03,新城控股：富域发展解质股份6800万股，占总股本的3.01%,乐居财经
85,2021-12-03,新城控股控股股东富域发展所持6800万股解除质押,观点地产网
86,2021-12-03,新城控股(601155.SH)控股股东解质6800万股,智通财经
87,2021-12-03,新城控股“年末冲刺”！12月将新开7座吾悦广场,联商网
88,2021-12-03,房企纷纷“花式”自救，资产转让、债券回购、股东输血,Wind
89,2021-12-03,申万宏源：维持新城控股(601155.SH)“买入”评级 目标价66元,智通财经
90,2021-12-03,新城悦服务：12月22日召开股东特别大会,Wind
91,2021-12-03,接连收获正向评级 标普维持新城发展、新城控股“BB+”评级,中金在线
92,2021-12-03,新城控股(601155)：市场降温拖累销售 海外评级维持稳定 H股供股增资彰显信心 盈利能力下降,新浪
93,2021-12-02,京东参股新能源车企进军“造车”；波音737MAX在华重获适航许可丨大公司动态,第一财经
94,2021-12-02,新城控股：前11个月销售2129亿元，商业、住宅事业部合并,澎湃新闻
95,2021-12-02,旭辉之后，新城也拿出了兜底方案,乐居财经
96,2021-12-02,新城控股架构调整背后，单月销售均价跌破万元 盈利能力下降,观察者网
97,2021-12-02,新城控股：前11个月合同销售2129.67亿，同比下降3.16% 盈利能力下降,房讯
98,2021-12-02,大股东兜底 新城发展供股融资16亿港元与架构整合进行时,观点地产网
99,2021-12-02,新城控股组织架构调整 涉及住宅开发、商业开发事业部,新京报
