,2021-12-31,新希望六和：当年累计新增借款占上年末净资产的55.90%,Wind
0,2021-12-31,猪企的2021年：股价深蹲后触底反弹，下行周期下面临资金考验,华夏时报
1,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
2,2021-12-31,新希望：公司未有农业振兴金融科技全产业链综合服务项目,Wind
3,2021-12-31,让城市有个温暖角落 新希望物业发布公益品牌「微光行动」,凤凰网
4,2021-12-29,IPO专题：新股精要-国内禽类加工食品龙头益客食品,新浪
5,2021-12-29,“新希望一物业公司被责令归还284.9万元前期物业费并处罚款10万元”引发关注 你家小区前期物业费被多收了吗？,温州网
6,2021-12-29,年内猪价“深蹲”令上市公司亏光利润，周期反转到了吗,Wind
7,2021-12-29,支付宝升级“生活号”：公域流量私域化终于有了交通枢纽,亿邦动力
8,2021-12-29,电力系统新规出台利好国内大储能规模扩张；“猪周期”全面配置时点已至,开源证券研究所
9,2021-12-28,新乳业收购美素佳儿？董事长称消息不属实,第一财经
10,2021-12-28,新希望10亿增资杨凌本香,金融投资报
11,2021-12-28,美素佳儿卖给了新希望乳业？菲仕兰回应称：未收到相关消息,北京商报
12,2021-12-28,新希望：公司种猪的固定资产投资约为1万元/头，育肥猪的固定资产投资约为1千元/头,Wind
13,2021-12-28,新希望：公司目前能繁母猪存栏接近100万头,Wind
14,2021-12-28,新希望：公司会努力通过其他方式争取参与冬奥会的肉食供应,财联社
15,2021-12-28,新希望：公司会努力通过其他方式争取参与冬奥会的肉食供应,Wind
16,2021-12-28,华创固收2022年可转债年度策略报告：“局促”环境下的应对,Wind
17,2021-12-27,新希望(000876.SZ)：“希望转债”将于2022年1月4日付息,智通财经
18,2021-12-27,新鲜一代的选择，新乳业要做科技驱动的世界级营养食品企业,财经网
19,2021-12-27,千亿猪茅惊现10亿大宗交易，折价近14%遭贱卖,Wind
20,2021-12-25,新希望、新奥、TCL等10家CEC企业入选“2021中国民营企业社会责任100强榜单”,新浪
21,2021-12-25,3000亿“猪茅”惊现10亿大宗交易，机构接盘超7亿,Wind
22,2021-12-24,智通A股机构动向参考(01.05) | 退潮期,智通财经
23,2021-12-24,电气化浇灌盐碱地上新希望,中经网
24,2021-12-24,猪肉板块爬坡过坎、连涨5月，机构直指四大利好,Wind
25,2021-12-24,新希望：全资子公司金橡树拟5亿认购农银投资设立的投资计划,资本邦
26,2021-12-23,新希望(000876.SZ)：与农银投资签署投资协议 并向杨凌本香增资10亿元,格隆汇
27,2021-12-23,新希望(000876.SZ)拟携农银投资设立投资计划并向子公司增资10亿元,智通财经
28,2021-12-23,新希望：拟与及农银投资共同出资认购10亿元投资计划,财联社
29,2021-12-23,新希望：拟参与设立投资计划，向子公司杨凌本香增资,Wind
30,2021-12-23,揭秘新希望乳业工厂：云部署+柔性生产打造数字化工厂样板,凤凰网
31,2021-12-23,新希望：今年新增借款超过净资产的50%,金融投资报
32,2021-12-23,新希望2021年累计新增借款超过上年末净资产50%,贝壳财经
33,2021-12-22,信用负面与一级发行跟踪20211222,新浪
34,2021-12-22,草根知本“联姻”红星集团，新希望乳业版图能否补全？,新京报
35,2021-12-22,新希望：当年累计新增借款占上年末净资产的55.90%,Wind
36,2021-12-22,新希望参股成立企业管理咨询合伙企业，持股19.99%,乐居财经
37,2021-12-22,GDP总量相近，湖北武汉央企多，浙江杭州超级富豪多，四川成都呢,搜狐
38,2021-12-21,新希望乳业“菌种猎人”：自有菌种的探寻之旅,凤凰网
39,2021-12-21,消息称新希望考虑为旗下冷链物流业务融资约1亿美元,Bianews
40,2021-12-20,新希望：公司现在产业间畜禽多元化和产业内农食一体化的均衡布局赋予了整体业绩的稳定性,Wind
41,2021-12-20,国海农业·程一胜 | 行业周报：猪价继续下行，持续看好黄鸡板块,微信
42,2021-12-20,36氪首发 | 川娃子食品完成A轮融资 全面开启智造WA时代,36氪
43,2021-12-19,瑞安新希望六和农牧有限公司环境违法被罚29万元,每日经济新闻
44,2021-12-19,陆家嘴财经早餐2021年12月19日星期日,Wind
45,2021-12-18,“新希望系”要收购红星集团？已有多位高管就任，公司回应来了,Wind
46,2021-12-17,IPO纵览｜港交所公布SPAC上市机制咨询总结；爱尔眼科拟收购14家医院部分股权,深水财经社
47,2021-12-17,国君固收：转债配置模式的择券思路,Wind
48,2021-12-17,独家|“新希望系”计划控股红星乳业，持股比例或在51%—60%,中国经济网
49,2021-12-16,新希望：公司暂无酿酒相关业务,Wind
50,2021-12-15,恩捷股份携大咖开启乳业包装“焕新”风潮,证券日报网
51,2021-12-15,2021四川民营企业100强：成都包揽前三，乐山、宜宾各4家,腾讯网
52,2021-12-15,恩捷股份携手草根知本、新希望乳业 探索绿色保鲜新材料,上证报
53,2021-12-14,新乳业携手新材料“小巨人”恩捷股份，内外融合撬动乳业绿色“焕新”,中华网
54,2021-12-14,草根知本、新希望乳业、恩捷股份签署战略合作协议,e公司
55,2021-12-14,“鲜战略”引领新变革，三方携手撬动绿色“焕新”,搜狐
56,2021-12-14,新乳业携手新材料“小巨人”恩捷股份，内外融合撬动乳业绿色“焕新”,中国网
57,2021-12-14,00后新农人即将上线，现代学徒制助力乡村振兴人才发展,商学院
