,2021-12-29,投顾人才战！券商投顾扩容至6.8万，中信近5200名投顾实力布局，广发占比最高，一家中型券商增速亮了,财联社
0,2021-12-28,方正证券：股东中国信达已完成受让公司股份的过户登记手续,中证网
1,2021-12-28,岁末“变道” 知名分析师燕翔加盟方正证券,证券时报
2,2021-12-27,方正证券挖人补员？高管剧变后，研究所能否重构？,上证报
3,2021-12-27,方正证券(601901.SH)：政泉控股解质7.099亿股,格隆汇
4,2021-12-27,方正证券(601901.SH)股东政泉控股解除质押7.1亿股,智通财经
5,2021-12-27,高贵鑫任方正证券资管分公司总经理 彭小建不再代履职,中国经济网
6,2021-12-27,国信证券原策略首席分析师燕翔转战方正证券！任首席策略分析师、副所长,新浪
7,2021-12-27,国信证券原策略首席燕翔转投方正证券,智通财经
8,2021-12-27,券业又现首席变动：国信证券原策略首席分析师燕翔转战方正证券,中证网
9,2021-12-27,券业又现首席变动：国信证券原策略首席分析师燕翔转战方正证券,Wind
10,2021-12-26,券商人手大比拼！两家头部券商扩张，年内增员均超2000,Wind
11,2021-12-24,三湘印象日内振幅近20%，重庆游资获利了结,Wind
12,2021-12-23,方正证券：向子公司拨付5亿元增资款,中证网
13,2021-12-23,方正证券(601901.SH)：完成向方正和生投资拨付5亿元增资款项,格隆汇
14,2021-12-21,方正证券：公司一直致力于发展金融科技,Wind
15,2021-12-21,照完毕业照！6只妖股集体跌停，还有1只妖股上演地天板,搜狐
16,2021-12-21,关于同意方正证券股份有限公司为银华中证细分化工产业主题交易型开放式指数证券投资基金提供主做市服务的公告,上交所
17,2021-12-20,关于同意方正证券股份有限公司为南方上证科创板50成份交易型开放式指数证券投资基金提供主做市服务的公告,上交所
18,2021-12-19,除了备战北交所，券业今年还有这些关键词,Wind
19,2021-12-19,买卖6.8亿整体亏损！又有券商员工炒股被罚！,Wind
20,2021-12-17,券业2021年度罚单①丨28张罚单揭示经纪业务“花样违规” 23家券商被罚申万宏源“独中三元” 金融监管处罚,21世纪经济报道
21,2021-12-17,关于同意方正证券股份有限公司为建信中关村产业园封闭式基础设施证券投资基金提供主做市服务的公告,上交所
22,2021-12-17,中农立华：上海北信瑞丰资产管理公司、方正证券股份有限公司等7家机构于12月9日调研我司,证券之星
23,2021-12-17,安信证券首席策略分析师陈果离职，下一站是这家头部券商？,Wind
24,2021-12-16,又见券商换帅！今年来证券公司董事长、总经理变动已近30人 董监高成员变化,Wind
25,2021-12-16,天跃科技更换合作了八年的督导券商：2018年和2019年年报上演更正再更正戏码,挖贝网
