,2021-12-20,星宇股份：营业收入下滑主要系三季度下游整车销量下滑导致公司出货量下降 盈利能力下降,每日经济新闻
0,2021-12-13,【渤海证券 汽车】销量环比持续改善，新能源汽车冲量创新高——汽车行业月报——中性,渤海证券研究
1,2021-12-11,蜂巢能源完成60亿元B＋轮融资,Wind
2,2021-12-10,星宇股份(601799.SH)拟使用不超10亿元募集资金进行现金管理,智通财经
3,2021-12-08,汽车行业简评报告：11月比亚迪、造车新势力销量齐创新高 经销商补库进行时,新浪
4,2021-12-06,汽车周报：新能源头部车企销量再超预期 持续看好产业链机遇,新浪
5,2021-12-06,汽车行业周报：比亚迪11月新能源销量创新高 埃安引入战投,新浪
6,2021-12-06,汽车行业第49周周报：新势力11月销量高增长 新能源车延续高景气度,新浪
7,2021-12-06,汽车行业周报：自主品牌销量加速向上,国海证券
8,2021-12-05,汽车行业周报：11月前三周累计批发环比+15% 看好自主崛起,新浪
9,2021-12-03,汽车事件点评：新势力引领自主崛起,国海证券
10,2021-12-03,汽车行业周报：11月多地发布氢能产业政策 关注北京冬奥会示范应用筹备进展,新浪
11,2021-11-29,浙商证券汽车行业周报：特斯拉扩产 产业链受益,新浪
12,2021-11-29,汽车行业周报：小鹏Q3业绩创新高 22年入局ROBOTAXI,新浪
13,2021-11-29,汽车行业周报：11月前三周累计批发环比+15% 看好自主崛起,新浪
14,2021-11-26,结构市场延续：国产化、新能源化、智能化,新浪
15,2021-11-24,比元宇宙还牛！低调板块走出一批慢牛,Wind
16,2021-11-23,汽车行业投资策略：从稀缺性角度把握本轮汽车向上三大周期,新浪
17,2021-11-23,汽车行业周报：本土汽车连接器企业与中国电动智能车产业共成长,新浪
18,2021-11-22,汽车行业周报：广州车展：电动智能加速 自主品牌向上,新浪
19,2021-11-22,汽车行业周报：重视自主零部件崛起的机会,新浪
20,2021-11-22,中信：汽车智能电动趋势持续加速，把握3条主线,Wind
21,2021-11-19,南财脱水研报丨汽车零部件板块再度走强，产销验证缺芯改善持续性，电动智能化加速自主发展,21经济网
22,2021-11-19,汽车行业11月投资策略：经销商库存处于低位 缺芯有望缓解,新浪
