,2021-12-31,全球新冠“疫苗+特效药”拼图完成：国产疫苗2021年供应近50亿剂,Wind
0,2021-12-30,吸纳七成城镇新增就业人员,重庆商报
1,2021-12-29,重庆市民营科技企业达到26258家 高新技术企业达4065家,科技日报
2,2021-12-29,西南证券医药2022年度策略：未来医药估值有望均衡，“穿越医保”和“疫情脱敏”是两条核心主线,Wind
3,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
4,2021-12-27,盛通股份：公司已与国内获批上市的中国生物、智飞生物等新冠疫苗生产企业合作,每日经济新闻
5,2021-12-27,医药生物行业周报：中药板块基本面有何变化 后期如何布局？,新浪
6,2021-12-24,请问公司CHO新冠疫苗附条件上市进度如何？智飞生物：公司暂未收到附条件上市批件,每日经济新闻
7,2021-12-24,智飞生物：公司生产的新冠疫苗智克威得已于印度尼西亚获批紧急使用（EUA）,每日经济新闻
8,2021-12-24,智飞生物：预防新冠产品智克威得对新变异株的有效性评价进行中,Wind
9,2021-12-24,2021金融界领航中国“金智奖”上市公司价值评选结果揭晓 智飞生物、徐工机械等荣获杰出投资者关系团队奖,金融界
10,2021-12-24,海通证券：政府补贴HPV疫苗接种，利好需求提升,智通财经
11,2021-12-24,疫苗板块活跃，智飞生物涨超4%，创新药指ETF午后走强,财经网
12,2021-12-24,又一只白马坠落！1900 亿巨头暴跌 42%，825 家基金已撤退,ZAKER
13,2021-12-22,智飞生物蒋仁生：从民办教师到疫苗之王,Ofweek
14,2021-12-22,低位股悄悄崛起，机构高关注的低位绩优股名单来了,Wind
15,2021-12-21,康希诺、沃森生物大幅调整，疫苗板块连续下滑,Wind
16,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
17,2021-12-20,CXO增长可持续性强，看好中药板块投资机会,金融界
18,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
19,2021-12-16,智飞生物大宗交易成交2618.20万元,证券时报网
20,2021-12-15,智飞生物大宗交易成交24.00万股 成交额2524.56万元,证券时报网
21,2021-12-15,"智飞生物现1笔大宗交易 共成交2,524.56万元",新浪
22,2021-12-14,北向资金再度扫货超60亿，连续7日抢筹东方财富累计加仓超近61亿元,Wind
23,2021-12-14,奥密克戎“面纱”逐渐揭开，或削弱现有疫苗保护作用,Wind
24,2021-12-13,奥密克戎变异肆虐 国产新冠疫苗吃下定心丸：依然有效,快科技
25,2021-12-13,智飞生物：重组新冠疫苗对奥密克戎变异株依然有效,Wind
26,2021-12-13,智飞生物：重组新冠疫苗对奥密克戎变异株依然有效,e公司
