,2021-12-31,“妖股”九安医疗跌停收官，鱼跃医疗挤掉欧普康视跻身市值前十「医疗器械周榜」,华夏时报
0,2021-12-31,欧普康视(300595.SZ)47.7万股限制性股票可申请解除限售,智通财经
1,2021-12-30,盘点 | 角膜塑形镜分类、市场及7家企业盘点,思宇医械观察
2,2021-12-28,欧普康视：公司总体的业绩增长要求没有任何改变,每日经济新闻
3,2021-12-27,欧普康视：国产角膜塑形镜龙头，上下游一体化打开成长空间,第一财经
4,2021-12-25,欧普康视：华电控股、国元证券资本等33家机构于12月21日调研我司,证券之星
5,2021-12-22,欧普康视：定增年底之前不启动了,每日经济新闻
6,2021-12-21,欧普康视现2笔大宗交易 合计成交10.60万股,证券时报网
7,2021-12-21,欧普康视现2笔大宗交易 共成交508.17万元,新浪
8,2021-12-21,欧普康视今日大宗交易成交10.60万股，成交价47.94元折价23.8%,Wind
9,2021-12-19,“猪队友”CXO拖累医械，迈瑞医疗市值缩水175亿元，九安医疗逆势周涨51%「医疗器械周榜」,华夏时报
10,2021-12-17,北向资金结束连续12日净买入，药明康德遭大幅抛售超10亿元,Wind
11,2021-12-17,北向资金动向盘点：近两周加仓“非银”已超百亿,Wind
12,2021-12-16,新能源重要文件近期公开，这个板块或将全面爆发，海外机构调研股名单出炉,新浪
13,2021-12-15,目乐医疗拟募资4000万元 上市公司欧普康视包揽,上证报
14,2021-12-15,欧普康视：拟6555万元投资汇鼎光学,乐居财经
15,2021-12-15,欧普康视(300595.SZ)子公司拟6555万元增资入股汇鼎光学 完善视光领域产品布局,智通财经
16,2021-12-15,欧普康视(300595.SZ)：拟以4000万元认购目乐医疗定向增发852.625万股,格隆汇
17,2021-12-15,欧普康视(300595.SZ)：子公司拟出资6555万元以增资扩股方式投资汇鼎光学,格隆汇
18,2021-12-15,欧普康视(300595.SZ)拟4000万元认购参股公司目乐医疗定增股份,智通财经
19,2021-12-15,欧普康视(300595.SZ)：拟推2021年限制性股票激励计划,格隆汇
20,2021-12-15,欧普康视(300595.SZ)拟推195万股限制性股票激励计划,智通财经
21,2021-12-15,欧普康视：拟向激励对象45人授予限制性股票195万股,每日经济新闻
22,2021-12-15,欧普康视：拟6555万元投资汇鼎光学20%的股权,财联社
23,2021-12-15,欧普康视(300595.SZ)聘任肖永战为副总经理 卫立治为财务总监,智通财经
24,2021-12-13,海外机构调研股名单，汇川技术最受关注,Wind
25,2021-12-09,欧普康视（300595.SZ）：产能持满足公司订单需求的状态 公司认为眼视光行业空间较大,智通财经
26,2021-12-09,科创创业50ETF（588390）实现二连阳，欧普康视领涨9.68%,资本邦
27,2021-12-09,欧普康视涨幅超9.38%，华宝中证医疗ETF（512170）涨超2.44%,资本邦
28,2021-12-09,医美、器械集体造好，医疗器械ETF放量大涨2.74％,Wind
29,2021-12-09,欧普康视、华熙生物、爱美客涨超7%，科创创业ETF（588360）涨超1.5%,资本邦
30,2021-12-08,欧普康视接受38家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
31,2021-12-06,加购OK镜后：昊海生科被质疑未走上医美赛道？,器械之家
32,2021-12-06,医药生物行业：医保谈判落地 释放积极信号,新浪
33,2021-12-05,医药行业周报：医保谈判尘埃落地 看好本土创新发力,新浪
34,2021-12-04,欧普康视：目前角膜塑形镜不在医保范围,每日经济新闻
35,2021-12-02,“加购”OK镜 昊海生科PK欧普康视、爱博医疗,财联社
36,2021-12-01,欧普康视：公司已在向全面的眼视光产品和服务企业发展，将提供各类眼视光产品，同时拓展眼视光服务,每日经济新闻
37,2021-11-29,股价重挫近50%，“OK镜之王”还OK吗？,格隆汇
38,2021-11-26,“国产OK镜之王”年入8亿，股价却半年大跌四成,AI财经社
39,2021-11-25,医药行业2021年三季报总结报告：恢复高成长 医药进入估值切换长周期,新浪
40,2021-11-24,欧普康视：从不评论股票价格，更不会干预,每日经济新闻
41,2021-11-24,医药生物行业周报：CDE发布《以临床价值为导向的抗肿瘤药物临床研发指导原则》,新浪
42,2021-11-24,医药生物行业双周报,新浪
43,2021-11-23,欧普康视(300595.SZ)：南京欧陶质押464.28万股,格隆汇
44,2021-11-23,欧普康视拟获盘锦润视眼科医院51%股权 股价半年跌超三成,中新经纬
45,2021-11-23,欧普康视(300595.SZ)股东南京欧陶质押464.28万股,智通财经
46,2021-11-22,欧普康视(300595.SZ)：拟以4629.03万元取得盘锦润视眼科医院51%的股权,格隆汇
47,2021-11-22,欧普康视(300595.SZ)拟获盘锦润视医院51%股权拓展在辽宁省的业务布局,智通财经
48,2021-11-22,欧普康视：拟4629.03万元以受让股权及增资扩股的方式投资盘锦润视医院,财联社
49,2021-11-22,“眼科界华为”被冷落？102天暴跌41%，市值蒸发390亿,搜狐
50,2021-11-19,欧普康视(300595.SZ)：持股5%以上的股东质押550万股及解质338.74万股,格隆汇
51,2021-11-19,欧普康视：股东南京欧陶质押550万股，解除质押338.74万股,每日经济新闻
52,2021-11-19,爱博医疗彩瞳产品投产 人工晶状体中标集采影响几何？,投资者网
53,2021-11-16,欧普康视、康泰生物涨超7%，科创创业ETF（588360）涨超0.5%,资本邦
54,2021-11-15,欧普康视：公司的BrightKids就是减离焦框架眼镜,Wind
55,2021-11-15,眼科赛道的“觉醒年代”,Ofweek
56,2021-11-14,保险巨头下周解禁近1300亿元 解禁,Wind
57,2021-11-13,一眼万年——眼科医疗器械行业研究,medworld器械世界
58,2021-11-12,下周1587亿市值限售股解禁，中国人保解禁市值近1300亿 解禁,Wind
59,2021-11-11,欧普康视(300595.SZ)：20.083万股限制性股票将解除限售,格隆汇
60,2021-11-11,欧普康视：约20.08万股限售股11月18日解禁 解禁,每日经济新闻
61,2021-11-11,欧普康视：回款周期一般是经销商最短，民营医院次之，国营医院较长,每日经济新闻
62,2021-11-11,欧普康视：这事对行业是非常大的利好！,每日经济新闻
63,2021-11-11,欧普康视：和知名的民营医疗机构都有合作,每日经济新闻
64,2021-11-11,欧普康视：角膜塑形镜不在医保范围之内，不属集采产品,每日经济新闻
65,2021-11-08,2021年医药行业11月策略报告：战略布局特色原料药及高景气度子行业,新浪
66,2021-11-08,医药生物行业跨市场周报：辉瑞新冠药中期数据优异 新冠有望进一步流感化,光大证券
67,2021-11-06,拟新建千家终端 欧普康视“豪赌”政策放开,中国经营报
68,2021-11-05,欧普康视：目前在广州没有公司自营或控股的视光中心,每日经济新闻
69,2021-11-05,欧普康视(300595)：视光服务加速成长 定增通过助力发展,光大证券
70,2021-11-03,欧普康视(300595.SZ)：定增申请获中证监同意注册批复,格隆汇
71,2021-10-31,部分“风格漂移”基金开始回归主题，但是...,Wind
72,2021-10-30,医疗器械的黄金赛道——高值耗材的时代机遇,medworld器械世界
73,2021-10-29,欧普康视：公司一直在拓展眼视光服务业务，成熟一个建设一个,每日经济新闻
74,2021-10-28,欧普康视2021年三季报点评：业绩符合我们预期，OK镜龙头地位持续巩固【东吴医药朱国广团队】,国广有话说
75,2021-10-28,华鑫证券维持欧普康视推荐评级：终端需求良好，业绩符合预期,每日经济新闻
76,2021-10-27,中泰证券维持欧普康视买入评级：业绩符合预期，疫情影响下维持快速增长,每日经济新闻
77,2021-10-27,太平洋维持欧普康视买入评级：Q3收入保持快速增长，并表等因素影响盈利能力,每日经济新闻
78,2021-10-27,太平洋：给予欧普康视买入评级,证券之星
