,2021-12-31,正泰电器：以集中竞价交易方式回购公司股份,资本邦
0,2021-12-31,正泰电器拟出售部分工商业分布式光伏电站项目公司股权 预增净利2.67亿元,上证报
1,2021-12-31,正泰电器斥资6.4亿元回购1242万股，占总股本 0.58%,乐居财经
2,2021-12-31,正泰电器(601877.SH)耗资6.40亿元累计回购1242.33万股,智通财经
3,2021-12-31,正泰电器(601877.SH)：子公司拟将杭阳新能源和81家工商业分布式光伏电站项目公司100%股权转让给宁波风电,格隆汇
4,2021-12-31,正泰电器(601877.SH)截至12月底已累计回购1242.33万股,格隆汇
5,2021-12-31,正泰电器：出售部分工商业分布式光伏电站项目公司股权,Wind
6,2021-12-30,中控技术：正泰电器累计减持比例达1.36% 减持股份,Wind
7,2021-12-30,中控技术(688777.SH)股东正泰电器减持670.25万股 减持股份,智通财经
8,2021-12-30,中控技术(688777.SH)：正泰电器自12月23日累计减持1.36%股份 持股减至6.03% 减持股份,格隆汇
9,2021-12-30,正泰电器：公司2020年户用光伏装机容量1800MW，市占率蝉联第一！,索比光伏网
10,2021-12-29,光伏行业2022年投资策略：全球需求维持高景气 关注边际改善环节,新浪
11,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
12,2021-12-29,"正泰电器：截至2021年三季度末，公司持有集中式光伏电站容量为1,478.04MW",每日经济新闻
13,2021-12-29,正泰电器：2020年度，公司实现太阳能组件销售5.2GW,每日经济新闻
14,2021-12-29,正泰电器：公司2020年度新增户用装机容量超1800MW,每日经济新闻
15,2021-12-29,正泰电器：公司在全球拥有13个生产制造基地,Wind
16,2021-12-29,正泰电器：截至三季度末公司持有集中式光伏电站容量为1478.04MW，持有分布式光伏电站容量为5701.43MW,Wind
17,2021-12-29,正泰电器抛售10个光伏电站,中国能源报
18,2021-12-29,正泰电器旗下诺雅克电气高管变动：郭嵋俊退任董事，刘淼接替 董监高成员变化,乐居财经
19,2021-12-28,中信建投：市场化力量推动，分布式光伏迎接增速拐点,Wind
20,2021-12-27,传闻吓趴光伏板块：正泰电器差点跌出“千亿市值俱乐部”,21经济网
21,2021-12-27,一则传闻拖垮电网板块！2000亿白马股闪崩跌停，机构最新研判来了,新浪
22,2021-12-27,2000亿白马闪崩！中信建投首席怒了：接了一万个电话,Wind
23,2021-12-27,正泰电器闪崩，新能源板块连续下滑,Wind
24,2021-12-25,光伏板块周内股价整体下挫，产业链上游价格持续博弈「光伏周评榜」,华夏时报
25,2021-12-24,1.65亿 正泰电器拟将10个集中式光伏电站项目转让给三峡能源,索比光伏网
26,2021-12-24,A股早报2021年12月24日星期五,Wind
27,2021-12-23,正泰电器：拟将10个集中式光伏电站项目转让给三峡能源,上证报
28,2021-12-23,晚间重要公告2021年12月23日星期四,Wind
29,2021-12-23,正泰电器拟转让杭州泰景100%股权 预增6400万元净利润,上证报
30,2021-12-23,正泰电器出售部分集中式光伏电站，2021年净利润预计将增加6400万,索比光伏网
31,2021-12-23,正泰电器拟1.65亿元转让泰景光伏发电100%股权,乐居财经
