,2021-12-31,线缆供应商鑫宏业IPO：下游客户相对强势，应收账款规模逐年增长,每日经济新闻
0,2021-12-31,线缆供应商鑫宏业闯关创业板 比亚迪为第一大客户,每日经济新闻
1,2021-12-31,A股年度“涨停王”出炉，四成交易日均封板,Wind
2,2021-12-31,动力电池扩产竞赛升级，锂矿资源供不应求，专家：会更加火爆,搜狐
3,2021-12-31,【东吴电新】11月装机电量点评：装机量同环比高增，铁锂份额相对稳定,新兴产业汇
4,2021-12-31,手上有矿才不慌！比亚迪、宁德时代相继“挖矿”,上证报
5,2021-12-31,比亚迪电子：与比亚迪订立资产采购协议,Wind
6,2021-12-31,"年终盘点|2021年十大""争议""白马股",新浪
7,2021-12-31,21深度丨宁德时代、比亚迪大厂力捧供应商 磷酸铁锂新秀湖南裕能能否持续“狂飙猛进”,21世纪经济报道
8,2021-12-31,2021年新能源客车市场复盘，比亚迪已成中小型客车的龙头,Ofweek
9,2021-12-31,电子行业研报：车规半导体空间足，国产替代提速【华西电子团队】,每经网
10,2021-12-31,大咖说 | 哪吒张勇：三年内坐不上牌桌就没机会了,新浪
11,2021-12-31,回顾2021年锂电池行业十大事件：上游涨价忙，宁德时代推“天价定增”,中华网
12,2021-12-31,比亚迪吕向阳质押0.05%股份,乐居财经
13,2021-12-31,比亚迪(002594.SZ)股东吕向阳质押142.5万股,智通财经
14,2021-12-31,融捷健康：公司未持有比亚迪的股份,Wind
15,2021-12-31,盐湖提锂板块发动“元旦攻势”！机构再度呐喊高景气度带来业绩和估值双击,Wind
16,2021-12-31,王传福和比亚迪“造富神话”,Wind
17,2021-12-31,比亚迪关联公司注册资本增至1076万,财经网
18,2021-12-31,行业观察|“宁王”再扩产！锂电行业产能过剩与供应链紧张两头难 谁会成为“灰犀牛”？,财联社
19,2021-12-31,量话车市│乘用车市场销量11月走势分析,汽车之家
20,2021-12-31,量话车市│轿车市场2021年11月销量解读,汽车之家
21,2021-12-31,比亚迪正在实现吉利的梦想，极氪能否为吉利新能源杀出一条血路？,Ofweek
22,2021-12-31,华友钴业：公司已进入到宁德时代、比亚迪等全球头部动力电池的核心产业链,Wind
23,2021-12-31,试驾宋PLUS DM-i 混动加持的比亚迪性价比表现如何？,贝壳财经
24,2021-12-31,中国联通与宏电股份共同打造的5G工业物联网联合创新实验室正式启动,C114通信网
25,2021-12-31,广东省境内外上市公司数量突破1100家,Wind
26,2021-12-31,A股午盘综述：中药股再现批量涨停，光伏发动强劲攻势,Wind
27,2021-12-31,“宁王”入局换电，是蔚来的好搭档，还是最强对手？,36氪
28,2021-12-31,【数据说话】比亚迪，长城，吉利2021终极大比拼，孰更技高一筹？,财华社
29,2021-12-31,新能源汽车积分从白菜价到硬通货，盘点4年双积分交易，预测2022积分价格,Ofweek
30,2021-12-31,比亚迪等5亿成立矿产公司,财联社
31,2021-12-31,11月新能源汽车销量，L2智能驾驶渗透率超41%，比亚迪/特斯拉/理想位列前三,Ofweek
32,2021-12-31,2021年中国汽车十大新闻：比亚迪结束十年彷徨，一飞冲天,Ofweek
33,2021-12-31,保费一夜之间上涨 80%，保险公司也来割特斯拉“韭菜”？,ZAKER
34,2021-12-31,长城汽车需背水一战,钛媒体
35,2021-12-31,连续四年蝉联中国品牌乘用车销冠，吉利全靠“营销”，没有“技术”？,Ofweek
36,2021-12-31,西藏矿业触及涨停，盐湖提锂板块冲高,Wind
37,2021-12-31,“欲戴王冠，必承其重” 合资品牌失速魔咒如何破解？「回望2021——合资危局」,华夏时报
38,2021-12-31,三大车企拟5年投4000亿研发 新能源汽车出口有望翻倍增长,新浪
39,2021-12-31,汽车行业31家公司研发费超600亿 传统及新能源齐发力多项动力技术实现突破,长江商报
40,2021-12-31,中汽研发布特斯拉Model 3、蔚来EC6、比亚迪汉EV、小鹏P7等冬季续航测试结果,IT之家
41,2021-12-31,川环科技：长城证券、中欧基金等2家机构于12月30日调研我司,证券之星
42,2021-12-31,中国品牌集体向上：智能电动化下半场如何胜出？,21世纪经济报道
43,2021-12-31,想买电车看过来！中汽研发布电动车续航测试成绩,ZAKER
44,2021-12-30,年度汽车投资报告：满城尽韭菜，你以为你例外,搜狐
45,2021-12-30,“顽固”的茅台，“崛起”的宁德，速览2021年A股前十大公司市值变迁,财联社
46,2021-12-30,疯涨/紧缺/争抢！2021年锂电行业十大关键词盘点（上）,Ofweek
47,2021-12-30,用插电混动打破主流 SUV 市场格局，宋 PLUS DM-i 靠什么？,ZAKER
48,2021-12-30,星源材质： 公司已陆续为宁德时代、比亚迪、国轩高科、中航锂电、LG 化学、三星 SDI、日本村田等国内外领先的锂离子电池厂商提供了具有综合领先优势的隔膜产品,Wind
49,2021-12-30,比亚迪：1-11月份电池出货量同比大增192% 市场占有率或将超松下,快科技
50,2021-12-30,比亚迪海豚试驾：e平台3.0，让它有亿点不同 | 钛极客,钛媒体
51,2021-12-30,最全！2021年广东及浙江地区锂电池行业上市公司市场竞争格局分析 三大方面进行全方位对比,前瞻研究院
52,2021-12-30,前11月全球动力电池装机量超250GWh 5家中国企业翻倍增长,上海有色
53,2021-12-30,第五十批免征购置税车型目录公布：特斯拉/比亚迪/小鹏在列，蔚来被剔除,Ofweek
54,2021-12-30,纯电185公里、力压比亚迪宋Pro DM-i：长城新车曝光,快科技
55,2021-12-30,比亚迪李云飞：一路向前，创享未来,投资时报
56,2021-12-30,比亚迪1211｜12月汽车销量逾9.9万辆 按年增逾七成三 | 头条金融网,头条日报
57,2021-12-30,中汽协：前11月销量前十MPV生产企业共销售84.9万辆，东风、比亚迪和上汽通用销量下降 盈利能力下降,中汽协会数据
58,2021-12-30,盾安环境：公司已跟比亚迪建立全面深入的合作，获得多个车型项目,每日经济新闻
59,2021-12-30,11月全球动力电池榜：比亚迪超越松下跻身第三 欣旺达首上榜,第一电动网
60,2021-12-30,重磅！比亚迪投资半导体IP公司锐成芯微！,中电网
61,2021-12-30,汽车板块午后回落，比亚迪、中国重汽、一汽解放翻绿,Wind
62,2021-12-30,【国君电新】厦钨新能（688778）：钴酸锂正极龙头，三元材料领域孕育新机,微信
63,2021-12-30,比亚迪购车“超级”补贴 广东佛山车主一次领4.2万,快科技
64,2021-12-30,合资股比放开前夜：进退之间的那些小算盘,36氪
65,2021-12-30,汽车行业周报：华为推出首款鸿蒙汽车 展现强大技术实力,国海证券
66,2021-12-30,“缺芯”之下，中国车企忙自研、外资公司忙赚钱「回望2021——芯片困局」,华夏时报
67,2021-12-30,比亚迪/极氪前装定点合作！速腾聚创全新智能固态激光雷达参展CES,快科技
68,2021-12-30,绑定国内外动力电池龙头宁德时代与LG化学，恩捷股份未来的核心看点和风险点,Ofweek
69,2021-12-30,两电动车争抢充电桩！比亚迪车主趁机“渔翁得利”,快科技
70,2021-12-30,自动驾驶激光雷达环境感知解决方案提供商速腾聚创获比亚迪战略投资，曾交付首批车规级量产激光雷达,和讯
71,2021-12-30,工信部公布新一批免购置税新能源车型：华为智选问界M5在列,快科技
72,2021-12-30,油耗、加速比肩比亚迪秦PLUS DM-i 新款日产最火家轿交付,快科技
73,2021-12-30,“有矿”一族再添一员 四川路桥联手川能动力、比亚迪掘金磷酸铁锂,财联社
74,2021-12-30,比亚迪将持股 90%，腾势或迎来“腾飞”,ZAKER
75,2021-12-30,或亮相改装嘉年华 汉 EV 硬顶敞篷版实车曝光,ZAKER
76,2021-12-30,A股融资融券日报：两融余额减少8.94亿元（12月29日）,Wind
77,2021-12-30,比亚迪在老挝首都万象向老挝总理府交付首台汉EV,钢企网
78,2021-12-30,市界早知道｜李佳琦向消保委提交整改报告；高洁丝回应卫生巾虫卵,和讯
79,2021-12-30,市监部门回应张庭公司被查：具备传销特征，涉案额大，已进审计阶段 其他违规处罚,ZAKER
80,2021-12-30,比亚迪：长江证券于12月28日调研我司,证券之星
