,2021-12-31,民生银行：主要股东协议转让股份完成过户,Wind
0,2021-12-31,泛海控股向民生银行申请4.1亿港元融资展期至2022年12月31日,观点地产网
1,2021-12-31,泛海控股担保的中国通海金融4.1亿港元融资申请展期,乐居财经
2,2021-12-31,国君固收：银行转债的投资策略,Wind
3,2021-12-31,泛海控股：2022年4月20日前偿还光大银行的全部借款,澎湃新闻
4,2021-12-31,民生银行信用卡业务投诉量上半年在湖南居股份制商业银行首位,中国经济网
5,2021-12-31,A股融资融券日报：两融余额增加32.82亿元（12月30日）,Wind
6,2021-12-31,回顾2021年银行业十大事件：民生银行罚款创记录，存款安全引关注 金融监管处罚,中华网
7,2021-12-31,二十六载“京”彩华章 民生银行北京分行推出“行庆理财月”特别活动,21世纪经济报道
8,2021-12-30,民生银行今日大宗交易成交400万股，成交价3.91元溢价0.26%,Wind
9,2021-12-30,民生银行大宗交易成交782.01万元,证券时报网
10,2021-12-30,民生银行现1笔大宗交易 共成交782.01万元,新浪
11,2021-12-30,民生银行今日大宗交易成交200万股，成交价3.91元溢价0.26%,Wind
12,2021-12-30,云和恩墨深度参与openGauss峰会，围绕MogDB探讨全栈数字化建设,砍柴网
13,2021-12-30,绿色金融助力成渝经济圈，民生银行成都分行抢占“绿色高地”,中国经济周刊
14,2021-12-30,民生银行网上保理助力企业发展,中国网
15,2021-12-30,A股融资融券日报：两融余额减少8.94亿元（12月29日）,Wind
16,2021-12-29,爆款产品与“迷你”基金同框 新基发行大年上演“冰火两重天”,证券之星
17,2021-12-29,A股市场破净股一览（12月29日）,Wind
18,2021-12-28,民生银行(01988)拟给予间接大股东大家保险最高授信额度223亿元,智通财经
19,2021-12-28,民生银行：董事会同意给予大家保险集团最高授信额度223亿元,Wind
20,2021-12-28,民生银行(01988)与大家人寿签订金融产品代理销售业务合作框架协议,智通财经
21,2021-12-28,A股市场破净股一览（12月28日）,Wind
22,2021-12-28,打通成渝线上抵押登记通道 民生银行实现首次跨省抵押登记,上游新闻
23,2021-12-27,近九成A股上市银行破净,财经杂志
24,2021-12-26,精准发力 民生银行支持“专精特新”企业成长,每日经济新闻
25,2021-12-26,民生银行宁波分行：发挥“融资+融智”优势 全力服务专精特新企业,每日经济新闻
