,2021-12-28,江西铜业：拟8360万元转让纳米克热电95%股权 提升公司整体资产质量,发布易
0,2021-12-28,江西铜业：拟转让江西纳米克热电电子股份有限公司95%股权至江铜集团,财联社
1,2021-12-28,江西铜业(600362.SH)以8360.00万元转让纳米克公司95%股权至江铜集团,智通财经
2,2021-12-28,江西铜业：转让纳米克公司95%股权至江铜集团,Wind
3,2021-12-23,【行情】港股稀土永磁板块持续走高，五矿资源涨超10%，中国铝业涨超8%，江西铜业涨超3%,金十数据
4,2021-12-19,【行业深度】洞察2022：中国铜加工行业竞争格局及市场份额(附市场集中度、企业竞争力评价等),前瞻研究院
5,2021-12-17,传江西铜业与Freeport McMoran达成明年提高冶炼加工费的协议,格隆汇
6,2021-12-10,2021年三季度中国工业金属行业A股上市企业营收排行榜：江西铜业蝉联榜单TOP1,智研咨询
7,2021-12-10,上市公司连出大手笔，锂电铜箔扩产增能再提速,Wind
8,2021-12-09,江西铜业、铜陵有色、嘉元科技……谁是成长能力最强的铜企业？,Ofweek
9,2021-12-09,恒邦股份：公司围绕着黄金冶炼及有色金属综合利用这一主线，建设了3套火法冶金系统生产线,每日经济新闻
10,2021-12-09,“宁王”绑定产能，铜企纷纷入局，锂电铜箔高歌猛进！,Wind
11,2021-12-08,新能源汽车“带货”，锂电铜箔成“风口”,Wind
12,2021-12-08,新能源汽车“带货” 锂电铜箔成“风口”,发布易
13,2021-12-06,江西铜业(600362.SH)完成发行10亿元2021年公司债券(第一期),智通财经
14,2021-12-06,金属周报：绿色能源产业规模扩张将推动金属行业成长属性释放,新浪
15,2021-11-24,有色金属行业：新能源汽车景气度向好 关注稀土和铜板块,新浪
16,2021-11-23,国际铜成跨境贸易定价基准，境内外有色巨头齐捧场,Wind
17,2021-11-23,期货业大事件!国际铜成跨境贸易定价基准，境内外有色巨头齐捧场！刚满周岁就实现多项突破,券商中国
18,2021-11-22,中国企业将在国际贸易中更多地使用上海国际铜价,富宝资讯
19,2021-10-28,图解江西铜业三季报：第三季度单季净利润同比增85.94%,证券之星
20,2021-10-28,江西铜业：2021年第三季度净利润约14.64亿元，同比增长85.94%,每日经济新闻
21,2021-10-28,江西铜业：第三季度净利14.6亿元 同比增长85.94%,财联社
22,2021-10-28,江西铜业：前三季度净利润同比增长194.08%,Wind
23,2021-10-27,江西区域股市周报：新增1家上市公司 74家机构调研金力永磁,每日经济新闻
24,2021-10-21,江西铜业：当铜价上涨时，现货体现盈利，期货体现亏损，期现对冲后不产生亏损,每日经济新闻
25,2021-10-19,周期股“急转弯” 煤炭、有色指数最大回撤超24%,Wind
26,2021-10-18,有色金属行业研究周报：铀重获关注,新浪
27,2021-10-17,江西铜业(00358)Q3发盈喜，铜涨价预期下能否带来布局新机会?,智通财经
28,2021-10-15,星空独家︱打工人再强，比不上家里有矿,和讯
29,2021-10-15,【铜箔周报】SKC将在海外建设25万吨铜箔产能！,中国电池网
30,2021-10-15,江西铜业：公司三季度报告预约披露日为2021年10月29日,每日经济新闻
31,2021-10-15,江西铜业：预计2021年1—9月实现归属于上市公司股东的净利润为42.74亿元～47.34亿元,每日经济新闻
32,2021-10-15,江西铜业高开6.70% 预计前三季度归母净利同比增179%至209%,新浪
33,2021-10-14,江西铜业(600362)：产品价格高位 三季度业绩同比大幅增长,新浪
34,2021-10-14,江西铜业股价异动 前三季净利润增长179.00%-209.00%,证券时报网
35,2021-10-14,每日理财观察：公募基金参与北交所投资蓄势待发,Wind
36,2021-10-13,晚间重要公告2021年10月13日星期三,Wind
37,2021-10-13,江西铜业前三季净利润预增179%-209%,上证报
38,2021-10-13,ATFX港股：第四季度国内铜价寻支撑，江西铜业调整后或接近短期低位,金融界
39,2021-10-13,江西铜业(600362.SH)：前三季度预盈42.74亿元-47.34亿元 同比增加179%-209%,格隆汇
40,2021-10-13,江西铜业：预计前三季度实现净利润42.74亿元-47.34亿元，同比增加1,新浪
41,2021-10-13,江西铜业：前三季度预计净利润同比增长179.0%~209.0%,Wind
42,2021-10-13,江西铜业：预计前三季度净利润同比增长179%-209%,Wind
43,2021-10-12,江西铜业：铜价上涨对公司自产矿带来直接增利影响,每日经济新闻
44,2021-10-08,有色金属行业研究周报：铀重获关注,新浪
45,2021-09-28,有色金属周报：双控双限扰动工业金属供需 小金属镁、硅价格飙升,新浪
46,2021-09-20,恒指低开低走收跌3.3%险守24000点，地产股领跌市场,Wind
47,2021-09-20,香港恒生指数午盘跌3.87%报23955.18点，地产股、资源股、内资金融股大跌,Wind
48,2021-09-20,恒指大跌4%失守24000点，地产股、资源股领跌,Wind
49,2021-09-20,恒指跌幅扩大至3%，地产股、内资金融股、资源股大跌,Wind
50,2021-09-20,恒生指数、恒生科技指数双双跌超2%，地产、金融和资源股大跌,Wind
51,2021-09-17,有色股集体回调：江西铜业跌超7%，紫金矿业、五矿资源跌超6%,新浪
52,2021-09-15,是否有增发股票给内部员工计划？江西铜业：公司暂无相关计划,每日经济新闻
53,2021-09-15,港股盘前必读：iPhone 13手机正式发布，小米发布首款智能眼镜,Wind
54,2021-09-15,每日理财观察：互认基金“打头阵”，公募布局“跨境理财通”,Wind
55,2021-09-15,有色钢铁行业周策略(2021年第37周)：需求旺季 成本下行 吨钢利润有望持续扩张,新浪
56,2021-09-14,金融街下午茶2021年9月14日星期二,Wind
57,2021-09-14,A股突然跳水，2大利空搅局，影响多大？,Wind
58,2021-09-14,恒指收跌1.21%，原材料、地产板块领跌,Wind
59,2021-09-14,A股收盘综述：金融乏力、煤钢休整，鸿蒙、锂电池、磷化工、盐湖提锂依旧火热,Wind
60,2021-09-14,融资客青睐3股，长沙银行买入占比高达36.12%,Wind
61,2021-09-13,A股收盘综述：抛开指数做个股，“煤飞色舞”继续霸屏、磷化工股批量封板,Wind
62,2021-09-13,江西铜业：公司持股25%的“中冶江铜”有获得阿富汗相关铜矿区勘探及采矿权,Wind
63,2021-09-13,江西铜业：江西黄金旗下暂未持有金矿,Wind
64,2021-09-13,江西铜业：公司目前生产线分两部分,Wind
65,2021-09-13,铜库存持续减少，江西铜业融资余额增至25.72亿元,阿尔法工场
66,2021-09-13,融资客青睐10股，纳思达买入占比高达35.02%,Wind
67,2021-09-10,港股原材料板块持续拉升，紫金矿业大涨近10%,Wind
68,2021-09-08,江西铜业：9月13日召开2021年半年度业绩说明会,Wind
69,2021-09-01,有色钢铁行业周策略(2021年第35周)：发改委严禁电解铝优惠电价 铝价受成本推动或持续走高,新浪
70,2021-09-01,铜冶炼利润快速增加，江西铜业受沪股通增持,阿尔法工场
71,2021-08-31,逾700家上市公司上半年炒493只A股：哪些亏损，哪些赚钱？,第一财经
72,2021-08-31,江铜财务公司违法被罚 为江西铜业子公司 其他违规处罚,中国经济网
73,2021-08-30,财联社8月30日电，港股稀土概念股持续走高，中国铝业涨近8%，金风科技涨逾6%，江西铜业股份涨逾5%，中国稀土涨逾3%。,财联社
74,2021-08-30,Mysteel：江西铜业2021上半年度生产铜精矿含铜10.3万吨，累计同比减少1.53%,我的有色
75,2021-08-30,【异动股】江西铜业股份(00358.HK)涨5.89%,财华社
76,2021-08-30,港股异动︱江西铜业股份(00358)涨超4% 中期归母净利润同比增长308.3%至30.43亿元,智通财经
77,2021-08-30,"江西铜业：上半年营业收入 2,267.94 亿元 净利润大增超3倍",上海有色
78,2021-08-28,上市公司正负面新闻2021年8月28日星期六,Wind
79,2021-08-28,江西铜业股份(00358.HK)：上半年净利润30.43亿元 同比增长308.30%,格隆汇
80,2021-08-28,江西铜业上半年扣非净利52.1亿元 同比大增2240.46%,上证报
81,2021-08-27,江西铜业股份：中期盈利31.53亿人民币，同比增长300.65%,Wind
82,2021-08-27,江西铜业股份(00358)中期归母净利润同比增长308.3%至30.43亿元,智通财经
83,2021-08-27,江西铜业：上半年净利润同比增长308.3%,Wind
84,2021-08-27,晚间重要公告2021年8月27日星期五,Wind
85,2021-08-27,江西铜业(600362.SH)半年度归母净利润同比增长308.30%至30.43亿元,智通财经
86,2021-08-27,江西铜业：2021年半年度净利润约30.43亿元，同比增加308.3%,每日经济新闻
87,2021-08-27,公司有生产锑金属产品吗？江西铜业：公司产品中包括粗锑和锑酸钠化合物,每日经济新闻
88,2021-08-27,江西铜业：上半年净利润30.43亿元，同比增长308.30%,Wind
89,2021-08-27,江西铜业：铜箔三期1.5万吨/年项目仍处于试生产和下游客户开拓阶段,Wind
90,2021-08-25,耐普矿机(300818.SZ)拟与江西铜业等共设参股公司,智通财经
91,2021-08-25,ATFX港股：国际铜价低位反弹，带动江西铜业股价上涨,金融界
92,2021-08-25,【异动股】江西铜业股份(00358.HK)涨3.5%,财华社
93,2021-08-24,有色钢铁行业周策略(2021年第34周)：锂盐景气持续 铁矿下跌延续,新浪
94,2021-08-20,恒邦股份发布半年报：营收213.43亿元，同比上升29.78%,经济网
95,2021-08-19,有色金属股全线重挫 江西铜业跌超6%洛阳钼业跌超7%,新浪
96,2021-08-19,港股异动 | 有色金属股全线重挫 江西铜业(00358)跌超7% 洛阳钼业(03993)跌超5%,智通财经
97,2021-08-19,恒指跌幅扩大至1%，有色、能源股引领下跌,Wind
98,2021-08-19,有色股大跌江西铜业跌超6% 智利三家铜矿面临罢工威胁 员工变动,新浪
99,2021-08-13,东兴金属：黄金仍处基本面强势 锂市场显现惜售,新浪
100,2021-08-13,涨价纷至沓来，业绩释放、股价爆发？,Wind
101,2021-08-13,外资暂停中国投资？数据来说话：海外巨头7月纷纷加仓,Wind
102,2021-08-06,能源材料行业每日点评及数据跟踪,新浪
103,2021-08-05,江西铜业：公司目前没有稀土矿,Wind
104,2021-08-03,有色金属行业周报：稳增长政策有望发力 重点关注铜铝板块,新浪
105,2021-08-02,东兴金属：工业金属供给扰动再现 能源金属延续强势定价,新浪
106,2021-08-02,财华洞察|金铜通吃，紫金矿业的“含金量”如何？,财华社
107,2021-07-27,ATFX港股：受国际铜价提振，江西铜业逆势大涨,金融界
108,2021-07-23,【铜箔周报】江西铜业拟128亿投建年产10万吨锂电铜箔等项目,中国电池网
109,2021-07-22,【行情】港股碳中和板块集体走高，协鑫新能源涨超11%，五矿资源、重庆钢铁涨超7%，马钢股份、鞍钢股份、东岳集团涨超6%，中国宏桥、江西铜业涨超4%，中国建材、洛阳钼业、兖州煤业涨超3%,金十数据
110,2021-07-22,解盘：百亿资金流入，光刻胶、挖掘机、锂矿领涨,Wind
111,2021-07-22,【行情】有色板块铜铝概念股走强，铜陵有色拉升触板，中国铝业、海亮股份、江西铜业、神火股份等跟涨,金十数据
112,2021-07-21,江西铜业：公司计划投资的10万吨/年锂电铜箔项目将以4.5微米和6微米产品为主,每日经济新闻
113,2021-07-21,恒邦股份：公司目前没有增加电铜箔业务的意向,Wind
114,2021-07-20,云南铜业：公司目前未生产、未直接使用锂电铜箔产品,Wind
115,2021-07-20,港股有色股跌幅扩大，中国铝业跌近7%,Wind
116,2021-07-20,有色金属板块齐跌 中国铝业及江西铜业均跌超4%,新浪
117,2021-07-19,孚能科技出大事、多氟多狂发18条公告！跨界扩产涌动 最火赛道继续舞？,券商中国
118,2021-07-19,400亿锂电新军出大事，材料龙头狂发18条公告,Wind
119,2021-07-19,锂电新军孚能科技减持，多氟多突发18条公告，跨界扩产涌动,券商中国
120,2021-07-19,什么情况？400亿锂电新军突发减持 还有材料龙头一晚发布18条公告 减持股份,券商中国
121,2021-07-19,400亿锂电新军出大事，材料龙头狂发18条公告，什么情况？跨界扩产涌动，最火赛道继续舞？,Wind
122,2021-07-16,【天风新材料20210716】江西铜业拟投资128亿元在江西上饶建年产10万吨锂电铜箔等项目,煤炭鑫观点
