,2021-12-31,沃森生物：13价肺炎结合疫苗在进行出口前的准备工作，二价HPV疫苗申报生产目前处于国家CDE审评中,每日经济新闻
0,2021-12-31,沃森生物：公司13价肺炎结合疫苗按照摩洛哥政府的要求在进行产品出口前的相关准备工作,Wind
1,2021-12-31,沃森生物：公司发展战略为聚焦疫苗产品的研发、生产和销售,Wind
2,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
3,2021-12-30,传疫苗业务试点外包，销售团队签“业绩对赌”，“宇宙厂”辉瑞开启大调整,经济观察报
4,2021-12-29,沃森生物：公司产品生产和批签发的工作均在正常开展,每日经济新闻
5,2021-12-29,沃森生物：新冠mRNA疫苗国际多中心三期临床试验的相关工作正在墨西哥、印度尼西亚等多地同步展开,每日经济新闻
6,2021-12-29,沃森生物：公司13价肺炎结合疫苗出口摩洛哥的事宜在按照当地政府的政策和流程不断推进中,每日经济新闻
7,2021-12-28,沃森生物：公司产品生产和批签发的工作均在正常开展,Wind
8,2021-12-28,沃森生物：公司新冠mRNA疫苗在菲律宾的三期临床试验正在按计划推进中,Wind
9,2021-12-28,沃森生物(300142.SZ)：向中国妇女发展基金会捐赠现金1150万元,格隆汇
10,2021-12-28,沃森生物：控股子公司上海泽润获新老股东拟注资3.5亿元,财联社
11,2021-12-28,沃森生物(300142.SZ)：子公司收到1项境外发明专利证书,格隆汇
12,2021-12-28,沃森生物(300142.SZ)：控股子公司上海泽润获新老股东拟注资3.5亿元 欲加快推进HPV疫苗临床研究和产业化上市进程,格隆汇
13,2021-12-28,沃森生物(300142.SZ)：上海泽润收到一项马来西亚发明专利证书,智通财经
14,2021-12-28,沃森生物(300142.SZ)拟对上海泽润增资1亿元 推进HPV系列疫苗临床研究和产业化进程,智通财经
15,2021-12-28,沃森生物现1笔大宗交易 共成交434.93万元,新浪
16,2021-12-28,沃森生物今日大宗交易成交7.30万股，成交价59.58元溢价0.0%,Wind
17,2021-12-27,深度！2021年中国人用疫苗行业竞争格局及市场份额分析 整体市场集中度有待提高,前瞻研究院
18,2021-12-27,沃森生物跌超3%，生物医药ETF（512290）跌超0.6%，资金抄底盘中净流入超3500万元,资本邦
19,2021-12-24,2021金融界领航中国“金智奖”上市公司价值评选揭晓 沃森生物、世纪华通、香山股份等荣获杰出成长性企业奖,金融界
20,2021-12-24,海通证券：政府补贴HPV疫苗接种，利好需求提升,智通财经
21,2021-12-21,沃森生物股价两连阴 中泰证券资管持股,中国经济网
22,2021-12-21,康希诺、沃森生物大幅调整，疫苗板块连续下滑,Wind
23,2021-12-21,【东北医药刘宇腾】沃森生物（300142）的动态点评：Omicron持续发酵，弯道超车机遇凸显,东北证券研究所
24,2021-12-20,沃森生物：后续将根据业务发展需要等进一步规划融资结构和融资渠道,Wind
25,2021-12-20,沃森生物：公司专注于疫苗产品的研发、生产和销售,Wind
26,2021-12-20,沃森生物：新冠mRNA疫苗临床研究等各项工作在正常推进中,Wind
27,2021-12-20,沃森生物：公司新冠mRNA疫苗临床研究等各项工作在正常推进中,每日经济新闻
28,2021-12-20,一图IPO | 圣诺医药-B：深耕肿瘤RNAi疗法，沃森生物为股东,华盛资讯
29,2021-12-20,CXO增长可持续性强，看好中药板块投资机会,金融界
30,2021-12-20,A股融资融券日报：两融余额减少80.19亿元（12月17日）,Wind
31,2021-12-19,医药投向标|美商务部实体清单披露无CXO列入 百济神州上市首日破发 君实生物疫苗子公司完成12.75亿元A轮融资,财联社
32,2021-12-17,未名医药直线飙升，疫苗板块翻红,Wind
33,2021-12-17,A股融资融券日报：两融余额增加5.56亿元（12月16日）,Wind
34,2021-12-16,千亿疫苗股终止香港上市，或因担心破发！能靠mRNA弯道超车吗？,国际金融报
35,2021-12-16,创新药核心增长逻辑未改，九洲药业、沃森生物领涨，创新药ETF（159992）连续4个交易日净流入,资本邦
36,2021-12-16,mRNA ，沃森生物弯道超车的关键,环球老虎财经
37,2021-12-15,腰部药企IPO也难了，沃森生物终止港股挂牌，但20亿的研发费用缺口怎么办？,经济观察报
38,2021-12-14,"倍特药业药品不合格,参与垄断,苏忠海如何借财生财? 产品问题",中金在线
39,2021-12-14,北向资金再度扫货超60亿，连续7日抢筹东方财富累计加仓超近61亿元,Wind
40,2021-12-14,A股融资融券日报：两融余额增加51.19亿元（12月13日）,Wind
41,2021-12-14,沃森生物拟投近7亿扩产疫苗 终止H股上市仍不改国际化战略,长江商报
42,2021-12-13,关于投资沃森生物，需要知道的ABC,雪球
