,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
0,2021-12-31,一图看全丨2021年白酒股哪些涨？哪些跌？,新京报
1,2021-12-31,白酒“繁荣”下经销商变革：利润因酒企频繁提价收窄，圈层营销争夺品鉴费,搜狐
2,2021-12-31,酱酒逐渐“内卷”，浓香、清香发起“保卫战”,新京报
3,2021-12-31,食品饮料行业2022年投资策略：白酒景气周期延续，食品至暗时刻已过,国信研究
4,2021-12-30,机构近一月调高这62股评级 多只消费股在列,第一财经
5,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
6,2021-12-30,“关店潮”来袭 餐饮下行殃及白酒业？,佳酿网
7,2021-12-30,北向资金动向盘点：食品饮料低迷，逆市抄底净买,Wind
8,2021-12-30,北向资金大幅减持医疗服务业逾10亿元，这些个股遭抛售（名单） 减持股份,21世纪经济报道
9,2021-12-29,酒基上热搜！酒基“清仓式分红”吓跌酒股？最大酒基为何闭门谢客？究竟是何打击信心？基金经理发声,财联社
10,2021-12-29,2021酒业盘点丨酱酒逐渐“内卷”，浓香、清香发起“保卫战”,新京报
11,2021-12-29,国信证券：需求复苏和消费升级驱动白酒行业持续景气 高端次高端龙头是配置优选,证券时报网
12,2021-12-29,3800亿白酒巨头大动作！又涨价了,Wind
13,2021-12-29,调仓+减持，市场赚钱效应衰退,Wind
14,2021-12-29,新消费潮涌，消费预期较乐观,Wind
15,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
16,2021-12-28,年底大宗交易井喷，四大行业获机构扫货！,Wind
17,2021-12-28,12月股东减持超650亿，45家大额解禁来袭,Wind
18,2021-12-28,年末大宗交易增多，机构抢筹藏玄机,Wind
19,2021-12-27,洋河股份申请“时空之礼”等酒类商标,乐居财经
20,2021-12-27,二次创业正当时，洋河交出一份激情昂扬的“答卷”,财经网
21,2021-12-27,【招商食品|最新】白酒期待备货开门红 大众品关注提价传导,招商食品饮料
22,2021-12-27,【国海食饮 | 行业周报：提价预期升温，关注龙头旺季表现211227】,虎哥的研究
23,2021-12-27,白酒｜汾酒+酒鬼酒大会传递信心，行业加速备货,新浪
24,2021-12-27,【中信证券：白酒板块仍有上行空间】财联社12月27日电，中信证券研究指出，最近2-3周酒企陆续召开经销商大会，今年任务完成&明年增长规划逐渐清晰；同时，行业已逐步进入旺季备货、动销检验阶段。我们认为,财联社
25,2021-12-27,酒企迎来涨价潮，下一个会是谁？,Wind
26,2021-12-26,酒企提价“涨”声不断！白酒股跨年行情稳了？,Wind
27,2021-12-26,白酒行业动态跟踪：关注旺季表现与提价落地 业绩增长具备支撑,光大证券
28,2021-12-25,北向资金五个交易日出逃近78亿元，甩卖酿酒股近46亿元，扫货这些龙头股（名单）,21世纪经济报道
29,2021-12-25,乡村振兴项目只是起点 洋河股份建多维度机制践行公益,中金在线
30,2021-12-24,双击2021 | 看江苏白酒市场的“二个视角”,糖酒快讯
31,2021-12-24,洋河股份：今年6月之后无新增信托理财产品,每日经济新闻
32,2021-12-24,高价位不一定就等于高品牌价值，白酒提价消费者会买单吗？,证券之星
33,2021-12-24,洋河股份：公司2021年上半年的销售费用13.4亿元，其中广告促销费8.23亿元,每日经济新闻
34,2021-12-24,洋河股份：目前公司生产经营一切正常,Wind
35,2021-12-24,最大权益基金放宽限购，叠加白酒消费旺季，行情可期？,Wind
36,2021-12-24,白酒基金限购松紧不一，基金经理看好配置价值,Wind
37,2021-12-22,洋河股份入股民生信托 持股5.95%,每日经济新闻
38,2021-12-22,北向资金连续4日净卖出累计出货超百亿，立讯精密遭大幅净卖出6.46亿元,Wind
39,2021-12-22,洋河股份投资中国民生信托 持股5.95%,TechWeb
40,2021-12-22,洋河股份入股中国民生信托 认缴金额4.16亿元,中证网
41,2021-12-22,洋河张联东出席酒博会：为新时代酒文化立方向，打开酒业未来之门,金融界
42,2021-12-21,2012-2021年白酒春节行情总结,证券之星
43,2021-12-21,迎驾贡酒：徽酒“老三”翻盘的秘密,阿尔法工场
44,2021-12-21,华鑫证券：给予洋河股份买入评级,证券之星
45,2021-12-20,又一家上市公司被恒大拖下水，15年净利直接白干了,新浪
46,2021-12-20,茅台、五粮液又有大消息，2022年白酒股价受关注,Wind
47,2021-12-18,四维预判白酒行业发展新趋势,新浪
48,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
49,2021-12-18,茅台，稳住！外资基金巨头在加仓了,Wind
50,2021-12-17,汾酒逆袭 “操盘手”李秋喜：四年时间完成改革 推动汾酒市值进入前三,新浪
51,2021-12-17,北向资金结束连续12日净买入，药明康德遭大幅抛售超10亿元,Wind
52,2021-12-17,朱伟搞出“青酒模式”，想向洋河证明什么？,36氪
53,2021-12-17,解盘：权重股低迷，充电桩、水电、特高压、大基建领涨,Wind
54,2021-12-17,白酒国际化加速，洋河的“走出去”和“引进来”,中国经济网
55,2021-12-16,泸州老窖又涨价，今年已多次提价停货,Wind
56,2021-12-16,外资连续11天加仓，4000亿龙头被买爆！两大领域成扫货专区,Wind
57,2021-12-15,北向资金流入放缓仍连续11日加仓A股，药明康德遭大幅抛售,Wind
58,2021-12-15,洋河股份早盘再现跳空下跌，直接诱因是在大宗交易平台被折价抛售745万股,搜狐
59,2021-12-15,【行情】白酒概念走弱，皇台酒业跌超4%，洋河股份、古井贡酒、舍得酒业跟跌,金十数据
60,2021-12-15,A股早报2021年12月15日星期三,Wind
61,2021-12-15,每日理财观察：四季度险资打新热情高涨,Wind
62,2021-12-15,洋河股份12月14日现11笔大宗交易,证券时报网
63,2021-12-14,A股共发生240宗大宗交易成交77.89亿元（12月14日）,Wind
64,2021-12-14,洋河股份现11笔大宗交易 总成交金额13.11亿元,证券时报网
