,2021-12-31,洛阳钼业(03993)拟为CMOC Brasil提供本金不超过六亿美元担保 大额借贷担保,智通财经
0,2021-12-31,洛阳钼业(03993.HK)拟为CMOC Brasil提供担保 金额不超6亿美元 大额借贷担保,格隆汇
1,2021-12-31,[隆众聚焦]：2021年电解钴年度大事记,隆众资讯
2,2021-12-30,2021钴锂矿产争夺风云录 企业争夺锂矿涉及金额已超400亿！【年度回顾】,上海有色
3,2021-12-25,传高瓴、洛阳钼业实控人重金押宝，保利协鑫能源一度涨超8％,腾讯网
4,2021-12-24,洛阳钼业：目前已经在特斯拉的上游供应链中,e公司
5,2021-12-24,洛阳钼业：公司暂未涉及锂矿相关资源,每日经济新闻
6,2021-12-24,洛阳钼业：公司刚果（金）铜钴矿生产运营正常，目前已经在特斯拉的上游供应链中,每日经济新闻
7,2021-12-24,洛阳钼业：公司各个矿山生产运营正常,每日经济新闻
8,2021-12-24,宁王大跌7%，锂电全线急挫，3大利空突袭？,Wind
9,2021-12-24,港股异动 | 保利协鑫能源(03800)高开近5% 完成配售净筹近50亿 传高瓴及洛阳钼业实控人入股,智通财经
10,2021-12-24,一把砸25亿！高瓴又出手了,Wind
11,2021-12-24,加码共近50亿港元，高瓴、洛阳钼业实控人等纷纷布局这个细分赛道。一周机构评级出炉，力推白酒龙头，10股上涨空间逾20%（附股）,微信
12,2021-12-23,晚间要闻2021年12月23日星期四,Wind
13,2021-12-23,大动作！高瓴携洛阳钼业实控人重金押宝颗粒硅龙头,上证报
14,2021-12-23,大动作！高瓴携洛阳钼业实控人重金押宝颗粒硅龙头,Wind
15,2021-12-23,“家里有矿”！钴价大涨背后 隐形钴业巨头金川国际有望迎来价值重估,证券日报网
16,2021-12-23,“2021河南企业100强”榜单发布，百亿级企业突破50家,Wind
17,2021-12-22,钴行业专题研究：钴价创三年新高，行业成长性强,新浪
18,2021-12-22,【东北有色曾智勤】新能源金属2022年策略报告：新能源需求驱动，稀土锂钴将维持高景气度,东北证券研究所
19,2021-12-21,洛阳钼业12月21日大宗交易成交3764.33万元,证券时报网
20,2021-12-21,"洛阳钼业现1笔大宗交易 共成交3,764.33万元",新浪
21,2021-12-21,洛阳钼业今日大宗交易成交668.62万股，成交价5.63元折价0.88%,Wind
22,2021-12-20,港股异动 | 洛阳钼业(03993)跌超5%创一年新低 花旗下调未来三年盈测 下调目标价16.9% 机构下调估值,智通财经
23,2021-12-20,【异动股】洛阳钼业(03993.HK)跌5.44%,财华社
24,2021-12-19,中信建投：新能源车带动三元需求上行，关注锂镍标的配置机会,Wind
25,2021-12-17,浙江疫情致钴盐巨头停产，电池涨价在即，新能源车要买趁早 经营问题,时代财经
26,2021-12-17,两巨头停产！全国近两成钴盐产量受影响 经营问题,长江有色
27,2021-12-17,智通每日大行研报丨金科服务(09666)获中金看至53港元 大摩维持兖州煤业(01171)“减持”评级 投资评级恶化,智通财经
28,2021-12-17,花旗：维持洛阳钼业“买入”评级，目标价降至6.9港元,Wind
29,2021-12-17,花旗：维持洛阳钼业(03993)“买入”评级 目标价降16.9%至6.9港元,智通财经
30,2021-12-17,【券商聚焦】花旗削洛阳钼业(03993)目标价16.9% 下调未来三年盈测 机构下调估值,和讯
31,2021-12-16,【港股通】洛阳钼业(03993)斥资约4314.1万元回购760.09万股A股,和讯
32,2021-12-16,洛阳钼业：今日耗资4314.1万港元回购760.09万股,Wind
33,2021-12-16,洛阳钼业(03993.HK)12月16日耗资4314万元回购760万股,格隆汇
34,2021-12-16,洛阳钼业(03993)12月16日耗资约4314.1万元回购760.09万股A股,智通财经
35,2021-12-16,洛阳钼业(03993)完成回购约1亿股A股 耗资约6.84亿元,智通财经
36,2021-12-16,洛阳钼业(603993.SH)：完成回购 累计耗资6.84亿元回购9999.996万股,格隆汇
37,2021-12-16,洛阳钼业：公司完成回购，总计回购约1亿股,每日经济新闻
38,2021-12-16,洛阳钼业(603993.SH)回购完毕 累计回购约1亿股A股股份,智通财经
39,2021-12-14,【异动股】洛阳钼业(03993.HK)跌4.7%,财华社
40,2021-12-10,洛阳钼业(03993)为全资子公司提供总额不超4.1亿美元的担保 大额借贷担保,智通财经
41,2021-12-10,【异动股】洛阳钼业(03993.HK)跌3.04%,财华社
42,2021-12-09,洛阳钼业：公司10K提能增效项目于9月已经进入满产状态,每日经济新闻
43,2021-12-09,洛阳钼业：目前没有成立期货公司相关计划,每日经济新闻
44,2021-12-09,洛阳钼业：获得三道庄钼矿采矿许可证 生产规模为990万吨/年,长江有色
45,2021-12-09,2022年有色行业年度投资策略：以需求景气度为准绳 紧握核心赛道,新浪
46,2021-12-09,2021河南民营企业百强榜单公布 洛阳钼业营收位居榜首,上证报
47,2021-12-09,港股公告精选：国药监批准中国首个用于治疗新冠肺炎的创新中和抗体联合疗法,Wind
48,2021-12-08,洛阳钼业(03993.HK)与中国银行栾川支行订立2021中国银行质押协议,格隆汇
49,2021-12-08,洛阳钼业：拟为合营公司富川矿业提供不超3.83亿元担保 大额借贷担保,发布易
50,2021-12-08,晚间公告｜12月8日这些公告有看头,第一财经
51,2021-12-08,洛阳钼业(603993.SH)：取得三道庄钼矿采矿许可证,格隆汇
52,2021-12-08,洛阳钼业：获得自然资源部颁发的三道庄钼矿采矿许可证,财联社
53,2021-12-08,洛阳钼业：对外担保4亿元,Wind
54,2021-12-08,大涨价！“钴爷”50万元一吨，涨幅高达102%,搜狐
55,2021-12-07,基本金属2022年度投资策略：为有源头活水来,新浪
56,2021-12-07,有色金属：LAS BAMBAS生产受限 国内适时降准稳增长,新浪
57,2021-12-06,【异动股】洛阳钼业(03993.HK)跌3.11%,财华社
58,2021-12-06,金属行业新能源板块周报：钴锂价格涨势拉阔 关注三元材料一体化趋势,新浪
59,2021-12-06,有色金属行业周报：供给扰动加剧 钴价有望持续上涨,华安证券
60,2021-12-06,洛阳钼业印尼华越镍钴湿法冶炼项目产出第一批合格品,长江有色
61,2021-12-05,有色金属行业：再创新高 锂价涨速加快,新浪
62,2021-12-03,洛阳钼业(03993.HK)与民生银行洛阳分行订立2021民生银行最高额质押协议,格隆汇
63,2021-12-03,投资助力可持续发展 2021新浪财经金麒麟论坛ESG峰会举行,新浪
64,2021-12-03,洛阳钼业董事长袁宏林：ESG是企业生存和高质量发展的基石,新浪
65,2021-12-03,洛阳钼业：对外担保4亿元 大额借贷担保,Wind
66,2021-12-02,袁宏林 洛阳钼业董事长,新浪
