,2021-12-31,保龄宝：浙商证券、中兵财富资产管理有限公司等2家机构于12月28日调研我司,证券之星
0,2021-12-31,"华金证券原所长刘军转会山西证券，""所长市场""持续火爆",Wind
1,2021-12-30,浙商证券：践行“三同”文化走共同富“浙”路,中证网
2,2021-12-30,浙商证券(601878.SH)公开发行可转换公司债券申请获证监会受理,智通财经
3,2021-12-30,浙商证券(601878.SH)：可转债发行申请获证监会受理,格隆汇
4,2021-12-30,资本市场“看门人”“走神”“装睡”需付出沉重代价,Wind
5,2021-12-30,电气风电：浙商证券股份有限公司、中银国际证券股份有限公司等2家机构于12月3日调研我司,证券之星
6,2021-12-29,闻泰科技陷“谣言”旋涡股价暴跌 浙商证券分析师发文澄清后又删 真相几何？,中国经济网
7,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
8,2021-12-28,卖方研究年底辟谣忙，又有券商研究“被迫”回怼传闻，闻泰科技身处传闻漩涡，究竟被传了什么,财联社
9,2021-12-28,浙江沪杭甬(00576)：浙商证券与华安证券签订保荐协议,智通财经
10,2021-12-28,浙江沪杭甬(00576.HK)：浙商证券拟更换持续督导保荐机构及保荐代表人,格隆汇
11,2021-12-28,浙商证券持续督导保荐代表人变更为林斗志、陈一,乐居财经
12,2021-12-28,【浙商轻工 | 史凡可/马莉】曲美家居：多维优势构筑高效店态，Stressless国内拓展加速,轻饮可乐
13,2021-12-28,全年IPO超500家，哪些券商投行“赚嗨”了？,Wind
14,2021-12-28,券商营业部排名大洗牌，量化交易催生硬件竞赛,Wind
15,2021-12-27,浙商期货增资混改将本周公开挂牌，战投目标锁定五大领域，暂无IPO计划？,搜狐
16,2021-12-26,【国君非银刘欣琦团队】我们继续建议关注券商的机构业务,欣琦看金融
17,2021-12-25,4年5.3亿好处费，头部信托一从业人员被判15年,Wind
18,2021-12-25,浙商证券十五年：不能忘却的历史瞬间,--
19,2021-12-25,信隆健康：浙商证券、万家基金等6家机构于12月17日调研我司,证券之星
20,2021-12-24,兴瑞科技：浙商证券、德邦基金等11家机构于12月22日调研我司,证券之星
21,2021-12-23,浙商梁凤洁||94年银行首席的感谢信,大话金融
22,2021-12-23,昊海生科跌9.18% 浙商证券高位喊增持,中国经济网
23,2021-12-23,天风证券：2022年1月7日召开“21浙商S1”持有人会议，审议提前兑付议案,Wind
24,2021-12-23,浙商期货启动混改 前三季营收超2020年总营收约26.64%,中国网
25,2021-12-23,浙江沪杭甬：正考虑实施浙商期货混合所有制改革方案,Wind
26,2021-12-23,浙商期货启动混改 今年前三季净利已与去年持平,和讯
27,2021-12-23,加加食品：浙商证券、海富通基金等5家机构于12月20日调研我司,证券之星
28,2021-12-22,晚间重要公告2021年12月22日星期三,Wind
29,2021-12-22,浙江沪杭甬(00576)：浙商期货混合所有制改革方案暨在浙江产交所挂牌,智通财经
30,2021-12-22,浙商证券：向全资子公司浙商期货借出4亿元次级债务,中证网
31,2021-12-22,浙商证券：子公司浙商期货拟通过公开挂牌方式引入投资者,中证网
32,2021-12-22,浙商证券(601878.SH)：浙商期货拟开展混改、引入投资者,格隆汇
33,2021-12-22,浙商证券(601878.SH)：完成发行15亿元短期融资券,格隆汇
34,2021-12-22,浙商证券：浙商期货混合所有制改革方案暨在浙江产交所挂牌,Wind
35,2021-12-22,浙商证券：向全资子公司借出次级债务,Wind
36,2021-12-22,浙商证券(601878.SH)完成发行15亿元2021年度第十二期短期融资券,智通财经
37,2021-12-22,浙商证券：全资子公司混改方案暨在浙江产交所挂牌,财联社
38,2021-12-22,审计署：浙商证券原副总裁周跃涉嫌利用职务便利为他人谋利并收受钱款,中华网
39,2021-12-21,华聪股份提交北交所上市辅导备案申请 今年上半年净利1567万元,同壁财经
40,2021-12-20,浩腾科技进入北交所辅导期：2021年上半年净利润1361.86万元,同壁财经
41,2021-12-20,浩腾科技提交北交所上市辅导备案申请，辅导机构为浙商证券,同壁财经
42,2021-12-20,破解“急难愁盼”，民生领域改革敲定任务书,Wind
43,2021-12-20,国泰基金管理有限公司关于旗下 部分交易型开放式基金新增浙商证券 股份有限公司为一级交易商的公告,证券日报
44,2021-12-18,2021年券商十大新闻盘点,Wind
45,2021-12-17,北向资金动向盘点：近两周加仓“非银”已超百亿,Wind
46,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
47,2021-12-16,【行情】券商股午后异动，华林证券触及涨停，哈投股份、浙商证券、国海证券等跟涨,金十数据
48,2021-12-16,【行情】证券板块持续拉升，哈投股份涨超7%，华林证券、浙商证券、东方证券跟涨,金十数据
49,2021-12-16,证券股异动拉升，哈投股份、华林证券、浙商证券、东方证券涨幅靠前,Wind
50,2021-12-16,北向资金动向盘点：持续净买非银,Wind
51,2021-12-16,加加食品：浙商证券、进门财经等41家机构于12月13日调研我司,证券之星
52,2021-12-15,券商股异动拉升，国联证券冲击涨停,Wind
53,2021-12-15,快讯：证券板块短线拉升 浙商证券涨超5%,新浪
54,2021-12-15,【行情】证券板块短线拉升，浙商证券涨超5%，国联证券、中信建投、中信证券跟涨,金十数据
55,2021-12-15,云涌科技：浙商证券、开源证券等25家机构于11月29日调研我司,证券之星
56,2021-12-14,浙商证券(601878.SH)：完成兑付本息15.09亿元短期融资券,格隆汇
57,2021-12-14,浙商证券(601878.SH)2021年度第七期短期融资券兑付完成,智通财经
58,2021-12-14,2022年资本市场改革现端倪，中央经济工作会议首提全面实行股票发行注册制,Wind
59,2021-12-13,浙江沪杭甬：浙商证券已收到中新产业集团以股抵债的全部价款,Wind
60,2021-12-13,浙江沪杭甬(00576)：浙商证券已收到中新产业集团以股抵债的全部价款,智通财经
61,2021-12-13,【行情】证券板块持续走强，华林证券涨停，浙商证券、东方证券、兴业证券跟涨,金十数据
62,2021-12-13,证券股表现不俗，华林证券、中泰证券、浙商证券、兴业证券涨幅靠前,Wind
63,2021-12-13,浙商资管遭重罚私募资管备案被停半年 存量规模1306亿主动管理占比增至70% 其他违规处罚,长江商报
64,2021-12-13,每日理财观察：外资券商展业循序渐进，券业“鲶鱼效应”日增月益,Wind
65,2021-12-11,投资交易管理混乱 浙商资管私募备案被暂停半年 资质撤销,中国经营网
66,2021-12-10,2021中国证券公司集合资管计划金牛奖揭晓 浙商证券荣获两奖项,中证网
67,2021-12-10,2021中国证券业分析师金牛奖揭晓 浙商证券研究所荣获“最快进步研究机构”等多奖项,中证网
68,2021-12-10,2021中国证券公司金牛奖揭晓 浙商证券斩获“金牛成长证券公司”、“金牛成长投资银行团队”两奖项,中证网
69,2021-12-10,A股收盘综述：沪指周线五连阳，北向资金本周疯狂吸筹；又见新股破发！,Wind
70,2021-12-10,A股午盘综述：沪指陷入横盘，北向资金再度跑步驰援,Wind
71,2021-12-10,【行情】券商股早盘低迷，东吴证券跌超6%，广发证券、浙商证券、东兴证券、湘财股份等跟跌,金十数据
72,2021-12-10,融资客青睐7股，长江通信买入占比高达38.22%,Wind
73,2021-12-10,北向资金动向盘点：216亿不是重点，进攻宽度才是玄机,Wind
74,2021-12-10,外资单日抢筹A股超200亿，跨年行情开启？人民币汇率隔夜逆转,Wind
75,2021-12-09,全面回暖！外资单日抢筹A股超200亿，跨年行情开启？,Wind
76,2021-12-09,各种茅集体大涨，外资狂买超200亿！后市如何走？,Wind
77,2021-12-09,收购传闻推动华林证券二度封板，东方财富再创历史新高，券商板块正引燃局部热情,财联社
78,2021-12-09,A股收盘综述：深证成指时隔4个月重回15000点；北向资金罕见买买买！,Wind
79,2021-12-09,浙商证券涨超8%，金融ETF（510230）涨超1.2%,资本邦
80,2021-12-09,快讯：浙商证券涨停 报于13.56元,金融界
81,2021-12-09,解盘：人气持续回升，医美、餐饮旅游、家居、茅指数领涨,Wind
82,2021-12-09,A股午盘综述：沪指大涨剑指3700点，深成指收复15000点；北向资金跑步入场！,Wind
83,2021-12-09,大金融板块表现强势 浙商证券等封板,上证报
84,2021-12-09,券商股持续拉升，浙商证券触及涨停，华林证券此前封板，财达证券、中银证券、财,新浪
85,2021-12-09,快讯：浙商证券触及涨停 成交额超21亿元,新浪
86,2021-12-09,券商股午前再度拉升，华林证券、浙商证券相继涨停,Wind
87,2021-12-09,浙商资管被责令暂停私募资管产品备案6个月 资质撤销,每日商报
88,2021-12-09,加加食品：浙商证券、长城基金等2家机构于12月6日调研我司,证券之星
89,2021-12-08,【早知道】A股史上“最贵新股”出炉；欧美股市全线上涨纳指涨逾3％,腾讯网
90,2021-12-08,公共区交易股票、能看固收交易，浙商资管“数罪并罚”被停私募资管备案半年 其他违规处罚,第一财经
91,2021-12-08,A股资金流向：市场缩量普涨，价值“茅”走出持续行情,Wind
92,2021-12-08,资管违规被罚 浙商证券下跌逾4% 近一个月8家资管被罚,深圳商报
93,2021-12-08,浙商证券资管子公司业务违规收证监局罚单 关联方问题,中国网
94,2021-12-08,向风险承受能力不符投资者销售产品，浙商资管暂停产品备案6个月 资质撤销,中华网
95,2021-12-08,12月8日午盘主力巨资抢筹四大板块(附股),金融界
96,2021-12-08,监管动态 | 浙商资管因多项违规遭重罚，私募资产管理产品备案暂停6个月 其他违规处罚,财经网
97,2021-12-08,港股异动 | 浙江沪杭甬(00576)跌近6% 旗下浙商证券资管多起违规被罚 金融监管处罚,智通财经
98,2021-12-08,12月8日早盘主力巨资抢筹四大板块(附股),金融界
99,2021-12-08,浙商证券资管多起违规被罚，新规过渡期临近券商多事之秋频接罚单 金融监管处罚,21世纪经济报道
100,2021-12-08,浙商资管遭受重罚！私募资管产品备案或被暂停六个月 其他违规处罚,中国经济网
101,2021-12-08,股市动态 | 财经早资讯：A股现有史以来最高发行价；浙商证券被暂停私募资产管理产品备案6个月,财经网
102,2021-12-08,犀牛早讯：A股史上“最贵新股”出炉 斗鱼联合创始人张文明辞职,GPLP犀牛财经
103,2021-12-08,大跌眼镜！这家券商资管遭重罚，被暂停私募备案6个月,Wind
104,2021-12-08,盘前必读丨A股史上最“贵”新股来了，6倍大牛股突遭立案调查,第一财经
105,2021-12-08,子公司被暂停私募资管备案 浙商证券回应 资质撤销,中新经纬
106,2021-12-08,大跌眼镜！交易时间接个人电话，还在公共办公区做交易…这家券商资管遭重罚！被暂停私募备案6个月 金融监管处罚,券商中国
107,2021-12-07,浙商资管被责令暂停私募资管产品备案6个月！年末多家券商资管收罚单 资质撤销,上证报
108,2021-12-07,盘后公告集锦|弃购近2亿元！打新又不香了？年内第二高价新股发行结果出炉,财联社
109,2021-12-07,公告精选：凯普生物、龙佰集团全年业绩大幅预增；牧原股份相关商业承兑汇票已全部兑付,e公司
110,2021-12-07,公告精选丨牧原股份：商业承兑汇票已全部兑付完毕；浙商资管被暂停私募资管产品备案6个月,21世纪经济报道
111,2021-12-07,【晚间公告抢先看】牧原股份商业承兑汇票已全部兑付完毕、*ST实达与重整投资人签署重整投资协议,金融界
112,2021-12-07,浙商资管因5项违规被暂停私募资管产品备案6个月，近一个月4家券商私募资管业务受罚,每日经济新闻
113,2021-12-07,晚间公告｜12月7日这些公告有看头,第一财经
114,2021-12-07,18股今日获机构买入评级,证券时报网
115,2021-12-07,浙商证券最新公告：浙商资管及相关责任人员收到浙江证监局行政监管措施事先告知书 金融监管处罚,证券之星
116,2021-12-07,浙商证券：被暂停浙商资管私募资产管理产品备案6个月 资质撤销,新浪
117,2021-12-07,浙商证券：浙商资管及相关责任人收浙江监管局行政监管措施事项告知书 其他违规处罚,Wind
118,2021-12-07,加加食品：浙商证券、平安养老等4家机构于12月3日调研我司,证券之星
119,2021-12-06,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
120,2021-12-05,上海金融科技创新试点启动 区块链技术成果初现丨明日主题前瞻,第一财经
