,2021-12-31,浙江鼎力(603338.SH)披露定增结果：泓德基金、南方基金及财通基金等参投,格隆汇
0,2021-12-29,浙江鼎力：公司非公开发行股票事项有序推进中，将在批复有效期内择机发行,每日经济新闻
1,2021-12-27,北交所首只打新股发行结果出炉！威博液压吸引75万投资者打新,同壁财经
2,2021-12-26,机械设备：第一批风光大基地项目出炉；光伏风电锂电设备风险逐步释放,新浪
3,2021-12-22,北交所首只新股今申购，上市后轻松翻倍？（附攻略）,Wind
4,2021-12-19,机械行业周报：看好低碳+、全球化；精选“专精特新”；工程机械预期边际改善,新浪
5,2021-12-14,深度*行业*机械设备行业周报：中央经济工作会议强调双碳工作科学考核 风电、光伏相关设备景气度上升,新浪
6,2021-12-12,浙商机械 邱世梁‖王华君 11月挖掘机出口继续高增长；央行降准下游需求预期边际有改善,高端装备制造及材料
7,2021-12-08,机械行业双周报(12月第1期)：PMI环比回升 关注产业升级中的成长性机会,新浪
8,2021-12-07,浙江鼎力：公司账龄在一年以内的应收账款占比为99.67%,Wind
9,2021-11-30,机械设备行业专题研究：电力交易市场化加速电网智能／数字化,新浪
10,2021-11-29,机械设备行业周报：建议关注工业机器人相关产业链,新浪
11,2021-11-29,深度*行业*机械设备行业周报：持续推荐高景气的半导体、海上风电、光伏HJT赛道,新浪
12,2021-11-25,北向资金连续5日净买入成交额创5个月新低，再度净买入贵州茅台超3亿元,Wind
13,2021-11-24,2022年机械年度策略：精选个股 成长为王,新浪
14,2021-11-24,外贸新规划出炉，明确五大目标，受益股曝光,Wind
15,2021-11-23,快讯：浙江鼎力涨停 报于87.23元,金融界
16,2021-11-23,深度*行业*机械设备行业周报：“十四五”风电装机预期显著上提 风电零部件及主机龙头持续受益,新浪
17,2021-11-22,机械设备行业周报：加快机器换人进程 关注自动化设备细分行业,新浪
18,2021-11-22,机械设备行业研究周报：锂电迎来密集扩产期 持续看好新能源装备长期发展,新浪
19,2021-11-22,机械行业周报：低碳+全球化助力 锂电/光伏/风电设备将超预期,新浪
20,2021-11-22,中信建投机械设备2022年投资策略报告：短期寻求α，中长期顺应双碳背景,Wind
21,2021-11-19,浙江鼎力：证监会核准公司非公开发行不超过约4855万股新股,每日经济新闻
22,2021-11-19,浙江鼎力最新公告：非公开发行股票获证监会核准批复,证券之星
23,2021-11-19,浙江鼎力：非公开发行股票获得中国证监会核准批复,Wind
24,2021-11-19,A股早报2021年11月19日星期五,Wind
25,2021-11-18,涨停板解密：资金青睐，机械设备股强劲上攻！（11月18日）,Wind
26,2021-11-18,A股收盘综述：元宇宙回撤；锂矿炙手可热，天齐锂业巨量成交137亿元,Wind
27,2021-11-18,A股午盘综述：锂矿等高景气赛道依然火热，元宇宙深度回调,Wind
28,2021-11-18,快讯：浙江鼎力涨停 报于80.0元,金融界
29,2021-11-12,浙江鼎力机械股份有限公司关于 美国对进口自中国的移动式升降作业平台进行反倾销和反补贴调查的进展公告,证券时报
30,2021-11-11,晚间公告｜11月11日这些公告有看头,第一财经
31,2021-11-11,浙江鼎力：美国商务部最终将根据终裁结果发布反补贴税令,e公司
32,2021-11-11,浙江鼎力：美国对进口自中国的移动式升降作业平台反补贴调查作出实质性损害威胁裁决,Wind
33,2021-11-10,浙商机械 邱世梁‖王华君 10月挖掘机出口再创单月新高；国内下游需求短期承压,高端装备制造及材料
34,2021-11-10,机械行业2021年三季报总结：机械行业景气度延续 精选长期赛道优质个股,新浪
35,2021-11-08,浙江鼎力(603338.SH)：非公开发行股票申请获审核通过,格隆汇
36,2021-11-08,长龄液压：公司已与浙江鼎力、特雷克斯、济宁重机等下游客户建立了业务关系,每日经济新闻
37,2021-11-05,【国信机械·11月策略】制造业PMI环比持续回落，聚焦高景气方向,机械老司机
38,2021-11-02,东莞证券维持浙江鼎力推荐评级：积极开拓市场，Q3 营收同比增长较快,每日经济新闻
39,2021-11-01,恒立液压：公司是浙江鼎力的主要供应商,每日经济新闻
40,2021-10-31,【招商机械·点评报告】浙江鼎力：整体业绩符合预期，期待明年规模放量,荣行机械
41,2021-10-31,国元证券：给予浙江鼎力买入评级,证券之星
42,2021-10-29,A股最具潜力的高端制造企业，有的在细分行业排全球第一！,搜狐
43,2021-10-29,"招财日报2021.10.29｜金风, 永达3Q业绩超预期; 另外看好龙源、天境生物和浙江鼎力",招银国际
44,2021-10-29,浙江鼎力：前三季度实现净利润7亿元，同比增长17%,我的钢铁
45,2021-10-28,浙江鼎力公布三季报 前三季净利增加17.67%,新浪
46,2021-10-28,图解浙江鼎力三季报：第三季度单季净利润同比增5.36%,证券之星
47,2021-10-28,浙江鼎力(603338.SH)第三季度净利润2.23亿元 同比增长5.36%,格隆汇
48,2021-10-28,浙江鼎力：前三季度净利润同比增长17.67%,Wind
49,2021-10-28,浙江鼎力机械股份有限公司关于 《关于请做好浙江鼎力非公开发行股票发审委会议准备工作的函》回复的公告,证券时报
50,2021-10-26,机械行业周报(2021年10月第3周)：隆基HJT电池效率再破世界纪录；持续力推光伏／风电／锂电设备,新浪
51,2021-10-26,浙江鼎力：公司臂式产品使用的油缸主要为恒立液压,每日经济新闻
