,2021-12-27,浙江龙盛今日大宗交易成交133.06万股，成交价11.81元折价4.99%,Wind
0,2021-12-27,浙江龙盛：全面有序复工复产 疫情未产生重大不利影响,e公司
1,2021-12-27,浙江龙盛：公司及子公司全面有序复工复产,Wind
2,2021-12-27,浙江龙盛(600352.SH)：公司全面有序复工复产,格隆汇
3,2021-12-20,上海通程违法用特种设备俩月两被罚 属浙江龙盛旗下 其他违规处罚,中国经济网
4,2021-12-17,浙江龙盛(600352.SH)完成发行5亿元超短期融资券,智通财经
5,2021-12-15,新世纪评级：关注浙江龙盛受疫情影响逐渐减量及有序临时停产 经营问题,Wind
6,2021-12-15,绍兴、宁波两地18家A股上市公司或子公司公告停产 涉及化工 新能源等行业 经营问题,中国网
7,2021-12-14,浙江龙盛：截至本公告日，公司2020年员工持股计划账户持有公司股份约7000万股，2020年员工持股计划锁定期到期,每日经济新闻
8,2021-12-14,浙江龙盛(600352.SH)：2020年员工持股计划锁定期届满,格隆汇
9,2021-12-14,疫情空袭，至少17家A股公司宣告停产！这一地出租车、网约车停运,Wind
10,2021-12-13,行业动态|巨头停产也带不动染料行情？业内：传导要时间，大涨动能不足 经营问题,财联社
11,2021-12-13,出租车、网约车全部停运，染料重镇厂商宣布停产，半导体设备龙头受波及！主力资金涌入这些元宇宙概念股 经营问题,证券时报网
12,2021-12-13,浙江多家上市公司，因防疫需要临时停产 经营问题,Wind
13,2021-12-12,十余家A股公司因疫情临时停产 影响几何？ 经营问题,中新经纬
14,2021-12-11,Wind风控日报2021年12月11日星期六,Wind
15,2021-12-10,晚间重要公告2021年12月10日星期五,Wind
16,2021-12-10,【晚间公告抢先看】顶固集创应收恒大集团及其成员已逾期未兑付商票约2573万元、受疫情影响多家公司临时停产,金融界
17,2021-12-10,浙江龙盛(600352.SH)：受疫情影响逐渐减量及有序临时停产 经营问题,智通财经
18,2021-12-10,浙江龙盛：杭州湾上虞区所有子公司开始逐渐减量及有序临时停产 经营问题,财联社
19,2021-12-10,浙江龙盛：上虞经济技术开发区所有子公司逐渐减量及有序临时停产 经营问题,Wind
20,2021-12-06,基础化工行业周报：政策陆续出台利好氢能行业发展 氟化工向高附加值产品延伸,光大证券
21,2021-11-25,凯盛新材采购数据频变脸 募投项目投资额及预期收益或“吹泡泡”,金融界
22,2021-11-24,三季度合同负债比其他季度高是何原因？浙江龙盛：系公司在上海的房地产项目子公司商品房预售所致 偿债能力下降,每日经济新闻
23,2021-11-18,浙江龙盛(600352.SH)：2020年员工持股计划存续期即将届满,格隆汇
24,2021-11-12,神马股份：公司年产2000吨高性能对位芳纶纤维项目尚处于前期准备阶段,Wind
25,2021-11-10,泰和新材：浙江龙盛是公司的原料供应商,每日经济新闻
26,2021-11-05,2021年中国染料市场供需现状、竞争格局及发展前景分析 疫情后染料消费量将回暖,前瞻研究院
27,2021-11-04,华创固收锦鸡转债申购价值分析：染料头部企业，发行转债实现原材料自给,Wind
28,2021-11-04,债券日报：锦鸡转债申购价值分析：染料头部企业 发行转债实现原材料自给,新浪
29,2021-10-29,浙江龙盛Q3净利环比降67% 主营承压投资动作频频,财联社
30,2021-10-29,图解浙江龙盛三季报：第三季度单季净利润同比减45.91%,证券之星
31,2021-10-28,浙江龙盛公布三季报 前三季净利减少4.87%,新浪
32,2021-10-28,浙江龙盛(600352.SH)第三季度净利润4.82亿元 同比下降45.91% 盈利能力下降,格隆汇
33,2021-10-28,交卷！浙江龙盛：2021年第三季度净利润约4.82亿元，同比下降45.91% 盈利能力下降,每日经济新闻
34,2021-10-28,浙江龙盛：第三季度净利同比下降45.91% 盈利能力下降,财联社
35,2021-10-28,浙江龙盛：前三季度净利润同比减少4.87% 盈利能力下降,Wind
36,2021-10-26,浙江龙盛确定10亿元公司债券票面利率为3.53%,乐居财经
37,2021-10-25,浙江龙盛拟发行10亿元公司债券，用于偿还公司债务,乐居财经
38,2021-10-25,基础化工行业周报：高景气度依赖供给约束 能源价格冲击情绪,新浪
39,2021-10-24,基础化工行业周报：国家强调能源保供及大宗商品稳价 光刻胶仍旧短缺利好国产替代,光大证券
40,2021-10-16,基础化工行业周报：海运价格下调促轮胎企业盈利回升 限电背景下聚酯龙头长期受益,光大证券
41,2021-10-11,上海通程违法使用特种设备被罚款 为浙江龙盛子公司 其他违规处罚,中国经济网
42,2021-09-30,浙江龙盛集团股份有限公司 2021年第三季度报告,证券日报
43,2021-09-29,多地遏制“两高”项目盲目发展，螺纹钢价格月内上涨超10%,Wind
44,2021-09-27,融资客青睐9股，铂力特买入占比高达40.81%,Wind
45,2021-09-27,基础化工行业周报：双控约束影响显性化 硅、双碱价格大幅上涨,新浪
46,2021-09-25,基础化工行业周报：能耗双控限电限产背景下 化工龙头配置价值更为凸显,光大证券
47,2021-09-25,“房二代”陈嫣妮掌舵卧龙地产的六年沉浮路,新浪
48,2021-09-23,浙江龙盛：公司生产正常 9月初两次上调价格主因为原料推动丨公司问答,第一财经
49,2021-09-23,印染重镇柯桥突然“拉闸”，对行业影响几何？,Wind
50,2021-09-18,拟不超80亿跨界投资 染料“一哥”浙江龙盛欲抢购和利时,投资者网
51,2021-09-14,万亿养老金重仓股揭晓！去年投资收益率超10%,Wind
52,2021-09-14,豪掷近80亿！浙江龙盛拟溢价参与私有化自动化企业和利时,资本邦
53,2021-09-14,浙江龙盛拟80亿并购推进工业自动化 20年扩张资产增120倍投资收益近50亿,长江商报
54,2021-09-13,基础化工行业周报：天然气与油服景气上行 新能源转型磷化工板块持续强势,光大证券
55,2021-09-13,浙江龙盛80亿入场和利时私有化，三争一格局形成,证券之星
56,2021-09-13,浙江龙盛：不确定要约能否达成 正积极推动工业4.0进程丨公司问答,第一财经
57,2021-09-13,A股异动 | 浙江龙盛(600352.SH)高开4.49% 拟以不超80亿元参与和利时私有化事项,格隆汇
58,2021-09-13,大手笔！A股又见超级收购，80亿“插手”这只中概股,Wind
59,2021-09-13,浙江龙盛(600352)：拟出资80亿 参与私有化和利时,证券时报网
