,2021-12-31,海大集团：公司部分核心添加剂系自主研发生产,每日经济新闻
0,2021-12-31,海大集团(002311.SZ)：核心团队员工持股计划之三期计划解锁条件达成,格隆汇
1,2021-12-31,大消费行业：1月大消费组电话会议行业观点消费的方向,新浪
2,2021-12-31,珠海海龙生物车辆超载配货被罚 为海大集团全资子公司,中国经济网
3,2021-12-27,猪肉股盘初拉升，顺鑫农业领涨,Wind
4,2021-12-23,海灏投资所持海大集团0.67%股份质押展期,乐居财经
5,2021-12-23,海大集团：海灏投资累计质押股数约为5124万股,每日经济新闻
6,2021-12-23,海大集团(002311.SZ)：海灏投资质押展期1112万股,格隆汇
7,2021-12-21,海大集团：目前公司年报披露时间尚未确定,Wind
8,2021-12-21,海大集团：目前公司年报披露时间尚未确定,每日经济新闻
9,2021-12-20,丰尚—海大饲料加工技术培训班成功举办,凤凰网
10,2021-12-17,海大集团：公司目前生猪养殖团队稳定、且专业能力不断提高,每日经济新闻
11,2021-12-16,天风2022年度策略·农业｜拥抱周期，播种未来,天风研究
12,2021-12-14,海大集团：2021年度因原材料涨价，公司饲料价格相应提价,每日经济新闻
13,2021-12-14,A股融资融券日报：两融余额增加51.19亿元（12月13日）,Wind
14,2021-12-13,海大集团(002311.SZ)：拟使用不超9亿元闲置募集资金暂补流动资金,格隆汇
15,2021-12-12,海大集团子午胎三分厂日产破7000条,轮胎世界网
16,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
17,2021-12-08,重磅规划即将公布，事关万亿板块，农作物转基因有新消息！机构力挺四大方向，北上资金提前埋伏4股,新浪
18,2021-12-07,农林牧渔行业2022年度投资策略：待养殖周期否极泰来 看生物育种商用大幕徐徐,新浪
19,2021-12-07,海大集团(002311.SZ)：海灏投资质押的445万股展期,格隆汇
20,2021-12-07,海大集团：海灏投资累计质押股数约为5124万股,每日经济新闻
21,2021-12-07,农林牧渔2022年投资策略：布局养殖回暖 聚焦种植变革,新浪
22,2021-12-07,农林牧渔行业2022年投资策略：猪周期进入新一轮供给收缩期 把握饲料行业集中度提升机遇,广发证券
23,2021-12-06,申万农林牧渔周观点：黄羽肉鸡景气底部回暖 关注优质行业龙头,新浪
24,2021-12-06,农林牧渔行业周观点：黄鸡价格高位上涨 优质玉米种子启动提价,新浪
25,2021-12-06,农林牧渔行业：猪价横盘震荡 关注产能去化节奏,新浪
26,2021-12-06,农林牧渔行业周报：我国玉米品种换代改良趋势显现,新浪
27,2021-12-02,12月2日主力资金净流出367亿元,证券时报网
28,2021-12-02,11月金股组合盈利0.42% 12月荐股名单出炉,新浪
29,2021-12-01,农业周报：猪价继续上涨 养殖盈利幅度扩大 关注产能去化节奏,新浪
30,2021-12-01,农林牧渔行业：猪价进入一次探底后的反弹区间 市场关注度提升,新浪
31,2021-12-01,2022年农林牧渔行业年度策略报告：把握猪周期反转 拥抱景气度提升,新浪
32,2021-11-30,农林牧渔行业周报(第四十七周)：农业部召开全国农业优异种质资源及资源普查进展新闻发布会,新浪
33,2021-11-29,农林牧渔行业：猪价持续反弹 关注年底收官行情,新浪
34,2021-11-29,农林牧渔行业周报：猪价震荡博弈 国家农作物种业企业阵型发布,新浪
35,2021-11-29,农林牧渔行业周观点：黄鸡价格高位企稳 优质种企受益扶优举措,新浪
36,2021-11-29,中信建投：维持海大集团(002311.SZ)“买入”评级 养殖业景气度低 短期盈利承压,智通财经
37,2021-11-28,农林牧渔行业：本周猪价延续反弹走势 “春节”过后将成为下一个去产能观察窗口,广发证券
38,2021-11-25,"泰国首富募150亿""养猪""，牧原的头号对手要来了？",阿尔法工场研究院
39,2021-11-25,广州大学城菁英直聘行动持续进行，助力学生6小时拿,中经导报
40,2021-11-25,农林牧渔行业周报(第四十五周)：农业部拟修改转基因配套政策 种业有望受益,新浪
41,2021-11-25,农林牧渔行业：本周猪价继续反弹 关注转基因品种审定办法落地,广发证券
42,2021-11-25,11月25日沪深两市最新交易提示,金融界
43,2021-11-24,海大集团：部分董事、高管已合计减持29.64万股 减持股份,财联社
44,2021-11-24,海大集团：部分董事、高级管理人员减持约30万股公司股份 减持股份,每日经济新闻
45,2021-11-24,海大集团(002311.SZ)部分董事、高级管理人员减持计划实施完毕,智通财经
46,2021-11-24,农业行业2022年年度策略：新旧周期接力 概念成长换挡,新浪
47,2021-11-23,农林牧渔行业周观点：猪价震荡上行 生物育种产业化推动市场扩容,新浪
48,2021-11-23,农产品研究跟踪系列报告(26)：黄羽肉鸡盈利或迎好转 关注种业边际改善,新浪
49,2021-11-22,农林牧渔行业周报：生猪产能持续去化 猪价震荡偏强,新浪
50,2021-11-22,海大集团于怀化成立生物科技公司，注册资本500万元,乐居财经
51,2021-11-22,农林牧渔2021年11月第3期周报：北方雨雪天气对猪价有何影响 兼谈近期黄羽鸡价格为何上涨？,新浪
52,2021-11-22,申万农林牧渔周观点：关注双十一国产宠物食品销售表现 继续重视生猪养殖左侧布局价值,新浪
53,2021-11-22,农林牧渔行业周报：我国现代种业将进入发展黄金期,新浪
54,2021-11-22,农林牧渔行业周报：重视黄鸡产能去化,国海证券
55,2021-11-21,农林牧渔行业：本周猪价延续反弹 关注后续去产能节奏,广发证券
56,2021-11-19,海大集团(002311.SZ)：控股股东质押展期235万股,格隆汇
57,2021-11-19,海大集团：海灏投资累计质押股数为5123.5万股,每日经济新闻
58,2021-11-18,农林牧渔行业周报(第四十四周)：粮食库存总量充裕 保供稳价基础牢固,新浪
59,2021-11-18,海通证券：维持海大集团(002311.SZ)“优于大市”评级 价值区间68-76.5元,智通财经
60,2021-11-18,“数据会说话”之2021年10月数据解读：10月社零数据符合预期 看好中国消费韧性,新浪
61,2021-11-16,农林牧渔行业周报：转基因品种审定办法落地 种业板块迎来重大变革,新浪
62,2021-11-16,农业2022年年度策略：周期轮回 布局养殖,新浪
63,2021-11-15,A股共发生170宗大宗交易成交23.67亿元（11月15日）,Wind
64,2021-11-15,申万农林牧渔周观点：转基因品种审定办法落地 商业化进入倒计时阶段,新浪
65,2021-11-15,"海大集团现2笔大宗交易 共成交1,539.96万元",新浪
66,2021-11-15,海大集团今日大宗交易成交23.50万股，成交价65.53元溢价0.83%,Wind
67,2021-11-12,"海大集团现1笔大宗交易 共成交1,823.36万元",新浪
68,2021-11-12,海大集团(002311)三季报点评：养殖承压 主业稳健,新浪
69,2021-11-09,农林牧渔行业周观点：猪价继续震荡反弹 种业支持政策稳步推进,新浪
70,2021-11-09,Q3净利下探78%！景顺长城低位增持，海大集团能否走出“业绩底”？,投资时报
71,2021-11-09,农林牧渔行业三季度业绩综述：各子板块业绩均承压 后续重点关注生猪产能去化情况 盈利能力下降,新浪
72,2021-11-08,农林牧渔2021年11月第1期周报：当前如何看待养殖和种业板块的投资机会？,新浪
73,2021-11-08,农林牧渔周观点：关注拉尼娜“再临”主题 重视养殖板块左侧布局价值,新浪
74,2021-11-08,财信证券基金深度报告：影响基金组合收益率的几点思考及重点品种2021年3季报调换仓情况,财信证券研究
75,2021-11-04,农林牧渔行业周报(第四十三周)：农业部鼓励农业产业化龙头企业做大做强,新浪
76,2021-11-04,海大集团退出广州海麒技术100%股份，广东海麒投资接盘,乐居财经
77,2021-11-03,公募基金持股市值创新高，社保显著加仓周期股（附表）,Wind
78,2021-11-03,广州市委书记张硕辅调研海大集团,Wind
79,2021-11-03,广州市委书记张硕辅调研海大集团,e公司
80,2021-11-02,海大集团于天津成立生物科技公司，注册资本1000万元,乐居财经
81,2021-11-02,申万农林牧渔周观点：Q3基金农业持仓仍处底部 重视养殖板块左侧布局价值,新浪
82,2021-11-01,新华扬三度冲击A股上市，巨量产能扩张或难消化,格隆汇
83,2021-10-29,海大集团(002311.SZ)董高钱雪桥拟减持不超过8.52万股 拟减持股份,智通财经
84,2021-10-29,注意！海大集团：部分董事、高管人员计划减持约30万股 拟减持股份,每日经济新闻
85,2021-10-28,猪周期拐点将至？猪价反弹，猪肉概念股先涨为敬！多家基金提前入局,搜狐
86,2021-10-27,海大集团：海灏投资累计质押股数约为5124万股,每日经济新闻
87,2021-10-27,东兴证券：给予海大集团买入评级,证券之星
88,2021-10-27,业绩与规模双双下滑？“千亿顶流”刘彦春称当下大概率是布局良机，朱少醒和萧楠最新持仓曝光 盈利能力下降,财联社
89,2021-10-27,张坤、刘彦春重磅发声！2大千亿顶流季报出炉,Wind
90,2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春等最新持股大曝光,Wind
91,2021-10-26,2021年农林牧渔行业三季报前瞻：生猪板块业绩承压，种业板块持续改善 盈利能力下降,国信研究
92,2021-10-25,海大集团：海灏投资累计质押股数约为4454万股,每日经济新闻
93,2021-10-25,一周食品行业动态：众兴菌业吉宏股份跨界收购酒企均告吹 家乐福盒马指山姆涉嫌“二选一” 并购重组异常,中国食品网
94,2021-10-25,海大集团接受171家机构调研，动保业务盈利增长,阿尔法工场
