,2021-12-31,海尔智家(06690)：累计75.04亿港元H股可转债转换成3.98亿股,智通财经
0,2021-12-31,海尔智家(06690)：12月累计有2200万港元H股可转债转换成公司H股股票,智通财经
1,2021-12-31,海尔智家(06690.HK)：截至12月31日尚未转股的H股可转债金额为3.99亿港元,格隆汇
2,2021-12-31,海尔智家(06690)：发行不超过7300万股H股获核准,智通财经
3,2021-12-31,海尔智家：中国证监会核准公司增发不超过7300万股境外上市外资股（H股）,Wind
4,2021-12-31,证监会核准海尔智家增发7300万股境外上市外资股（H股）,观点地产网
5,2021-12-31,海尔智家：增发不超7300万股H股获中国证监会核准,e公司
6,2021-12-31,海尔智家(600690.SH)12月因转股形成的H股股份数量累计为118.41万股,智通财经
7,2021-12-31,海尔智家(600690.SH)：增发境外上市外资股获证监会核准批复,格隆汇
8,2021-12-31,海尔智家(600690.SH)增发H股申请获中国证监会核准,智通财经
9,2021-12-31,视频｜海尔集团高级副总裁、海尔智家总裁李华刚：很少评价同行 但要清楚自己走的路,每日经济新闻
10,2021-12-31,海尔智家进入日本20年，从Others到主流品牌,网易
11,2021-12-31,海尔智家成功进阶的秘密武器：数字化转型 经营模式实现从线下到线上升级,21世纪经济报道
12,2021-12-30,机构近一月调高这62股评级 多只消费股在列,第一财经
13,2021-12-30,为了用户的美好生活 海尔智家数字化转型释放高价值,亿邦动力
14,2021-12-30,数智赋能全产业链，中国服装协会、海尔衣联网携手启动“中国服装行业工业互联网平台”建设,CFW时尚
15,2021-12-30,一图掌握2022中国经济、楼市、股市走势，机会在哪,Wind
16,2021-12-30,数字化转型时代，卡萨帝以场景赋能高质量发展,砍柴网
17,2021-12-29,海尔智家李华刚：用户需求迭代永无止境 三翼鸟凸显三大差异化优势,中国经营网
18,2021-12-29,ESG助力构建资本市场高质量发展新生态,Wind
19,2021-12-29,ESG助力构建资本市场高质量发展新生态,经济参考报
20,2021-12-29,海尔智家股份有限公司监事会对2021年A股股票期权激励 计划预留股票期权授予的激励对象名单公示情况公告,中证报
21,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
22,2021-12-28,A股收盘综述：盐湖提锂、锂矿板块爆发，资金大举买入盐湖股份、天齐锂业,Wind
23,2021-12-28,【异动股】海尔智家(06690.HK)涨3.33%,财华社
24,2021-12-28,金融界领航中国上市公司创新发展高峰论坛成功进行 为上市公司高质量发展护航,金融界
25,2021-12-28,A股午盘综述：新股首日破发今日出现双响，资金回流盐湖提锂、锂矿板块,Wind
26,2021-12-28,家电股持续活跃，达华智能涨停,Wind
27,2021-12-28,零售收入增长超100亿，“逆行”的海尔专卖店开辟零售新格局,中国家电网
