,2021-12-31,海螺水泥：持续节能降耗管控 保持竞争比较优势,新浪
0,2021-12-31,工信部重磅，这类产能只减不增,国家煤化工网
1,2021-12-30,水泥行业四季度表现疲软 全年均价同比上行盈利下滑 盈利能力下降,e公司
2,2021-12-30,装配式建筑迎发展 海螺、华润等水泥企业纷纷布局,中国水泥网
3,2021-12-27,水泥行业掀新一轮整合高潮：上市公司成主导者，行业景气度仍将维持,21世纪经济报道
4,2021-12-27,海螺水泥重点工程巡礼丨重庆海螺与奉建高速的故事,中国水泥网
5,2021-12-27,水泥行业迎来整合窗口期,Wind
6,2021-12-26,耗资17.6亿 海螺水泥终于发力“补短板”！,中国水泥网
7,2021-12-25,企业如何更好实践ESG？这场峰会给出三大建议：可持续产品创新升级、改变供应链策略、企业风险投资,每经头条
8,2021-12-24,12月资金动向追踪：中小市值受青睐，两大产业链流出严重！,--
9,2021-12-24,海螺水泥：2020年底海螺水泥下属子公司全椒海螺装配式建筑项目已投产运行,每日经济新闻
10,2021-12-24,董秘一席谈 | ESG信息披露标准定量有难度，指标需要先立后控，有序推进,每日经济新闻
11,2021-12-24,国海证券首予海螺水泥增持评级，系列报告之一：穿越牛熊的水泥巨头,每日经济新闻
12,2021-12-24,国海证券：给予海螺水泥增持评级,证券之星
13,2021-12-24,【国泰君安国际】个股交易参考：海螺水泥(00914.HK)：并购增强产业整合能力，巩固龙头地位,国泰君安证券香港
14,2021-12-24,海螺水泥将持有西部建设5%以上股份,新浪
15,2021-12-23,“最会炒股的公司”又出手！海螺水泥就爱买同行股票,扬子晚报
16,2021-12-23,“稀土航母”启航 ！“西瓜霜大王”病逝！宁德时代再次被传出海,搜狐
17,2021-12-23,中建西南院与中建西部建设签订股票认购协议,中国水泥网
18,2021-12-23,海螺水泥17.6亿上位西部建设二股东 密集拓展产业链举牌四家上市公司,新浪
19,2021-12-23,水泥行业掀整合浪潮：海螺水泥二级市场并购冲锋，17.6亿定增入股西部建设,Wind
20,2021-12-22,海螺水泥17.6亿元夯实产业链？西部建设现“一字涨停”,证券日报网
21,2021-12-22,拟掏17.6亿元参与西部建设定增 海螺水泥：看好水泥板块长期发展趋势,每日经济新闻
22,2021-12-22,水泥行业掀整合浪潮：海螺水泥二级市场并购冲锋，17.6亿定增入股西部建设上位第二大股东,21世纪经济报道
23,2021-12-22,投资名单又添一员，海螺水泥图什么？,格隆汇
24,2021-12-22,海螺水泥12月22日大宗交易成交5189.80万元,证券时报网
25,2021-12-22,海螺水泥今日大宗交易成交140万股，成交价37.07元折价10.13%,Wind
26,2021-12-22,从海螺水泥定增西部建设来看未来水泥行业格局,证券之星
27,2021-12-22,西部建设涨停 拟通过非公开发行引入海螺水泥为战略投资者,中证网
28,2021-12-22,[快讯]西部建设拟定增募资19.6亿元 海螺水泥作为战略投资者将持股16.3%成为第二大股东,全景网
29,2021-12-22,海螺水泥再出手“上位”第二大股东，西部建设一字涨停丨一只热股,第一财经
30,2021-12-22,SpaceX加州总部132名员工感染新冠肺炎；甲骨文重金投入医疗保健行业，以283亿美元收购Cerner,每经头条
31,2021-12-22,每日财报|海螺水泥参与西部建设定增 欧菲光2.4亿增资合肥晶超,每日财报
32,2021-12-22,低位股悄悄崛起，机构高关注的低位绩优股名单来了,Wind
33,2021-12-22,"最会炒股的上市公司出手，携近18亿资金相中了它。16连板牛股今日停牌, 低位股悄悄崛起，机构高关注的低位绩优股名单来了",微信
34,2021-12-22,海螺水泥有望成为西部建设第二大股东,发布易
35,2021-12-22,7万股民沸腾！2000亿巨头出手，一举上位第二大股东！网友：感觉要飞一波,中国基金报
36,2021-12-21,2000亿巨头再出手！热衷买“同行”股票，曾半年大赚18亿,Wind
37,2021-12-21,海螺水泥拟17.6亿元成为西部建设第二大股东,中国水泥网
38,2021-12-21,西部建设19.6亿定增牵手战投海螺水泥 混凝土上下游产业探索全面战略合作,证券时报网
39,2021-12-21,西部建设(002302.SZ)拟定增募资19.60亿元 引入海螺水泥作为战略投资者,格隆汇
40,2021-12-21,西部建设拟定增募资19.6亿元 海螺水泥认购九成将跻身二股东,e公司
41,2021-12-21,【晚间公告抢先看】苏泊尔称激励计划不存在利益输送情形、16连板三羊马22日起停牌核查,金融界
42,2021-12-21,晚间重要公告2021年12月21日星期二,Wind
43,2021-12-21,买买买！17.6亿！海螺水泥继续“扫货”,数字水泥
44,2021-12-21,西部建设(002302.SZ)拟向中建西南院和海螺水泥定增募资不超19.6亿元,智通财经
45,2021-12-21,西部建设：拟定增募资不超19.6亿元 引入海螺水泥作为战投,e公司
46,2021-12-21,西部建设：拟向中建西南院、海螺水泥发行A股股票,财联社
47,2021-12-21,西部建设：拟向中建西南院、海螺水泥定增募资不超19.6亿元,Wind
48,2021-12-21,海螺水泥(600585.SH)拟斥资17.6亿元参与认购西部建设定增股份 将成为其第二大股东,智通财经
49,2021-12-21,海螺水泥：拟17.6亿元认购西部建设非公开发行股份,财联社
50,2021-12-21,海螺水泥：拟17.6亿元参与认购西部建设定增,Wind
51,2021-12-21,2021年水泥行业结构调整发展报告,数字水泥
52,2021-12-21,海螺水泥发布中建材新材料基金最新进展,建材信息总网
