,2021-12-31,深南电路(002916.SZ)：拟在不超3亿美元的规模内开展外汇衍生品交易,格隆汇
0,2021-12-31,深南电路(002916.SZ)：拟向金融机构申请合计不超195亿元综合授信额度,格隆汇
1,2021-12-31,深南电路(002916.SZ)：限制性股票解锁实际可上市流通的数量为146.7411万股,格隆汇
2,2021-12-31,深南电路(002916.SZ)：A股限制性股票激励计划(第一期)第二个解锁期解锁条件成就,智通财经
3,2021-12-29,兴森快捷：公司IC封装基板客户主要有三星、长电、华天、瑞芯微电子、紫光、西部数据、OSE、Amkor等,Wind
4,2021-12-23,【东吴通信侯宾团队】通信行业点评：载板供需缺口仍将存在，持续看好行业景气度稳步向上,东吴通信互联网团队
5,2021-12-22,苹果板块火了，3000亿龙头股一度大涨8%！传筹建大型iPhone组装厂,中证报
6,2021-12-22,供应吃紧至2026年，PCB概念爆发，两大龙头涨停，机构看好19股,证券时报
7,2021-12-21,东吴证券：载板供需缺口仍存，龙头布局优势显著,智通财经
8,2021-12-16,鹏鼎控股、生益科技、深南电路……谁是盈利能力最强的印制电路板企业？,Ofweek
9,2021-12-14,深南电路：25.5亿元定增申请获证监会审核通过,C114通信网
10,2021-12-13,深南电路(002916.SZ)非公开发行股票申请获中国证监会发行审核委员会审核通过,智通财经
11,2021-12-11,深南电路：无锡封装基板工厂目前产能利用率已达90%以上,e公司
12,2021-12-10,深南电路：无锡生产基地现有1家封装基板工厂投产，产能利用率达90%以上,每日经济新闻
13,2021-12-08,PCB行业深度：通讯／消费电子／汽车齐发力 FPC替代传统线束前景可期,新浪
14,2021-12-08,深南电路：新能源和ADAS是公司在该领域发展的主要方向,每日经济新闻
15,2021-12-08,深南电路：南通三期汽车电子专业工厂于2021年4季度连线，处于投产早期阶段,Wind
16,2021-12-07,深南电路股份有限公司 关于A股限制性股票激励计划（第一期）部分限制性股票回购注销完成的公告,证券时报
17,2021-12-03,兴森科技：平安资产管理有限责任公司、国盛证券等2家机构于12月1日调研我司,证券之星
18,2021-11-30,深南电路(002916.SZ)回购注销2.24万股限制性股票,智通财经
19,2021-11-30,深南电路：控股股东拟变更股权结构 控制人变化,中证网
20,2021-11-28,IC载板订单能见度延长至明年下半年 或成明年短缺部件 相关公司股价已率先上涨,财联社
21,2021-11-24,深南电路：目前公司汽车电子业务占比较小,每日经济新闻
22,2021-11-22,新能源需求持续景气，产业转移为半导体设备材料,金融界
23,2021-11-21,【西部电子】PCB行业专题报告,茂飞电子研究
24,2021-11-20,高成长预期叠加成本压力趋缓，印制电路板再掀投资热,智通财经
25,2021-11-17,2021年中国印制电路板行业产业链现状及市场竞争格局分析 投资重心将在产能建设上,前瞻研究院
26,2021-11-17,高端印制电路板供需缺口扩大 行业迎持续复苏,证券时报
27,2021-11-16,深南电路：公司目前封装基板所用材料以BT类板材为主,每日经济新闻
28,2021-11-16,化工行业周观点：锂膜国产化进程加速 碳硅负极材料优势显着,新浪
29,2021-11-16,缺货严重，龙头公司股价两年飙涨12倍！,Wind
30,2021-11-14,深南电路(002916)：2021Q3重振旗鼓 PCB业务订单与成本双重改善,新浪
31,2021-11-12,IC载板行业持续高景气 龙头厂商高呼：明年产能更缺,财联社
32,2021-11-10,电子行业2021年三季报回顾：板块分化 回调为主,新浪
33,2021-11-09,深南电路：目前汽车电子业务占比较小,每日经济新闻
34,2021-11-09,生益科技(600183)：乘汽车新三化东风 覆铜板龙头再起航,新浪
35,2021-11-04,东方财富证券维持深南电路增持评级：Q3单季度业绩亮眼，PCB产需持续改善,每日经济新闻
36,2021-11-03,安信证券维持深南电路买入评级：封装基板业务高速增长，新项目建设有序进行,每日经济新闻
37,2021-11-03,安信证券：给予深南电路买入评级，目标价位119.5元,证券之星
38,2021-11-03,科技制造行业11月月报：新能源仍是焦点 继续布局估值和增长匹配的制造业专精特新标的,新浪
39,2021-11-03,A股早报2021年11月3日星期三,Wind
40,2021-11-03,【东北电子程雅琪】深南电路（002916）三季报点评：通讯PCB需求改善，载板有望接力成长,东北证券研究所
41,2021-11-03,智通A股龙虎榜统计|11月2日,智通财经
42,2021-11-02,深南电路：目前汽车电子业务占比较小,每日经济新闻
43,2021-11-02,深南电路：无锡封装基板工厂产能爬坡顺利,每日经济新闻
44,2021-11-02,深南电路(002916.SZ)股价异动 不存在未披露事项,智通财经
45,2021-11-02,交易异动！深南电路：前期披露的信息不存在需要更正、补充之处,每日经济新闻
46,2021-11-02,盈亚证券咨询 顶级游资动向：炒股养家大手笔扫货A股里的最纯正,搜狐
47,2021-11-02,深南电路涨停，深股通龙虎榜上净买入5371.66万元,证券时报网
48,2021-11-02,突然跳水！12倍大牛股高位闪崩，周期股全线下跌！这一板块却逆势大涨，火锅丸龙头要提价！,雪球
49,2021-11-02,龙虎榜丨深南电路涨停，但机构、北资现分歧；还有这些涨停股上榜（名单）,21世纪经济报道
50,2021-11-02,涨停板解密：市场回落，军工股逆市火爆！（11月2日）,Wind
51,2021-11-02,大盘再度回调 机构卖多买少,金融投资报
52,2021-11-02,深南电路放量涨停 机构资金净卖出867万元,证券之星
53,2021-11-02,深南电路龙虎榜数据（11月2日）,Wind
54,2021-11-02,“缺芯”助推半导体热潮，深南电路2连板，5G50ETF（159811）四连阳,资本邦
55,2021-11-02,11月2日深南电路涨停分析：军工研究所，PCB板，军工概念热股,证券之星
56,2021-11-02,通信行业跟踪周报：本周专题 通信第三季度基金持仓环比持平 持续关注物联网及能源信息化赛道投资机会,新浪
57,2021-11-02,PCB行业毛利环比改善，但拐点仍未见到？,中财网
58,2021-11-02,解盘：资源股低迷，半导体、食品、IGBT、航母领涨,Wind
59,2021-11-02,快讯：深南电路涨停 报于107.48元,金融界
60,2021-11-02,【行情】半导体板块再度走强，PCB概念股深南电路涨停，世运电路、崇达技术、鹏鼎控股、华亚智能、沪电股份、超声电子涨超5%,金十数据
61,2021-11-02,PCB概念股继续走强 深南电路涨停,e公司
62,2021-11-02,深南电路2连板,Wind
63,2021-11-02,A股早报2021年11月2日星期二,Wind
64,2021-11-01,深南电路(002916.SZ)今年累计收到政府补助1.54亿元,智通财经
65,2021-11-01,深南电路(002916.SZ)：公司及子公司累计获得与收益相关的政府补助1.54亿元,格隆汇
66,2021-11-01,涨停板解密：资金追捧，两大板块个股现涨停潮！（11月1日）,Wind
67,2021-11-01,图解深南电路三季报：第三季度单季净利润同比增24.60%,证券之星
68,2021-11-01,PCB板块掀涨停潮 多公司现业绩拐点迹象 新能源车打开长期增长空间,财联社
69,2021-11-01,5G概念领航，深南电路封板涨停，5G50ETF（159811）三连阳,资本邦
70,2021-11-01,解盘：人气回升，新能源、充电桩、网络游戏、苹果领涨,Wind
71,2021-11-01,快讯：半导体板块开盘走强 深南电路涨停,新浪
72,2021-11-01,半导体板块走强 深南电路涨停,第一财经
73,2021-10-31,【中信建投电子|刘双锋&雷鸣团队】深南电路(002916)：三季度收入增速回升，净利润表现亮眼,中信建投电子研究
74,2021-10-31,平安证券：给予深南电路增持评级,证券之星
75,2021-10-31,盈亚证券咨询 大盘短期有回调需求，调整即是加仓好时机,搜狐
76,2021-10-30,【招商电子】深南电路：Q3收入超预期，确立经营拐点重回上行通道,招商电子
77,2021-10-30,深南电路披露2021年三季报 实现营收97.55亿元,资本邦
78,2021-10-29,深南电路公布三季报 前三季净利减少6.51% 盈利能力下降,新浪
79,2021-10-29,深南电路(002916.SZ)：第三季度净利升24.60%至4.66亿元,格隆汇
80,2021-10-29,深南电路：第三季度净利润4.66亿元 同比增长24.6%,财联社
81,2021-10-29,深南电路：前三季度净利润同比减少6.51% 盈利能力下降,Wind
82,2021-10-28,深南电路：目前广州封装基板项目整体进展处于拟参与竞拍土地使用权的前期阶段,每日经济新闻
83,2021-10-26,半导体制造系列：先进封装扮演更重要角色,新浪
84,2021-10-26,深南电路：公司综合产能利用率自2021年初以来持续恢复,每日经济新闻
85,2021-10-26,深南电路：公司PCB业务下游应用领域广泛，覆盖通信、数据中心、工控医疗、汽车电子等领域,每日经济新闻
86,2021-10-23,深南电路股份有限公司 关于非公开发行A股股票申请获得 中国证监会受理的公告,证券时报
87,2021-10-22,深南电路：公司南通三期项目预计将在2021年4季度内投产,每日经济新闻
88,2021-10-20,深南电路：上半年公司研发投入3.49亿元,Wind
89,2021-10-20,深南电路：预计将于2021年10月30日披露公司2021年第三季度报告,每日经济新闻
90,2021-10-20,深南电路：2021年上半年，公司研发投入3.49亿元,每日经济新闻
91,2021-10-20,生益科技前三季净利预增81%远超同行 三年半投22亿研发攻关抓住市场机遇,长江商报
92,2021-10-19,供应链本土化：解码跨国医械企业的“传、帮、带”生意经,21世纪经济报道
93,2021-10-18,GE医疗中国陈和强：医疗设备国产化不是简单引进吸收消化,澎湃新闻
94,2021-10-16,深南电路股份有限公司 关于非公开发行股票获得中国航空 工业集团有限公司批复的公告,证券时报
95,2021-10-15,电子行业2021年四季度投资策略：消费电子环比改善 布局低估值龙头半导体持续关注国产替代,新浪
96,2021-10-15,深南电路：截至2021年6月30日，公司已获授权专利601项，其中发明专利372项、国际PCT专利59项,每日经济新闻
97,2021-10-15,深南电路：公司主要原材料包括覆铜板、半固化片、铜箔、金盐、油墨等，涉及品类较多。受国际市场铜、石油等大宗商品影响，公司主要原材料价格目前整体呈现高位企稳的状态,每日经济新闻
98,2021-10-15,深南电路(002916.SZ)：定增事项获航空工业集团批复,格隆汇
99,2021-10-13,深南电路：天芯互联嵌入式封装模块模组产品为公司全资子公司天芯互联主要产品类型之一,每日经济新闻
100,2021-10-12,148家公司获机构调研（附名单）,证券之星
101,2021-10-11,深南电路：其他应付款中的工程及设备款主要用于公司无锡、南通部分项目基建及设备的支出,每日经济新闻
102,2021-10-08,深南电路：公司现有深圳2家、无锡1家封装基板工厂均已投产,每日经济新闻
103,2021-10-08,电子行业2021年三季报业绩展望：消费电子环比业绩改善 半导体国产替代持续,新浪
104,2021-10-08,计算机行业周报：高通收购维宁尔对“智联汽车+AI芯片”格局影响？,新浪
105,2021-09-30,深南电路：中欧基金、华创证券等4家机构于9月28日调研我司,证券之星
106,2021-09-29,深南电路：公司南通三期项目面向汽车电子领域PCB产品，为公司自有资金建设项目，预计2021年4季度投产,每日经济新闻
107,2021-09-26,通信行业2021年中报总结：通信行业Q2业绩维持高增长 估值仍处低位 持续关注主设备、运营商等细分赛道投资机会,新浪
108,2021-09-25,深南电路：公司目前生产经营一切正常,每日经济新闻
109,2021-09-14,深南电路：汽车电子业务完成国内外多家战略重点客户认证与导入,Wind
110,2021-09-14,深南电路：汽车电子业务完成国内外多家战略重点客户认证与导入,e公司
111,2021-09-14,深南电路：汽车电子为公司看好并重点拓展的领域之一,财联社
112,2021-09-14,A股早报2021年9月14日星期二,Wind
113,2021-09-13,深南电路：华西证券、中信证券等2家机构于9月8日调研我司,证券之星
114,2021-09-13,深南电路：南通三期项目预计将于2021年4季度投产,每日经济新闻
115,2021-09-10,电子行业2021年中报总结：板块增速分化 自下而上关注细分龙头,新浪
116,2021-09-06,通信行业跟踪周报-本周专题：AI产业链日渐成熟 关注相关优质标的投资机会,新浪
117,2021-09-05,专精特新还是核心资产？顶流私募最新投资思路曝光,Wind
118,2021-09-03,深南电路：野村证券、UBS瑞银等2家机构于9月1日调研我司,证券之星
119,2021-09-03,科技制造行业先进制造2021年9月月报：聚焦专精特新 继续布局估值和增长匹配的中小市值标的,新浪
120,2021-09-02,深南电路：公司通信类PCB产品覆盖无线网、传输网、核心网、固网宽带等企业级应用场景,每日经济新闻
121,2021-09-01,私募大佬持仓出炉！冯柳、邓晓峰、葛卫东、裘国根、赵军等心水股有哪些,Wind
122,2021-08-31,新基建加码，重磅大会开幕，5G厂商业绩迎爆发,Wind
123,2021-08-26,深南电路：招商证券、UBS瑞银证券等18家机构于8月20日调研我司,证券之星
124,2021-08-26,中航产融(600705.SH)子公司中航产投拟出资1.5亿元认购深南电路非公开发行股票,智通财经
