,2021-12-31,潍柴动力：目前氢燃料电池行业处于示范运营和逐步推广阶段，行业销量仍较小,每日经济新闻
0,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
1,2021-12-31,每经12点|2021年新增减税降费预计超万亿元；华为预计全年销售收入约6340亿；适宜的中药和中医医疗服务项目将纳入医保支付范围,每日经济新闻
2,2021-12-31,潍柴集团与青岛市政府签订一揽子战略合作协议 拟打造“东方氢岛”,e公司
3,2021-12-31,中国重汽：所需的动力总成部分来源于山东重工集团下属的中国重汽济南动力公司以及潍柴动力,每日经济新闻
4,2021-12-31,A股融资融券日报：两融余额增加32.82亿元（12月30日）,Wind
5,2021-12-31,汽车行业31家公司研发费超600亿 传统及新能源齐发力多项动力技术实现突破,长江商报
6,2021-12-29,A股融资融券日报：两融余额增加34.59亿元（12月28日）,Wind
7,2021-12-28,港股有哪些氢能企业？,证券之星
8,2021-12-28,潍柴动力：公司氢内燃机的研发工作正有序推进,Wind
9,2021-12-28,潍柴动力：公司氢内燃机的研发工作正有序推进,每日经济新闻
10,2021-12-28,潍柴动力：公司氢燃料电池产品已运行较长时间和里程数，整体情况较好,每日经济新闻
11,2021-12-28,潍柴动力：公司已经同时布局电池电堆、空压机、电机、电控等关键核心技术,每日经济新闻
12,2021-12-28,潍柴动力：公司氢燃料电池发动机工厂已于2020年投产,每日经济新闻
13,2021-12-28,A股资金流向：锂矿价格飙升修复股价背离，新能源全线反弹,Wind
14,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
15,2021-12-28,板块快速轮动，近期以稳为主,国盛证券
16,2021-12-27,12月两融余额缩水超200亿，3股逆势获净买入超10亿！,Wind
17,2021-12-27,“游艇界劳斯莱斯”Ferretti递表港交所，有钱人的快乐你想象不到,金融界
18,2021-12-27,A股资金流向：市场缩量弱反，中药板块保持强度,Wind
19,2021-12-27,潍柴动力(02338.HK)：孙健辞任副总裁 董监高成员变化,财华社
20,2021-12-27,最新融资客与北上资金重点加仓名单,Wind
21,2021-12-27,“氢”风徐来，哪些氢能源公司会率先业绩兑现？,证券之星
22,2021-12-27,2021年最后一周解禁市值超千亿元,Wind
23,2021-12-25,潍柴动力：公司氢燃料电池、反应堆相关产品主要配套于中通客车、亚星客车、宇通客车等客户,每日经济新闻
24,2021-12-24,A股共发生293宗大宗交易成交78.01亿元（12月24日）,Wind
25,2021-12-24,潍柴动力(02338)拟聘任陈文淼为公司执行总裁,智通财经
26,2021-12-24,潍柴动力(000338.SZ)副总裁孙健辞职 董监高成员变化,智通财经
27,2021-12-24,潍柴动力：孙健因工作变动原因，辞去公司副总裁职务 董监高成员变化,Wind
28,2021-12-24,潍柴动力今日大宗交易成交82.30万股，成交价18.26元溢价0.0%,Wind
29,2021-12-24,"潍柴动力现1笔大宗交易 共成交1,502.80万元",新浪
30,2021-12-24,南财研选│氢燃料电池可否复制锂电风光，产业链中游如何掘金？,21世纪经济报道
31,2021-12-24,融资客青睐14股，三旺通信买入占比高达56.58%,Wind
