,2021-12-30,Gannett Peak退出爱美客持股5%以上股东名单,GPLP犀牛财经
0,2021-12-29,十公司年内获上千家机构调研 迈瑞医疗、汇川技术最受关注,大众证券报
1,2021-12-29,顶层设计出台——“十四五”医疗装备规划，七大领域将受益！,Wind
2,2021-12-29,中国区域金融力排行榜：北京登顶，江浙紧逼,Wind
3,2021-12-29,西南证券医药2022年度策略：未来医药估值有望均衡，“穿越医保”和“疫情脱敏”是两条核心主线,Wind
4,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
5,2021-12-28,12月股东减持超650亿，45家大额解禁来袭,Wind
6,2021-12-28,美容护理行业周报：薇娅偷逃税被罚13.41亿 艺人主播涉税问题规范化加速推进 税收处罚,新浪
7,2021-12-27,【开源零售|周视角】薇娅事件有望推动直播电商行业规范发展，长期利好化妆品品牌,泽鹏商业观察
8,2021-12-27,12月两融余额缩水超200亿，3股逆势获净买入超10亿！,Wind
9,2021-12-27,中药股价暴涨，哪些标的适合机构配置？【东吴医药朱国广团队】,国广有话说
10,2021-12-26,消费专题策划四|强监管下轻医美规模将扩大 上中下游生态升级,财联社
11,2021-12-24,国信证券：医美市场规模发展空间广阔 行业景气度持续,证券时报网
12,2021-12-23,让多家企业惦记的“童颜针们”是什么来头,北京商报
13,2021-12-23,全球疫情防控有何趋势？中国创新药产业成色几何？明年医药股走势如何？听公卫专家、经济学者和药企带头人们怎么说,每经头条
14,2021-12-22,悦己需求进一步凸显，量红利持续崛起(附股),新浪
15,2021-12-21,江苏吴中1.6亿布局“童颜针”背后，市场成蓝海,第一财经
16,2021-12-21,A股共发生254宗大宗交易成交48.09亿元（12月21日）,Wind
17,2021-12-21,爱美客现2笔大宗交易 总成交金额8202.72万元,证券时报网
18,2021-12-21,66股获重要股东增持，四大领域最受青睐！,Wind
19,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
20,2021-12-21,"爱美客现2笔大宗交易 共成交8,202.72万元",新浪
21,2021-12-21,爱美客今日大宗交易成交16万股，成交价512.67元折价8.17%,Wind
22,2021-12-21,复锐医疗科技 | 领先技术能量源龙头，构建美丽新生态,医药研选
23,2021-12-19,【开源零售|周视角】关注迪阿股份上市，珠宝定制模式蓬勃发展,泽鹏商业观察
24,2021-12-19,【纺织服装】每周策略20211220：11月社零表现疲软，静待经济托底政策发力,时尚消费志
25,2021-12-17,爱美客跌4.87% 中信证券长江证券高点唱多,中国经济网
26,2021-12-17,爱美客现2笔大宗交易 总成交金额1105.48万元,证券时报网
27,2021-12-17,爱美客今日大宗交易成交1.94万股，成交价569.83元溢价0.0%,Wind
28,2021-12-17,爱美客12月16日现5笔大宗交易,证券时报网
29,2021-12-17,2021十大最受机构关注公司　“抢手货”迈瑞医疗居首位,财富动力网
30,2021-12-16,爱美客发生5笔大宗交易 合计成交1.44亿元,证券时报网
31,2021-12-16,"爱美客现5笔大宗交易 共成交14,414.32万元",新浪
32,2021-12-16,爱美客出现1.44亿元折价大宗交易，机构、天风证券房县人和路卖出,Wind
33,2021-12-16,爱美客：股东Gannett Peak合计减持公司股份约229万股 减持股份,每日经济新闻
34,2021-12-16,爱美客：股东Gannett Peak累计减持1.06%股份 减持股份,Wind
35,2021-12-16,医美行业：一半火焰，一半海水 | 2021·年度大复盘,钛媒体
36,2021-12-16,爱美客12月15日现4笔大宗交易,证券时报网
37,2021-12-16,商业贸易行业简评报告：11月社零增速环比下滑 必选消费表现优于可选,新浪
38,2021-12-15,爱美客发生4笔大宗交易 合计成交3710.70万元,证券时报网
39,2021-12-15,"爱美客现4笔大宗交易 共成交3,710.70万元",新浪
40,2021-12-15,爱美客今日大宗交易成交6.65万股，成交价558.0元折价5.24%,Wind
41,2021-12-14,爱美客12月13日现5笔大宗交易,证券时报网
42,2021-12-13,爱美客(300896.SZ)拟使用不超25亿元闲置自有资金进行现金管理,智通财经
43,2021-12-13,2021年12月13日大宗交易机构专用买入席位报告,搜狐
44,2021-12-13,爱美客现5笔大宗交易 合计成交21.00万股,证券时报网
45,2021-12-13,"爱美客现5笔大宗交易 共成交12,489.64万元",新浪
46,2021-12-13,爱美客今日大宗交易成交16万股，成交价597.79元折价2.0%,Wind
47,2021-12-13,A股早报2021年12月13日星期一,Wind
48,2021-12-13,毛利率93%，力压茅台！爱美客凭什么？,和讯
49,2021-12-13,财信证券美容护理、社服零售行业2021年12月月度报告：围绕成长确定性强、修复能力强的优质龙头布局,财信证券研究
50,2021-12-12,【开源零售|周视角】Costco苏州店开业，仓储会员店赛道持续火热,泽鹏商业观察
51,2021-12-10,爱美客现3笔大宗交易 合计成交21.00万股,证券时报网
52,2021-12-10,"爱美客现3笔大宗交易 共成交12,425.60万元",新浪
53,2021-12-10,电鳗快报|监管趋严谁能脱颖而出？真“医美”股结束颓势可期,电鳗快报
54,2021-12-10,北向资金动向盘点：216亿不是重点，进攻宽度才是玄机,Wind
55,2021-12-10,爱美客12月9日现6笔大宗交易,证券时报网
56,2021-12-09,爱美客：Gannett Peak减持214万股公司股份 减持股份,每日经济新闻
57,2021-12-09,爱美客：Gannett Peak持股降至5%以下 减持股份,Wind
58,2021-12-09,爱美客：Gannett Peak累计减持比例达1% 减持股份,Wind
59,2021-12-09,爱美客现6笔大宗交易 合计成交23.50万股,证券时报网
60,2021-12-09,"爱美客现6笔大宗交易 共成交13,113.00万元",新浪
61,2021-12-09,各种茅集体大涨，外资狂买超200亿！后市如何走？,Wind
62,2021-12-09,爱美客今日大宗交易成交23.50万股，成交价558.0元折价6.04%,Wind
63,2021-12-09,医美走强，华熙生物、爱美客涨超6％，医疗器械ETF（159883）放量涨近3％,资本邦
64,2021-12-09,医美、器械集体造好，医疗器械ETF放量大涨2.74％,Wind
65,2021-12-09,欧普康视、华熙生物、爱美客涨超7%，科创创业ETF（588360）涨超1.5%,资本邦
66,2021-12-09,解盘：人气持续回升，医美、餐饮旅游、家居、茅指数领涨,Wind
67,2021-12-09,兴业证券：看好功效性护肤品市场崛起与快速发展,财联社
68,2021-12-09,医美概念发力走高，朗姿股份等涨停，爱美客等大涨,证券时报网
69,2021-12-09,医疗美容概念股突击上涨，奥园美谷率先涨停,Wind
70,2021-12-09,【开源零售｜医美化妆品11月月报：双十一国货龙头品牌表现亮眼，行业监管趋严利好龙头企业】,泽鹏商业观察
71,2021-12-07,医药行业2022年投资策略报告：政策扰动下分化加剧 战略性看好医药黄金赛道上的优质个股,新浪
72,2021-12-07,2021年11月化妆品行业数据点：双十一大促 淘系护肤高增,新浪
73,2021-12-07,医美行业深度报告：行业上游医美器械制造商门槛高 竞争格局好,新浪
74,2021-12-07,附音频|2022年传媒新消费策略|新秩序 新增量 再进化,拾珠传媒新消费
75,2021-12-06,纺织服装行业周报：重申制造强于品牌 深挖下游趋势的上游印证,新浪
76,2021-12-06,2021年基金，买了个“寂寞”,Wind
77,2021-12-06,商业贸易行业周报：儿童化妆品规范化加强 昊海生科管线持续丰富,华安证券
78,2021-12-06,商业贸易行业周报：植发养固发行业增速较快 雍禾医疗预期于12月13日上市,华福证券有限责任公司
79,2021-12-06,医药生物行业：医保谈判落地 释放积极信号,新浪
80,2021-12-06,商业贸易行业周报：投融资事件频繁 潮流零售行业蓬勃发展,新浪
81,2021-12-06,【浙商医美】行业周报：政策监管持续加码，利好行业龙头,微信
82,2021-12-05,【轻工】化妆品医美行业2022年度策略—把握消费趋势，看好高景气赛道,中银证券研究
83,2021-12-03,解盘：人气持续回暖，电力、存储器、白酒、半导体领涨,Wind
84,2021-12-02,"爱美客现1笔大宗交易 共成交4,350.00万元",新浪
85,2021-12-02,爱美客今日大宗交易成交10万股，成交价435.0元折价18.51%,Wind
86,2021-12-02,11月金股组合盈利0.42% 12月荐股名单出炉,新浪
87,2021-12-01,沪深300指数“上新” 医美龙头爱美客被纳入指数样本,财联社
88,2021-11-29,爱美客现3笔大宗交易 合计成交24.69万股,证券时报网
89,2021-11-29,"爱美客现3笔大宗交易 共成交11,169.76万元",新浪
90,2021-11-29,爱美客今日大宗交易成交24.69万股，成交价452.4元折价19.5%,Wind
91,2021-11-29,纺织服装行业周报：服装迎来冬装销售旺季 看好Q4高业绩弹性,新浪
92,2021-11-27,医疗美容行业医美专题报告：悦己消费市场空间广阔 颜值经济加持医美赛道,新浪
93,2021-11-26,跨年主题“花落谁家”，行业景气度成风向标,Wind
94,2021-11-25,医药行业2021年三季报总结报告：恢复高成长 医药进入估值切换长周期,新浪
95,2021-11-25,渗透率不到1%的千亿市场，男女皆宜的“爱美客”，下一个暴利的长牛？,瞪羚社
96,2021-11-25,多维观察，解析华熙生物、爱美客、昊海生科的发展AB面,凤凰网
97,2021-11-25,调研马不停蹄，外资机构盯上“国潮”板块,Wind
98,2021-11-24,公募仓位连降4月！超千亿新发基金待建仓，四大行业重回视野,Wind
99,2021-11-24,医药生物行业周报：CDE发布《以临床价值为导向的抗肿瘤药物临床研发指导原则》,新浪
100,2021-11-23,"爱美客现1笔大宗交易 共成交4,696.09万元",新浪
101,2021-11-23,【热点报告——股指期货】2021年12月主要规模指数成分股调整预测及影响,东证衍生品研究院
102,2021-11-22,沪深300指数成分股要上新啦！这些个股或迎交易性机会,上证报
103,2021-11-22,这家药企躺赚79倍，竟是做对这件事,赛柏蓝
104,2021-11-22,纺织服装行业：《医疗美容广告执法指南》正式落地 行业监管将持续趋紧,新浪
105,2021-11-22,商业贸易行业周报：十月社零数据发布 消费继续回暖,华福证券有限责任公司
106,2021-11-22,医美化妆品行业周报：超头依赖度提升 关注业绩边际向上国货化妆品,新浪
107,2021-11-21,【开源零售|周视角】社会消费回暖，关注高景气珠宝和化妆品龙头公司,泽鹏商业观察
108,2021-11-20,年门诊量21万，这家医院，百万医药人都踏空了,赛柏蓝
109,2021-11-18,“数据会说话”之2021年10月数据解读：10月社零数据符合预期 看好中国消费韧性,新浪
110,2021-11-17,3000亿大市场月增长9倍，产品少、竞争小，医药人快上车,赛柏蓝
111,2021-11-17,中信建投社服商贸2022年策略：供给端内功优化，需求端蓄势待发,Wind
112,2021-11-16,世界千强药企最新名单！中国独占249家，百济、智飞冲进前50，恒瑞、石药、齐鲁打好新药战,E药经理人
113,2021-11-16,异动频频，利空出尽！线上订单暴涨7倍，这个赛道将迎来大行情！,瞪羚社
114,2021-11-16,"爱美客现4笔大宗交易 共成交12,339.20万元",新浪
115,2021-11-16,爱美客今日大宗交易成交16万股，成交价575.9元折价2.0%,Wind
116,2021-11-15,医美概念持续拉升，行业需求快速增长，主力看好这些股,第一财经
117,2021-11-15,板块异动 | 医美行业规范化发展份额提升 医美概念股午后持续上扬,智通财经
118,2021-11-15,和讯SGI三季报TOP30榜单出炉，前三排名依然稳定，财富趋势排名大幅提升，奥普特、浩欧博跌落榜单,和讯
119,2021-11-15,国谈价格好于市场预期，有利于创新药板块估值修复！【东吴医药朱国广团队】,国广有话说
120,2021-11-15,财信证券美容护理、社服零售行业2021年11月月度报告：高景气赛道龙头优势显著，旅游复苏预期边际增强,财信证券研究
121,2021-11-15,纺织服装行业周报：双十一大促落幕 龙头战报彰显国货崛起大势,新浪
122,2021-11-14,【开源零售|周视角】双十一战报：平台多元化，美妆珠宝龙头表现亮眼,泽鹏商业观察
123,2021-11-12,国家药监局：这一“补水神器”是三类医疗器械,器械之家
124,2021-11-12,九州通是如何赚钱的？,中访网
125,2021-11-12,2021胡润女企业家榜：碧桂园杨惠妍九度登顶，爱美客创始人首次上榜,搜狐
126,2021-11-12,纺织服装行业：三季报制造强于品牌 双十一预售龙头表现突出,新浪
127,2021-11-12,2021胡润女企业家榜：碧桂园40岁的杨惠妍第九次成为中国女首富,Wind
128,2021-11-12,2021胡润女企业家榜发布：碧桂园杨惠妍第九次成为中国女首富,新浪
129,2021-11-11,商贸零售2021三季报总结：Q3商贸整体偏弱 关注珠宝高景气与医美化妆品长期成长,新浪
130,2021-11-11,如何对华熙生物估值？,中访网
131,2021-11-11,商贸社服行业2022年度策略报告：云霞出海曙,新浪
132,2021-11-09,百亿收购案背后：一支瘦脸针搅动医美江湖,贝壳社
133,2021-11-09,化妆品医美行业2021 年三季报回顾：整体符合预期 马太效应凸显,新浪
134,2021-11-09,商贸零售行业2021年三季报综述：渠道经营逐步触底 优质品牌脱颖而出,新浪
135,2021-11-08,2021年医药行业11月策略报告：战略布局特色原料药及高景气度子行业,新浪
136,2021-11-08,"爱美客现1笔大宗交易 共成交1,116.00万元",新浪
137,2021-11-08,爱美客今日大宗交易成交2万股，成交价558.0元折价2.77%,Wind
138,2021-11-08,纺织服装行业周报：双十一首批预售表现亮眼 寒潮来袭提振服装销售,新浪
139,2021-11-07,【开源零售|周视角】优选高景气细分赛道，关注龙头公司竞争优势提升,泽鹏商业观察
140,2021-11-05,爱美客现1笔大宗交易 共成交251.10万元,新浪
141,2021-11-05,万事利：公司新设立的全资子公司杭州万事利智能科技有限公司无医美相关业务。公司暂无与爱美客合作事项,每日经济新闻
142,2021-11-04,爱美客今日大宗交易成交4.10万股，成交价558.0元折价2.55%,Wind
143,2021-11-04,"爱美客现2笔大宗交易 共成交2,287.80万元",新浪
144,2021-11-03,爱美客今日大宗交易成交5万股，成交价558.0元折价4.1%,Wind
145,2021-11-03,"爱美客现2笔大宗交易 共成交2,790.00万元",新浪
146,2021-11-02,国泰君安医药行业2021年11月投资策略暨三季报报总结：高基数和疫情反复影响增速放缓,新浪
147,2021-11-02,"爱美客现4笔大宗交易 共成交6,696.00万元",新浪
148,2021-11-02,爱美客今日大宗交易成交12万股，成交价558.0元折价3.88%,Wind
149,2021-11-02,纺织服装行业周报：三季报出炉 纺服普遍低预期 美妆整体符合预期,新浪
150,2021-11-01,A股三季报交出优异答卷，营收净利增速创近五年新高,Wind
151,2021-11-01,【开源零售|周视角】受疫情和外部竞争影响，零售企业三季度利润承压 盈利能力下降,泽鹏商业观察
152,2021-11-01,Q3行情结束，医药板块进入估值切换长周【东吴医药朱国广团队】,国广有话说
153,2021-10-31,陆家嘴财经早餐2021年10月31星期日,Wind
154,2021-10-30,券商资管三季度持仓出炉，“隐形牛股”涨幅超过100%！,Wind
155,2021-10-29,这家上市药企布局医美，单品销售预计超5亿,赛柏蓝
156,2021-10-29,榜单｜中国首富公布，是这家械企创始人,赛柏蓝器械
157,2021-10-29,重磅新品预收款超一亿！医美巨头强势复苏，将向爱美客、华熙等王者发起挑战？,瞪羚社
158,2021-10-29,爱美客今日大宗交易成交16万股，成交价613.19元折价2.0%,Wind
159,2021-10-29,云南白药不孤单 这些医药公司投资失利业绩“变脸” 盈利能力下降,第一财经
160,2021-10-28,在李佳琦的直播间里，看不到华熙生物的未来,和讯
161,2021-10-28,最高预售量69万+，双十一国牌美妆大卖，背后受益公司是谁？,Wind
162,2021-10-28,爱美客跌3.3% 中信证券长江证券高点唱多,中国经济网
