,2021-12-31,制药行业火热收官，中药板块领涨，龙头片仔癀遇冷「制药行业周榜」,华夏时报
0,2021-12-31,中药新药创5年新高！7省首获改革示范，产业或迎价值重估？,Wind
1,2021-12-31,片仔癀获评“2021年度全国实施卓越绩效模式先进组织”称号,钢企网
2,2021-12-31,国金证券：医保政策调整促进中医药行业发展 荐片仔癀(600436.SH)、中国中药(00570)等,智通财经
3,2021-12-31,融资客青睐6股，未来股份买入占比高达38.08%,Wind
4,2021-12-30,机构年末减持调仓 白马股频频闪崩 跨年行情还好吗？ 减持股份,21世纪经济报道
5,2021-12-30,各种茅频现杀跌 潜力股按律挖掘,金融投资报
6,2021-12-30,这场中药企业“转型突围赛”，究竟谁能胜出？,艾美达行业研究
7,2021-12-30,A股融资融券日报：两融余额减少8.94亿元（12月29日）,Wind
8,2021-12-30,A股早报2021年12月30日星期四,Wind
9,2021-12-30,每日理财观察：年终奖等个税优惠政策顺延两年,Wind
10,2021-12-30,股市早8点丨今天有三点注意事项！,中金在线
11,2021-12-30,【东吴七点半】白酒领跌片仔癀跌停 市场再现弱势调整,东吴财经通
12,2021-12-30,早报 (12.30) | 国常会大礼包：年终奖税收优惠政策再延两年，每年可省1100亿！因为联想，中金公司5人被证监会约谈；酒基“清仓式分红”吓跌酒股？,格隆汇
13,2021-12-30,基金早班车|白酒大跌引发讨论！两大白酒LOF分红也成了利空因素之一，茅台跌超4％，五粮液跌5％,金融界
14,2021-12-30,说好的白酒提价，怎么突然就跌了？,Wind
15,2021-12-30,新纪录！A股年度成交金额创历史新高,Wind
16,2021-12-29,【29日资金线路图】年底市场风格变化明显！资金整体流出消费板块，贵州茅台、片仔癀等消费龙头股被抛售 减持股份,证券时报
17,2021-12-29,片仔癀，夺命大逃亡,格隆汇
18,2021-12-29,白酒板块新一轮下跌开启！茅台们将被全线腰斩！片仔癀断头跌停宣告大顶确立！,金融界
19,2021-12-29,白酒下跌的原因找到了！,搜狐
20,2021-12-29,中药龙头放量跌停板块跳水，机构：应关注是否进入调整阶段,第一财经
21,2021-12-29,片仔癀罕见跌停：提价预期落空、市场反应过度,Wind
22,2021-12-29,最新龙虎榜动向：片仔癀跌停，逾4亿机构资金出逃（名单）,21世纪经济报道
23,2021-12-29,医药行业投资策略：关注政策扰动下的个股机会,新浪
