,2021-12-31,"年终盘点|2021年十大""争议""白马股",新浪
0,2021-12-31,牧原股份：目前公司生产经营与现金流情况正常，已完成涉及逾期的32家子公司全部相关商票的兑付工作,每日经济新闻
1,2021-12-31,牧原股份：公司当前的在建工程包括生猪养殖项目、生猪屠宰项目及饲料加工项目等,每日经济新闻
2,2021-12-31,猪企的2021年：股价深蹲后触底反弹，下行周期下面临资金考验,华夏时报
3,2021-12-31,牧原股份：公司没有房地产业务,Wind
4,2021-12-31,上市一周年，生猪期货能否助力“烫平”猪周期,经济日报
5,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
6,2021-12-31,A股融资融券日报：两融余额增加32.82亿元（12月30日）,Wind
7,2021-12-31,开源金股，1月推荐,开源证券研究所
8,2021-12-30,第一上海丨【行业评论】生猪养殖行业专题：产能去化尚需时日，把握中长期确定性，头部优势将持续扩大,第一上海金融
9,2021-12-30,A股融资融券日报：两融余额减少8.94亿元（12月29日）,Wind
10,2021-12-29,双汇牧原“联姻” 生猪产业上下游巨头竞合加速,中国经营网
11,2021-12-29,年内猪价“深蹲”令上市公司亏光利润，周期反转到了吗,Wind
12,2021-12-29,牧原股份：今年底生猪养殖产能将超过7000万头,中证网
13,2021-12-29,牧原股份：公司在东北、中原、西北等区也开展了“种养循环”的生态种植、盐碱地改造利用项目,每日经济新闻
14,2021-12-29,牧原股份：由于月度配种量、生产经营情况的月度间变动，出栏量本身存在正常合理波动区间,每日经济新闻
15,2021-12-29,牧原股份：公司将持续建设屠宰产能，并在养殖产能密集区域逐步实现屠宰产能覆盖,每日经济新闻
16,2021-12-29,牧原股份：公司目前没有回购股票的相关计划,每日经济新闻
17,2021-12-29,牧原股份：公司生产性生物资产销售时，其成本结转计入主营业务成本,每日经济新闻
18,2021-12-29,牧原股份：目前钟祥牧原农牧有限公司等子公司具备活猪供港资质并持续开展相关业务,每日经济新闻
19,2021-12-29,牧原股份：内蒙古敖汉牧原农牧有限公司目前生产经营正常,每日经济新闻
20,2021-12-29,牧原股份：目前公司产能在北方区域布局比例较高，而北方地区生猪销售价格低于南方区域,每日经济新闻
21,2021-12-29,牧原股份：本次相关逾期商票不涉及公司关联方,每日经济新闻
22,2021-12-29,牧原股份：公司预计2021年底建成生猪养殖产能将超过7000万头,财联社
23,2021-12-29,猪肉跌落神坛，养殖户赔光本钱：猪站在了风口上，风却停了,腾讯网
24,2021-12-29,牧原食品：完成工商变更登记,Wind
25,2021-12-29,A股融资融券日报：两融余额增加34.59亿元（12月28日）,Wind
26,2021-12-29,牧原食品股份有限公司 关于完成工商变更登记的公告,证券时报
27,2021-12-29,电力系统新规出台利好国内大储能规模扩张；“猪周期”全面配置时点已至,开源证券研究所
28,2021-12-29,调仓+减持，市场赚钱效应衰退,Wind
29,2021-12-28,年内猪价“深蹲”令上市公司亏光利润，周期反转真的要到了吗 亏损,第一财经
30,2021-12-28,对牧原股份而言，“熨平猪周期”可能是后话,每日财报
31,2021-12-28,年底大宗交易井喷，四大行业获机构扫货！,Wind
32,2021-12-28,12月股东减持超650亿，45家大额解禁来袭,Wind
33,2021-12-28,农业产业周报|牧原股份、潍柴、龙大食品、国联水产最新动态,搜狐
34,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
35,2021-12-28,华创固收2022年可转债年度策略报告：“局促”环境下的应对,Wind
36,2021-12-28,牧原股份注册资本增加138.7%至52.62亿元,乐居财经
37,2021-12-28,年末大宗交易增多，机构抢筹藏玄机,Wind
38,2021-12-27,年关将至，又遇周期冷冬，河南千亿猪王秦英林的日子难不难？,深水财经社
39,2021-12-27,农业股拉升，牧原股份涨超3%,格隆汇
40,2021-12-27,猪肉股盘初拉升，顺鑫农业领涨,Wind
41,2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
42,2021-12-27,A股早报2021年12月27日星期一,Wind
43,2021-12-27,千亿猪茅惊现10亿大宗交易，折价近14%遭贱卖,Wind
44,2021-12-27,每日理财观察：养老保险机构迎强监管,Wind
45,2021-12-27,"千亿""猪茅""惊现10亿大宗交易，折价近14%遭贱卖，机构却""逆市""加仓，什么信号？",券商中国
46,2021-12-25,3000亿“猪茅”惊现10亿大宗交易，机构接盘超7亿,Wind
47,2021-12-24,3000亿“猪茅”惊现10亿大宗交易！折价近14%，啥情况？机构接盘超7亿，什么信号？,证券时报
48,2021-12-24,A股共发生293宗大宗交易成交78.01亿元（12月24日）,Wind
49,2021-12-24,牧原股份今日大宗交易成交2217万股，成交价45.13元折价13.68%,Wind
50,2021-12-24,"牧原股份现3笔大宗交易 共成交100,053.21万元",新浪
51,2021-12-24,牧原股份今日出现10亿元折价大宗交易,每日经济新闻
52,2021-12-24,牧原股份今日现10亿元折价大宗交易,e公司
53,2021-12-24,牧原股份现10亿元折价大宗交易，机构买入超7亿元,Wind
54,2021-12-24,猪肉板块爬坡过坎、连涨5月，机构直指四大利好,Wind
55,2021-12-24,中金：2022年农业看好生猪及制种两条主线,Wind
56,2021-12-24,河南区域股市周报：板块总市值降至第14名 双汇发展跌出板块市值3强,每日经济新闻
57,2021-12-24,A股融资融券日报：两融余额增加19.59亿元（12月23日）,Wind
58,2021-12-24,国联证券：给予牧原股份买入评级，目标价位62.45元,证券之星
59,2021-12-24,北向资金动向盘点：逢高减持食品饮料,Wind
60,2021-12-24,牧原股份：根据目前资金计划安排，公司不存在偿债风险,Wind
61,2021-12-24,国联证券给予牧原股份买入评级：全产业链经营降本，规模扩张增效，目标价格为62.45元,每日经济新闻
62,2021-12-24,腾讯分红式减持京东股票，好未来2万名老师将离散 | 财经日日评 减持股份,吴晓波频道
63,2021-12-24,牧原股份2021年的坎坷苦旅：猪价暴跌、现金流紧缺、景气拐点遥遥无期,Wind
64,2021-12-23,每经热评丨让投资者释疑 “猪茅”牧原股份简单回应还不够,每日经济新闻
65,2021-12-23,牧原股份2021年的坎坷苦旅：猪价暴跌、现金流紧缺、景气拐点遥遥无期,21世纪经济报道
66,2021-12-23,生猪存栏连续5月下降，头部猪企凭成本优势或成赢家？,Wind
67,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
68,2021-12-23,牧原股份董事长秦英林回应财务问题：存在质疑是正常的,每日经济新闻
69,2021-12-23,A股收盘综述：市场资金涌入电力、白酒、光伏股！中国铝业巨量封涨停,Wind
70,2021-12-23,A 股午评：指数早盘震荡盘整 电力板块涨幅居前,ZAKER
71,2021-12-23,解盘：资金持续流入，电力、汽配、金属、新能源领涨,Wind
72,2021-12-23,A股午盘综述：电力股火了、光伏股强劲复苏，大唐发电太阳能等纷纷上板,Wind
73,2021-12-23,牧原股份回应财务质疑：现金流紧张是现实情况，已采取多种应对措施 运营能力下降,阿尔法工场
74,2021-12-23,猪肉股开盘走强，金新农涨停,Wind
75,2021-12-23,融资客青睐4股，航亚科技买入占比高达45.01%,Wind
76,2021-12-23,每经9点|腾讯：对京东持股比例将由17%降至2.3%，不再为第一大股东；投资144亿在波兰建厂向德国供应电池？宁德时代回应,每日经济新闻
77,2021-12-23,A股融资融券日报：两融余额增加24.04亿元（12月22日）,Wind
78,2021-12-23,北向资金连续四日出逃，净卖出逾百亿，减持行业和个股一览（名单） 减持股份,21世纪经济报道
79,2021-12-23,直击股东大会！牧原股份董事长秦英林回应财务问题：存在质疑是正常的，已采取多种应对措施,上证报
80,2021-12-22,北向资金连续4日净卖出累计出货超百亿，立讯精密遭大幅净卖出6.46亿元,Wind
81,2021-12-22,养殖业持续拉升，牧原股份领跑,Wind
82,2021-12-22,透视超2000条环境数据、涉及超700家上市公司，A股上市公司环境风险报告（2020-2021）出炉,每经头条
83,2021-12-22,A股融资融券日报：两融余额减少7.19亿元（12月21日）,Wind
84,2021-12-21,牧原股份(002714.SZ)将于12月27日发放优先股股息,智通财经
85,2021-12-21,商票爆雷事件后又遭评级下调，市值蒸发百亿牧原股份回应“能充分应对” 投资评级恶化,华夏时报
86,2021-12-21,猪价回归后，警惕节后下跌风险,红塔期货
87,2021-12-21,华创固收信用周报：短端城投债品种的挖掘思路,Wind
88,2021-12-21,A股融资融券日报：两融余额减少40.23亿元（12月20日）,Wind
89,2021-12-20,一周食品行业动态：部分速冻水饺被曝用料“不纯” 茶颜悦色陷“骂战风波”,中国食品网
90,2021-12-20,北向资金增持市值超亿元股票（附名单）,证券时报网
91,2021-12-20,A股融资融券日报：两融余额减少80.19亿元（12月17日）,Wind
92,2021-12-18,票据逾期暂息，再遭评级下调，猪周期考验牧原股份 未按时兑付本息,腾讯网
93,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
94,2021-12-17,五问牧原股份:“猪茅”有没有谎言?,新浪
95,2021-12-17,资金缺口从46亿飙升至超百亿，牧原股份评级惨遭被调整为负面,搜狐
96,2021-12-17,爱企查显示，牧原股份成立云计算公司，注册资本1亿元,TechWeb
97,2021-12-17,信用评级展望被调为负面 牧原股份真的没钱了吗 评级展望下调为负面,中国商报
98,2021-12-17,牧原股份1亿成立云计算公司，经营范围含云计算装备技术服务,零壹财经
99,2021-12-17,牧原股份大宗交易成交947.20万元，买卖双方均为机构专用席位,证券时报网
100,2021-12-17,市值一日蒸发近70亿！评级展望下调为负，“猪茅”咋了？ 评级展望下调为负面,中国经济网
101,2021-12-17,商票逾期 牧原股份评级展望转负,广州日报
102,2021-12-17,牧原股份现1笔大宗交易 共成交947.20万元,新浪
103,2021-12-17,牧原股份再谈商票逾期！还提及偿债压力、生猪产能,中新经纬
104,2021-12-17,北向资金大幅加仓股名单,证券时报网
105,2021-12-17,A股融资融券日报：两融余额增加5.56亿元（12月16日）,Wind
106,2021-12-17,牧原股份：公司预计2021年底建成生猪养殖产能将超过7000万头,Wind
107,2021-12-17,牧原股份：下一步会更加重视商票开具、兑付的全流程管理，避免类似事件再次发生,Wind
108,2021-12-16,商票逾期，股价腰斩，2000亿“猪茅”怎么了？“二师兄”止跌回暖，股价还能起飞吗？,中国财富网
109,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
110,2021-12-16,牧原股份评级展望由稳定调整为负面，所属集团成员超三百家,搜狐
111,2021-12-16,牧原股份现2笔大宗交易 合计成交25.65万股,证券时报网
112,2021-12-16,盈利能力弱化债务上升 牧原股份评级展望遭下调 评级展望下调为负面,长江商报
113,2021-12-16,什么情况？4000亿龙头突然闪崩，曾2年大涨16倍！超牛次新股层出不穷，最猛的已经13连板，各路游资频现龙虎榜！,雪球
114,2021-12-16,A股资金流向：短线资金继续加码热门题材股,Wind
115,2021-12-16,资本动态｜牧原股份评级展望被下调至负面，股价收跌2.67%，市值蒸发近70亿 评级展望下调为负面,财经网
116,2021-12-16,牧原股份：合理安排资金保证债券兑付,第一财经
117,2021-12-16,牧原股份:抓生产管理降低成本 提高盈利能力 合理规划发展速度丨公司问答,第一财经
118,2021-12-16,牧原股份回应评级展望遭下调，“系行业因素” 评级展望下调为负面,环球老虎财经
119,2021-12-16,牧原股份评级展望惨遭下调！“二师兄”跌价还要看到明年年底？ 评级展望下调为负面,证券之星
120,2021-12-16,“猪茅”评级被调整为负面，牧原股份回应：不会影响经营环境、偿债能力,资本邦
121,2021-12-16,债券负面主体评级展望一览表（12月16日） 评级展望下调为负面,Wind
122,2021-12-16,“猪茅”牧原股份跌1.2% 中诚信国际决定将其评级展望调整为负面 评级展望下调为负面,新浪
123,2021-12-16,操盘必读｜市场监管总局规范白酒生产；牧原股份评级展望被调为负面；京城股份股票复牌,上游新闻
124,2021-12-16,A股融资融券日报：两融余额增加10.27亿元（12月15日）,Wind
125,2021-12-16,【中证盘前】市场监管总局规范白酒生产；中诚信国际将牧原股份评级展望调为负面；兴发集团子公司拟引入大基金二期等战投,中证报
126,2021-12-16,2000亿猪茅评级被调整为负面！富力也出事：或无法兑付,Wind
127,2021-12-16,降准实施日资金情绪改善，MLF续作未超预期，债市暖意收敛｜债市综述,Wind
128,2021-12-16,突发！20亿理财中间人失联，华夏幸福紧急报案！地产巨头预告式爆雷，2000亿巨头评级遭下调，回应来了 投资评级恶化,券商中国
129,2021-12-15,信用债日报：各期限收益率涨跌不一，地产债多数明显收跌，兰州城投债延续弱势,Wind
130,2021-12-15,晚间要闻2021年12月15日星期三,Wind
131,2021-12-15,牧原股份评级展望被调为“负面” 公司称受行业周期影响财务基本面未恶化 评级展望下调为负面,e公司
132,2021-12-15,牧原股份：评级展望调整为负面不会对公司偿债能力等产生影响 评级展望下调为负面,澎湃新闻
133,2021-12-15,评级展望下调至负面！昔日“猪茅”牧原股份商票逾期影响发酵 评级展望下调为负面,金融界
134,2021-12-15,牧原股份：公司主体信用评级展望被由稳定调整为负面 评级展望下调为负面,贝壳财经
135,2021-12-15,牧原股份：中诚信国际将公司评级展望调整为负面，目前公司经营情况正常 评级展望下调为负面,Wind
136,2021-12-15,牧原股份(002714.SZ)：中诚信国际决定将公司的评级展望由稳定调整为负面 评级展望下调为负面,格隆汇
137,2021-12-15,中诚信国际：将牧原股份评级展望调整为负面，维持其AA+的主体信用等级 评级展望下调为负面,Wind
138,2021-12-15,三季度末账面趴着99.50亿，牧原股份2126万元的商票却逾期？,中国经济网
139,2021-12-15,A股融资融券日报：两融余额增加9.31亿元（12月14日）,Wind
140,2021-12-14,出栏量显著下降 养猪大户不再一味追求产能了吗,中国商报
141,2021-12-14,牧原股份(002714.SZ)：股东秦英林质押展期3220万股,格隆汇
142,2021-12-14,A股融资融券日报：两融余额增加51.19亿元（12月13日）,Wind
143,2021-12-14,A股早报2021年12月14日星期二,Wind
144,2021-12-14,开源晨会1214丨聚焦元宇宙在开放世界游戏的落地及电影春节档；布局猪周期“乍暖还寒”时；老百姓、华虹半导体,开源证券研究所
145,2021-12-13,8天5调研！消费行情真的要来？这家调味品公司频获机构关注，股价已反弹超20%…消费板块能上车吗？,证券时报
146,2021-12-13,段永平抄底拼多多，你会跟吗？,港股那点事
147,2021-12-13,一周食品行业动态：星巴克被曝使用过期食材 歌帝梵雪糕涉嫌含禁用物质被下架,中国食品网
148,2021-12-13,2021年12月13日大宗交易机构专用买入席位报告,搜狐
149,2021-12-13,牧原股份12月13日大宗交易成交4.91亿元,证券时报网
150,2021-12-13,牧原股份现4.91亿元平价大宗交易,第一财经
151,2021-12-13,神火股份：李宏伟先生目前兼任上海神火铝箔和云南神火董事,每日经济新闻
152,2021-12-13,"牧原股份现1笔大宗交易 共成交49,117.60万元",新浪
153,2021-12-13,牧原股份今日大宗交易成交980万股，成交价50.12元溢价0.0%,Wind
154,2021-12-13,牧原股份出现4.91亿元平价大宗交易，机构接盘,Wind
155,2021-12-13,A股融资融券日报：两融余额增加0.16亿元（12月10日）,Wind
156,2021-12-13,牧原股份商票逾期兑付玄机,国际金融报
157,2021-12-13,猪老大的票据惊魂,吴晓波频道
158,2021-12-12,佳兆业未能如期偿付债券遭惠誉下调评级；花样年7.3亿元债券展期至2024年；华夏幸福债务重组计划获得通过丨21信用预警周报,21世纪经济报道
159,2021-12-12,下周操盘攻略：跨年蓝筹行情正临近,Wind
160,2021-12-12,【信用】【困境债券专题】如何看待牧原股份信用情况专题1（2021年第5期）,新浪
161,2021-12-11,牧原股份(002714)：成本逐级下行 成长优势尽显,新浪
162,2021-12-10,牧原集团解质牧原股份0.21%股份,乐居财经
163,2021-12-10,牧原股份(002714.SZ)：牧原集团解质1094.9万股,格隆汇
164,2021-12-10,牧原股份(002714.SZ)股东牧原集团解除质押1094.9万股,智通财经
165,2021-12-10,牧原股份：牧原集团解除质押约1095万股,每日经济新闻
166,2021-12-10,2700亿巨头惊心！客户经理群里提示造假风险，知名券商最新回应,Wind
167,2021-12-10,"一周股话：央行降准，"" 茅族股 "" 强势崛起，北上资金爆买 A 股，下周大盘剑指 3700 点？",ZAKER
168,2021-12-10,A股融资融券日报：两融余额增加7.33亿元（12月9日）,Wind
169,2021-12-09,牧原股份(002714)：“盛名难副”还是“名副其实”？,新浪
170,2021-12-09,11月份成绩单亮眼，这类企业的“小确幸”能否持续,上证报
171,2021-12-09,牧原疑云背后的成本、投资探究与现金流压力,中债资信
172,2021-12-09,券商员工在群聊中“提醒”猪茅财务造假？招商证券：已对该员工停职并严肃问责,每日经济新闻
173,2021-12-09,32家子公司涉及商票逾期 牧原股份（002714.SZ）在接受调研时这样回应,智通财经
174,2021-12-09,农林牧渔行业：11月出栏量环比略降 销售均价环比上行,广发证券
175,2021-12-09,旗下公司被曝商票逾期 牧原股份称属于意外、已全部兑付,证券日报网
176,2021-12-09,牧原股份：1亿元在山东滨州设立惠民肉食,我的钢铁
177,2021-12-09,北向资金增持市值超亿元股票（附名单）,证券时报网
178,2021-12-09,旗下30余家公司被曝商票逾期 牧原股份：已全部兑付完毕,每日经济新闻
179,2021-12-09,A股融资融券日报：两融余额增加42.4亿元（12月8日）,Wind
180,2021-12-09,每经热评丨对牧原股份商票逾期 监管应及时回应市场关切,每经头条
181,2021-12-09,期市投资参考：美国通过一项提高债务上限法案，伦敦金属集体上涨,Wind
182,2021-12-09,上市猪企披露11月“成绩单”,Wind
183,2021-12-09,上市猪企披露11月“成绩单”,经济参考报
184,2021-12-08,消费参考丨白酒股全线上涨！茅台重回2000元关口,21世纪经济报道
185,2021-12-08,牧原股份：目前公司授信使用比例约为65% 处于正常水平,中证网
186,2021-12-08,商票逾期背后，“猪茅”牧原股份在进行一场“豪赌”？,凤凰网
187,2021-12-08,行业动态|11月上市猪企价升量减 “节日坑”隐现猪价颓势难挽,财联社
188,2021-12-08,5家上市猪企生猪售价涨幅均超30%，4家销售数量环比下跌,澎湃新闻
189,2021-12-08,牧原股份：票据逾期事件未对公司融资造成影响，财务公司在筹建中 未按时兑付本息,贝壳财经
190,2021-12-08,重磅规划即将公布，事关万亿板块，农作物转基因有新消息！机构力挺四大方向，北上资金提前埋伏4股,新浪
191,2021-12-08,牧原股份：2021年申请授信总额度650亿元已使用65%,Wind
192,2021-12-08,牧原股份：截至11月末应付商票余额26.64亿元,新浪
193,2021-12-08,牧原股份接受24家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
194,2021-12-08,牧原股份：预计年底建成生猪养殖产能将超7000万头,乐居财经
195,2021-12-08,牧原股份：对明年成本下降趋势较为乐观,e公司
196,2021-12-08,国都证券研究所晨报,新浪
197,2021-12-08,【行情】养殖股午后走强，傲农生物封涨停，牧原股份、天康生物、立华股份、大北农、晓鸣股份跟涨,金十数据
